simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mMyB,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,fF,fM,fFB,fFZ,fMB,fMZ,fMyB,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB
0,0.20458400561284185,1.608452196083157,1.4038681904703152,djikali,nganapa,yapa,yapa,yukuyuku,yukuyuku,djikali,yapa,yukuyuku,wäwa,muuri\',nganapa,yapa,yukuyuku,nganapa,yukuyuku,nganapa,nganapa,nganapa,djikali,djikali,nganapa,djikali,yapa,djikali,yukuyuku,yukuyuku,wäwa,yapa,yukuyuku,nganapa,nganapa,muuri\',djikali,djikali,yapa,nganapa,djikali,yukuyuku,yapa,yapa,yukuyuku,yapa,yukuyuku,djikali,djikali,nganapa,nganapa,djikali,yapa,yapa,yapa,djikali,yapa,djikali,djikali,yapa,nganapa,nganapa,djikali,nganapa,nganapa,yapa,djikali,nganapa,djikali,yapa,yukuyuku,nganapa,yukuyuku,yapa,nganapa,nganapa,djikali,yapa,yapa,yapa,djikali,gutha('),yapa,yapa,ngama\',gawal,ngama\',ngama\',gawal,mukul,ngama\',ngama\',gunhu('),ngama\',mukul,gunhu('),gawal,gunhu('),ngama\',mukul,muuri\',ngama\',gunhu('),gunhu('),mukul,gunhu('),mori('),gawal,mukul,muuri\',mukul,mori(')
1,0.11028345532013639,1.687840810297916,1.5775573549777797,nganapa,yapa,yukuyuku,yapa,yapa,djikali,nganapa,nganapa,yapa,wäwa,nganapa,yapa,nganapa,djikali,nganapa,djikali,yukuyuku,nganapa,nganapa,yukuyuku,yapa,djikali,yapa,yapa,yukuyuku,djikali,yapa,muuri\',yapa,djikali,yapa,djikali,nganapa,djikali,yapa,djikali,nganapa,nganapa,yukuyuku,nganapa,nganapa,yapa,yapa,yukuyuku,wäwa,djikali,yapa,yukuyuku,djikali,yukuyuku,yukuyuku,yukuyuku,djikali,nganapa,djikali,muuri\',nganapa,yapa,yapa,nganapa,djikali,djikali,nganapa,yukuyuku,djikali,nganapa,yapa,yapa,djikali,nganapa,yukuyuku,yapa,nganapa,djikali,gutha('),yapa,yukuyuku,djikali,yapa,djikali,yapa,mukul,gawal,ngama\',ngama\',muuri\',mukul,ngama\',gunhu('),ngama\',ngama\',mori('),mukul,mukul,ngama\',gunhu('),gunhu('),mori('),mukul,ngama\',muuri\',gawal,gunhu('),gunhu('),mukul,ngama\',gunhu('),gawal,gawal
2,0.21458437621261184,1.6057444108602756,1.3911600346476638,nganapa,yukuyuku,djikali,nganapa,nganapa,nganapa,nganapa,muuri\',nganapa,djikali,yukuyuku,yukuyuku,nganapa,nganapa,yukuyuku,yapa,yapa,nganapa,nganapa,nganapa,yapa,yapa,djikali,yukuyuku,yukuyuku,djikali,djikali,yapa,djikali,djikali,yukuyuku,muuri\',djikali,yapa,djikali,nganapa,yapa,nganapa,yapa,djikali,djikali,yapa,yapa,djikali,yukuyuku,nganapa,yapa,wäwa,yapa,yapa,djikali,djikali,yapa,yapa,nganapa,yapa,yapa,yapa,djikali,gutha('),djikali,yukuyuku,yapa,yapa,nganapa,yapa,yukuyuku,nganapa,yapa,yapa,yukuyuku,djikali,nganapa,yukuyuku,nganapa,yukuyuku,nganapa,djikali,djikali,djikali,wäwa,gunhu('),gawal,mukul,mukul,ngama\',mori('),ngama\',muuri\',ngama\',ngama\',gunhu('),mukul,gunhu('),mukul,mukul,mukul,ngama\',gunhu('),ngama\',ngama\',muuri\',gunhu('),mori('),ngama\',gawal,gunhu('),gawal,gawal
3,0.17192266769524855,1.6590147005045563,1.4870920328093078,yukuyuku,yapa,yukuyuku,djikali,yukuyuku,nganapa,djikali,djikali,nganapa,yapa,djikali,yapa,djikali,nganapa,yukuyuku,nganapa,yukuyuku,yapa,yapa,wäwa,yapa,djikali,djikali,nganapa,wäwa,muuri\',nganapa,djikali,yukuyuku,nganapa,yapa,nganapa,yapa,djikali,yukuyuku,yukuyuku,yapa,nganapa,yukuyuku,yukuyuku,yapa,yapa,gutha('),yukuyuku,yapa,yapa,djikali,djikali,yapa,muuri\',nganapa,yapa,nganapa,yukuyuku,nganapa,nganapa,yapa,nganapa,nganapa,djikali,djikali,djikali,nganapa,nganapa,djikali,nganapa,djikali,djikali,yapa,yapa,djikali,djikali,yapa,nganapa,yukuyuku,djikali,yapa,nganapa,yapa,yapa,yapa,ngama\',gunhu('),ngama\',ngama\',gunhu('),gunhu('),gawal,gawal,ngama\',mukul,ngama\',ngama\',mukul,gawal,ngama\',muuri\',mukul,gawal,mori('),mukul,mori('),mukul,gunhu('),mukul,gunhu('),muuri\',gunhu('),ngama\'
4,0.19521706689689244,1.6903904538356194,1.495173386938727,nganapa,yapa,yukuyuku,yapa,yapa,yapa,yapa,yapa,nganapa,djikali,djikali,yukuyuku,djikali,yukuyuku,djikali,muuri\',gutha('),nganapa,djikali,yapa,djikali,yapa,wäwa,yapa,djikali,djikali,yukuyuku,yapa,djikali,nganapa,yukuyuku,yukuyuku,yukuyuku,nganapa,nganapa,yapa,djikali,yapa,nganapa,nganapa,yapa,wäwa,yapa,yukuyuku,nganapa,djikali,nganapa,yapa,djikali,nganapa,muuri\',yapa,nganapa,djikali,djikali,nganapa,nganapa,nganapa,yukuyuku,yukuyuku,djikali,nganapa,djikali,yukuyuku,nganapa,yukuyuku,yapa,yapa,nganapa,djikali,yapa,nganapa,yukuyuku,djikali,djikali,yapa,nganapa,djikali,yapa,yapa,yapa,mukul,mukul,muuri\',mori('),ngama\',ngama\',gawal,mukul,ngama\',gunhu('),mori('),mukul,muuri\',gawal,gunhu('),gawal,gawal,ngama\',gunhu('),gunhu('),ngama\',mukul,gunhu('),ngama\',ngama\',mukul,gunhu('),ngama\'
5,0.11357175765537408,1.6326263030957657,1.5190545454403916,nganapa,wäwa,yapa,muuri\',nganapa,nganapa,djikali,djikali,djikali,nganapa,nganapa,djikali,nganapa,yukuyuku,yukuyuku,djikali,yapa,yapa,nganapa,nganapa,nganapa,djikali,djikali,yapa,yapa,djikali,yapa,djikali,yukuyuku,nganapa,yapa,nganapa,yukuyuku,djikali,nganapa,yapa,yukuyuku,nganapa,djikali,yapa,djikali,wäwa,muuri\',djikali,yukuyuku,nganapa,yapa,djikali,djikali,yukuyuku,yapa,gutha('),djikali,djikali,nganapa,yukuyuku,nganapa,nganapa,yapa,djikali,nganapa,yapa,yapa,djikali,yukuyuku,yapa,yapa,yapa,yapa,nganapa,nganapa,yapa,djikali,yukuyuku,yukuyuku,yapa,yapa,yapa,yapa,yukuyuku,yukuyuku,mukul,gunhu('),gunhu('),gawal,ngama\',mori('),gunhu('),ngama\',mukul,mori('),mukul,gunhu('),ngama\',muuri\',gunhu('),mukul,mukul,ngama\',mukul,gunhu('),gawal,ngama\',gawal,muuri\',ngama\',gawal,ngama\',ngama\'
6,0.28714700965480344,1.670308554784483,1.3831615451296795,wäwa,yapa,muuri\',djikali,gutha('),yapa,djikali,djikali,djikali,djikali,djikali,nganapa,yapa,djikali,yukuyuku,yapa,yapa,yapa,djikali,yapa,yapa,yapa,nganapa,nganapa,djikali,yapa,yukuyuku,nganapa,yukuyuku,nganapa,nganapa,yukuyuku,nganapa,nganapa,nganapa,djikali,yukuyuku,nganapa,yukuyuku,nganapa,yapa,djikali,yukuyuku,yapa,djikali,yapa,yapa,djikali,yapa,nganapa,yukuyuku,djikali,nganapa,djikali,wäwa,djikali,nganapa,muuri\',yapa,yapa,nganapa,yukuyuku,yukuyuku,nganapa,nganapa,djikali,yukuyuku,djikali,yukuyuku,yapa,yapa,yapa,nganapa,djikali,nganapa,yapa,djikali,yapa,nganapa,yapa,yukuyuku,muuri\',mori('),gunhu('),ngama\',gunhu('),ngama\',ngama\',ngama\',mori('),gawal,gawal,gunhu('),gunhu('),mukul,mukul,ngama\',gawal,ngama\',mukul,ngama\',mukul,gawal,muuri\',ngama\',gunhu('),gunhu('),mukul,mukul
7,0.23647986840283908,1.6702595631429458,1.4337796947401067,yukuyuku,djikali,yapa,djikali,djikali,nganapa,yapa,nganapa,nganapa,nganapa,yukuyuku,yapa,wäwa,nganapa,djikali,yapa,yukuyuku,yukuyuku,yapa,muuri\',nganapa,yukuyuku,yapa,nganapa,djikali,yukuyuku,yukuyuku,nganapa,yapa,gutha('),yapa,nganapa,djikali,djikali,djikali,djikali,djikali,djikali,yapa,yapa,nganapa,nganapa,yapa,yapa,djikali,nganapa,nganapa,yapa,djikali,yapa,muuri\',yapa,yapa,yukuyuku,yukuyuku,yapa,yapa,yapa,yapa,nganapa,nganapa,yapa,yapa,nganapa,djikali,yapa,djikali,yukuyuku,djikali,nganapa,yukuyuku,djikali,yukuyuku,nganapa,nganapa,nganapa,djikali,djikali,yukuyuku,wäwa,djikali,mori('),gunhu('),gunhu('),gunhu('),ngama\',ngama\',mukul,mukul,gunhu('),muuri\',muuri\',ngama\',ngama\',mukul,gawal,gawal,gunhu('),ngama\',mukul,mori('),ngama\',mukul,ngama\',gawal,gawal,mukul,gunhu('),ngama\'
8,0.24152991452312533,1.6652485517770712,1.4237186372539459,nganapa,djikali,djikali,nganapa,yapa,djikali,yapa,yapa,yapa,yukuyuku,djikali,nganapa,yapa,yapa,nganapa,djikali,yukuyuku,yapa,djikali,wäwa,yapa,nganapa,gutha('),yukuyuku,muuri\',nganapa,djikali,yapa,djikali,nganapa,yukuyuku,djikali,djikali,nganapa,nganapa,djikali,yapa,nganapa,muuri\',djikali,yapa,yukuyuku,yapa,yapa,djikali,yukuyuku,yapa,nganapa,djikali,nganapa,djikali,djikali,yapa,djikali,yapa,yukuyuku,djikali,yapa,nganapa,nganapa,yukuyuku,yapa,nganapa,yukuyuku,wäwa,yapa,nganapa,nganapa,yukuyuku,yapa,yapa,djikali,nganapa,nganapa,yukuyuku,yapa,djikali,yapa,yukuyuku,yukuyuku,nganapa,gawal,mori('),mukul,gunhu('),ngama\',ngama\',ngama\',ngama\',ngama\',mukul,gunhu('),gunhu('),muuri\',gawal,ngama\',muuri\',gunhu('),ngama\',mukul,mukul,mukul,gunhu('),gunhu('),mori('),gawal,ngama\',mukul,gawal
9,0.14891205343636948,1.7128424718477206,1.5639304184113512,nganapa,yukuyuku,yukuyuku,djikali,djikali,yukuyuku,yapa,nganapa,nganapa,djikali,yapa,yapa,nganapa,yapa,djikali,djikali,yapa,nganapa,djikali,djikali,yapa,nganapa,yapa,djikali,yukuyuku,djikali,djikali,yapa,djikali,yukuyuku,nganapa,yapa,wäwa,nganapa,djikali,nganapa,yapa,yapa,yukuyuku,yapa,yukuyuku,yukuyuku,nganapa,yapa,yukuyuku,wäwa,yapa,nganapa,muuri\',djikali,nganapa,yukuyuku,yapa,gutha('),nganapa,nganapa,nganapa,djikali,yapa,djikali,yapa,yapa,yapa,djikali,nganapa,yukuyuku,yapa,nganapa,nganapa,nganapa,yapa,muuri\',yukuyuku,yukuyuku,yapa,djikali,djikali,djikali,yapa,nganapa,djikali,mukul,gunhu('),gawal,muuri\',mukul,ngama\',ngama\',mukul,gunhu('),mori('),mori('),ngama\',mukul,gunhu('),mukul,gunhu('),muuri\',gawal,gawal,ngama\',ngama\',gunhu('),mukul,ngama\',ngama\',gawal,ngama\',gunhu(')
