simulation_number,mutual_information,entropy,conditional_entropy,meB,feB,mB,mZ,fB,fZ,myB,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fyB,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,meZ,myZ,feZ,fyZ,mMZ,mMeZ,mMyZ,fF,fMZ,fMeZ,fMyZ,mF,mM,mFB,mFZ,mMB,mFeB,mFeZ,mFyZ,mMeB,mMyB,fM,fFB,fFZ,fMB,fFeB,fFeZ,fFyZ,fMeB,fMyB,mFyB,fFyB
0,0.5519989125505906,1.974066419084787,1.4220675065341963,mamerii pàìN,mamerii pàìN,khaalaa daa muNDaa,mamerii pàìN,caceraa pràà,khaalaa dii kuRii,caceraa pràà,mamerii pàìN,vaDDaa pràà,pràà,phupheraa pràà,mamerii pàìN,caceraa pràà,khaalaa daa muNDaa,phupheraa pràà,phupheraa pràà,choTaa pràà,khaalaa dii kuRii,mamerii pàìN,khaalaa daa muNDaa,khaalaa daa muNDaa,phupherii pàìN,mamerii pàìN,caceraa pràà,mamerii pàìN,mameraa pràà,mamerii pàìN,caceraa pràà,mameraa pràà,choTii pàìN,phupherii pàìN,mamerii pàìN,khaalaa daa muNDaa,khaalaa dii kuRii,mamerii pàìN,phupherii pàìN,mameraa pràà,khaalaa daa muNDaa,mameraa pràà,phupherii pàìN,phupheraa pràà,mamerii pàìN,mamerii pàìN,mamerii pàìN,phupherii pàìN,phupherii pàìN,caceraa pràà,pàìN,khaalaa daa muNDaa,khaalaa dii kuRii,caceraa pràà,khaalaa daa muNDaa,mameraa pràà,caceraa pràà,khaalaa daa muNDaa,khaalaa dii kuRii,pàìN,khaalaa dii kuRii,phupheraa pràà,phupherii pàìN,mamerii pàìN,phupheraa pràà,vaDDaa pràà,phupherii pàìN,mamerii pàìN,caceraa pràà,mamerii pàìN,phupherii pàìN,phupheraa pràà,mameraa pràà,khaalaa dii kuRii,phupheraa pràà,choTii pàìN,phupherii pàìN,vaDDii pàìN,mameraa pràà,mamerii pàìN,khaalaa dii kuRii,mameraa pràà,mameraa pràà,phupheraa pràà,pràà,phupheraa pràà,khaalaa dii kuRii,mamerii pàìN,vaDDii pàìN,caceraa pràà,choTaa pràà,mameraa pràà,khaalaa dii kuRii,khaalaa,māmā,taaiaa,ammii,māmā,cācā,bhuā,taīa,abbaa jaan,bhuā,abbaa jaan,māmā,māmā,bhuā,khaalaa,bhuā,khaalaa,taaiaa,cācā,māmā,ammii,khaalaa,māmā,taīa,bhuā,khaalaa,bhuā,khaalaa
1,0.4309063052692439,1.9644217643576067,1.5335154590883628,pàìN,caceraa pràà,mameraa pràà,mamerii pàìN,khaalaa dii kuRii,phupheraa pràà,caceraa pràà,khaalaa daa muNDaa,phupherii pàìN,phupheraa pràà,pràà,khaalaa dii kuRii,khaalaa daa muNDaa,mamerii pàìN,caceraa pràà,khaalaa daa muNDaa,khaalaa dii kuRii,caceraa pràà,mameraa pràà,khaalaa dii kuRii,mameraa pràà,khaalaa daa muNDaa,phupherii pàìN,khaalaa dii kuRii,phupheraa pràà,khaalaa daa muNDaa,mameraa pràà,mamerii pàìN,khaalaa daa muNDaa,vaDDaa pràà,phupherii pàìN,pràà,mamerii pàìN,mamerii pàìN,phupherii pàìN,mamerii pàìN,choTaa pràà,phupherii pàìN,vaDDii pàìN,vaDDaa pràà,vaDDii pàìN,caceraa pràà,khaalaa dii kuRii,mamerii pàìN,phupherii pàìN,phupheraa pràà,khaalaa daa muNDaa,phupheraa pràà,mameraa pràà,mamerii pàìN,choTii pàìN,mamerii pàìN,phupherii pàìN,mamerii pàìN,mamerii pàìN,mameraa pràà,phupheraa pràà,mameraa pràà,pàìN,phupheraa pràà,khaalaa dii kuRii,caceraa pràà,mameraa pràà,caceraa pràà,khaalaa dii kuRii,mamerii pàìN,phupheraa pràà,mamerii pàìN,phupheraa pràà,mameraa pràà,mamerii pàìN,mameraa pràà,mamerii pàìN,khaalaa dii kuRii,mamerii pàìN,phupherii pàìN,caceraa pràà,khaalaa daa muNDaa,mamerii pàìN,phupheraa pràà,caceraa pràà,phupherii pàìN,mamerii pàìN,choTaa pràà,caceraa pràà,choTii pàìN,khaalaa dii kuRii,khaalaa daa muNDaa,phupherii pàìN,mamerii pàìN,cācā,māmā,khaalaa,ammii,taīa,taaiaa,khaalaa,abbaa jaan,ammii,māmā,bhuā,khaalaa,khaalaa,bhuā,khaalaa,bhuā,māmā,māmā,taīa,bhuā,bhuā,cācā,bhuā,māmā,taaiaa,abbaa jaan,khaalaa,māmā
2,0.5838460925352145,1.9594060517099532,1.3755599591747387,khaalaa daa muNDaa,mamerii pàìN,khaalaa dii kuRii,mameraa pràà,phupheraa pràà,khaalaa daa muNDaa,mamerii pàìN,choTii pàìN,phupherii pàìN,phupheraa pràà,mameraa pràà,pàìN,phupheraa pràà,khaalaa dii kuRii,mamerii pàìN,phupheraa pràà,phupherii pàìN,khaalaa dii kuRii,caceraa pràà,mamerii pàìN,mamerii pàìN,choTaa pràà,caceraa pràà,choTii pàìN,mamerii pàìN,mamerii pàìN,mameraa pràà,phupherii pàìN,choTaa pràà,mamerii pàìN,mamerii pàìN,phupheraa pràà,phupherii pàìN,mameraa pràà,mamerii pàìN,mamerii pàìN,khaalaa daa muNDaa,mamerii pàìN,khaalaa daa muNDaa,phupheraa pràà,pràà,mameraa pràà,khaalaa daa muNDaa,phupheraa pràà,phupheraa pràà,vaDDii pàìN,mamerii pàìN,mameraa pràà,vaDDii pàìN,khaalaa daa muNDaa,caceraa pràà,phupheraa pràà,caceraa pràà,mamerii pàìN,caceraa pràà,pràà,mamerii pàìN,khaalaa dii kuRii,phupherii pàìN,khaalaa dii kuRii,mameraa pràà,phupherii pàìN,khaalaa dii kuRii,caceraa pràà,vaDDaa pràà,khaalaa dii kuRii,khaalaa daa muNDaa,mameraa pràà,khaalaa dii kuRii,caceraa pràà,mamerii pàìN,khaalaa dii kuRii,pàìN,caceraa pràà,khaalaa dii kuRii,vaDDaa pràà,phupherii pàìN,mameraa pràà,khaalaa daa muNDaa,mamerii pàìN,mameraa pràà,phupherii pàìN,phupherii pàìN,khaalaa daa muNDaa,mamerii pàìN,caceraa pràà,phupherii pàìN,mamerii pàìN,phupheraa pràà,caceraa pràà,bhuā,khaalaa,bhuā,māmā,cācā,khaalaa,bhuā,taīa,bhuā,khaalaa,khaalaa,taaiaa,māmā,cācā,abbaa jaan,māmā,abbaa jaan,māmā,khaalaa,ammii,taīa,bhuā,māmā,ammii,taaiaa,māmā,bhuā,khaalaa
3,0.396437003329724,1.9657172370871725,1.5692802337574485,phupherii pàìN,mameraa pràà,mamerii pàìN,khaalaa dii kuRii,vaDDii pàìN,mameraa pràà,phupheraa pràà,mameraa pràà,mamerii pàìN,phupheraa pràà,mamerii pàìN,phupherii pàìN,mamerii pàìN,phupheraa pràà,phupheraa pràà,caceraa pràà,caceraa pràà,mameraa pràà,khaalaa daa muNDaa,khaalaa dii kuRii,mameraa pràà,khaalaa daa muNDaa,mameraa pràà,choTaa pràà,caceraa pràà,phupherii pàìN,khaalaa daa muNDaa,khaalaa dii kuRii,mamerii pàìN,phupherii pàìN,khaalaa daa muNDaa,caceraa pràà,phupherii pàìN,pràà,mamerii pàìN,khaalaa daa muNDaa,caceraa pràà,khaalaa dii kuRii,khaalaa daa muNDaa,mameraa pràà,khaalaa daa muNDaa,vaDDaa pràà,choTaa pràà,mamerii pàìN,vaDDaa pràà,phupheraa pràà,choTii pàìN,mamerii pàìN,khaalaa dii kuRii,pàìN,phupheraa pràà,khaalaa dii kuRii,phupherii pàìN,vaDDii pàìN,mamerii pàìN,phupheraa pràà,phupherii pàìN,phupherii pàìN,pàìN,mamerii pàìN,khaalaa daa muNDaa,mamerii pàìN,pràà,caceraa pràà,mamerii pàìN,mameraa pràà,caceraa pràà,khaalaa dii kuRii,mamerii pàìN,phupheraa pràà,mamerii pàìN,mamerii pàìN,mameraa pràà,mamerii pàìN,khaalaa dii kuRii,mamerii pàìN,khaalaa daa muNDaa,khaalaa dii kuRii,caceraa pràà,caceraa pràà,phupherii pàìN,mameraa pràà,phupherii pàìN,mamerii pàìN,choTii pàìN,mamerii pàìN,phupheraa pràà,caceraa pràà,khaalaa dii kuRii,phupheraa pràà,māmā,bhuā,ammii,taīa,abbaa jaan,ammii,bhuā,taaiaa,bhuā,taīa,cācā,bhuā,taaiaa,khaalaa,bhuā,khaalaa,māmā,māmā,māmā,cācā,khaalaa,khaalaa,bhuā,khaalaa,abbaa jaan,māmā,māmā,khaalaa
4,0.46648156113218087,1.9536526342794363,1.4871710731472554,choTaa pràà,phupherii pàìN,mameraa pràà,phupheraa pràà,mamerii pàìN,khaalaa daa muNDaa,khaalaa dii kuRii,khaalaa daa muNDaa,khaalaa dii kuRii,caceraa pràà,pràà,choTii pàìN,mamerii pàìN,phupheraa pràà,khaalaa daa muNDaa,mameraa pràà,mameraa pràà,vaDDii pàìN,mamerii pàìN,pràà,khaalaa dii kuRii,mamerii pàìN,caceraa pràà,khaalaa daa muNDaa,phupherii pàìN,caceraa pràà,phupherii pàìN,khaalaa dii kuRii,phupheraa pràà,caceraa pràà,khaalaa dii kuRii,choTaa pràà,khaalaa dii kuRii,mameraa pràà,phupherii pàìN,mameraa pràà,pàìN,phupheraa pràà,caceraa pràà,mamerii pàìN,pàìN,mamerii pàìN,mamerii pàìN,phupherii pàìN,mamerii pàìN,mamerii pàìN,mamerii pàìN,phupheraa pràà,phupherii pàìN,caceraa pràà,khaalaa daa muNDaa,mameraa pràà,khaalaa dii kuRii,mameraa pràà,mamerii pàìN,phupherii pàìN,mamerii pàìN,mamerii pàìN,mamerii pàìN,caceraa pràà,vaDDaa pràà,mamerii pàìN,mamerii pàìN,caceraa pràà,phupheraa pràà,mamerii pàìN,mameraa pràà,choTii pàìN,khaalaa daa muNDaa,khaalaa daa muNDaa,caceraa pràà,khaalaa daa muNDaa,phupheraa pràà,caceraa pràà,khaalaa dii kuRii,phupherii pàìN,vaDDaa pràà,mameraa pràà,phupheraa pràà,khaalaa dii kuRii,mamerii pàìN,mamerii pàìN,vaDDii pàìN,khaalaa daa muNDaa,phupheraa pràà,phupherii pàìN,phupheraa pràà,khaalaa dii kuRii,phupherii pàìN,mameraa pràà,taīa,abbaa jaan,khaalaa,khaalaa,bhuā,bhuā,cācā,ammii,bhuā,taaiaa,māmā,taaiaa,māmā,khaalaa,māmā,ammii,bhuā,cācā,taīa,māmā,māmā,abbaa jaan,khaalaa,māmā,bhuā,khaalaa,bhuā,khaalaa
5,0.5570609039001926,1.8960811114521416,1.339020207551949,khaalaa daa muNDaa,caceraa pràà,mamerii pàìN,phupheraa pràà,phupherii pàìN,phupherii pàìN,choTaa pràà,mameraa pràà,caceraa pràà,khaalaa dii kuRii,caceraa pràà,khaalaa dii kuRii,mamerii pàìN,choTii pàìN,phupheraa pràà,mamerii pàìN,khaalaa daa muNDaa,pràà,mamerii pàìN,mamerii pàìN,phupheraa pràà,mameraa pràà,khaalaa daa muNDaa,phupherii pàìN,mamerii pàìN,khaalaa dii kuRii,choTaa pràà,pràà,caceraa pràà,khaalaa dii kuRii,khaalaa dii kuRii,mamerii pàìN,vaDDii pàìN,pàìN,khaalaa daa muNDaa,mamerii pàìN,mamerii pàìN,khaalaa dii kuRii,phupherii pàìN,mameraa pràà,phupherii pàìN,phupherii pàìN,mamerii pàìN,mameraa pràà,khaalaa dii kuRii,khaalaa daa muNDaa,mameraa pràà,choTii pàìN,khaalaa daa muNDaa,mameraa pràà,phupheraa pràà,mamerii pàìN,phupheraa pràà,phupherii pàìN,phupherii pàìN,phupherii pàìN,khaalaa daa muNDaa,mamerii pàìN,mamerii pàìN,vaDDaa pràà,khaalaa dii kuRii,khaalaa dii kuRii,caceraa pràà,khaalaa dii kuRii,mamerii pàìN,caceraa pràà,caceraa pràà,mameraa pràà,vaDDaa pràà,caceraa pràà,caceraa pràà,phupheraa pràà,khaalaa daa muNDaa,mameraa pràà,mamerii pàìN,phupheraa pràà,mamerii pàìN,mameraa pràà,khaalaa daa muNDaa,phupherii pàìN,phupheraa pràà,mamerii pàìN,mamerii pàìN,mameraa pràà,pàìN,phupheraa pràà,phupheraa pràà,vaDDii pàìN,caceraa pràà,mamerii pàìN,māmā,bhuā,bhuā,māmā,māmā,māmā,khaalaa,ammii,khaalaa,bhuā,abbaa jaan,māmā,bhuā,khaalaa,bhuā,taīa,ammii,māmā,abbaa jaan,bhuā,khaalaa,cācā,cācā,taaiaa,taīa,taaiaa,khaalaa,khaalaa
6,0.5404610819129074,1.879072522267039,1.3386114403541316,mamerii pàìN,mameraa pràà,mamerii pàìN,phupheraa pràà,pàìN,mamerii pàìN,mamerii pàìN,phupheraa pràà,phupheraa pràà,mameraa pràà,mameraa pràà,vaDDaa pràà,mamerii pàìN,vaDDii pàìN,mamerii pàìN,mameraa pràà,mamerii pàìN,pàìN,khaalaa daa muNDaa,caceraa pràà,mameraa pràà,caceraa pràà,khaalaa daa muNDaa,mamerii pàìN,phupheraa pràà,phupheraa pràà,phupherii pàìN,khaalaa daa muNDaa,mameraa pràà,vaDDii pàìN,phupherii pàìN,khaalaa dii kuRii,phupherii pàìN,mamerii pàìN,caceraa pràà,choTii pàìN,caceraa pràà,mamerii pàìN,khaalaa daa muNDaa,phupherii pàìN,caceraa pràà,khaalaa dii kuRii,mamerii pàìN,mamerii pàìN,phupherii pàìN,mameraa pràà,phupherii pàìN,mamerii pàìN,pràà,pràà,vaDDaa pràà,choTaa pràà,khaalaa dii kuRii,caceraa pràà,khaalaa dii kuRii,mamerii pàìN,khaalaa dii kuRii,choTaa pràà,choTii pàìN,phupheraa pràà,caceraa pràà,caceraa pràà,mameraa pràà,mamerii pàìN,mamerii pàìN,khaalaa dii kuRii,phupherii pàìN,caceraa pràà,khaalaa daa muNDaa,phupherii pàìN,phupheraa pràà,khaalaa dii kuRii,phupheraa pràà,mamerii pàìN,khaalaa daa muNDaa,mameraa pràà,phupheraa pràà,khaalaa daa muNDaa,khaalaa daa muNDaa,phupherii pàìN,mamerii pàìN,khaalaa dii kuRii,khaalaa daa muNDaa,mamerii pàìN,phupherii pàìN,khaalaa dii kuRii,khaalaa dii kuRii,mameraa pràà,phupheraa pràà,caceraa pràà,cācā,ammii,abbaa jaan,khaalaa,bhuā,khaalaa,taīa,bhuā,khaalaa,ammii,māmā,bhuā,khaalaa,māmā,taīa,bhuā,māmā,khaalaa,māmā,taaiaa,māmā,cācā,māmā,khaalaa,taaiaa,bhuā,bhuā,abbaa jaan
7,0.4430365439084385,1.9084069806893549,1.4653704367809164,caceraa pràà,phupherii pàìN,mamerii pàìN,mamerii pàìN,khaalaa daa muNDaa,mamerii pàìN,mamerii pàìN,mamerii pàìN,khaalaa daa muNDaa,mamerii pàìN,phupheraa pràà,pràà,khaalaa daa muNDaa,vaDDaa pràà,khaalaa daa muNDaa,mameraa pràà,khaalaa daa muNDaa,mamerii pàìN,mameraa pràà,pràà,khaalaa daa muNDaa,mameraa pràà,khaalaa daa muNDaa,mamerii pàìN,mamerii pàìN,phupheraa pràà,phupherii pàìN,mamerii pàìN,mamerii pàìN,phupherii pàìN,caceraa pràà,mameraa pràà,khaalaa dii kuRii,caceraa pràà,phupherii pàìN,caceraa pràà,khaalaa dii kuRii,phupheraa pràà,phupheraa pràà,choTii pàìN,phupherii pàìN,choTaa pràà,khaalaa dii kuRii,mamerii pàìN,mamerii pàìN,mamerii pàìN,khaalaa daa muNDaa,caceraa pràà,phupheraa pràà,phupheraa pràà,khaalaa dii kuRii,phupheraa pràà,mamerii pàìN,pàìN,phupheraa pràà,khaalaa dii kuRii,mameraa pràà,khaalaa daa muNDaa,vaDDii pàìN,mamerii pàìN,mamerii pàìN,phupherii pàìN,khaalaa dii kuRii,mameraa pràà,caceraa pràà,mameraa pràà,pàìN,khaalaa dii kuRii,phupheraa pràà,phupherii pàìN,mamerii pàìN,phupherii pàìN,phupheraa pràà,vaDDaa pràà,choTii pàìN,phupherii pàìN,khaalaa dii kuRii,caceraa pràà,caceraa pràà,mamerii pàìN,mameraa pràà,mameraa pràà,phupherii pàìN,caceraa pràà,khaalaa dii kuRii,caceraa pràà,choTaa pràà,khaalaa dii kuRii,mameraa pràà,vaDDii pàìN,bhuā,bhuā,māmā,khaalaa,khaalaa,bhuā,cācā,abbaa jaan,ammii,khaalaa,māmā,khaalaa,khaalaa,taīa,ammii,māmā,bhuā,taaiaa,taīa,māmā,khaalaa,taaiaa,bhuā,māmā,abbaa jaan,māmā,cācā,bhuā
8,0.5104426167717735,1.925922431957147,1.4154798151853736,phupherii pàìN,caceraa pràà,mameraa pràà,mamerii pàìN,vaDDaa pràà,mamerii pàìN,phupherii pàìN,phupherii pàìN,mameraa pràà,mamerii pàìN,caceraa pràà,mamerii pàìN,mameraa pràà,caceraa pràà,khaalaa daa muNDaa,phupherii pàìN,mamerii pàìN,khaalaa dii kuRii,mameraa pràà,khaalaa daa muNDaa,mamerii pàìN,pàìN,khaalaa daa muNDaa,mamerii pàìN,mameraa pràà,mameraa pràà,mamerii pàìN,mamerii pàìN,caceraa pràà,caceraa pràà,mamerii pàìN,khaalaa dii kuRii,mamerii pàìN,choTii pàìN,phupheraa pràà,mameraa pràà,khaalaa daa muNDaa,mamerii pàìN,phupherii pàìN,choTii pàìN,khaalaa daa muNDaa,phupheraa pràà,choTaa pràà,mamerii pàìN,mamerii pàìN,phupheraa pràà,phupheraa pràà,mamerii pàìN,caceraa pràà,pràà,khaalaa daa muNDaa,mamerii pàìN,phupheraa pràà,phupherii pàìN,vaDDii pàìN,vaDDaa pràà,khaalaa dii kuRii,mamerii pàìN,caceraa pràà,khaalaa dii kuRii,khaalaa dii kuRii,mamerii pàìN,phupheraa pràà,phupherii pàìN,phupherii pàìN,choTaa pràà,khaalaa dii kuRii,khaalaa dii kuRii,phupheraa pràà,caceraa pràà,khaalaa dii kuRii,mameraa pràà,caceraa pràà,khaalaa dii kuRii,khaalaa dii kuRii,mamerii pàìN,phupheraa pràà,phupheraa pràà,khaalaa daa muNDaa,phupherii pàìN,pàìN,caceraa pràà,khaalaa daa muNDaa,pràà,phupheraa pràà,phupherii pàìN,khaalaa daa muNDaa,mameraa pràà,vaDDii pàìN,mameraa pràà,bhuā,bhuā,māmā,khaalaa,bhuā,khaalaa,bhuā,abbaa jaan,ammii,abbaa jaan,māmā,māmā,cācā,khaalaa,bhuā,māmā,taaiaa,khaalaa,khaalaa,taīa,taīa,cācā,bhuā,khaalaa,māmā,māmā,ammii,taaiaa
9,0.44046441770967704,1.8825632216786896,1.4420988039690126,caceraa pràà,khaalaa dii kuRii,phupherii pàìN,khaalaa dii kuRii,caceraa pràà,caceraa pràà,mamerii pàìN,phupheraa pràà,vaDDaa pràà,mameraa pràà,phupheraa pràà,pàìN,mamerii pàìN,mamerii pàìN,phupherii pàìN,phupherii pàìN,mamerii pàìN,khaalaa daa muNDaa,mameraa pràà,caceraa pràà,vaDDaa pràà,mameraa pràà,mamerii pàìN,mamerii pàìN,phupherii pàìN,khaalaa dii kuRii,khaalaa daa muNDaa,mamerii pàìN,mameraa pràà,phupherii pàìN,mamerii pàìN,phupheraa pràà,caceraa pràà,vaDDii pàìN,mamerii pàìN,phupheraa pràà,mameraa pràà,phupheraa pràà,phupherii pàìN,khaalaa daa muNDaa,phupheraa pràà,pàìN,mamerii pàìN,khaalaa daa muNDaa,mamerii pàìN,khaalaa dii kuRii,caceraa pràà,caceraa pràà,pràà,phupherii pàìN,khaalaa dii kuRii,phupherii pàìN,choTaa pràà,phupheraa pràà,khaalaa daa muNDaa,mamerii pàìN,khaalaa dii kuRii,mameraa pràà,phupherii pàìN,mamerii pàìN,choTaa pràà,khaalaa dii kuRii,mamerii pàìN,mamerii pàìN,choTii pàìN,khaalaa daa muNDaa,mamerii pàìN,caceraa pràà,mameraa pràà,mamerii pàìN,khaalaa daa muNDaa,khaalaa dii kuRii,phupheraa pràà,caceraa pràà,mameraa pràà,phupheraa pràà,mameraa pràà,phupherii pàìN,choTii pàìN,khaalaa dii kuRii,khaalaa dii kuRii,pràà,mamerii pàìN,mameraa pràà,caceraa pràà,khaalaa daa muNDaa,vaDDii pàìN,khaalaa daa muNDaa,mamerii pàìN,phupheraa pràà,māmā,bhuā,māmā,taīa,khaalaa,khaalaa,cācā,bhuā,khaalaa,taīa,khaalaa,khaalaa,khaalaa,ammii,māmā,bhuā,abbaa jaan,bhuā,cācā,taaiaa,bhuā,māmā,ammii,bhuā,taaiaa,māmā,māmā,abbaa jaan
