simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,myB,meZ,myZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,fyB,feZ,fyZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.1746839399912692,1.5498411520644402,1.375157212073171,cìłnàˑ'àˑc,cìłnàˑ'àˑc,cízèˑdń,sìkìsé',cízèˑdń,sìkìsé',cízèˑdń,cìłnàˑ'àˑc,сílá',cìłnàˑ'àˑc,cìłnàˑ'àˑc,sìkìsé',cìndádéˑ',sìkìsé',сílá',cìłnàˑ'àˑc,cìndádéˑ',cízèˑdń,сílá',sìkìsé',sìkìsé',cízèˑdń,cízèˑdń,sìkìsé',cízèˑdń,cìłnàˑ'àˑc,sìkìsé',cízèˑdń,cìłnàˑ'àˑc,cìłnàˑ'àˑc,сílá',cízèˑdń,sìkìsé',cízèˑdń,cízèˑdń,cízèˑdń,cìłnàˑ'àˑc,sìkìsé',sìkìsé',cízèˑdń,sìkìsé',сílá',cìłnàˑ'àˑc,sìkìsé',cìłnàˑ'àˑc,sìkìsé',сílá',cìłnàˑ'àˑc,сílá',cìndádéˑ',сílá',cízèˑdń,сílá',cízèˑdń,сílá',сílá',сílá',sìkìsé',cìłnàˑ'àˑc,cízèˑdń,cízèˑdń,сílá',cìłnàˑ'àˑc,sìkìsé',cízèˑdń,sìkìsé',cìndádéˑ',cìndádéˑ',cìłnàˑ'àˑc,сílá',cìndádéˑ',sìkìsé',sìkìsé',cízèˑdń,sìkìsé',sìkìsé',сílá',sìkìsé',sìkìsé',cìłnàˑ'àˑc,cìłnàˑ'àˑc,cízèˑdń,сílá',sìkìsé',сílá',cìłnàˑ'àˑc,сílá',sìkìsé',cìłnàˑ'àˑc,сílá',cíkáˑ',cìkà'éˑ',cìkà'éˑ',сìdà'áˑ',cìkà'éˑ',cì'níˑ',cìdédjé,cìkà'éˑ',сìdà'áˑ',cìdédjé,cìkà'éˑ',сìdà'áˑ',cíkáˑ',cìdédjé,сìdà'áˑ',cìdédjé,cíkáˑ',cìkà'éˑ',cì'níˑ',сìdà'áˑ',cìdédjé,cíkáˑ',cìkà'éˑ',cíkáˑ',cìkà'éˑ',cìdédjé,cíkáˑ',сìdà'áˑ'
1,0.11118637107396512,1.5134540202460098,1.4022676491720447,cìłnàˑ'àˑc,cìłnàˑ'àˑc,cízèˑdń,sìkìsé',сílá',сílá',сílá',cìłnàˑ'àˑc,cízèˑdń,cìłnàˑ'àˑc,cízèˑdń,сílá',cízèˑdń,сílá',sìkìsé',cízèˑdń,sìkìsé',cízèˑdń,sìkìsé',sìkìsé',сílá',cìłnàˑ'àˑc,сílá',cìndádéˑ',cízèˑdń,cízèˑdń,сílá',cízèˑdń,cìndádéˑ',cízèˑdń,cízèˑdń,sìkìsé',сílá',сílá',cízèˑdń,sìkìsé',sìkìsé',сílá',sìkìsé',cìłnàˑ'àˑc,sìkìsé',cìłnàˑ'àˑc,cìndádéˑ',сílá',sìkìsé',сílá',cìndádéˑ',cìłnàˑ'àˑc,cìłnàˑ'àˑc,sìkìsé',cìłnàˑ'àˑc,cízèˑdń,cìłnàˑ'àˑc,cìłnàˑ'àˑc,cízèˑdń,сílá',sìkìsé',cízèˑdń,sìkìsé',sìkìsé',cìłnàˑ'àˑc,sìkìsé',cízèˑdń,sìkìsé',sìkìsé',sìkìsé',sìkìsé',сílá',сílá',sìkìsé',cìłnàˑ'àˑc,sìkìsé',cìłnàˑ'àˑc,cìłnàˑ'àˑc,cízèˑdń,cìłnàˑ'àˑc,cìłnàˑ'àˑc,сílá',cízèˑdń,cìndádéˑ',cìndádéˑ',cízèˑdń,cízèˑdń,сílá',sìkìsé',sìkìsé',сílá',cìłnàˑ'àˑc,cìłnàˑ'àˑc,sìkìsé',сìdà'áˑ',cìdédjé,cíkáˑ',cíkáˑ',cìkà'éˑ',cìkà'éˑ',сìdà'áˑ',cìdédjé,cíkáˑ',cì'níˑ',cíkáˑ',сìdà'áˑ',cìdédjé,cíkáˑ',сìdà'áˑ',cìdédjé,cìdédjé,cìdédjé,сìdà'áˑ',сìdà'áˑ',cìkà'éˑ',cíkáˑ',cìkà'éˑ',cìkà'éˑ',cìkà'éˑ',cìkà'éˑ',cìkà'éˑ',cì'níˑ'
2,0.07496991993001911,1.4710533241224228,1.3960834041924037,sìkìsé',cízèˑdń,cìłnàˑ'àˑc,сílá',cízèˑdń,cízèˑdń,cìłnàˑ'àˑc,cízèˑdń,cízèˑdń,сílá',cìłnàˑ'àˑc,sìkìsé',cìndádéˑ',sìkìsé',sìkìsé',cìłnàˑ'àˑc,сílá',сílá',cízèˑdń,cìndádéˑ',cìłnàˑ'àˑc,сílá',cízèˑdń,сílá',sìkìsé',sìkìsé',сílá',sìkìsé',cìłnàˑ'àˑc,cízèˑdń,sìkìsé',сílá',cìndádéˑ',cìłnàˑ'àˑc,cìłnàˑ'àˑc,сílá',sìkìsé',сílá',cìłnàˑ'àˑc,sìkìsé',sìkìsé',sìkìsé',сílá',sìkìsé',cìndádéˑ',сílá',sìkìsé',cìłnàˑ'àˑc,sìkìsé',sìkìsé',cìłnàˑ'àˑc,cìłnàˑ'àˑc,cízèˑdń,cìłnàˑ'àˑc,cìłnàˑ'àˑc,sìkìsé',cìłnàˑ'àˑc,cízèˑdń,сílá',cízèˑdń,сílá',sìkìsé',cízèˑdń,sìkìsé',сílá',сílá',cízèˑdń,sìkìsé',cìłnàˑ'àˑc,cìłnàˑ'àˑc,cìndádéˑ',сílá',cìndádéˑ',cízèˑdń,cìłnàˑ'àˑc,cízèˑdń,cízèˑdń,sìkìsé',cízèˑdń,cízèˑdń,sìkìsé',sìkìsé',sìkìsé',сílá',cìłnàˑ'àˑc,сílá',cìłnàˑ'àˑc,cízèˑdń,cízèˑdń,sìkìsé',cìkà'éˑ',cíkáˑ',cìdédjé,cìdédjé,сìdà'áˑ',сìdà'áˑ',сìdà'áˑ',cìkà'éˑ',сìdà'áˑ',cíkáˑ',cìkà'éˑ',cìdédjé,cíkáˑ',cíkáˑ',cìkà'éˑ',cìkà'éˑ',cìkà'éˑ',сìdà'áˑ',cìkà'éˑ',сìdà'áˑ',cìkà'éˑ',cì'níˑ',cì'níˑ',cìdédjé,cìdédjé,cíkáˑ',cíkáˑ',cìdédjé
3,0.13062266619831941,1.5671462859591305,1.436523619760811,sìkìsé',сílá',cízèˑdń,sìkìsé',сílá',cízèˑdń,sìkìsé',cìłnàˑ'àˑc,cìłnàˑ'àˑc,sìkìsé',cízèˑdń,сílá',sìkìsé',сílá',sìkìsé',cízèˑdń,сílá',cìłnàˑ'àˑc,cìłnàˑ'àˑc,cízèˑdń,sìkìsé',cízèˑdń,sìkìsé',sìkìsé',sìkìsé',сílá',cìłnàˑ'àˑc,cízèˑdń,cízèˑdń,sìkìsé',сílá',сílá',cìłnàˑ'àˑc,сílá',cìłnàˑ'àˑc,cízèˑdń,cízèˑdń,cízèˑdń,cìndádéˑ',cìłnàˑ'àˑc,сílá',cízèˑdń,cìndádéˑ',сílá',cìłnàˑ'àˑc,cízèˑdń,сílá',сílá',sìkìsé',sìkìsé',cìłnàˑ'àˑc,cìłnàˑ'àˑc,sìkìsé',sìkìsé',cìndádéˑ',cìndádéˑ',cízèˑdń,cìłnàˑ'àˑc,cízèˑdń,сílá',sìkìsé',cìłnàˑ'àˑc,cízèˑdń,cìłnàˑ'àˑc,sìkìsé',cízèˑdń,sìkìsé',cízèˑdń,cízèˑdń,sìkìsé',сílá',cìłnàˑ'àˑc,cìłnàˑ'àˑc,cízèˑdń,cìłnàˑ'àˑc,sìkìsé',сílá',sìkìsé',sìkìsé',cìłnàˑ'àˑc,cìłnàˑ'àˑc,cìndádéˑ',сílá',сílá',sìkìsé',cìndádéˑ',sìkìsé',сílá',sìkìsé',cìłnàˑ'àˑc,сìdà'áˑ',cìdédjé,cìkà'éˑ',сìdà'áˑ',cìkà'éˑ',cíkáˑ',сìdà'áˑ',cìdédjé,cíkáˑ',cìkà'éˑ',cìkà'éˑ',cìkà'éˑ',cìdédjé,сìdà'áˑ',cìdédjé,cìkà'éˑ',cì'níˑ',cì'níˑ',cìkà'éˑ',cíkáˑ',cíkáˑ',cìkà'éˑ',сìdà'áˑ',cíkáˑ',cìdédjé,cíkáˑ',сìdà'áˑ',cìdédjé
4,0.08415111990571011,1.5675235560942988,1.4833724361885887,cízèˑdń,cìłnàˑ'àˑc,sìkìsé',sìkìsé',сílá',cìłnàˑ'àˑc,sìkìsé',sìkìsé',сílá',sìkìsé',sìkìsé',sìkìsé',sìkìsé',cìłnàˑ'àˑc,cízèˑdń,cìłnàˑ'àˑc,sìkìsé',sìkìsé',sìkìsé',sìkìsé',cìłnàˑ'àˑc,cízèˑdń,cìndádéˑ',cízèˑdń,cízèˑdń,sìkìsé',sìkìsé',cízèˑdń,cìłnàˑ'àˑc,cìłnàˑ'àˑc,cìłnàˑ'àˑc,cízèˑdń,сílá',сílá',cízèˑdń,cìłnàˑ'àˑc,sìkìsé',cízèˑdń,сílá',cízèˑdń,cízèˑdń,cìłnàˑ'àˑc,cízèˑdń,cìłnàˑ'àˑc,cízèˑdń,cízèˑdń,cízèˑdń,cìndádéˑ',sìkìsé',cìndádéˑ',сílá',сílá',сílá',sìkìsé',sìkìsé',сílá',сílá',cízèˑdń,cìłnàˑ'àˑc,cìndádéˑ',cízèˑdń,cìndádéˑ',sìkìsé',сílá',cìłnàˑ'àˑc,sìkìsé',сílá',cízèˑdń,cìłnàˑ'àˑc,cìłnàˑ'àˑc,cìłnàˑ'àˑc,сílá',sìkìsé',sìkìsé',сílá',sìkìsé',cízèˑdń,sìkìsé',сílá',сílá',cìłnàˑ'àˑc,cìndádéˑ',сílá',сílá',сílá',cìłnàˑ'àˑc,sìkìsé',cìłnàˑ'àˑc,cízèˑdń,cìłnàˑ'àˑc,cíkáˑ',cìkà'éˑ',cìdédjé,cì'níˑ',сìdà'áˑ',cìdédjé,cìkà'éˑ',cìkà'éˑ',сìdà'áˑ',cìkà'éˑ',сìdà'áˑ',cíkáˑ',cìdédjé,cìkà'éˑ',cíkáˑ',сìdà'áˑ',cíkáˑ',cìdédjé,cì'níˑ',cìkà'éˑ',cìdédjé,сìdà'áˑ',cíkáˑ',cìkà'éˑ',сìdà'áˑ',cìdédjé,cíkáˑ',cìkà'éˑ'
5,0.15084968096110307,1.479431784267466,1.328582103306363,cìłnàˑ'àˑc,sìkìsé',sìkìsé',cízèˑdń,cízèˑdń,cízèˑdń,cìndádéˑ',cìłnàˑ'àˑc,sìkìsé',cízèˑdń,cízèˑdń,sìkìsé',cìłnàˑ'àˑc,cìłnàˑ'àˑc,сílá',sìkìsé',sìkìsé',cìndádéˑ',sìkìsé',cìłnàˑ'àˑc,sìkìsé',sìkìsé',сílá',sìkìsé',cìłnàˑ'àˑc,sìkìsé',cízèˑdń,sìkìsé',cìłnàˑ'àˑc,sìkìsé',cìłnàˑ'àˑc,cízèˑdń,сílá',sìkìsé',cìndádéˑ',cízèˑdń,сílá',сílá',cìłnàˑ'àˑc,cìłnàˑ'àˑc,сílá',cìndádéˑ',сílá',cízèˑdń,cìndádéˑ',cízèˑdń,cízèˑdń,cìłnàˑ'àˑc,сílá',сílá',cìłnàˑ'àˑc,сílá',sìkìsé',sìkìsé',cìłnàˑ'àˑc,сílá',сílá',cízèˑdń,cízèˑdń,cìłnàˑ'àˑc,cízèˑdń,cízèˑdń,sìkìsé',sìkìsé',sìkìsé',сílá',сílá',сílá',cìłnàˑ'àˑc,sìkìsé',сílá',cìłnàˑ'àˑc,cìłnàˑ'àˑc,sìkìsé',sìkìsé',cízèˑdń,cìndádéˑ',cízèˑdń,сílá',sìkìsé',cìłnàˑ'àˑc,sìkìsé',sìkìsé',cìłnàˑ'àˑc,cìłnàˑ'àˑc,cízèˑdń,cízèˑdń,cízèˑdń,сílá',сílá',cìdédjé,сìdà'áˑ',cìkà'éˑ',cìkà'éˑ',cíkáˑ',cíkáˑ',cìkà'éˑ',сìdà'áˑ',сìdà'áˑ',cìkà'éˑ',cìkà'éˑ',сìdà'áˑ',cìkà'éˑ',cíkáˑ',cíkáˑ',cìdédjé,cìdédjé,cíkáˑ',cìdédjé,cìdédjé,cìkà'éˑ',cì'níˑ',cíkáˑ',cì'níˑ',cìkà'éˑ',сìdà'áˑ',сìdà'áˑ',cìdédjé
6,0.12690287857029015,1.4891974263166607,1.3622945477463706,cìłnàˑ'àˑc,сílá',cízèˑdń,cìłnàˑ'àˑc,сílá',cìłnàˑ'àˑc,сílá',cízèˑdń,cìłnàˑ'àˑc,sìkìsé',sìkìsé',сílá',cìłnàˑ'àˑc,cízèˑdń,sìkìsé',cìłnàˑ'àˑc,sìkìsé',сílá',sìkìsé',cízèˑdń,sìkìsé',sìkìsé',cìłnàˑ'àˑc,cìndádéˑ',sìkìsé',сílá',cízèˑdń,sìkìsé',cízèˑdń,сílá',cìłnàˑ'àˑc,sìkìsé',cìłnàˑ'àˑc,сílá',cízèˑdń,сílá',sìkìsé',sìkìsé',cízèˑdń,сílá',cízèˑdń,cìłnàˑ'àˑc,cízèˑdń,сílá',cízèˑdń,сílá',cìndádéˑ',cìłnàˑ'àˑc,cìndádéˑ',cìłnàˑ'àˑc,sìkìsé',сílá',сílá',sìkìsé',cìłnàˑ'àˑc,cìłnàˑ'àˑc,sìkìsé',сílá',sìkìsé',cízèˑdń,cízèˑdń,sìkìsé',сílá',cízèˑdń,sìkìsé',cìłnàˑ'àˑc,cìndádéˑ',cízèˑdń,cízèˑdń,sìkìsé',cízèˑdń,sìkìsé',cìłnàˑ'àˑc,cìłnàˑ'àˑc,cìłnàˑ'àˑc,sìkìsé',cìłnàˑ'àˑc,cízèˑdń,sìkìsé',sìkìsé',cìłnàˑ'àˑc,sìkìsé',cízèˑdń,сílá',сílá',sìkìsé',cìndádéˑ',cìndádéˑ',сílá',cízèˑdń,сìdà'áˑ',cìdédjé,cìdédjé,сìdà'áˑ',сìdà'áˑ',cìkà'éˑ',cìkà'éˑ',cì'níˑ',cíkáˑ',cìkà'éˑ',cìdédjé,cíkáˑ',cìkà'éˑ',cíkáˑ',cíkáˑ',сìdà'áˑ',cìkà'éˑ',сìdà'áˑ',cìkà'éˑ',cìkà'éˑ',cíkáˑ',cìdédjé,cìkà'éˑ',сìdà'áˑ',cíkáˑ',cìdédjé,cì'níˑ',cìdédjé
7,0.10355321865402023,1.5608928026832372,1.457339584029217,cízèˑdń,сílá',cízèˑdń,sìkìsé',cìłnàˑ'àˑc,sìkìsé',cízèˑdń,cìndádéˑ',сílá',sìkìsé',сílá',сílá',sìkìsé',cìłnàˑ'àˑc,сílá',сílá',sìkìsé',sìkìsé',sìkìsé',cízèˑdń,sìkìsé',cìłnàˑ'àˑc,sìkìsé',sìkìsé',sìkìsé',sìkìsé',sìkìsé',cìłnàˑ'àˑc,сílá',сílá',cízèˑdń,sìkìsé',cízèˑdń,cízèˑdń,cìndádéˑ',сílá',cízèˑdń,cìłnàˑ'àˑc,cìndádéˑ',sìkìsé',sìkìsé',cízèˑdń,cìłnàˑ'àˑc,cìndádéˑ',cízèˑdń,сílá',cìndádéˑ',cízèˑdń,sìkìsé',сílá',cìłnàˑ'àˑc,cìłnàˑ'àˑc,sìkìsé',cízèˑdń,сílá',sìkìsé',cízèˑdń,cìłnàˑ'àˑc,сílá',cìłnàˑ'àˑc,cìłnàˑ'àˑc,cìłnàˑ'àˑc,cìłnàˑ'àˑc,сílá',cìłnàˑ'àˑc,cìłnàˑ'àˑc,cízèˑdń,cízèˑdń,cìłnàˑ'àˑc,sìkìsé',sìkìsé',sìkìsé',sìkìsé',cízèˑdń,sìkìsé',cìndádéˑ',сílá',сílá',сílá',cízèˑdń,cízèˑdń,cìłnàˑ'àˑc,sìkìsé',cízèˑdń,cízèˑdń,cìłnàˑ'àˑc,cìłnàˑ'àˑc,сílá',сílá',cìłnàˑ'àˑc,cì'níˑ',cíkáˑ',сìdà'áˑ',cìkà'éˑ',cìdédjé,cìdédjé,cìkà'éˑ',cìdédjé,сìdà'áˑ',cíkáˑ',сìdà'áˑ',cíkáˑ',cìdédjé,cìkà'éˑ',cì'níˑ',cìkà'éˑ',сìdà'áˑ',cíkáˑ',сìdà'áˑ',cíkáˑ',cìdédjé,cìkà'éˑ',cìkà'éˑ',cìdédjé,cíkáˑ',сìdà'áˑ',cìkà'éˑ',cìkà'éˑ'
8,0.06457833625721365,1.538391067091185,1.4738127308339712,сílá',cìndádéˑ',cízèˑdń,cízèˑdń,cìłnàˑ'àˑc,cìłnàˑ'àˑc,cìłnàˑ'àˑc,cìłnàˑ'àˑc,sìkìsé',сílá',cìłnàˑ'àˑc,cìłnàˑ'àˑc,cìndádéˑ',cízèˑdń,sìkìsé',cìndádéˑ',cízèˑdń,cízèˑdń,сílá',сílá',sìkìsé',сílá',cìłnàˑ'àˑc,cìłnàˑ'àˑc,сílá',sìkìsé',cìłnàˑ'àˑc,cìndádéˑ',cìłnàˑ'àˑc,cízèˑdń,cízèˑdń,сílá',сílá',sìkìsé',сílá',cìłnàˑ'àˑc,cízèˑdń,sìkìsé',cìłnàˑ'àˑc,сílá',сílá',сílá',sìkìsé',sìkìsé',cízèˑdń,cízèˑdń,sìkìsé',sìkìsé',сílá',cízèˑdń,sìkìsé',cìłnàˑ'àˑc,сílá',cízèˑdń,sìkìsé',cìłnàˑ'àˑc,sìkìsé',cízèˑdń,сílá',cìłnàˑ'àˑc,sìkìsé',сílá',sìkìsé',sìkìsé',сílá',sìkìsé',sìkìsé',cìłnàˑ'àˑc,cìłnàˑ'àˑc,cìndádéˑ',sìkìsé',sìkìsé',sìkìsé',cízèˑdń,cízèˑdń,cìłnàˑ'àˑc,сílá',сílá',cìłnàˑ'àˑc,sìkìsé',sìkìsé',cízèˑdń,cìłnàˑ'àˑc,cízèˑdń,cízèˑdń,cízèˑdń,sìkìsé',cìndádéˑ',sìkìsé',cízèˑdń,cìkà'éˑ',сìdà'áˑ',cìdédjé,cì'níˑ',cìdédjé,cíkáˑ',cíkáˑ',cíkáˑ',cíkáˑ',cíkáˑ',cìdédjé,cìdédjé,сìdà'áˑ',cìdédjé,cìkà'éˑ',cìdédjé,cìkà'éˑ',сìdà'áˑ',сìdà'áˑ',cìkà'éˑ',cì'níˑ',сìdà'áˑ',cíkáˑ',сìdà'áˑ',cìkà'éˑ',cìkà'éˑ',cìkà'éˑ',cìkà'éˑ'
9,0.13389030883544262,1.5437020612807828,1.4098117524453402,сílá',сílá',cìłnàˑ'àˑc,cìłnàˑ'àˑc,cìłnàˑ'àˑc,sìkìsé',cìłnàˑ'àˑc,sìkìsé',cízèˑdń,sìkìsé',sìkìsé',cìłnàˑ'àˑc,sìkìsé',cízèˑdń,cìndádéˑ',cízèˑdń,cízèˑdń,cízèˑdń,cìłnàˑ'àˑc,сílá',cìndádéˑ',sìkìsé',cízèˑdń,cìndádéˑ',cízèˑdń,cìłnàˑ'àˑc,cízèˑdń,cìłnàˑ'àˑc,sìkìsé',cìłnàˑ'àˑc,cìndádéˑ',сílá',сílá',сílá',сílá',sìkìsé',sìkìsé',сílá',sìkìsé',cízèˑdń,cìndádéˑ',cìłnàˑ'àˑc,cízèˑdń,cízèˑdń,cízèˑdń,сílá',sìkìsé',сílá',сílá',cízèˑdń,cízèˑdń,sìkìsé',cízèˑdń,сílá',cìłnàˑ'àˑc,cìłnàˑ'àˑc,sìkìsé',sìkìsé',sìkìsé',cìłnàˑ'àˑc,сílá',cìłnàˑ'àˑc,cízèˑdń,сílá',cízèˑdń,cìłnàˑ'àˑc,sìkìsé',cìłnàˑ'àˑc,cìłnàˑ'àˑc,sìkìsé',cízèˑdń,сílá',sìkìsé',cìłnàˑ'àˑc,cìłnàˑ'àˑc,sìkìsé',cízèˑdń,sìkìsé',sìkìsé',sìkìsé',сílá',сílá',cìndádéˑ',sìkìsé',cìłnàˑ'àˑc,сílá',cízèˑdń,sìkìsé',сílá',sìkìsé',сìdà'áˑ',cìdédjé,cìkà'éˑ',cìkà'éˑ',сìdà'áˑ',cìkà'éˑ',cíkáˑ',cíkáˑ',cìkà'éˑ',cíkáˑ',cíkáˑ',сìdà'áˑ',сìdà'áˑ',сìdà'áˑ',cìkà'éˑ',cì'níˑ',cìkà'éˑ',cíkáˑ',cìdédjé,cì'níˑ',cìdédjé,cìkà'éˑ',cìkà'éˑ',cìdédjé,cìdédjé,сìdà'áˑ',cíkáˑ',cìdédjé
