simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mF,mM,mFB,mMB,mFeB,mFyB,mMeB,mMyB,fF,fM,fFB,fMB,fFeB,fFyB,fMeB,fMyB
0,0.0965290146481782,1.0551016181686423,0.9585726035204641,svestrā,svestrā,brātē,brātē,brātē,brātē,svestrā,svestrā,svestrā,brātē,svestrā,avis,tāvas,avis,tēvis,tēvis,avis,avis,tāvas,tēvis,tēvis,mātē,mātē,avis,tēvis,avis,tēvis
1,0.0015436285667964622,0.6914160776171183,0.6898724490503219,svestrā,brātē,brātē,svestrā,brātē,svestrā,brātē,svestrā,brātē,svestrā,svestrā,tāvas,tēvis,avis,mātē,avis,tēvis,avis,mātē,tāvas,tēvis,avis,avis,tēvis,tēvis,avis,tēvis
2,0.0015436285667962402,1.017602986115916,1.0160593575491197,svestrā,svestrā,brātē,brātē,svestrā,svestrā,brātē,brātē,svestrā,brātē,svestrā,avis,avis,tāvas,avis,tāvas,tēvis,tēvis,tēvis,mātē,tēvis,avis,tēvis,tēvis,avis,avis,mātē
3,0.0009463889934173686,0.6914160776171183,0.690469688623701,svestrā,brātē,brātē,svestrā,brātē,brātē,brātē,svestrā,svestrā,svestrā,svestrā,tēvis,avis,tēvis,tāvas,mātē,tēvis,avis,avis,tēvis,avis,tāvas,avis,avis,tēvis,mātē,tēvis
4,0.001999628130660569,0.605797499372304,0.6037978712416434,svestrā,svestrā,brātē,brātē,svestrā,brātē,brātē,svestrā,svestrā,brātē,svestrā,tēvis,avis,tāvas,avis,tēvis,avis,tēvis,avis,tēvis,tēvis,tāvas,mātē,avis,tēvis,mātē,avis
5,0.08573783404972202,1.0551016181686423,0.9693637841189203,brātē,brātē,svestrā,brātē,brātē,svestrā,svestrā,svestrā,brātē,svestrā,svestrā,mātē,avis,tāvas,tēvis,avis,avis,avis,tēvis,mātē,tēvis,tēvis,avis,tēvis,avis,tēvis,tāvas
6,0.017391206406372706,0.5455945739691843,0.5282033675628116,brātē,svestrā,svestrā,brātē,svestrā,svestrā,brātē,brātē,svestrā,svestrā,brātē,tēvis,avis,tēvis,tēvis,avis,mātē,tāvas,mātē,avis,avis,avis,tēvis,avis,tāvas,tēvis,tēvis
7,0.0015436285667963512,0.6914160776171183,0.689872449050322,svestrā,brātē,svestrā,svestrā,svestrā,brātē,svestrā,brātē,brātē,brātē,svestrā,mātē,tēvis,tēvis,avis,tāvas,tēvis,avis,avis,tēvis,mātē,avis,avis,tāvas,tēvis,avis,tēvis
8,0.03591176804956753,1.0551016181686423,1.0191898501190748,brātē,brātē,svestrā,svestrā,brātē,brātē,svestrā,svestrā,svestrā,svestrā,brātē,avis,mātē,avis,avis,tēvis,tēvis,tēvis,tēvis,avis,tēvis,tāvas,mātē,avis,tāvas,avis,tēvis
9,0.0074271589964260976,0.5455945739691843,0.5381674149727582,svestrā,svestrā,brātē,svestrā,brātē,brātē,brātē,svestrā,svestrā,svestrā,brātē,avis,avis,avis,tēvis,tēvis,mātē,tēvis,avis,tāvas,avis,tēvis,tēvis,mātē,tēvis,avis,tāvas
