simulation_number,mutual_information,entropy,conditional_entropy,meZ,myZ,mFBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,myB,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mMeBS,mMyBS,mMeZS,mMyZS,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mMBeS,mMByS,mMZeS,mMZyS,mMZeD,mMZyD,fB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,fyB,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.14993063668107998,1.6621991349473395,1.5122684982662595,apo,asui,asui,atcugui,ustci,atcugui,asui,atcugui,atcugui,atcugui,apo,apo,apo,apo,ustci,apo,atcugui,atcu,ustci,apo,atcugui,apo,apo,ustci,apo,ustci,atcugui,ustci,atcugui,apo,atcugui,atcugui,apo,ustci,asui,atcugui,apo,ustci,asui,ustci,atcugui,ustci,ustci,atcugui,ustci,ustci,apo,atcugui,asui,apo,ustci,atcu,ustci,atcugui,ustci,apo,apo,ustci,apo,ustci,asui,atcugui,ustci,atcugui,asui,apo,apo,ustci,atcugui,apo,atcugui,asui,apo,apo,apo,asui,atcugui,ambaki,anidi,anidi,arodsa,arodsa,arodsa,arodsa,ani,apaki,anidi,arodsa,anidi,arodsa,ambaki,ata,anidi,ambaki,anidi,ambaki,ambaki,apaki,apaki,ambaki,ata,ani,apaki,apaki,apaki
1,0.1390278519622652,1.636131772057035,1.4971039200947698,apo,ustci,ustci,ustci,asui,asui,apo,apo,atcugui,apo,apo,ustci,apo,apo,atcugui,ustci,atcugui,atcugui,apo,asui,asui,atcugui,apo,ustci,apo,ustci,apo,apo,atcugui,ustci,asui,atcugui,atcugui,atcu,apo,ustci,atcugui,ustci,atcugui,ustci,apo,atcugui,atcugui,atcugui,ustci,ustci,asui,apo,atcu,asui,ustci,ustci,apo,apo,apo,atcugui,atcugui,ustci,atcugui,ustci,asui,atcugui,atcugui,apo,atcugui,apo,atcugui,ustci,apo,asui,apo,apo,ustci,ustci,apo,asui,atcugui,ata,apaki,ambaki,apaki,arodsa,ambaki,arodsa,ambaki,ani,ambaki,apaki,anidi,anidi,anidi,arodsa,ambaki,ambaki,apaki,anidi,arodsa,arodsa,ata,ani,anidi,anidi,apaki,apaki,arodsa
2,0.23197646086463086,1.687898983478357,1.4559225226137262,atcugui,apo,atcugui,apo,asui,atcugui,apo,ustci,ustci,asui,apo,ustci,ustci,atcugui,asui,atcugui,atcugui,atcugui,apo,ustci,asui,asui,ustci,apo,apo,ustci,asui,apo,ustci,atcugui,atcugui,atcu,apo,ustci,ustci,ustci,asui,apo,ustci,atcugui,apo,ustci,ustci,atcugui,atcu,apo,ustci,atcugui,apo,apo,apo,apo,atcugui,apo,asui,atcugui,atcugui,apo,ustci,atcugui,asui,ustci,atcugui,atcugui,apo,apo,apo,ustci,atcugui,apo,asui,apo,apo,atcugui,atcugui,ustci,ustci,arodsa,ambaki,ambaki,apaki,ata,anidi,ani,anidi,anidi,apaki,arodsa,ambaki,arodsa,ambaki,ata,arodsa,apaki,apaki,arodsa,anidi,ambaki,anidi,ambaki,apaki,ani,anidi,arodsa,apaki
3,0.181920250802321,1.6371403367157846,1.4552200859134636,atcugui,apo,atcugui,apo,apo,ustci,ustci,asui,apo,ustci,apo,atcu,atcugui,ustci,atcugui,apo,apo,atcugui,ustci,apo,asui,ustci,apo,apo,apo,ustci,asui,atcugui,asui,ustci,atcugui,atcugui,apo,atcugui,ustci,atcugui,atcugui,apo,apo,asui,ustci,ustci,atcugui,apo,atcugui,ustci,atcugui,atcugui,apo,atcu,apo,atcugui,asui,ustci,ustci,apo,ustci,ustci,apo,ustci,apo,atcugui,apo,asui,ustci,ustci,apo,atcugui,apo,asui,apo,atcugui,atcugui,ustci,atcugui,asui,asui,anidi,arodsa,arodsa,ambaki,apaki,apaki,ambaki,anidi,ani,ambaki,ata,arodsa,anidi,apaki,arodsa,arodsa,apaki,apaki,anidi,ambaki,ambaki,anidi,ata,arodsa,ambaki,anidi,ani,apaki
4,0.22020500987856817,1.6418680476282248,1.4216630377496566,ustci,apo,asui,asui,ustci,apo,atcugui,apo,apo,ustci,atcu,asui,asui,ustci,apo,apo,apo,apo,atcugui,atcugui,atcugui,atcugui,atcugui,atcu,apo,apo,ustci,ustci,ustci,ustci,apo,apo,asui,apo,asui,ustci,apo,ustci,ustci,apo,ustci,asui,ustci,atcugui,apo,atcugui,ustci,atcugui,atcugui,apo,apo,apo,apo,ustci,atcugui,atcugui,ustci,asui,ustci,apo,asui,asui,ustci,atcugui,atcugui,apo,ustci,ustci,atcugui,apo,atcugui,atcugui,atcugui,atcugui,atcugui,apo,atcugui,arodsa,arodsa,apaki,ambaki,apaki,anidi,ambaki,anidi,arodsa,apaki,ambaki,ata,anidi,apaki,ambaki,anidi,apaki,apaki,arodsa,anidi,ambaki,ani,ani,ambaki,arodsa,arodsa,ata,anidi
5,0.1490005948274662,1.570643659100507,1.4216430642730409,apo,apo,ustci,atcugui,ustci,apo,atcugui,atcugui,asui,apo,atcugui,apo,asui,ustci,apo,atcugui,ustci,asui,ustci,atcugui,atcugui,apo,apo,atcugui,apo,asui,ustci,ustci,atcugui,ustci,ustci,ustci,atcugui,apo,ustci,ustci,ustci,apo,ustci,apo,apo,atcu,apo,asui,atcugui,atcugui,atcu,apo,atcugui,atcugui,atcugui,apo,asui,apo,apo,asui,asui,ustci,atcugui,atcugui,apo,apo,atcugui,apo,apo,atcugui,asui,ustci,apo,asui,ustci,ustci,atcugui,atcugui,ustci,ustci,apo,anidi,anidi,ambaki,anidi,ani,arodsa,ambaki,ambaki,ata,ambaki,arodsa,apaki,ani,ata,apaki,anidi,arodsa,apaki,ambaki,anidi,arodsa,apaki,ambaki,anidi,arodsa,apaki,arodsa,apaki
6,0.32037899199925746,1.6631706732198497,1.3427916812205922,atcugui,apo,asui,ustci,ustci,ustci,asui,ustci,apo,apo,apo,apo,ustci,asui,atcugui,ustci,ustci,ustci,atcugui,atcugui,apo,apo,ustci,asui,apo,apo,atcugui,atcugui,ustci,apo,atcugui,ustci,atcugui,ustci,apo,atcugui,ustci,asui,apo,atcugui,apo,atcugui,apo,apo,apo,ustci,ustci,ustci,asui,atcugui,atcugui,ustci,asui,ustci,asui,apo,atcugui,apo,atcugui,atcu,atcugui,atcugui,apo,atcugui,atcugui,apo,apo,asui,atcugui,asui,apo,atcu,apo,ustci,atcugui,ustci,apo,ata,arodsa,ambaki,arodsa,ata,ambaki,anidi,ambaki,anidi,ani,arodsa,arodsa,apaki,ambaki,ambaki,anidi,arodsa,apaki,anidi,anidi,anidi,apaki,apaki,arodsa,ambaki,apaki,apaki,ani
7,0.15592458252825336,1.7003071984381346,1.5443826159098812,apo,apo,ustci,asui,ustci,apo,ustci,atcugui,asui,apo,apo,ustci,atcugui,asui,apo,apo,atcugui,ustci,ustci,apo,atcugui,apo,atcugui,atcugui,ustci,apo,atcugui,atcugui,atcugui,apo,atcugui,atcugui,atcugui,ustci,atcugui,apo,asui,apo,apo,asui,apo,atcugui,asui,atcugui,ustci,asui,ustci,asui,atcugui,ustci,atcugui,apo,ustci,apo,ustci,ustci,apo,ustci,ustci,apo,ustci,apo,apo,apo,atcugui,atcugui,ustci,asui,ustci,apo,asui,atcugui,atcu,atcu,apo,atcugui,ustci,ambaki,ani,ani,apaki,apaki,arodsa,ambaki,apaki,ambaki,arodsa,ata,ambaki,apaki,arodsa,anidi,apaki,anidi,ambaki,anidi,anidi,anidi,anidi,arodsa,ambaki,arodsa,arodsa,apaki,ata
8,0.13907278945033008,1.6686614981121801,1.52958870866185,asui,asui,atcugui,asui,atcugui,asui,asui,ustci,atcugui,atcugui,asui,apo,atcugui,atcugui,ustci,atcugui,ustci,apo,ustci,apo,ustci,ustci,atcugui,atcugui,ustci,atcugui,apo,ustci,atcugui,ustci,ustci,asui,atcugui,apo,ustci,ustci,apo,apo,ustci,atcugui,atcugui,atcu,apo,apo,atcugui,apo,apo,apo,apo,atcugui,ustci,atcugui,apo,ustci,atcugui,asui,atcu,apo,ustci,atcugui,apo,ustci,ustci,apo,apo,ustci,apo,apo,atcugui,apo,asui,ustci,asui,atcugui,apo,apo,apo,apaki,anidi,arodsa,apaki,ambaki,ambaki,anidi,apaki,anidi,arodsa,ani,arodsa,ata,anidi,apaki,anidi,apaki,ani,ambaki,arodsa,ambaki,arodsa,apaki,arodsa,ambaki,ata,anidi,ambaki
9,0.17756766922245837,1.6439945196954862,1.4664268504730278,ustci,asui,apo,atcugui,apo,atcugui,apo,asui,apo,apo,apo,asui,ustci,ustci,apo,apo,apo,ustci,ustci,atcugui,ustci,ustci,apo,ustci,atcugui,asui,atcu,asui,apo,atcu,atcugui,atcugui,asui,atcugui,apo,apo,ustci,ustci,atcugui,apo,apo,ustci,atcugui,ustci,apo,asui,atcugui,apo,ustci,atcugui,ustci,atcugui,ustci,atcugui,apo,atcugui,atcugui,atcugui,apo,ustci,ustci,apo,asui,ustci,apo,asui,atcugui,atcugui,asui,apo,atcugui,atcugui,atcugui,apo,ustci,ustci,apo,anidi,apaki,ambaki,anidi,anidi,apaki,apaki,ambaki,apaki,ata,ani,ambaki,anidi,apaki,ambaki,arodsa,ata,ambaki,ambaki,anidi,arodsa,ani,arodsa,arodsa,arodsa,arodsa,apaki,anidi
