simulation_number,mutual_information,entropy,conditional_entropy,feZ,mFZ,mMZ,mFeZ,mFyZ,mMeZ,mMyZ,fFZ,fMZ,fFeZ,fFyZ,fMeZ,fMyZ
0,NA,NA,NA,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi
1,NA,NA,NA,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi
2,NA,NA,NA,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi
3,NA,NA,NA,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi
4,NA,NA,NA,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi
5,NA,NA,NA,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi
6,NA,NA,NA,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi
7,NA,NA,NA,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi
8,NA,NA,NA,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi
9,NA,NA,NA,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi,-piipi
