simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,myB,meZ,myZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,fyB,feZ,fyZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.11873269050494684,1.3998722411965299,1.281139550691583,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjak,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjak,rodjak,rodjak,rodjakinja,rodjak,rodjak,rodjakinja,rodjakinja,brat,rodjakinja,rodjakinja,sestra,rodjak,rodjak,rodjak,rodjak,rodjak,rodjak,rodjak,brat,rodjakinja,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjakinja,rodjakinja,brat,rodjak,rodjakinja,brat,rodjakinja,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjakinja,sestra,rodjakinja,rodjak,rodjak,rodjakinja,rodjak,rodjak,rodjakinja,rodjakinja,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjak,rodjak,rodjak,sestra,rodjak,rodjakinja,rodjak,rodjak,rodjakinja,rodjak,rodjak,brat,rodjakinja,sestra,rodjak,rodjak,rodjakinja,rodjak,rodjakinja,sestra,rodjakinja,rodjak,rodjak,rodjakinja,rodjakinja,rodjakinja,brat,sestra,rodjak,rodjak,rodjak,ujak,stric,stric,ujak,tetka,stric,tetka,otac,majka,tetka,tetka,tetka,tetka,ujak,stric,tetka,tetka,tetka,otac,ujak,majka,stric,tetka,ujak,tetka,stric,tetka,ujak
1,0.06422866022996154,1.3580407476056902,1.2938120873757286,rodjakinja,sestra,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjak,rodjakinja,sestra,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjakinja,rodjak,brat,rodjakinja,rodjak,rodjak,rodjak,rodjakinja,rodjakinja,rodjak,brat,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjak,rodjakinja,rodjakinja,sestra,rodjakinja,rodjak,rodjak,brat,rodjak,rodjakinja,rodjak,rodjak,rodjakinja,rodjakinja,rodjak,brat,rodjak,rodjakinja,rodjak,sestra,rodjak,sestra,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjak,rodjak,rodjak,rodjakinja,rodjak,brat,rodjak,rodjakinja,sestra,rodjakinja,brat,rodjakinja,rodjak,rodjak,rodjak,rodjakinja,rodjak,rodjak,rodjakinja,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjakinja,tetka,tetka,tetka,ujak,tetka,stric,ujak,tetka,tetka,majka,tetka,stric,ujak,ujak,otac,tetka,stric,ujak,stric,stric,stric,ujak,otac,majka,tetka,tetka,tetka,tetka
2,0.08564990113007531,1.4196972652535111,1.3340473641234358,rodjakinja,rodjakinja,brat,rodjakinja,rodjakinja,rodjak,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjak,rodjak,rodjak,rodjak,rodjakinja,rodjakinja,brat,rodjak,rodjakinja,rodjakinja,rodjak,rodjak,rodjak,rodjak,rodjak,rodjak,rodjakinja,rodjak,rodjakinja,rodjakinja,sestra,rodjak,rodjakinja,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjakinja,rodjakinja,sestra,rodjakinja,sestra,rodjak,rodjak,rodjak,rodjakinja,rodjakinja,rodjak,rodjakinja,rodjak,rodjak,sestra,rodjak,rodjak,rodjakinja,rodjak,rodjak,rodjakinja,brat,rodjak,rodjak,sestra,rodjakinja,rodjak,brat,rodjak,brat,rodjakinja,rodjakinja,rodjak,rodjak,rodjakinja,sestra,rodjakinja,rodjakinja,rodjak,rodjak,rodjakinja,rodjak,rodjak,brat,rodjakinja,rodjak,rodjakinja,rodjakinja,ujak,stric,tetka,tetka,majka,stric,tetka,tetka,tetka,ujak,tetka,tetka,ujak,tetka,ujak,stric,otac,tetka,tetka,stric,tetka,stric,ujak,stric,otac,ujak,tetka,majka
3,0.05974064287857761,1.2849331238533594,1.2251924809747818,rodjak,rodjakinja,rodjak,rodjak,rodjak,rodjak,rodjak,brat,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjakinja,sestra,rodjak,rodjak,sestra,rodjakinja,rodjakinja,rodjak,rodjak,rodjakinja,rodjak,rodjakinja,brat,rodjak,rodjakinja,rodjakinja,brat,rodjakinja,rodjakinja,rodjak,rodjak,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjak,rodjak,rodjakinja,rodjak,rodjak,rodjak,rodjakinja,rodjakinja,rodjakinja,rodjakinja,rodjakinja,brat,rodjak,rodjak,rodjakinja,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjak,rodjakinja,sestra,sestra,sestra,rodjak,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjak,rodjakinja,rodjakinja,rodjak,rodjakinja,rodjakinja,brat,rodjakinja,rodjak,sestra,rodjakinja,rodjak,rodjak,rodjakinja,rodjak,rodjakinja,brat,rodjakinja,rodjakinja,tetka,tetka,stric,tetka,ujak,ujak,stric,ujak,ujak,stric,ujak,majka,otac,ujak,stric,tetka,tetka,tetka,stric,tetka,tetka,majka,tetka,tetka,tetka,tetka,stric,otac
4,0.13198503113669635,1.4089208018093036,1.2769357706726072,rodjakinja,rodjak,brat,rodjak,rodjakinja,rodjakinja,rodjak,rodjakinja,rodjak,rodjak,rodjakinja,rodjakinja,brat,rodjak,rodjak,rodjak,rodjakinja,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjak,sestra,rodjakinja,rodjakinja,rodjakinja,rodjak,sestra,rodjakinja,rodjakinja,rodjak,rodjak,rodjak,rodjak,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjak,rodjak,brat,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjak,rodjakinja,rodjak,rodjak,rodjakinja,rodjak,rodjakinja,sestra,rodjak,rodjak,rodjak,rodjak,brat,rodjakinja,rodjak,sestra,rodjakinja,sestra,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjakinja,rodjakinja,brat,rodjak,sestra,rodjakinja,rodjak,brat,rodjak,rodjak,ujak,majka,stric,tetka,tetka,ujak,otac,otac,stric,ujak,ujak,stric,tetka,tetka,tetka,tetka,tetka,majka,ujak,tetka,stric,tetka,stric,tetka,stric,tetka,ujak,tetka
5,0.05508060715104057,1.4157491605762735,1.360668553425233,rodjakinja,sestra,rodjak,sestra,rodjak,rodjak,rodjakinja,rodjakinja,rodjak,rodjak,rodjakinja,rodjak,brat,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjak,rodjakinja,brat,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjak,rodjak,rodjak,rodjak,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjakinja,rodjakinja,sestra,rodjak,rodjak,rodjakinja,rodjak,brat,rodjak,sestra,rodjakinja,rodjakinja,rodjak,rodjak,rodjak,rodjak,rodjak,rodjakinja,rodjakinja,rodjak,rodjak,brat,rodjak,rodjakinja,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjak,rodjak,rodjakinja,rodjak,brat,sestra,rodjakinja,rodjak,rodjak,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjakinja,brat,rodjakinja,rodjakinja,rodjak,rodjak,sestra,rodjakinja,stric,ujak,ujak,stric,stric,tetka,otac,ujak,tetka,stric,tetka,majka,otac,tetka,tetka,tetka,ujak,majka,ujak,tetka,stric,tetka,tetka,tetka,stric,tetka,tetka,ujak
6,0.08367968300134265,1.4011769518923378,1.3174972688909952,rodjakinja,rodjakinja,rodjak,rodjakinja,rodjakinja,sestra,rodjak,rodjak,rodjak,rodjak,rodjak,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjak,sestra,rodjak,rodjakinja,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjakinja,brat,rodjakinja,sestra,rodjakinja,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjak,rodjak,rodjak,brat,rodjak,rodjakinja,rodjak,rodjak,brat,rodjak,rodjakinja,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjak,brat,rodjakinja,rodjakinja,rodjakinja,rodjakinja,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjak,brat,rodjak,rodjak,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjak,rodjakinja,rodjak,rodjak,rodjak,rodjak,rodjakinja,rodjakinja,rodjak,brat,rodjak,sestra,rodjak,rodjakinja,rodjak,sestra,rodjak,rodjakinja,rodjakinja,sestra,rodjak,rodjak,rodjak,ujak,stric,stric,tetka,tetka,majka,majka,ujak,stric,tetka,tetka,ujak,stric,stric,ujak,ujak,tetka,tetka,otac,tetka,tetka,stric,tetka,tetka,tetka,ujak,otac,tetka
7,0.13838630356416104,1.377672870913291,1.23928656734913,rodjakinja,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjak,rodjakinja,sestra,rodjakinja,rodjak,rodjakinja,rodjak,sestra,rodjakinja,rodjak,rodjak,rodjak,rodjak,rodjakinja,rodjak,rodjak,rodjakinja,rodjakinja,rodjak,rodjak,rodjak,rodjakinja,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjak,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjakinja,rodjak,sestra,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjak,rodjak,brat,rodjak,rodjak,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjak,rodjakinja,rodjak,brat,rodjakinja,sestra,rodjakinja,rodjakinja,rodjak,rodjak,rodjak,rodjak,sestra,brat,rodjakinja,brat,rodjakinja,brat,rodjak,rodjakinja,rodjak,sestra,rodjak,rodjak,rodjak,rodjak,brat,rodjakinja,rodjakinja,rodjakinja,rodjak,ujak,stric,tetka,stric,tetka,ujak,stric,ujak,stric,tetka,majka,tetka,ujak,stric,tetka,ujak,tetka,tetka,majka,tetka,otac,tetka,tetka,tetka,stric,tetka,ujak,otac
8,0.14585936654095133,1.454808036640877,1.3089486700999258,rodjak,rodjak,rodjak,rodjak,rodjakinja,rodjak,rodjak,rodjak,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjak,rodjakinja,rodjak,rodjak,rodjakinja,rodjak,rodjak,brat,rodjakinja,rodjakinja,rodjakinja,sestra,rodjak,rodjakinja,brat,rodjak,rodjak,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjak,rodjak,rodjakinja,rodjakinja,brat,brat,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjakinja,rodjakinja,brat,rodjak,rodjak,rodjakinja,rodjakinja,rodjakinja,sestra,sestra,rodjak,rodjakinja,rodjak,rodjak,rodjak,sestra,rodjak,rodjak,sestra,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,sestra,rodjakinja,rodjakinja,brat,rodjak,rodjak,rodjakinja,rodjak,rodjak,rodjak,rodjakinja,rodjakinja,rodjakinja,rodjakinja,rodjakinja,rodjakinja,rodjakinja,tetka,ujak,ujak,ujak,tetka,otac,stric,tetka,tetka,stric,tetka,tetka,majka,tetka,stric,tetka,otac,tetka,majka,ujak,ujak,tetka,stric,ujak,tetka,stric,stric,tetka
9,0.10364697832884273,1.3939126264115824,1.2902656480827397,rodjakinja,rodjakinja,rodjak,rodjak,rodjakinja,rodjak,rodjak,rodjak,rodjakinja,brat,rodjakinja,rodjak,rodjakinja,rodjak,rodjak,brat,rodjakinja,sestra,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjak,rodjakinja,rodjakinja,rodjakinja,sestra,rodjakinja,brat,brat,rodjak,rodjakinja,rodjak,rodjak,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjakinja,sestra,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjak,rodjak,rodjakinja,rodjak,brat,rodjak,rodjak,rodjak,rodjakinja,rodjakinja,rodjak,rodjak,rodjak,rodjakinja,rodjak,rodjak,rodjakinja,rodjak,rodjak,rodjak,rodjakinja,sestra,rodjak,rodjak,rodjakinja,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjak,sestra,rodjakinja,rodjak,rodjakinja,sestra,brat,rodjak,rodjakinja,tetka,tetka,ujak,tetka,majka,tetka,tetka,tetka,stric,tetka,tetka,ujak,stric,stric,stric,tetka,tetka,stric,ujak,otac,stric,ujak,tetka,ujak,tetka,ujak,otac,majka
