simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,myB,meZ,myZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,fyB,feZ,fyZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.11130114431796634,1.727108277335478,1.6158071330175117,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,asari,asari,sāya ša,sāya ša,sāya ša,sāya ša,aša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,aša,sāya ša,sāya ša,aša,sāya ša,aša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,aša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,aša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,abaama,aataida,abāma akbaĩ,abāma akbaĩ,abāma si,ataida si,ataida si,aisī okarā,aisī okarā,aisī okarā,abāma si,abāma si,abāma akbaĩ,aisī okarā,abāma akbaĩ,abāma si,abaama,ataida si,ataida si,abāma si,aisī okarā,ataida si,aataida,aisī okarā,ataida si,abāma akbaĩ,abāma si,abāma akbaĩ
1,0.053571526966254224,1.6516334974838145,1.5980619705175603,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,aša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,aša,aša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,aša,aša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,aša,abāma akbaĩ,abāma si,ataida si,ataida si,aisī okarā,aisī okarā,abaama,ataida si,aisī okarā,ataida si,abāma si,abāma akbaĩ,abāma akbaĩ,ataida si,abāma akbaĩ,abāma si,aataida,abāma akbaĩ,abāma si,abāma si,aataida,abaama,aisī okarā,aisī okarā,aisī okarā,abāma akbaĩ,ataida si,abāma si
2,0.08931514820914077,1.701372049185514,1.6120569009763732,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,aša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,aša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,aša,aša,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,asari,sāya ša,sāya ša,aša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,aša,abāma si,aataida,abāma si,abāma si,aisī okarā,abāma akbaĩ,ataida si,aisī okarā,abāma akbaĩ,aisī okarā,ataida si,ataida si,aisī okarā,abāma si,abāma akbaĩ,abaama,abaama,abāma si,abāma si,ataida si,ataida si,abāma akbaĩ,abāma akbaĩ,aataida,abāma akbaĩ,aisī okarā,ataida si,aisī okarā
3,0.07365341798257763,1.680279782517852,1.6066263645352743,sāya ša,asari,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,aša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,asari,aša,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,sāya ša,aša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,aša,sāya ša,sāya ša,aša,aša,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,sāya ša,abāma akbaĩ,abāma akbaĩ,aisī okarā,ataida si,aisī okarā,abāma si,aisī okarā,abāma akbaĩ,aataida,aataida,abāma si,aisī okarā,abāma si,aisī okarā,abāma akbaĩ,ataida si,aisī okarā,ataida si,abāma si,abaama,abaama,ataida si,ataida si,abāma si,abāma akbaĩ,abāma akbaĩ,ataida si,abāma si
4,0.07767489096752711,1.7159019965936386,1.6382271056261115,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,aša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,aša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,aša,aša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,asari,asari,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,aša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,aša,sāya ša,sāya ša,sāya ša,abāma si,abāma si,abāma si,ataida si,abaama,aisī okarā,abāma akbaĩ,aisī okarā,ataida si,abaama,abāma akbaĩ,abāma akbaĩ,ataida si,aisī okarā,aisī okarā,aataida,ataida si,abāma akbaĩ,aataida,abāma si,aisī okarā,abāma si,ataida si,abāma akbaĩ,ataida si,abāma akbaĩ,aisī okarā,abāma si
5,0.10888882883358719,1.6526468940578014,1.5437580652242142,sāya ša,sāya ša,sāya ša,asari,sāya ša,asari,sāya ša,sāya ša,sāya ša,asari,aša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,aša,aša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,aša,sāya ša,sāya ša,sāya ša,aša,sāya ša,sāya ša,sāya ša,sāya ša,aša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,abāma si,abāma akbaĩ,aataida,ataida si,ataida si,abāma si,abāma akbaĩ,ataida si,aisī okarā,abāma si,abāma akbaĩ,aataida,aisī okarā,ataida si,abāma akbaĩ,ataida si,abāma akbaĩ,aisī okarā,abāma si,aisī okarā,abāma si,abaama,aisī okarā,abāma akbaĩ,ataida si,aisī okarā,abaama,abāma si
6,0.06859348338578353,1.6202798846445687,1.5516864012587852,sāya ša,sāya ša,sāya ša,sāya ša,asari,asari,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,aša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,aša,asari,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,sāya ša,aša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,aša,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,aša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,aša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,abāma akbaĩ,abāma si,aisī okarā,abāma akbaĩ,ataida si,ataida si,aataida,abāma akbaĩ,abāma akbaĩ,abāma si,abaama,aisī okarā,abāma si,aisī okarā,abāma akbaĩ,ataida si,abāma si,abāma si,aisī okarā,aisī okarā,ataida si,abaama,abāma si,ataida si,ataida si,aisī okarā,abāma akbaĩ,aataida
7,0.06984870395623499,1.6795326711067395,1.6096839671505045,sāya ša,sāya ša,sāya ša,aša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,aša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,aša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,aša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,aša,sāya ša,aša,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,sāya ša,ataida si,abāma akbaĩ,aataida,abāma akbaĩ,abāma si,ataida si,abaama,abāma akbaĩ,abāma si,ataida si,abāma si,ataida si,aisī okarā,ataida si,abāma akbaĩ,aisī okarā,aisī okarā,ataida si,abāma si,aisī okarā,abaama,abāma si,aataida,abāma akbaĩ,aisī okarā,aisī okarā,abāma si,abāma akbaĩ
8,0.06581074543170295,1.6919270585295667,1.6261163130978638,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,aša,asari,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,aša,aša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,aša,sāya ša,sāya ša,sāya ša,aša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,aša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,ataida si,aataida,aisī okarā,aisī okarā,abāma akbaĩ,ataida si,aisī okarā,abāma akbaĩ,ataida si,abāma akbaĩ,abāma akbaĩ,ataida si,aataida,abāma si,abaama,abāma si,abāma akbaĩ,abāma si,abāma akbaĩ,abāma si,ataida si,abāma si,abaama,aisī okarā,abāma si,aisī okarā,ataida si,aisī okarā
9,0.12163980075302816,1.615428123155076,1.4937883224020478,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,aša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,aša,sāya ša,aša,asari,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,sāya ša,aša,sāya ša,sāya ša,aša,sāya ša,sāya ša,sāya ša,sāya ša,aša,sāya ša,sāya ša,sāya ša,asari,sāya ša,sāya ša,sāya ša,sāya ša,abāma akbaĩ,ataida si,ataida si,abāma si,abāma si,aisī okarā,ataida si,aisī okarā,abāma si,abāma akbaĩ,ataida si,aisī okarā,aataida,abāma akbaĩ,abāma si,ataida si,aisī okarā,abāma akbaĩ,abāma si,abāma si,abāma akbaĩ,abaama,abāma akbaĩ,abaama,aataida,aisī okarā,aisī okarā,ataida si
