simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mF,mM,fF,fM
0,0.0015436285667963512,0.6914160776171183,0.689872449050322,ṣar,ṣar,pracar,pracar,pracar,ṣar,pracar,ṣar,pracar,ṣar,ṣar,mācar,pācar,pācar,mācar
1,0.0015436285667963512,0.6914160776171183,0.689872449050322,ṣar,ṣar,pracar,pracar,ṣar,ṣar,pracar,pracar,ṣar,ṣar,pracar,pācar,mācar,pācar,mācar
2,0.0024849871169562165,0.6914160776171183,0.6889310905001621,ṣar,ṣar,ṣar,pracar,ṣar,ṣar,ṣar,pracar,pracar,pracar,pracar,mācar,pācar,pācar,mācar
3,0.0015436285667963512,0.6914160776171183,0.689872449050322,ṣar,ṣar,pracar,pracar,pracar,ṣar,pracar,ṣar,pracar,ṣar,ṣar,mācar,pācar,mācar,pācar
4,0.0024849871169562165,0.6914160776171183,0.6889310905001621,pracar,pracar,pracar,ṣar,ṣar,pracar,ṣar,ṣar,ṣar,ṣar,pracar,mācar,pācar,mācar,pācar
5,0.08980968516983712,0.6914160776171183,0.6016063924472812,ṣar,pracar,pracar,pracar,ṣar,ṣar,pracar,ṣar,ṣar,pracar,ṣar,pācar,pācar,mācar,mācar
6,0.0009463889934173686,0.6914160776171183,0.690469688623701,ṣar,ṣar,ṣar,pracar,pracar,pracar,pracar,ṣar,pracar,ṣar,ṣar,pācar,mācar,pācar,mācar
7,0.014329406852655602,0.6914160776171183,0.6770866707644627,pracar,ṣar,ṣar,pracar,ṣar,ṣar,pracar,ṣar,pracar,pracar,ṣar,pācar,pācar,mācar,mācar
8,0.0015436285667964622,0.6914160776171183,0.6898724490503219,pracar,pracar,ṣar,ṣar,pracar,ṣar,ṣar,ṣar,pracar,ṣar,pracar,pācar,pācar,mācar,mācar
9,0.0015436285667963512,0.6914160776171183,0.689872449050322,ṣar,ṣar,pracar,pracar,ṣar,pracar,ṣar,ṣar,pracar,pracar,ṣar,pācar,mācar,mācar,pācar
