simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.13275340863563945,1.34791009821198,1.2151566895763406,tuo-fefine,tehina,tua-ngaane,tua-ngaane,tehina,tehina,tuo-fefine,tuo-fefine,tehina,tua-ngaane,tuo-fefine,tua-ngaane,tao-kete,tuo-fefine,tao-kete,tuo-fefine,tuo-fefine,tua-ngaane,tao-kete,tao-kete,tehina,tehina,tua-ngaane,tao-kete,tua-ngaane,tua-ngaane,tao-kete,tuo-fefine,tehina,tuo-fefine,tehina,tao-kete,tua-ngaane,tao-kete,tao-kete,tua-ngaane,tehina,tuo-fefine,fa'ee,"fa'ee tangata, tua",fa'ee,fa'ee,mehekitanga,fa'ee,tamai,mehekitanga,tamai,tamai,fa'ee,fa'ee,"fa'ee tangata, tua",mehekitanga,tamai,"fa'ee tangata, tua","fa'ee tangata, tua",mehekitanga,tamai,tamai
1,0.2175144820960837,1.358231894813244,1.1407174127171602,tuo-fefine,tuo-fefine,tuo-fefine,tua-ngaane,tua-ngaane,tuo-fefine,tehina,tao-kete,tuo-fefine,tehina,tao-kete,tuo-fefine,tuo-fefine,tuo-fefine,tao-kete,tehina,tua-ngaane,tehina,tuo-fefine,tua-ngaane,tao-kete,tehina,tua-ngaane,tao-kete,tehina,tua-ngaane,tao-kete,tao-kete,tua-ngaane,tao-kete,tuo-fefine,tehina,tua-ngaane,tao-kete,tehina,tua-ngaane,tehina,tua-ngaane,tamai,tamai,fa'ee,"fa'ee tangata, tua",fa'ee,"fa'ee tangata, tua",fa'ee,fa'ee,mehekitanga,mehekitanga,mehekitanga,fa'ee,tamai,"fa'ee tangata, tua","fa'ee tangata, tua",mehekitanga,fa'ee,tamai,tamai,tamai
2,0.11115245559207532,1.3487876966267474,1.237635241034672,tehina,tua-ngaane,tuo-fefine,tua-ngaane,tuo-fefine,tehina,tao-kete,tuo-fefine,tuo-fefine,tua-ngaane,tehina,tao-kete,tuo-fefine,tao-kete,tuo-fefine,tuo-fefine,tuo-fefine,tehina,tao-kete,tao-kete,tao-kete,tua-ngaane,tua-ngaane,tua-ngaane,tua-ngaane,tehina,tuo-fefine,tao-kete,tao-kete,tua-ngaane,tehina,tua-ngaane,tuo-fefine,tao-kete,tehina,tehina,tehina,tua-ngaane,"fa'ee tangata, tua",fa'ee,tamai,fa'ee,fa'ee,tamai,tamai,tamai,mehekitanga,tamai,"fa'ee tangata, tua",mehekitanga,fa'ee,mehekitanga,"fa'ee tangata, tua",mehekitanga,tamai,fa'ee,fa'ee,"fa'ee tangata, tua"
3,0.10125803987736526,1.355324148501538,1.2540661086241727,tehina,tao-kete,tua-ngaane,tao-kete,tao-kete,tao-kete,tuo-fefine,tehina,tua-ngaane,tuo-fefine,tehina,tehina,tuo-fefine,tua-ngaane,tao-kete,tuo-fefine,tuo-fefine,tehina,tao-kete,tuo-fefine,tehina,tehina,tua-ngaane,tua-ngaane,tao-kete,tehina,tehina,tao-kete,tua-ngaane,tua-ngaane,tuo-fefine,tua-ngaane,tua-ngaane,tuo-fefine,tua-ngaane,tao-kete,tuo-fefine,tuo-fefine,"fa'ee tangata, tua",tamai,mehekitanga,tamai,fa'ee,fa'ee,tamai,mehekitanga,fa'ee,mehekitanga,tamai,mehekitanga,fa'ee,"fa'ee tangata, tua",fa'ee,"fa'ee tangata, tua",fa'ee,"fa'ee tangata, tua",tamai,tamai
4,0.12200503191286938,1.3661588475692017,1.2441538156563323,tuo-fefine,tuo-fefine,tao-kete,tuo-fefine,tehina,tehina,tehina,tuo-fefine,tua-ngaane,tuo-fefine,tao-kete,tua-ngaane,tao-kete,tuo-fefine,tehina,tua-ngaane,tao-kete,tehina,tuo-fefine,tua-ngaane,tehina,tehina,tua-ngaane,tao-kete,tao-kete,tua-ngaane,tuo-fefine,tao-kete,tehina,tao-kete,tua-ngaane,tua-ngaane,tehina,tua-ngaane,tuo-fefine,tuo-fefine,tua-ngaane,tao-kete,"fa'ee tangata, tua","fa'ee tangata, tua",fa'ee,fa'ee,mehekitanga,mehekitanga,mehekitanga,fa'ee,tamai,"fa'ee tangata, tua",tamai,fa'ee,fa'ee,fa'ee,"fa'ee tangata, tua",tamai,tamai,tamai,mehekitanga,tamai
5,0.06413628255960924,1.358231894813244,1.2940956122536347,tua-ngaane,tua-ngaane,tehina,tuo-fefine,tehina,tao-kete,tua-ngaane,tua-ngaane,tehina,tehina,tuo-fefine,tehina,tua-ngaane,tuo-fefine,tao-kete,tao-kete,tuo-fefine,tuo-fefine,tao-kete,tao-kete,tehina,tuo-fefine,tua-ngaane,tehina,tao-kete,tuo-fefine,tao-kete,tuo-fefine,tua-ngaane,tua-ngaane,tuo-fefine,tuo-fefine,tua-ngaane,tao-kete,tehina,tua-ngaane,tao-kete,tehina,fa'ee,tamai,tamai,"fa'ee tangata, tua",fa'ee,tamai,tamai,fa'ee,mehekitanga,mehekitanga,fa'ee,"fa'ee tangata, tua","fa'ee tangata, tua","fa'ee tangata, tua",mehekitanga,tamai,fa'ee,fa'ee,mehekitanga,tamai
6,0.12017759721181043,1.376397987355977,1.2562203901441666,tua-ngaane,tehina,tao-kete,tehina,tua-ngaane,tua-ngaane,tehina,tao-kete,tua-ngaane,tuo-fefine,tao-kete,tua-ngaane,tua-ngaane,tao-kete,tuo-fefine,tao-kete,tehina,tua-ngaane,tuo-fefine,tehina,tehina,tuo-fefine,tua-ngaane,tuo-fefine,tuo-fefine,tuo-fefine,tuo-fefine,tehina,tao-kete,tehina,tao-kete,tua-ngaane,tuo-fefine,tehina,tua-ngaane,tuo-fefine,tao-kete,tao-kete,fa'ee,"fa'ee tangata, tua",mehekitanga,"fa'ee tangata, tua",tamai,mehekitanga,mehekitanga,"fa'ee tangata, tua",tamai,tamai,fa'ee,fa'ee,tamai,tamai,tamai,"fa'ee tangata, tua",fa'ee,fa'ee,fa'ee,mehekitanga
7,0.06434172765355761,1.3717688966297237,1.307427168976166,tua-ngaane,tuo-fefine,tehina,tehina,tao-kete,tao-kete,tua-ngaane,tua-ngaane,tehina,tuo-fefine,tehina,tao-kete,tao-kete,tuo-fefine,tao-kete,tua-ngaane,tuo-fefine,tuo-fefine,tehina,tehina,tao-kete,tuo-fefine,tua-ngaane,tua-ngaane,tua-ngaane,tua-ngaane,tehina,tehina,tuo-fefine,tuo-fefine,tao-kete,tao-kete,tua-ngaane,tao-kete,tuo-fefine,tehina,tua-ngaane,tuo-fefine,"fa'ee tangata, tua",mehekitanga,mehekitanga,tamai,fa'ee,"fa'ee tangata, tua",tamai,tamai,fa'ee,fa'ee,"fa'ee tangata, tua",fa'ee,mehekitanga,tamai,tamai,mehekitanga,fa'ee,"fa'ee tangata, tua",tamai,fa'ee
8,0.11067920181314594,1.3487876966267474,1.2381084948136014,tehina,tao-kete,tehina,tua-ngaane,tua-ngaane,tuo-fefine,tao-kete,tuo-fefine,tua-ngaane,tehina,tehina,tua-ngaane,tua-ngaane,tao-kete,tao-kete,tehina,tuo-fefine,tao-kete,tua-ngaane,tua-ngaane,tao-kete,tao-kete,tao-kete,tuo-fefine,tehina,tua-ngaane,tao-kete,tuo-fefine,tehina,tuo-fefine,tuo-fefine,tuo-fefine,tuo-fefine,tehina,tua-ngaane,tehina,tua-ngaane,tuo-fefine,mehekitanga,tamai,tamai,fa'ee,fa'ee,mehekitanga,"fa'ee tangata, tua",mehekitanga,fa'ee,"fa'ee tangata, tua",fa'ee,tamai,fa'ee,"fa'ee tangata, tua",tamai,"fa'ee tangata, tua",fa'ee,mehekitanga,tamai,tamai
9,0.04204414877561824,1.3717688966297237,1.3297247478541054,tao-kete,tua-ngaane,tuo-fefine,tuo-fefine,tuo-fefine,tua-ngaane,tao-kete,tao-kete,tehina,tua-ngaane,tua-ngaane,tua-ngaane,tua-ngaane,tua-ngaane,tao-kete,tuo-fefine,tehina,tuo-fefine,tuo-fefine,tuo-fefine,tao-kete,tehina,tua-ngaane,tuo-fefine,tehina,tehina,tao-kete,tehina,tao-kete,tua-ngaane,tao-kete,tao-kete,tehina,tehina,tua-ngaane,tehina,tuo-fefine,tuo-fefine,tamai,mehekitanga,mehekitanga,fa'ee,fa'ee,mehekitanga,"fa'ee tangata, tua",tamai,fa'ee,tamai,fa'ee,fa'ee,tamai,fa'ee,"fa'ee tangata, tua","fa'ee tangata, tua",tamai,mehekitanga,tamai,"fa'ee tangata, tua"
