simulation_number,mutual_information,entropy,conditional_entropy,mZ,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFeBS,mFyBS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFBeD,mFByD,mFZeD,mFZyD,mMBeD,mMByD,mMZeD,mMZyD,meB,myB,fB,fZ,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFeBS,fFyBS,fFeBD,fFeZD,fFyZD,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFBeD,fFByD,fFZeD,fFZyD,fMBeD,fMByD,fMZeD,fMZyD,feB,fyB,mF,mM,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.38973974718858684,1.854999336082976,1.4652595888943891,chacherā bhāī,mauseri bahin,chacheri bahin,phupheri bahin,phupheri bahin,mauseri bahin,phupheri bahin,mauseri bahin,phupheri bahin,chacheri bahin,mauseri bahin,chacheri bahin,chacheri bahin,chacherā bhāī,māmeri bahin,māmeri bahin,mauseri bahin,chacheri bahin,mauseri bahin,chacheri bahin,bahin,phupheri bahin,chacherā bhāī,bhāīji,mauseri bahin,mauseri bahin,chacherā bhāī,chacheri bahin,jiji,bhāīji,bahin,māmeri bahin,māmeri bahin,māmeri bahin,bahin,bhāīji,phupheri bahin,mauseri bahin,chacherā bhāī,māmeri bahin,chacherā bhāī,chacherā bhāī,phupheri bahin,chacheri bahin,māmeri bahin,bhāīji,phupheri bahin,māmeri bahin,bhāīji,chacherā bhāī,jiji,chacherā bhāī,chacheri bahin,māmeri bahin,chacherā bhāī,māmeri bahin,phupheri bahin,bahin,mauseri bahin,phupheri bahin,jiji,mausī,phuphi,phuphi,māmā,bābā,māmā,phuphi,māmā,mausī,chāchā,phuphi,māmā,phuphi,dādāji,dādāji,bābā,chāchā,māmā,mausī,mausī,phuphi,māmā,jiji,mausī,mausī
1,0.5847022495938083,1.8309412743502178,1.2462390247564095,bahin,phupheri bahin,māmeri bahin,mauseri bahin,chacherā bhāī,chacherā bhāī,phupheri bahin,mauseri bahin,phupheri bahin,bahin,jiji,phupheri bahin,mauseri bahin,chacheri bahin,bahin,māmeri bahin,chacherā bhāī,phupheri bahin,mauseri bahin,māmeri bahin,phupheri bahin,chacherā bhāī,chacheri bahin,mauseri bahin,chacherā bhāī,chacherā bhāī,māmeri bahin,māmeri bahin,māmeri bahin,chacherā bhāī,chacherā bhāī,mauseri bahin,māmeri bahin,bhāīji,mauseri bahin,bahin,mauseri bahin,chacheri bahin,phupheri bahin,phupheri bahin,bhāīji,chacheri bahin,chacheri bahin,bhāīji,chacheri bahin,chacherā bhāī,māmeri bahin,bhāīji,phupheri bahin,māmeri bahin,phupheri bahin,mauseri bahin,mauseri bahin,māmeri bahin,chacherā bhāī,chacheri bahin,chacheri bahin,jiji,chacheri bahin,bhāīji,dādāji,phuphi,bābā,phuphi,māmā,mausī,mausī,māmā,mausī,chāchā,dādāji,bābā,jiji,phuphi,jiji,chāchā,māmā,māmā,phuphi,phuphi,mausī,mausī,māmā,phuphi,mausī,māmā
2,0.41905208360186164,1.8685008117922208,1.4494487281903592,jiji,mauseri bahin,mauseri bahin,mauseri bahin,bhāīji,bahin,chacherā bhāī,chacheri bahin,bahin,chacheri bahin,chacherā bhāī,chacheri bahin,chacheri bahin,phupheri bahin,māmeri bahin,phupheri bahin,bahin,chacherā bhāī,chacherā bhāī,phupheri bahin,chacherā bhāī,māmeri bahin,bhāīji,phupheri bahin,chacherā bhāī,mauseri bahin,chacheri bahin,mauseri bahin,māmeri bahin,māmeri bahin,chacheri bahin,mauseri bahin,mauseri bahin,phupheri bahin,mauseri bahin,chacheri bahin,māmeri bahin,māmeri bahin,chacherā bhāī,chacheri bahin,bhāīji,bhāīji,māmeri bahin,phupheri bahin,māmeri bahin,chacherā bhāī,mauseri bahin,māmeri bahin,phupheri bahin,phupheri bahin,phupheri bahin,phupheri bahin,chacherā bhāī,bhāīji,mauseri bahin,bahin,jiji,māmeri bahin,chacherā bhāī,chacheri bahin,mausī,dādāji,māmā,mausī,jiji,phuphi,māmā,phuphi,māmā,mausī,dādāji,phuphi,mausī,bābā,phuphi,jiji,phuphi,chāchā,chāchā,mausī,māmā,bābā,māmā,phuphi,mausī,māmā
3,0.5321434809264589,1.8240287477103885,1.2918852667839296,bahin,phupheri bahin,chacheri bahin,chacheri bahin,jiji,māmeri bahin,māmeri bahin,bahin,māmeri bahin,chacherā bhāī,phupheri bahin,bhāīji,bhāīji,mauseri bahin,chacheri bahin,chacherā bhāī,chacheri bahin,chacherā bhāī,chacherā bhāī,phupheri bahin,māmeri bahin,bahin,phupheri bahin,chacheri bahin,mauseri bahin,jiji,phupheri bahin,māmeri bahin,phupheri bahin,bhāīji,chacherā bhāī,māmeri bahin,mauseri bahin,chacherā bhāī,mauseri bahin,mauseri bahin,chacheri bahin,mauseri bahin,phupheri bahin,māmeri bahin,phupheri bahin,māmeri bahin,chacherā bhāī,mauseri bahin,chacherā bhāī,māmeri bahin,māmeri bahin,bhāīji,chacherā bhāī,mauseri bahin,phupheri bahin,chacheri bahin,chacherā bhāī,mauseri bahin,chacheri bahin,bahin,phupheri bahin,mauseri bahin,chacheri bahin,bhāīji,māmā,jiji,mausī,bābā,phuphi,mausī,māmā,chāchā,māmā,phuphi,mausī,jiji,phuphi,dādāji,bābā,māmā,chāchā,māmā,phuphi,phuphi,mausī,māmā,dādāji,phuphi,mausī,mausī
4,0.5272769655300689,1.8559009055070819,1.328623939977013,māmeri bahin,phupheri bahin,chacherā bhāī,bhāīji,phupheri bahin,phupheri bahin,mauseri bahin,mauseri bahin,mauseri bahin,chacheri bahin,jiji,bhāīji,chacheri bahin,mauseri bahin,bahin,chacherā bhāī,chacheri bahin,māmeri bahin,chacherā bhāī,mauseri bahin,chacheri bahin,chacherā bhāī,bhāīji,chacherā bhāī,phupheri bahin,mauseri bahin,māmeri bahin,bahin,chacherā bhāī,phupheri bahin,phupheri bahin,māmeri bahin,jiji,bahin,chacherā bhāī,māmeri bahin,māmeri bahin,mauseri bahin,bhāīji,chacherā bhāī,māmeri bahin,chacheri bahin,mauseri bahin,māmeri bahin,chacheri bahin,phupheri bahin,chacheri bahin,phupheri bahin,chacherā bhāī,mauseri bahin,māmeri bahin,bahin,bhāīji,chacheri bahin,chacherā bhāī,phupheri bahin,phupheri bahin,chacheri bahin,māmeri bahin,mauseri bahin,mausī,bābā,jiji,māmā,chāchā,chāchā,māmā,phuphi,mausī,dādāji,mausī,mausī,mausī,phuphi,māmā,dādāji,bābā,māmā,phuphi,māmā,māmā,phuphi,jiji,phuphi,phuphi,mausī
5,0.4753852977701867,1.7380404289484634,1.2626551311782768,mauseri bahin,māmeri bahin,phupheri bahin,chacherā bhāī,mauseri bahin,bhāīji,chacheri bahin,māmeri bahin,mauseri bahin,bahin,chacherā bhāī,chacherā bhāī,chacherā bhāī,māmeri bahin,māmeri bahin,chacheri bahin,māmeri bahin,bhāīji,chacheri bahin,chacherā bhāī,māmeri bahin,mauseri bahin,phupheri bahin,chacheri bahin,mauseri bahin,phupheri bahin,chacheri bahin,chacherā bhāī,mauseri bahin,mauseri bahin,mauseri bahin,chacheri bahin,bhāīji,phupheri bahin,jiji,mauseri bahin,chacherā bhāī,chacherā bhāī,chacheri bahin,bahin,phupheri bahin,jiji,māmeri bahin,phupheri bahin,chacheri bahin,phupheri bahin,bahin,phupheri bahin,chacheri bahin,māmeri bahin,bhāīji,phupheri bahin,chacherā bhāī,bhāīji,bahin,māmeri bahin,mauseri bahin,māmeri bahin,chacherā bhāī,phupheri bahin,māmā,mausī,bābā,mausī,mausī,māmā,chāchā,chāchā,māmā,phuphi,jiji,mausī,bābā,phuphi,māmā,phuphi,phuphi,phuphi,mausī,mausī,jiji,māmā,dādāji,dādāji,phuphi,māmā
6,0.41710853420358895,1.7982094322401472,1.3811008980365582,māmeri bahin,bhāīji,phupheri bahin,māmeri bahin,phupheri bahin,māmeri bahin,chacherā bhāī,chacherā bhāī,mauseri bahin,mauseri bahin,mauseri bahin,chacheri bahin,chacherā bhāī,jiji,chacheri bahin,bahin,phupheri bahin,māmeri bahin,phupheri bahin,phupheri bahin,mauseri bahin,jiji,phupheri bahin,bahin,bhāīji,chacheri bahin,phupheri bahin,chacheri bahin,chacherā bhāī,mauseri bahin,mauseri bahin,bhāīji,māmeri bahin,chacheri bahin,māmeri bahin,māmeri bahin,chacheri bahin,māmeri bahin,chacherā bhāī,chacherā bhāī,mauseri bahin,chacheri bahin,bhāīji,māmeri bahin,chacheri bahin,chacheri bahin,bahin,phupheri bahin,phupheri bahin,chacherā bhāī,chacherā bhāī,mauseri bahin,mauseri bahin,phupheri bahin,māmeri bahin,bahin,bhāīji,chacherā bhāī,mauseri bahin,chacherā bhāī,chāchā,māmā,mausī,māmā,māmā,mausī,mausī,bābā,mausī,jiji,mausī,phuphi,phuphi,bābā,phuphi,chāchā,māmā,mausī,dādāji,phuphi,phuphi,dādāji,māmā,jiji,māmā,phuphi
7,0.5744566805405944,1.7664030476352799,1.1919463670946855,bahin,mauseri bahin,mauseri bahin,chacheri bahin,māmeri bahin,māmeri bahin,phupheri bahin,phupheri bahin,māmeri bahin,mauseri bahin,mauseri bahin,chacherā bhāī,phupheri bahin,māmeri bahin,chacheri bahin,bhāīji,chacherā bhāī,bhāīji,chacherā bhāī,māmeri bahin,bhāīji,mauseri bahin,mauseri bahin,phupheri bahin,mauseri bahin,māmeri bahin,jiji,bhāīji,bhāīji,chacheri bahin,mauseri bahin,chacheri bahin,chacheri bahin,bahin,mauseri bahin,chacheri bahin,chacherā bhāī,chacherā bhāī,māmeri bahin,chacherā bhāī,chacherā bhāī,māmeri bahin,māmeri bahin,chacheri bahin,phupheri bahin,phupheri bahin,māmeri bahin,phupheri bahin,chacherā bhāī,phupheri bahin,chacheri bahin,chacherā bhāī,phupheri bahin,phupheri bahin,jiji,mauseri bahin,chacherā bhāī,chacheri bahin,bahin,bahin,phuphi,mausī,phuphi,mausī,phuphi,dādāji,chāchā,māmā,māmā,māmā,chāchā,mausī,dādāji,phuphi,bābā,bābā,phuphi,māmā,mausī,māmā,mausī,mausī,jiji,jiji,phuphi,māmā
8,0.4113198806464984,1.806040089962067,1.3947202093155686,chacherā bhāī,mauseri bahin,bhāīji,mauseri bahin,chacheri bahin,bhāīji,bahin,bahin,chacheri bahin,māmeri bahin,chacherā bhāī,chacherā bhāī,mauseri bahin,mauseri bahin,phupheri bahin,māmeri bahin,māmeri bahin,jiji,māmeri bahin,phupheri bahin,phupheri bahin,bahin,phupheri bahin,chacheri bahin,chacherā bhāī,phupheri bahin,mauseri bahin,māmeri bahin,chacheri bahin,chacheri bahin,chacheri bahin,bhāīji,chacherā bhāī,bahin,māmeri bahin,jiji,māmeri bahin,māmeri bahin,chacherā bhāī,māmeri bahin,bhāīji,mauseri bahin,mauseri bahin,bhāīji,chacherā bhāī,chacheri bahin,mauseri bahin,chacherā bhāī,phupheri bahin,chacherā bhāī,phupheri bahin,chacheri bahin,phupheri bahin,chacheri bahin,phupheri bahin,mauseri bahin,phupheri bahin,chacherā bhāī,māmeri bahin,mauseri bahin,dādāji,māmā,phuphi,phuphi,chāchā,māmā,mausī,mausī,bābā,māmā,mausī,mausī,bābā,jiji,phuphi,māmā,māmā,phuphi,chāchā,māmā,phuphi,mausī,dādāji,jiji,mausī,phuphi
9,0.4384403268549968,1.8015738738529052,1.3631335469979085,mauseri bahin,bahin,chacheri bahin,chacheri bahin,māmeri bahin,māmeri bahin,mauseri bahin,bhāīji,phupheri bahin,māmeri bahin,chacheri bahin,phupheri bahin,mauseri bahin,mauseri bahin,jiji,phupheri bahin,chacherā bhāī,phupheri bahin,bhāīji,phupheri bahin,chacherā bhāī,mauseri bahin,māmeri bahin,chacheri bahin,bhāīji,chacherā bhāī,chacheri bahin,bhāīji,chacherā bhāī,bhāīji,mauseri bahin,mauseri bahin,māmeri bahin,bahin,chacheri bahin,chacherā bhāī,māmeri bahin,bahin,phupheri bahin,māmeri bahin,chacheri bahin,chacherā bhāī,mauseri bahin,jiji,phupheri bahin,mauseri bahin,chacheri bahin,chacherā bhāī,māmeri bahin,bahin,phupheri bahin,chacherā bhāī,chacherā bhāī,chacherā bhāī,phupheri bahin,chacheri bahin,māmeri bahin,māmeri bahin,phupheri bahin,mauseri bahin,phuphi,phuphi,phuphi,dādāji,bābā,mausī,mausī,māmā,mausī,mausī,mausī,māmā,jiji,chāchā,māmā,chāchā,mausī,jiji,phuphi,dādāji,māmā,māmā,bābā,māmā,phuphi,phuphi
