simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mMeZD,mMyZD,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fMeZD,fMyZD,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.1084238613716293,1.354513163629572,1.2460893022579427,umukwasu,umukulu,umufyala,umufyala,umufyala,inkasi,inkasi,umwanice,umukulu,umufyala,umufyala,umukwasu,umukwasu,umufyala,umwanice,umufyala,umufyala,umufyala,umufyala,umufyala,umufyala,umukwasu,inkasi,umukwasu,umufyala,inkasi,inkasi,umukulu,umwanice,inkasi,umukwasu,umufyala,umwanice,inkasi,umwanice,umufyala,umukwasu,umufyala,umufyala,umufyala,umukulu,umukwasu,inkasi,umufyala,umufyala,umufyala,umufyala,indume,umufyala,umufyala,inkasi,umukwasu,umukulu,inkasi,inkasi,umufyala,umukulu,inkasi,umufyala,umufyala,umukwasu,umufyala,umukwasu,umufyala,inkasi,umwanice,umukwasu,umukwasu,umufyala,umufyala,umufyala,inkasi,umufyala,umukwasu,inkasi,umukwasu,umufyala,inkasi,umufyala,umufyala,umukwasu,umufyala,umufyala,umufyala,umufyala,tatankasi,tatankasi,tatankasi,tata,mwinsyo,mama,mama,mwinsyo,mwinsyo,mama,tata,tata,tata,tatankasi,mwinsyo,mama,tata,mama,mama,tata,mama,tatankasi,mama,tatankasi,mwinsyo,tata,tata,mwinsyo
1,0.13075147303664458,1.3788728834009494,1.2481214103643048,umufyala,umwanice,umufyala,inkasi,umukwasu,inkasi,umukulu,umufyala,umufyala,inkasi,umufyala,umukulu,umufyala,umufyala,umukwasu,umufyala,umufyala,inkasi,inkasi,inkasi,inkasi,umufyala,umufyala,umukulu,umufyala,umufyala,umufyala,umufyala,inkasi,umukwasu,umukulu,umukwasu,inkasi,umukwasu,inkasi,umukwasu,umufyala,umufyala,umukwasu,indume,umufyala,umufyala,umufyala,umufyala,inkasi,umwanice,umufyala,umukwasu,umwanice,umufyala,inkasi,umukulu,inkasi,umufyala,umufyala,umukwasu,umukwasu,umufyala,umufyala,umufyala,umwanice,umufyala,umukwasu,umwanice,umukwasu,umukwasu,umufyala,umufyala,umufyala,inkasi,umufyala,umufyala,umufyala,umukulu,umukwasu,umukwasu,umukwasu,umufyala,umufyala,inkasi,umufyala,umufyala,umwanice,umufyala,inkasi,tata,mwinsyo,tatankasi,mwinsyo,tatankasi,mama,mwinsyo,tata,mama,tatankasi,tata,tatankasi,tata,tatankasi,mama,mama,mama,tata,mwinsyo,tata,mama,tatankasi,mama,mwinsyo,mwinsyo,tata,tata,mama
2,0.15479905460103893,1.3546088243813896,1.1998097697803507,umukwasu,umufyala,umufyala,umufyala,umukulu,umufyala,inkasi,umufyala,umufyala,umukulu,inkasi,umufyala,umukwasu,umukulu,umufyala,umufyala,umufyala,umufyala,umwanice,umufyala,umufyala,umufyala,inkasi,umukwasu,inkasi,umufyala,umufyala,inkasi,umufyala,umukwasu,umufyala,umufyala,inkasi,inkasi,umufyala,inkasi,inkasi,umufyala,inkasi,umufyala,umukwasu,umufyala,umufyala,umukwasu,umufyala,umufyala,umukulu,umwanice,umufyala,indume,inkasi,umukwasu,umukwasu,umufyala,umukwasu,umukwasu,umufyala,umukwasu,umukwasu,inkasi,inkasi,umwanice,umukulu,umukwasu,umwanice,umufyala,umukulu,umufyala,umufyala,umukwasu,umufyala,inkasi,umukwasu,umukwasu,inkasi,umufyala,umufyala,umufyala,umufyala,inkasi,umufyala,umwanice,umwanice,umufyala,umufyala,tatankasi,tata,mama,mwinsyo,mama,tata,mama,mwinsyo,tata,mama,tatankasi,tatankasi,mwinsyo,tata,tata,tata,mama,mama,mwinsyo,mwinsyo,mwinsyo,tata,tatankasi,tata,tatankasi,tatankasi,mama,mama
3,0.10633720009484637,1.3469747025778211,1.2406375024829748,umukwasu,umufyala,umukwasu,umufyala,umufyala,umukwasu,umufyala,umufyala,umufyala,umufyala,umufyala,umukwasu,inkasi,umufyala,umufyala,umukwasu,umufyala,umufyala,umufyala,umufyala,umufyala,umufyala,umufyala,umwanice,inkasi,umukwasu,umukwasu,umukwasu,umukwasu,umwanice,umufyala,inkasi,umwanice,umufyala,umufyala,umufyala,inkasi,umufyala,umwanice,inkasi,umukulu,umufyala,umufyala,inkasi,umufyala,indume,umufyala,inkasi,umufyala,umukulu,umufyala,umukulu,umukulu,inkasi,umufyala,umufyala,inkasi,umufyala,umufyala,umufyala,umukwasu,inkasi,umufyala,umwanice,umukwasu,umukwasu,umukwasu,umufyala,umukulu,umukwasu,umufyala,inkasi,umufyala,umufyala,inkasi,umufyala,inkasi,inkasi,umukwasu,umwanice,umufyala,inkasi,inkasi,umukulu,umukwasu,tata,tata,tata,mama,mwinsyo,mama,tatankasi,tatankasi,tata,tata,mwinsyo,tatankasi,tata,mama,mwinsyo,mwinsyo,mama,tata,tatankasi,mama,mwinsyo,tatankasi,mwinsyo,mama,mama,tatankasi,tata,mama
4,0.14976499054070747,1.3683605402815915,1.218595549740884,umukwasu,inkasi,umwanice,indume,umukwasu,umufyala,umufyala,inkasi,umufyala,umufyala,inkasi,umukwasu,umufyala,inkasi,umufyala,umukulu,umukwasu,umukulu,umufyala,umufyala,umukwasu,umufyala,umufyala,umufyala,umufyala,umufyala,umukulu,umufyala,inkasi,umwanice,umufyala,umufyala,umwanice,umukulu,umufyala,umwanice,umwanice,inkasi,umufyala,umufyala,umukwasu,umukwasu,umufyala,umufyala,umufyala,inkasi,umufyala,umufyala,umufyala,umukulu,inkasi,umufyala,umufyala,umufyala,umufyala,umukwasu,umukwasu,inkasi,umufyala,umukwasu,umwanice,umufyala,umukwasu,umufyala,umufyala,inkasi,umufyala,inkasi,umufyala,umukulu,umukwasu,umukwasu,inkasi,umufyala,inkasi,umufyala,umufyala,umufyala,umufyala,umukwasu,inkasi,umukwasu,inkasi,umukwasu,inkasi,tata,mama,mwinsyo,mama,mama,tata,mwinsyo,mwinsyo,mwinsyo,mama,tatankasi,mwinsyo,tata,tatankasi,mama,mama,tatankasi,tata,mama,tatankasi,tata,mwinsyo,tata,tata,tatankasi,tata,mama,tatankasi
5,0.1720760695429353,1.3697728000073222,1.1976967304643868,indume,umufyala,umukulu,umufyala,umukulu,umufyala,umukwasu,umwanice,umukulu,umufyala,umufyala,umukwasu,umukulu,umufyala,umukwasu,inkasi,inkasi,umufyala,umukwasu,umukwasu,umukwasu,umufyala,umukwasu,umukwasu,umufyala,umufyala,umwanice,umufyala,inkasi,umufyala,inkasi,umwanice,umukwasu,umufyala,umufyala,umufyala,inkasi,umwanice,umwanice,umufyala,inkasi,umwanice,umufyala,umufyala,umukwasu,umukulu,umufyala,umufyala,umufyala,inkasi,umufyala,umufyala,umufyala,umufyala,umufyala,umufyala,umukwasu,umufyala,inkasi,inkasi,umukwasu,inkasi,umukulu,inkasi,umukwasu,umufyala,inkasi,inkasi,inkasi,umufyala,umufyala,umufyala,umufyala,umukwasu,umukwasu,umufyala,umufyala,umufyala,umufyala,umufyala,inkasi,umukwasu,umufyala,inkasi,umufyala,tatankasi,tata,mwinsyo,mwinsyo,tatankasi,mama,mwinsyo,mwinsyo,tata,mwinsyo,mama,tata,tatankasi,mama,tatankasi,tata,tata,mama,tata,mama,tatankasi,tata,tata,mama,tatankasi,mama,mwinsyo,mama
6,0.15576944337150755,1.3715234678117898,1.2157540244402822,umukulu,umukwasu,umufyala,umukwasu,indume,umufyala,umukwasu,umufyala,inkasi,umukwasu,umufyala,umufyala,umukulu,umukwasu,umukwasu,umwanice,umukwasu,umufyala,umwanice,inkasi,umukwasu,umufyala,inkasi,umufyala,umufyala,inkasi,umukwasu,umufyala,umwanice,umwanice,umukwasu,umufyala,umufyala,umukwasu,umufyala,umufyala,umufyala,umukwasu,inkasi,umufyala,umukulu,umukwasu,inkasi,umukwasu,umukulu,inkasi,umufyala,inkasi,umufyala,umufyala,umufyala,umufyala,inkasi,umufyala,umufyala,umukulu,umufyala,inkasi,umukwasu,umufyala,umufyala,inkasi,umufyala,umufyala,umufyala,inkasi,umufyala,umufyala,umufyala,umukulu,umufyala,umufyala,inkasi,umwanice,umufyala,umufyala,umufyala,umufyala,umwanice,umufyala,inkasi,umukwasu,umufyala,inkasi,inkasi,mama,mama,mwinsyo,tatankasi,mwinsyo,tata,mwinsyo,tata,tatankasi,mama,tatankasi,tata,mwinsyo,mama,tatankasi,tatankasi,mama,tatankasi,tata,tata,mama,mwinsyo,mwinsyo,tata,tata,tata,mama,mama
7,0.08269980026158907,1.3710862542464395,1.2883864539848504,umufyala,umufyala,umufyala,umufyala,umufyala,umufyala,umukwasu,umukwasu,umufyala,umukulu,umufyala,umukwasu,inkasi,umufyala,umufyala,umufyala,umukwasu,inkasi,umukulu,inkasi,inkasi,umukulu,umufyala,umufyala,umukwasu,umufyala,inkasi,inkasi,umwanice,umufyala,umufyala,umufyala,umufyala,inkasi,umukulu,umukwasu,inkasi,umufyala,umufyala,umukwasu,umukwasu,umufyala,inkasi,umufyala,umufyala,umufyala,umukulu,umwanice,umufyala,umukwasu,umufyala,umufyala,umufyala,umufyala,umufyala,inkasi,umwanice,umwanice,umufyala,umufyala,umufyala,indume,inkasi,umukwasu,umufyala,umukwasu,umufyala,umukwasu,umufyala,inkasi,inkasi,umufyala,inkasi,umukwasu,umukwasu,umufyala,inkasi,umukwasu,umufyala,umwanice,inkasi,umukwasu,umufyala,umwanice,umukulu,mama,tata,mama,tata,mama,tatankasi,tatankasi,tatankasi,mwinsyo,tata,mwinsyo,mama,mwinsyo,tatankasi,tata,tata,mwinsyo,mwinsyo,mwinsyo,mama,mama,tata,mama,tatankasi,mama,tata,tatankasi,tata
8,0.19179298500057462,1.3499685559841559,1.1581755709835813,umufyala,umufyala,umwanice,umufyala,umukulu,inkasi,inkasi,umufyala,umufyala,umufyala,umufyala,umukwasu,umufyala,umukulu,umufyala,umwanice,inkasi,umufyala,umufyala,umukwasu,inkasi,umufyala,inkasi,umukulu,umufyala,inkasi,indume,umufyala,umufyala,umukwasu,umufyala,umwanice,umufyala,umufyala,umukwasu,umukwasu,umufyala,umufyala,umufyala,inkasi,umufyala,umufyala,umufyala,umukwasu,umufyala,umukwasu,umukwasu,umufyala,umwanice,umwanice,inkasi,umufyala,umufyala,umufyala,umukwasu,inkasi,umukwasu,umukwasu,umufyala,umukwasu,umukwasu,umukulu,umukwasu,inkasi,umukulu,umufyala,umwanice,umufyala,inkasi,inkasi,umufyala,umufyala,umufyala,umukwasu,inkasi,inkasi,umufyala,umufyala,umufyala,umufyala,inkasi,umufyala,umukwasu,umukulu,inkasi,tata,tatankasi,mwinsyo,tata,tata,mama,tatankasi,mama,tatankasi,mwinsyo,mwinsyo,tata,mama,mama,tata,tata,mama,mama,tata,mama,tatankasi,tata,mwinsyo,mwinsyo,tatankasi,tatankasi,mama,mwinsyo
9,0.1703451503984319,1.3663261183623077,1.1959809679638758,umukwasu,umufyala,umufyala,umufyala,umukulu,umukwasu,inkasi,umukulu,umukwasu,umukulu,umufyala,umufyala,inkasi,umufyala,umukulu,inkasi,umufyala,umufyala,umufyala,umufyala,inkasi,umukwasu,umufyala,umwanice,umufyala,umukwasu,umukwasu,umukulu,umwanice,umufyala,umukwasu,umufyala,umufyala,umwanice,umufyala,umukwasu,umufyala,umufyala,umukwasu,inkasi,umukwasu,umwanice,inkasi,umufyala,inkasi,umufyala,umufyala,umufyala,umufyala,umwanice,indume,inkasi,umufyala,inkasi,inkasi,inkasi,umufyala,umufyala,umufyala,umukwasu,umufyala,umukwasu,umufyala,umufyala,inkasi,umwanice,umukwasu,umufyala,umufyala,umukwasu,inkasi,inkasi,umufyala,umufyala,umufyala,umufyala,umufyala,inkasi,umukulu,umufyala,inkasi,umufyala,umukwasu,umufyala,umukwasu,mama,tatankasi,mwinsyo,tata,tatankasi,tata,tata,mwinsyo,mama,mwinsyo,tata,mwinsyo,tatankasi,mama,mama,tata,tata,mwinsyo,mama,tata,mama,mama,mama,mwinsyo,tatankasi,tatankasi,tatankasi,tata
