simulation_number,mutual_information,entropy,conditional_entropy,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.09919821380892513,1.7237138267522158,1.6245156129432907,ełedә́ke,ełechileke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,sedə,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,sedare,ełedә́ke,ełedә́ke,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,sedə,ełechileke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,sedare,ełechileke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,sechile,ełechileke,sebée,seʔe,senǫǫ,énę,seʔe,sebée,senǫǫ,seʔe,seʔe,setąa,sebée,seʔe,seʔe,setąa,setąa,senǫǫ,įt'á,setąa,sebée,setąa,sebée,sebée,senǫǫ,énę,senǫǫ,senǫǫ,setąa,įt'á
1,0.10360221761101962,1.6811594795623739,1.5775572619513543,ełechileke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełedә́ke,sedare,ełechileke,sechile,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,sedə,ełechileke,sedə,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełedә́ke,sedare,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,sebée,seʔe,senǫǫ,seʔe,setąa,seʔe,senǫǫ,senǫǫ,setąa,setąa,seʔe,sebée,énę,seʔe,setąa,sebée,senǫǫ,seʔe,setąa,įt'á,įt'á,sebée,sebée,énę,setąa,sebée,senǫǫ,senǫǫ
2,0.16120889464853483,1.7103633663113464,1.5491544716628116,ełedә́ke,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,sedə,ełedә́ke,ełechileke,ełedә́ke,sedare,ełedә́ke,sedə,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,sedare,ełechileke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,sechile,ełedә́ke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,seʔe,setąa,seʔe,sebée,įt'á,setąa,setąa,énę,senǫǫ,sebée,senǫǫ,senǫǫ,sebée,setąa,seʔe,énę,sebée,senǫǫ,įt'á,seʔe,seʔe,setąa,senǫǫ,sebée,setąa,sebée,senǫǫ,seʔe
3,0.14718118096530364,1.6849305581938594,1.5377493772285558,ełechileke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,sedare,sechile,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,sedare,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełedә́ke,ełedә́ke,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełechileke,ełedә́ke,sedə,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,sedə,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,énę,senǫǫ,sebée,senǫǫ,seʔe,seʔe,senǫǫ,įt'á,sebée,seʔe,seʔe,senǫǫ,énę,seʔe,sebée,setąa,sebée,įt'á,sebée,senǫǫ,setąa,senǫǫ,setąa,setąa,setąa,seʔe,setąa,sebée
4,0.10953333624655315,1.6570119655273616,1.5474786292808085,ełedә́ke,sedə,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełechileke,ełechileke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełechileke,sedare,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,sedare,ełechileke,ełechileke,ełedә́ke,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,ełedә́ke,sechile,ełedә́ke,ełechileke,ełechileke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,sedə,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,senǫǫ,seʔe,sebée,setąa,senǫǫ,senǫǫ,sebée,įt'á,seʔe,įt'á,senǫǫ,énę,énę,setąa,sebée,setąa,senǫǫ,setąa,sebée,seʔe,senǫǫ,sebée,seʔe,seʔe,setąa,sebée,setąa,seʔe
5,0.15594229428366724,1.715818668678909,1.5598763743952417,ełedә́ke,ełechileke,sedare,ełechileke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,sechile,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,sedə,ełechileke,ełechileke,sedə,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,sedare,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełechileke,senǫǫ,sebée,seʔe,sebée,senǫǫ,seʔe,setąa,setąa,senǫǫ,setąa,setąa,sebée,énę,seʔe,seʔe,sebée,įt'á,sebée,énę,sebée,setąa,senǫǫ,įt'á,senǫǫ,senǫǫ,seʔe,seʔe,setąa
6,0.11385608331148833,1.7113412402073531,1.5974851568958648,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełechileke,ełechileke,sedə,ełechileke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,sedə,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,sedare,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełechileke,sedare,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,sechile,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełedә́ke,ełedә́ke,ełedә́ke,ełedә́ke,senǫǫ,setąa,énę,setąa,sebée,énę,senǫǫ,seʔe,seʔe,seʔe,seʔe,įt'á,setąa,senǫǫ,setąa,setąa,senǫǫ,sebée,senǫǫ,seʔe,sebée,seʔe,setąa,sebée,sebée,senǫǫ,sebée,įt'á
7,0.1312285305605887,1.6910178324601943,1.5597893018996056,ełedә́ke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełechileke,sechile,ełedә́ke,sedare,ełedә́ke,ełechileke,sedə,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,ełedә́ke,sedare,ełedә́ke,sedə,ełechileke,ełechileke,ełedә́ke,ełedә́ke,sebée,setąa,setąa,senǫǫ,įt'á,sebée,setąa,seʔe,įt'á,sebée,seʔe,seʔe,sebée,énę,setąa,senǫǫ,setąa,seʔe,setąa,sebée,senǫǫ,sebée,senǫǫ,senǫǫ,seʔe,seʔe,senǫǫ,énę
8,0.11992610324929198,1.6958782866995086,1.5759521834502166,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,ełedә́ke,ełedә́ke,ełedә́ke,sedare,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,sedə,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełechileke,ełechileke,ełechileke,sechile,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,sedare,ełechileke,ełechileke,sedə,ełechileke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,setąa,setąa,įt'á,énę,seʔe,sebée,senǫǫ,setąa,sebée,seʔe,sebée,senǫǫ,senǫǫ,senǫǫ,senǫǫ,énę,sebée,seʔe,setąa,sebée,setąa,įt'á,seʔe,senǫǫ,sebée,setąa,seʔe,seʔe
9,0.12646615299705388,1.635753749314946,1.5092875963178922,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,ełedә́ke,ełedә́ke,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,sedare,ełedә́ke,ełedә́ke,ełedә́ke,ełedә́ke,ełedә́ke,ełedә́ke,ełedә́ke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełedә́ke,sedə,ełechileke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełechileke,ełechileke,ełechileke,ełechileke,ełechileke,ełechileke,sedare,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełedә́ke,ełechileke,sedə,ełechileke,ełechileke,ełedә́ke,ełedә́ke,ełechileke,ełedә́ke,ełechileke,ełechileke,ełechileke,ełechileke,ełedә́ke,sechile,ełedә́ke,ełechileke,ełechileke,ełechileke,setąa,įt'á,setąa,setąa,setąa,seʔe,énę,senǫǫ,senǫǫ,seʔe,sebée,setąa,sebée,senǫǫ,seʔe,seʔe,énę,senǫǫ,setąa,sebée,sebée,įt'á,seʔe,seʔe,senǫǫ,senǫǫ,sebée,sebée
