simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.0959363947306976,1.0185894326401332,0.9226530379094356,pusseserė,pusseserė,pusseserė,brolėnas,pusseserė,brolis,pusseserė,pusseserė,pusseserė,pusbrolis,pusseserė,sesuõ,pusbrolis,brolėnas,pusseserė,brolis,brolėnas,pusseserė,pusbrolis,pusseserė,pusseserė,pusseserė,sesuõ,pusseserė,pusbrolis,pusseserė,pusseserė,pusseserė,brolėnas,pusbrolis,pusseserė,pusbrolis,pusseserė,brolis,pusbrolis,brolis,pusbrolis,brolėnas,pusbrolis,pusbrolis,pusseserė,pusbrolis,sesuõ,pusbrolis,pusseserė,sesuõ,pusseserė,pusseserė,pusseserė,sesuõ,pusbrolis,pusbrolis,pusbrolis,pusbrolis,brolėnas,pusbrolis,pusbrolis,pusbrolis,pusseserė,brolis,sesuõ,pusbrolis,pusseserė,pusseserė,pusseserė,pusseserė,brolėnas,pusseserė,pusbrolis,pusbrolis,brolis,pusseserė,pusbrolis,pusbrolis,pusbrolis,pusseserė,brolėnas,pusbrolis,pusseserė,pusseserė,pusseserė,pusseserė,pusseserė,pusseserė,brolėnas,pusseserė,pusbrolis,pusbrolis,brolėnas,pusbrolis,tetà,tetà,tetà,tetà,dėdė,dėdė,tėvas,tetà,tetà,dėdė,mótina,dėdė,dėdė,dėdė,tetà,tetà,tetà,tetà,tetà,dėdė,tėvas,dėdė,mótina,tetà,dėdė,dėdė,dėdė,dėdė
1,0.09431477704737845,0.9870909566834911,0.8927761796361127,pusbrolis,pusseserė,pusseserė,sesuõ,brolėnas,pusseserė,brolėnas,pusbrolis,pusbrolis,pusbrolis,pusseserė,pusbrolis,pusbrolis,pusbrolis,pusbrolis,pusbrolis,brolis,pusseserė,pusseserė,brolis,pusseserė,pusbrolis,pusseserė,sesuõ,pusseserė,pusseserė,pusbrolis,pusseserė,pusseserė,pusseserė,pusbrolis,pusseserė,pusseserė,pusseserė,pusseserė,pusseserė,sesuõ,pusbrolis,brolėnas,pusbrolis,brolėnas,pusseserė,pusseserė,pusbrolis,brolis,pusseserė,brolėnas,sesuõ,pusseserė,pusbrolis,pusseserė,pusseserė,brolėnas,brolėnas,pusseserė,pusbrolis,pusseserė,sesuõ,pusbrolis,brolis,pusseserė,brolėnas,pusseserė,pusbrolis,pusseserė,pusbrolis,pusbrolis,pusseserė,pusseserė,brolis,pusbrolis,pusseserė,pusbrolis,pusseserė,pusseserė,pusseserė,brolėnas,pusbrolis,pusseserė,brolėnas,pusseserė,sesuõ,pusbrolis,pusseserė,pusseserė,pusbrolis,brolis,pusbrolis,pusbrolis,pusbrolis,dėdė,dėdė,tetà,tetà,dėdė,tetà,mótina,tetà,dėdė,dėdė,mótina,tetà,dėdė,dėdė,dėdė,tetà,dėdė,tetà,tetà,tetà,dėdė,tėvas,tetà,tetà,dėdė,tetà,dėdė,tėvas
2,0.05866139374177726,1.1285783001317093,1.069916906389932,sesuõ,sesuõ,pusbrolis,pusseserė,brolėnas,pusbrolis,pusseserė,pusbrolis,pusseserė,pusseserė,pusseserė,pusbrolis,brolėnas,brolėnas,brolis,pusseserė,pusseserė,brolėnas,pusseserė,pusseserė,brolėnas,pusbrolis,pusseserė,pusseserė,pusbrolis,pusbrolis,pusseserė,brolis,brolėnas,sesuõ,pusseserė,pusseserė,pusbrolis,sesuõ,brolėnas,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusseserė,pusbrolis,brolėnas,brolėnas,pusseserė,brolis,pusseserė,pusseserė,sesuõ,pusseserė,pusseserė,pusseserė,pusbrolis,pusbrolis,pusbrolis,pusbrolis,pusseserė,pusseserė,pusseserė,pusseserė,pusbrolis,brolis,pusbrolis,pusseserė,pusseserė,pusseserė,pusbrolis,sesuõ,pusseserė,pusseserė,pusbrolis,pusbrolis,pusbrolis,pusbrolis,pusbrolis,pusseserė,brolėnas,brolis,brolis,pusseserė,pusbrolis,pusseserė,pusbrolis,pusbrolis,pusseserė,pusbrolis,pusseserė,tetà,tetà,dėdė,tėvas,mótina,dėdė,tetà,tetà,dėdė,dėdė,tetà,dėdė,dėdė,dėdė,tetà,tetà,dėdė,tetà,tetà,dėdė,tetà,dėdė,dėdė,mótina,dėdė,tetà,tėvas,tetà
3,0.12084886763129554,1.1276636966343467,1.0068148290030512,pusbrolis,brolis,brolėnas,sesuõ,pusbrolis,pusseserė,brolis,pusbrolis,pusbrolis,pusseserė,brolėnas,pusseserė,pusseserė,pusseserė,brolis,pusseserė,pusseserė,brolėnas,pusseserė,pusbrolis,brolėnas,brolėnas,sesuõ,pusbrolis,pusbrolis,pusseserė,brolėnas,pusseserė,pusseserė,brolėnas,pusseserė,pusbrolis,pusbrolis,brolėnas,pusbrolis,pusseserė,pusbrolis,pusbrolis,pusseserė,sesuõ,pusseserė,brolis,brolėnas,pusseserė,pusseserė,pusseserė,pusbrolis,pusseserė,pusseserė,pusseserė,pusbrolis,pusbrolis,pusbrolis,pusseserė,pusbrolis,pusseserė,pusseserė,pusseserė,pusseserė,pusbrolis,pusbrolis,pusseserė,pusseserė,sesuõ,sesuõ,pusseserė,pusbrolis,pusseserė,pusbrolis,pusbrolis,pusseserė,pusbrolis,brolis,sesuõ,pusbrolis,pusbrolis,pusbrolis,brolis,pusseserė,pusseserė,pusseserė,pusbrolis,brolėnas,pusseserė,pusseserė,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,tetà,tėvas,dėdė,mótina,tetà,dėdė,tetà,tetà,dėdė,tetà,tetà,tetà,dėdė,tėvas,tetà,tetà,tetà,dėdė,dėdė,dėdė,mótina,tetà,tetà,dėdė,dėdė,dėdė,dėdė,dėdė
4,0.12238126296883955,1.0654524487178665,0.9430711857490269,pusbrolis,pusseserė,pusseserė,brolis,sesuõ,brolėnas,pusbrolis,brolis,sesuõ,pusbrolis,pusseserė,pusbrolis,pusbrolis,pusseserė,pusbrolis,pusseserė,pusseserė,pusbrolis,brolėnas,pusseserė,pusseserė,brolėnas,brolėnas,pusseserė,pusseserė,pusbrolis,pusseserė,brolis,pusbrolis,pusseserė,pusseserė,pusbrolis,sesuõ,pusbrolis,brolėnas,pusseserė,pusbrolis,pusseserė,sesuõ,pusseserė,pusbrolis,pusbrolis,pusseserė,brolėnas,pusseserė,pusseserė,pusseserė,pusseserė,pusseserė,pusseserė,pusbrolis,pusseserė,pusseserė,pusseserė,pusbrolis,brolėnas,pusseserė,pusseserė,pusseserė,brolis,pusbrolis,brolėnas,pusbrolis,sesuõ,pusbrolis,pusseserė,pusseserė,pusseserė,pusbrolis,sesuõ,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusseserė,pusseserė,pusbrolis,brolėnas,brolis,pusbrolis,pusbrolis,pusbrolis,pusseserė,pusbrolis,brolis,brolėnas,pusbrolis,pusseserė,dėdė,dėdė,dėdė,tetà,tetà,tetà,tetà,dėdė,dėdė,dėdė,tetà,tetà,dėdė,tetà,dėdė,tėvas,mótina,tetà,dėdė,tetà,dėdė,mótina,dėdė,tėvas,dėdė,tetà,tetà,tetà
5,0.06570662297231022,1.1174400811009688,1.0517334581286586,pusbrolis,pusseserė,pusbrolis,pusbrolis,brolėnas,pusseserė,pusbrolis,pusbrolis,brolis,brolėnas,brolis,pusbrolis,pusseserė,brolis,pusseserė,pusseserė,pusseserė,pusseserė,sesuõ,pusseserė,brolis,pusbrolis,sesuõ,pusbrolis,pusbrolis,brolėnas,pusseserė,pusbrolis,pusseserė,pusbrolis,pusbrolis,pusbrolis,pusseserė,brolėnas,pusseserė,pusseserė,pusseserė,pusbrolis,pusbrolis,pusseserė,pusseserė,pusseserė,pusseserė,sesuõ,brolėnas,pusseserė,pusbrolis,brolėnas,pusbrolis,brolis,pusseserė,pusseserė,pusseserė,pusseserė,sesuõ,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusseserė,pusseserė,pusbrolis,pusseserė,brolėnas,pusbrolis,pusseserė,pusbrolis,pusseserė,sesuõ,pusbrolis,pusseserė,brolėnas,pusbrolis,pusseserė,pusbrolis,pusseserė,brolėnas,pusseserė,brolėnas,brolis,pusseserė,sesuõ,pusseserė,pusbrolis,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,mótina,dėdė,dėdė,dėdė,tetà,tetà,dėdė,tetà,dėdė,tetà,tetà,dėdė,tėvas,tėvas,tetà,dėdė,dėdė,dėdė,mótina,tetà,tetà,tetà,dėdė,tetà,tetà,dėdė,tetà,dėdė
6,0.12849759046008224,1.1293095059452896,1.0008119154852073,pusbrolis,pusbrolis,pusbrolis,pusbrolis,pusseserė,sesuõ,brolis,sesuõ,pusbrolis,pusseserė,brolėnas,pusseserė,pusseserė,pusbrolis,brolėnas,pusseserė,pusseserė,pusseserė,pusseserė,pusbrolis,pusbrolis,pusseserė,brolėnas,pusseserė,pusbrolis,pusseserė,brolis,sesuõ,pusbrolis,brolėnas,pusseserė,pusseserė,pusseserė,sesuõ,sesuõ,pusseserė,pusbrolis,pusbrolis,pusbrolis,pusbrolis,pusbrolis,pusseserė,pusseserė,sesuõ,pusseserė,pusseserė,pusbrolis,brolėnas,brolis,pusseserė,pusseserė,pusseserė,pusseserė,brolėnas,pusseserė,pusseserė,brolėnas,brolis,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,pusbrolis,pusseserė,pusseserė,pusbrolis,brolis,brolis,pusbrolis,pusseserė,brolėnas,pusbrolis,pusseserė,pusseserė,pusbrolis,brolėnas,pusseserė,pusbrolis,pusbrolis,pusseserė,pusseserė,pusseserė,brolėnas,pusbrolis,pusseserė,pusbrolis,pusbrolis,pusseserė,pusseserė,dėdė,mótina,tetà,tetà,dėdė,dėdė,tėvas,dėdė,tetà,dėdė,dėdė,tetà,dėdė,dėdė,tetà,tetà,dėdė,tetà,tėvas,tetà,dėdė,tetà,mótina,dėdė,dėdė,tetà,tetà,tetà
7,0.14100547099848326,1.0455492935383632,0.90454382253988,pusseserė,pusseserė,brolėnas,brolėnas,pusseserė,sesuõ,pusseserė,brolis,pusbrolis,brolėnas,pusbrolis,sesuõ,pusseserė,pusbrolis,pusseserė,pusseserė,pusbrolis,pusbrolis,pusseserė,pusbrolis,pusseserė,pusseserė,pusseserė,pusseserė,pusbrolis,pusseserė,brolėnas,brolėnas,pusbrolis,pusbrolis,brolėnas,pusseserė,pusseserė,sesuõ,pusseserė,pusseserė,pusseserė,brolis,pusbrolis,pusseserė,pusseserė,pusseserė,pusseserė,pusbrolis,brolis,pusseserė,sesuõ,pusbrolis,pusseserė,pusbrolis,pusbrolis,pusseserė,pusseserė,pusseserė,brolis,brolis,pusbrolis,pusbrolis,pusbrolis,pusseserė,pusseserė,pusseserė,brolėnas,pusbrolis,brolėnas,pusseserė,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,brolėnas,pusbrolis,pusbrolis,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,pusbrolis,pusseserė,brolėnas,sesuõ,brolis,pusbrolis,pusseserė,pusseserė,sesuõ,pusbrolis,dėdė,dėdė,tetà,dėdė,tetà,dėdė,mótina,tetà,dėdė,dėdė,tetà,tetà,dėdė,tėvas,tėvas,tetà,tetà,tetà,dėdė,dėdė,dėdė,tetà,tetà,tetà,mótina,dėdė,tetà,dėdė
8,0.08072317145652086,1.0775200212027198,0.996796849746199,pusbrolis,sesuõ,pusseserė,pusbrolis,sesuõ,pusbrolis,pusseserė,pusbrolis,pusbrolis,pusseserė,pusseserė,pusseserė,pusseserė,brolėnas,pusbrolis,pusseserė,pusbrolis,pusseserė,pusseserė,pusseserė,brolėnas,pusseserė,sesuõ,pusseserė,pusbrolis,pusbrolis,pusbrolis,pusseserė,pusseserė,pusseserė,brolis,pusseserė,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusseserė,pusbrolis,pusbrolis,pusseserė,pusbrolis,brolis,pusseserė,brolėnas,brolis,pusbrolis,pusbrolis,pusseserė,pusbrolis,brolėnas,pusseserė,brolėnas,pusseserė,sesuõ,sesuõ,pusbrolis,pusseserė,pusseserė,pusseserė,pusseserė,pusbrolis,pusseserė,brolėnas,pusseserė,pusbrolis,pusseserė,brolis,brolėnas,brolėnas,pusbrolis,brolėnas,pusbrolis,pusbrolis,pusseserė,pusbrolis,brolis,pusseserė,pusseserė,pusbrolis,brolėnas,pusbrolis,pusseserė,pusbrolis,brolis,pusseserė,pusseserė,sesuõ,dėdė,tetà,tetà,dėdė,tėvas,tetà,dėdė,dėdė,dėdė,dėdė,tetà,dėdė,mótina,dėdė,tetà,tetà,tėvas,tetà,dėdė,tetà,tetà,mótina,tetà,dėdė,tetà,dėdė,dėdė,tetà
9,0.11293384428585695,1.1689322860054332,1.0559984417195762,pusseserė,pusseserė,pusseserė,brolis,brolis,pusbrolis,pusbrolis,brolėnas,brolis,brolis,brolėnas,sesuõ,pusseserė,pusseserė,brolėnas,pusseserė,pusseserė,pusseserė,sesuõ,pusseserė,pusseserė,brolėnas,pusbrolis,pusseserė,pusbrolis,pusseserė,pusseserė,pusseserė,pusseserė,sesuõ,pusseserė,pusseserė,pusseserė,pusseserė,pusseserė,pusseserė,pusbrolis,brolėnas,pusseserė,pusbrolis,pusseserė,pusbrolis,brolis,pusseserė,pusbrolis,pusbrolis,pusbrolis,brolėnas,pusbrolis,sesuõ,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,pusbrolis,pusbrolis,pusbrolis,pusbrolis,sesuõ,pusbrolis,pusbrolis,pusseserė,pusbrolis,pusbrolis,brolėnas,pusseserė,pusseserė,pusseserė,pusbrolis,brolis,pusseserė,pusbrolis,pusbrolis,pusbrolis,pusseserė,pusseserė,sesuõ,pusseserė,pusbrolis,pusseserė,brolėnas,pusbrolis,brolėnas,pusseserė,pusseserė,brolėnas,pusbrolis,pusseserė,tetà,mótina,dėdė,mótina,tėvas,tetà,dėdė,tetà,dėdė,tetà,tėvas,tetà,tetà,tetà,dėdė,tetà,dėdė,dėdė,dėdė,tetà,dėdė,dėdė,dėdė,dėdė,tetà,dėdė,tetà,tetà
