simulation_number,mutual_information,entropy,conditional_entropy,feB,meB,fyB,myB,feZ,meZ,fyZ,myZ,fFBeD,fFByD,mFBeD,mFByD,fFBeS,fFByS,fMZyS,mFByS,mMZyS,fFZeS,fFZyS,fMBeS,fMByS,mFBeS,mFZeS,mFZyS,mMBeS,mMByS,mMZeS,mFZyD,fFZeD,fFZyD,fMBeD,fMByD,fMZeD,fMZyD,mFZeD,mMBeD,mMByD,mMZeD,mMZyD,fM,mM,fFeZ,fFyZ,mFeZ,mFyZ,fMeZ,fMyZ,mMeZ,mMyZ,fF,mF,fFeB,fFyB,fMeB,fMyB,mFeB,mFyB,mMeB,mMyB
0,0.09641514778355825,0.5623351446188083,0.46591999683525004,mä-loǔk,mä-loǔk,mä-louk,"lěk-lass, mä-tǔ",mä-loǔk,mä-lěk,mä-lěk,"loǔk-lass, mätǔ",mä-loǔk,mä-loǔk,"lik-srik, fwos",mä-loǔk,mä-lěk,mä-lěk,"loǔk-lass, mätǔ",mä-lěk,mä-loǔk,mä-lěk,"lěk-lass, mä-tǔ",loǔk-srik,mä-lěk,mä-loǔk,mä-lěk,mä-loǔk,mä-lěk,mä-läǔk,mä-lěk,mä-loǔk,mä-läǔk,mä-lěk,"lik-srik, fwos",mä-läǔk,loǔk-srik,mä-läǔk,mä-lěk,mä-loǔk,mä-lěk,mä-lěk,mä-lěk,pä-pä-tummuk,pä-pä-tummuk,pä-pä-tummuk,neně keyǔk,neně keyūk,ne-ně-keyǔk,neně keyūk,neně keyǔk,ne-ně-keyǔk,pä-pä-tummuk,neně keyūk,pä-pä-tummuk,neně keyūk,pä-pä-tummuk,pä-pä-tummuk,pä-pä-tummuk,pä-pä-tum-muk,pä-pä-tum-muk,neně keyǔk,neně keyǔk
1,0.17328679513998635,1.3862943611198906,1.2130075659799042,mä-lěk,"loǔk-lass, mätǔ","lěk-lass, mä-tǔ",mä-läǔk,"loǔk-lass, mätǔ",mä-lěk,mä-läǔk,mä-loǔk,mä-loǔk,mä-loǔk,mä-läǔk,mä-lěk,mä-loǔk,mä-lěk,mä-lěk,mä-loǔk,mä-lěk,"lik-srik, fwos",mä-loǔk,mä-lěk,mä-loǔk,mä-lěk,mä-lěk,mä-loǔk,mä-lěk,mä-läǔk,mä-lěk,mä-loǔk,mä-louk,mä-lěk,"lik-srik, fwos",loǔk-srik,mä-lěk,mä-loǔk,mä-loǔk,"lěk-lass, mä-tǔ",mä-lěk,mä-lěk,loǔk-srik,pä-pä-tummuk,ne-ně-keyǔk,pä-pä-tummuk,neně keyǔk,neně keyūk,neně keyǔk,pä-pä-tum-muk,ne-ně-keyǔk,neně keyūk,neně keyūk,neně keyǔk,neně keyūk,pä-pä-tummuk,pä-pä-tum-muk,neně keyǔk,pä-pä-tummuk,pä-pä-tummuk,pä-pä-tummuk,pä-pä-tummuk,pä-pä-tummuk
2,0.2272271837246952,1.0397207708399179,0.8124935871152227,loǔk-srik,mä-lěk,mä-lěk,mä-loǔk,mä-louk,mä-lěk,"lik-srik, fwos",mä-loǔk,"loǔk-lass, mätǔ",mä-lěk,mä-läǔk,mä-lěk,mä-läǔk,mä-lěk,mä-loǔk,"loǔk-lass, mätǔ",mä-loǔk,mä-loǔk,loǔk-srik,mä-lěk,mä-lěk,"lěk-lass, mä-tǔ","lik-srik, fwos",mä-läǔk,mä-loǔk,mä-lěk,mä-lěk,mä-loǔk,mä-lěk,mä-loǔk,mä-lěk,mä-loǔk,mä-loǔk,mä-lěk,mä-loǔk,mä-lěk,mä-lěk,"lěk-lass, mä-tǔ",mä-läǔk,pä-pä-tum-muk,neně keyǔk,pä-pä-tummuk,neně keyǔk,neně keyūk,pä-pä-tummuk,neně keyǔk,ne-ně-keyǔk,ne-ně-keyǔk,neně keyǔk,pä-pä-tummuk,pä-pä-tum-muk,pä-pä-tummuk,neně keyūk,pä-pä-tummuk,neně keyūk,neně keyūk,pä-pä-tummuk,pä-pä-tummuk,pä-pä-tummuk
3,0.05394038858470884,1.0397207708399179,0.985780382255209,mä-läǔk,mä-läǔk,mä-lěk,"loǔk-lass, mätǔ",mä-lěk,mä-loǔk,"loǔk-lass, mätǔ",mä-lěk,"lik-srik, fwos",mä-lěk,mä-lěk,mä-läǔk,mä-loǔk,mä-loǔk,mä-loǔk,mä-loǔk,mä-läǔk,mä-louk,mä-lěk,mä-loǔk,mä-lěk,mä-loǔk,mä-loǔk,mä-loǔk,mä-loǔk,"lěk-lass, mä-tǔ","lěk-lass, mä-tǔ",mä-lěk,loǔk-srik,loǔk-srik,mä-lěk,"lik-srik, fwos",mä-lěk,mä-lěk,mä-lěk,mä-lěk,mä-lěk,mä-lěk,mä-loǔk,pä-pä-tummuk,neně keyūk,neně keyūk,ne-ně-keyǔk,pä-pä-tum-muk,neně keyǔk,pä-pä-tummuk,pä-pä-tummuk,neně keyūk,pä-pä-tum-muk,neně keyǔk,pä-pä-tummuk,ne-ně-keyǔk,pä-pä-tummuk,neně keyǔk,pä-pä-tummuk,pä-pä-tummuk,neně keyǔk,pä-pä-tummuk,neně keyūk
4,0.08664339756999306,1.0397207708399179,0.9530773732699248,mä-lěk,mä-lěk,mä-loǔk,"loǔk-lass, mätǔ",mä-lěk,mä-lěk,mä-lěk,mä-lěk,mä-loǔk,mä-loǔk,mä-lěk,loǔk-srik,mä-lěk,mä-läǔk,mä-lěk,"lik-srik, fwos",mä-loǔk,"lěk-lass, mä-tǔ","lěk-lass, mä-tǔ",mä-läǔk,mä-lěk,mä-läǔk,mä-lěk,mä-loǔk,mä-loǔk,mä-lěk,mä-lěk,mä-loǔk,mä-lěk,mä-loǔk,"lik-srik, fwos",mä-loǔk,"loǔk-lass, mätǔ",mä-loǔk,mä-louk,loǔk-srik,mä-läǔk,mä-lěk,mä-loǔk,pä-pä-tummuk,neně keyūk,pä-pä-tummuk,neně keyūk,pä-pä-tummuk,pä-pä-tummuk,pä-pä-tummuk,neně keyǔk,neně keyūk,ne-ně-keyǔk,pä-pä-tum-muk,pä-pä-tummuk,pä-pä-tum-muk,ne-ně-keyǔk,neně keyǔk,neně keyǔk,neně keyūk,neně keyǔk,pä-pä-tummuk,pä-pä-tummuk
5,0.05112744282909354,0.5623351446188083,0.5112077017897148,"lik-srik, fwos",mä-loǔk,"lik-srik, fwos",mä-loǔk,mä-lěk,mä-lěk,mä-loǔk,mä-lěk,mä-lěk,"lěk-lass, mä-tǔ",mä-lěk,"lěk-lass, mä-tǔ",mä-lěk,mä-loǔk,"loǔk-lass, mätǔ",mä-loǔk,mä-lěk,mä-lěk,mä-lěk,mä-loǔk,mä-läǔk,mä-loǔk,mä-lěk,mä-lěk,"loǔk-lass, mätǔ",mä-lěk,mä-lěk,mä-loǔk,mä-loǔk,mä-läǔk,loǔk-srik,mä-lěk,mä-loǔk,mä-läǔk,loǔk-srik,mä-läǔk,mä-loǔk,mä-louk,mä-lěk,neně keyūk,pä-pä-tummuk,pä-pä-tummuk,neně keyūk,pä-pä-tummuk,pä-pä-tum-muk,neně keyǔk,neně keyūk,ne-ně-keyǔk,neně keyūk,pä-pä-tummuk,pä-pä-tummuk,pä-pä-tummuk,neně keyǔk,pä-pä-tum-muk,pä-pä-tummuk,ne-ně-keyǔk,pä-pä-tummuk,neně keyǔk,neně keyǔk
6,0.05394038858470873,1.0397207708399179,0.9857803822552091,"loǔk-lass, mätǔ",mä-loǔk,mä-loǔk,mä-lěk,mä-lěk,mä-lěk,mä-loǔk,mä-loǔk,mä-lěk,mä-louk,mä-lěk,"lěk-lass, mä-tǔ",loǔk-srik,mä-lěk,mä-lěk,mä-lěk,mä-loǔk,"lik-srik, fwos",mä-lěk,mä-lěk,mä-loǔk,mä-lěk,mä-loǔk,mä-läǔk,mä-loǔk,mä-lěk,"lik-srik, fwos",mä-läǔk,mä-lěk,mä-lěk,mä-loǔk,mä-läǔk,loǔk-srik,mä-loǔk,mä-läǔk,mä-loǔk,"lěk-lass, mä-tǔ",mä-lěk,"loǔk-lass, mätǔ",pä-pä-tummuk,pä-pä-tummuk,pä-pä-tummuk,ne-ně-keyǔk,pä-pä-tummuk,neně keyǔk,neně keyǔk,pä-pä-tummuk,pä-pä-tummuk,neně keyūk,ne-ně-keyǔk,neně keyūk,pä-pä-tummuk,pä-pä-tum-muk,neně keyǔk,pä-pä-tummuk,neně keyūk,neně keyūk,neně keyǔk,pä-pä-tum-muk
7,0.07950410999925561,0.5623351446188083,0.4828310346195527,"loǔk-lass, mätǔ",mä-lěk,mä-loǔk,mä-louk,mä-lěk,mä-lěk,"lěk-lass, mä-tǔ",mä-loǔk,"lik-srik, fwos",mä-läǔk,"lěk-lass, mä-tǔ",mä-loǔk,mä-lěk,mä-loǔk,mä-läǔk,mä-läǔk,mä-loǔk,mä-lěk,mä-lěk,"lik-srik, fwos",mä-lěk,mä-lěk,mä-lěk,"loǔk-lass, mätǔ",mä-lěk,mä-lěk,loǔk-srik,mä-loǔk,mä-läǔk,mä-loǔk,mä-loǔk,mä-lěk,mä-lěk,mä-loǔk,mä-lěk,mä-loǔk,mä-loǔk,loǔk-srik,mä-lěk,pä-pä-tummuk,neně keyūk,pä-pä-tummuk,ne-ně-keyǔk,neně keyūk,pä-pä-tummuk,pä-pä-tummuk,pä-pä-tummuk,pä-pä-tummuk,pä-pä-tummuk,neně keyūk,neně keyūk,neně keyǔk,neně keyǔk,pä-pä-tum-muk,pä-pä-tum-muk,ne-ně-keyǔk,neně keyǔk,pä-pä-tummuk,neně keyǔk
8,0.41197960825054114,1.0397207708399179,0.6277411625893767,mä-lěk,mä-lěk,"lik-srik, fwos",mä-loǔk,mä-lěk,mä-loǔk,mä-lěk,mä-läǔk,mä-lěk,mä-lěk,mä-loǔk,mä-läǔk,mä-lěk,"loǔk-lass, mätǔ",mä-läǔk,mä-loǔk,mä-läǔk,mä-lěk,mä-lěk,"lěk-lass, mä-tǔ",mä-louk,mä-lěk,mä-loǔk,"lik-srik, fwos",mä-loǔk,mä-loǔk,mä-lěk,mä-loǔk,mä-loǔk,mä-lěk,"lěk-lass, mä-tǔ",loǔk-srik,loǔk-srik,mä-loǔk,mä-loǔk,mä-lěk,mä-lěk,"loǔk-lass, mätǔ",mä-lěk,pä-pä-tummuk,neně keyūk,pä-pä-tummuk,ne-ně-keyǔk,pä-pä-tummuk,pä-pä-tummuk,pä-pä-tum-muk,neně keyǔk,neně keyǔk,neně keyūk,pä-pä-tummuk,ne-ně-keyǔk,pä-pä-tummuk,neně keyǔk,pä-pä-tum-muk,neně keyǔk,neně keyūk,pä-pä-tummuk,pä-pä-tummuk,neně keyūk
9,0.41197960825054103,1.0397207708399179,0.6277411625893768,mä-lěk,mä-läǔk,mä-loǔk,mä-läǔk,mä-lěk,mä-läǔk,mä-lěk,mä-lěk,mä-lěk,loǔk-srik,mä-lěk,mä-lěk,mä-loǔk,mä-lěk,mä-loǔk,mä-lěk,mä-lěk,mä-lěk,"loǔk-lass, mätǔ",mä-louk,mä-loǔk,mä-läǔk,mä-loǔk,mä-lěk,mä-lěk,mä-lěk,"lěk-lass, mä-tǔ",mä-loǔk,mä-loǔk,"lik-srik, fwos","lěk-lass, mä-tǔ",mä-loǔk,mä-lěk,"lik-srik, fwos",mä-loǔk,mä-loǔk,mä-loǔk,"loǔk-lass, mätǔ",loǔk-srik,pä-pä-tummuk,neně keyūk,neně keyǔk,pä-pä-tum-muk,neně keyūk,pä-pä-tummuk,neně keyǔk,neně keyūk,pä-pä-tummuk,neně keyǔk,pä-pä-tummuk,neně keyǔk,pä-pä-tummuk,pä-pä-tum-muk,neně keyūk,ne-ně-keyǔk,pä-pä-tummuk,pä-pä-tummuk,ne-ně-keyǔk,pä-pä-tummuk
