simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,feB,fyB,feZ,fyZ,meB,mFBeS,mFByS,mFBeD,mFByD,mMBeS,mMByS,mMBeD,mMByD,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fMBeS,fMByS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFZ,mMB,mFeB,mFyB,mMeZ,mMyZ,fF,fM,fFZ,fMB,fFeB,fFyB,fMeZ,fMyZ,mFeZ,mFyZ,mMeB,mMyB,fFeZ,fFyZ,fMeB,fMyB
0,0.49744197678510893,1.3188394881312493,0.8213975113461404,ingṛi,eṇgdadas,eṇgdadas,iṇgris,iṇgris,engadi,engadi,ingṛi,ingṛi,eṇgadi,ingṛi,iṇgris,eṇgadi,ingṛi,eṇgdadas,iṇgris,ingṛi,engadi,ingṛi,iṇgris,eṇgdadas,eṇgdadas,iṇgris,eṇgdadas,engadi,iṇgris,iṇgris,ingṛi,eṇgtaci,eṇgtaci,engmusi,eṇgsasiras,eṇgbaras,eṇgbari,eṃbas,eṃbas,eṇgsasiras,mamus,eṇgbari,taci,engmusi,eṇgikakas,eṇgmamus,eṇgsais,eṇgsais,engio,eṇgmamus,eṇgbaras,eṇgikakas,mamus,taci,engio
1,0.6178122634292198,1.540646585910432,0.9228343224812121,eṇgdadas,engadi,ingṛi,ingṛi,eṇgdadas,eṇgdadas,ingṛi,eṇgdadas,ingṛi,iṇgris,eṇgdadas,iṇgris,iṇgris,iṇgris,iṇgris,engadi,iṇgris,engadi,ingṛi,ingṛi,iṇgris,engadi,eṇgadi,iṇgris,eṇgdadas,eṇgadi,ingṛi,ingṛi,taci,eṇgsais,eṃbas,eṇgbari,eṇgsasiras,eṇgmamus,engmusi,eṇgbari,taci,engmusi,eṇgtaci,engio,mamus,eṇgsais,eṇgikakas,mamus,eṇgtaci,eṇgbaras,eṇgbaras,engio,eṃbas,eṇgmamus,eṇgsasiras,eṇgikakas
2,0.2857417405745548,1.5661456557062858,1.280403915131731,eṇgdadas,iṇgris,ingṛi,iṇgris,iṇgris,ingṛi,eṇgdadas,ingṛi,iṇgris,iṇgris,engadi,eṇgdadas,eṇgdadas,engadi,iṇgris,ingṛi,eṇgdadas,engadi,ingṛi,iṇgris,engadi,iṇgris,eṇgdadas,ingṛi,ingṛi,eṇgadi,ingṛi,eṇgadi,eṇgtaci,eṇgbaras,eṇgmamus,eṇgsasiras,eṇgsasiras,taci,eṇgsais,engio,eṇgbari,eṇgbaras,eṃbas,taci,eṇgsais,eṇgikakas,engio,mamus,engmusi,eṇgmamus,eṇgtaci,engmusi,eṃbas,eṇgbari,eṇgikakas,mamus
3,0.3628396433832577,1.540646585910432,1.1778069425271742,iṇgris,iṇgris,eṇgdadas,ingṛi,engadi,eṇgdadas,eṇgadi,engadi,eṇgdadas,ingṛi,engadi,eṇgdadas,iṇgris,iṇgris,ingṛi,engadi,ingṛi,iṇgris,eṇgadi,iṇgris,ingṛi,iṇgris,iṇgris,ingṛi,eṇgdadas,ingṛi,ingṛi,eṇgdadas,engmusi,eṇgbari,eṃbas,engmusi,eṇgsasiras,taci,taci,eṇgtaci,eṇgsasiras,eṇgbaras,eṇgbaras,eṇgmamus,eṇgikakas,mamus,eṇgtaci,eṇgmamus,eṇgbari,mamus,engio,engio,eṇgsais,eṃbas,eṇgsais,eṇgikakas
4,0.5477999925627082,1.7879527534854684,1.2401527609227603,iṇgris,eṇgadi,iṇgris,iṇgris,engadi,eṇgdadas,engadi,engadi,eṇgdadas,ingṛi,ingṛi,engadi,iṇgris,iṇgris,ingṛi,ingṛi,eṇgdadas,eṇgdadas,eṇgdadas,eṇgdadas,eṇgadi,iṇgris,iṇgris,ingṛi,ingṛi,iṇgris,ingṛi,ingṛi,eṇgsasiras,engio,mamus,eṇgikakas,engmusi,eṇgbari,taci,engmusi,mamus,eṇgtaci,eṇgtaci,eṇgbaras,taci,eṇgsasiras,eṇgmamus,eṇgmamus,engio,eṃbas,eṇgikakas,eṃbas,eṇgsais,eṇgbari,eṇgbaras,eṇgsais
5,0.45486592267061976,1.540646585910432,1.0857806632398121,eṇgadi,ingṛi,eṇgdadas,iṇgris,ingṛi,iṇgris,iṇgris,engadi,iṇgris,iṇgris,ingṛi,iṇgris,iṇgris,ingṛi,eṇgdadas,eṇgdadas,engadi,engadi,iṇgris,ingṛi,eṇgdadas,ingṛi,engadi,ingṛi,eṇgdadas,eṇgdadas,eṇgadi,ingṛi,engio,eṃbas,eṇgikakas,engio,eṇgbari,eṇgikakas,eṃbas,eṇgbaras,eṇgbari,eṇgbaras,eṇgtaci,eṇgmamus,engmusi,mamus,engmusi,eṇgtaci,eṇgsais,eṇgsasiras,eṇgsais,taci,eṇgsasiras,mamus,taci,eṇgmamus
6,0.4079123125022597,1.5661456557062858,1.1582333432040262,eṇgdadas,ingṛi,ingṛi,ingṛi,ingṛi,iṇgris,iṇgris,eṇgdadas,engadi,engadi,eṇgdadas,eṇgadi,iṇgris,iṇgris,eṇgdadas,iṇgris,eṇgdadas,iṇgris,ingṛi,engadi,engadi,ingṛi,eṇgdadas,iṇgris,eṇgadi,ingṛi,iṇgris,ingṛi,eṇgbaras,eṇgbari,eṇgsasiras,taci,mamus,eṇgikakas,eṇgmamus,eṇgsais,engmusi,eṇgsasiras,eṇgsais,engmusi,eṇgtaci,engio,eṇgmamus,eṇgbari,taci,eṇgikakas,mamus,eṃbas,engio,eṇgbaras,eṃbas,eṇgtaci
7,0.21392918442444908,1.3443385579271032,1.1304093735026541,engadi,ingṛi,engadi,eṇgdadas,ingṛi,ingṛi,iṇgris,iṇgris,ingṛi,engadi,eṇgadi,ingṛi,iṇgris,eṇgdadas,engadi,eṇgdadas,ingṛi,ingṛi,iṇgris,iṇgris,iṇgris,eṇgadi,ingṛi,eṇgdadas,iṇgris,eṇgdadas,eṇgdadas,iṇgris,eṇgikakas,eṇgsasiras,engio,mamus,eṇgbaras,eṃbas,eṇgmamus,eṇgtaci,mamus,eṇgsasiras,eṇgsais,eṇgsais,taci,eṇgikakas,engio,eṃbas,eṇgbari,eṇgmamus,eṇgtaci,engmusi,eṇgbaras,eṇgbari,taci,engmusi
8,0.36785274628468945,1.5661456557062858,1.1982929094215964,engadi,eṇgdadas,ingṛi,engadi,ingṛi,iṇgris,engadi,eṇgdadas,eṇgdadas,iṇgris,iṇgris,eṇgdadas,ingṛi,iṇgris,iṇgris,ingṛi,eṇgadi,eṇgadi,iṇgris,engadi,ingṛi,eṇgdadas,ingṛi,ingṛi,eṇgdadas,iṇgris,iṇgris,ingṛi,eṇgikakas,eṇgtaci,mamus,eṃbas,eṇgbari,taci,engmusi,engio,eṃbas,eṇgmamus,eṇgikakas,taci,mamus,engmusi,eṇgsais,eṇgmamus,eṇgsasiras,eṇgsasiras,eṇgbari,engio,eṇgsais,eṇgbaras,eṇgbaras,eṇgtaci
9,0.7486771645913086,1.7879527534854684,1.0392755888941598,ingṛi,ingṛi,ingṛi,eṇgadi,iṇgris,iṇgris,eṇgdadas,ingṛi,ingṛi,engadi,eṇgdadas,iṇgris,engadi,ingṛi,ingṛi,iṇgris,ingṛi,iṇgris,iṇgris,engadi,engadi,eṇgdadas,iṇgris,eṇgdadas,eṇgadi,eṇgdadas,eṇgdadas,iṇgris,eṇgikakas,eṇgmamus,eṇgtaci,engio,eṇgsais,eṇgbari,eṃbas,taci,eṇgsais,mamus,eṇgmamus,eṇgsasiras,eṇgbaras,eṇgtaci,engio,eṇgbaras,engmusi,taci,engmusi,eṇgsasiras,eṇgikakas,eṃbas,eṇgbari,mamus
