simulation_number,mutual_information,entropy,conditional_entropy,fMBeS,fMByS,fMBeD,fMByD,mFByS,mMBeS,mMByS,mFZeS,fFZeS,mFZyS,fFZyS,mMBeD,mMByD,meZ,myZ,mFBeD,mFByD,mMZeD,mMZyD,mFZeD,mFZyD,fFZeD,fFZyD,feZ,fFBeD,mMZeS,fMZeD,meB,myB,fyZ,fFByD,mMZyS,fMZyD,fyB,mFBeS,fFBeS,fFByS,fMZyS,feB,mM,fM,mFeB,mFyB,fFeB,fFyB,mF,fF,mMeZ,mMyZ,fMeZ,fMyZ,mFeZ,mFyZ,fFeZ,fFyZ,mMeB,mMyB,fMeB,fMyB
0,0.2599301927099794,1.0397207708399179,0.7797905781299385,chu-hläʼ-hä,chu-chǔʼ-se,chu-wunʼ-wä,chu-chǔʼ-se,chuhlʼ-kǔ-cheʼ,chu-wunʼ-wä,chu-hläʼ-hä,chu-chihlʼ-wä,um-os-sǔsʼ-wä,chu-pǔʼ-se,chu-wunʼ-wä,chu-chihlʼ-wä,um-os-sǔsʼ-wä,chu-wunʼ-wä,um-os-sǔsʼ-wä,chu-hläʼ-hä,chu-wunʼ-wä,chuhlʼ-kǔ-cheʼ,chu-chihlʼ-wä,um-it-te-chäˑkeʼ-to,chu-hlä-hä,chu-wunʼ-wä,chu-chihlʼ-wä,chuhlʼ-kǔ-cheʼ,um-os-sǔsʼ-wä,chuch-husʼ-te,chu-chǔʼ-se,chup-pǔʼ-che,chu-pǔʼ-se,chuch-husʼ-te,chup-pǔʼ-che,chuhlʼ-kǔ-cheʼ,chu-chǔʼ-se,chu-hläʼ-hä,chu-chihlʼ-wa,chu-chihlʼ-wä,chu-pǔʼ-se,chu-chǔʼ-se,chu-pǔʼ-se,chu-pǔʼ-se,chulʼ-kǔ-cheʼ,chu-pǔʼ-se,chutchʼ-ke,chu-päʼ-wä,chu-päʼ-wä,chuch-kǔʼ-ce,chuch-kǔʼ-ce,chu-pǔʼ-se,chulʼ-kǔ-cheʼ,chu-pǔʼ-se,chuch-kǔʼ-ce,chutchʼ-ke,chuhlʼ-ke,chuhlʼ-ke,chulʼ-kǔ-cheʼ,chulʼ-kǔ-cheʼ,chuch-kǔʼ-ce,chu-päʼ-wä,chu-päʼ-wä
1,0.3465735902799726,1.0397207708399179,0.6931471805599453,chu-chǔʼ-se,um-os-sǔsʼ-wä,chu-chihlʼ-wä,um-os-sǔsʼ-wä,chuch-husʼ-te,chu-chihlʼ-wä,chuhlʼ-kǔ-cheʼ,chuch-husʼ-te,chu-hläʼ-hä,chuhlʼ-kǔ-cheʼ,chu-wunʼ-wä,chu-hläʼ-hä,chup-pǔʼ-che,chu-chǔʼ-se,chu-wunʼ-wä,chu-hläʼ-hä,chu-wunʼ-wä,chu-pǔʼ-se,chu-chihlʼ-wä,chu-wunʼ-wä,um-os-sǔsʼ-wä,chu-wunʼ-wä,chuhlʼ-kǔ-cheʼ,chu-wunʼ-wä,chu-chihlʼ-wa,chu-chihlʼ-wä,chu-pǔʼ-se,chu-chǔʼ-se,chu-pǔʼ-se,chu-pǔʼ-se,chuhlʼ-kǔ-cheʼ,chu-hlä-hä,chu-chihlʼ-wä,chup-pǔʼ-che,chu-chǔʼ-se,chu-hläʼ-hä,chu-chǔʼ-se,um-os-sǔsʼ-wä,um-it-te-chäˑkeʼ-to,chu-päʼ-wä,chulʼ-kǔ-cheʼ,chu-pǔʼ-se,chu-päʼ-wä,chu-päʼ-wä,chulʼ-kǔ-cheʼ,chuhlʼ-ke,chulʼ-kǔ-cheʼ,chulʼ-kǔ-cheʼ,chu-pǔʼ-se,chutchʼ-ke,chuch-kǔʼ-ce,chuch-kǔʼ-ce,chuch-kǔʼ-ce,chu-pǔʼ-se,chuhlʼ-ke,chu-päʼ-wä,chu-pǔʼ-se,chutchʼ-ke,chuch-kǔʼ-ce
2,0.5198603854199589,1.3862943611198906,0.8664339756999316,chu-wunʼ-wä,chup-pǔʼ-che,chuhlʼ-kǔ-cheʼ,um-it-te-chäˑkeʼ-to,chu-pǔʼ-se,chuch-husʼ-te,chu-chihlʼ-wä,chu-wunʼ-wä,chu-chǔʼ-se,chu-pǔʼ-se,um-os-sǔsʼ-wä,chuhlʼ-kǔ-cheʼ,chu-chihlʼ-wä,chu-hläʼ-hä,um-os-sǔsʼ-wä,chu-chǔʼ-se,chu-chihlʼ-wä,chuhlʼ-kǔ-cheʼ,chuhlʼ-kǔ-cheʼ,chu-pǔʼ-se,chu-chǔʼ-se,chu-hläʼ-hä,chu-wunʼ-wä,chu-wunʼ-wä,chu-chihlʼ-wä,chu-chihlʼ-wä,chu-pǔʼ-se,chu-hläʼ-hä,chu-hläʼ-hä,chuch-husʼ-te,chu-hlä-hä,chu-wunʼ-wä,chu-chǔʼ-se,um-os-sǔsʼ-wä,chup-pǔʼ-che,um-os-sǔsʼ-wä,chu-chǔʼ-se,chu-chihlʼ-wa,chu-wunʼ-wä,chu-päʼ-wä,chutchʼ-ke,chu-pǔʼ-se,chuch-kǔʼ-ce,chuch-kǔʼ-ce,chutchʼ-ke,chuhlʼ-ke,chu-pǔʼ-se,chu-päʼ-wä,chuch-kǔʼ-ce,chulʼ-kǔ-cheʼ,chuhlʼ-ke,chuch-kǔʼ-ce,chulʼ-kǔ-cheʼ,chu-pǔʼ-se,chu-päʼ-wä,chu-päʼ-wä,chulʼ-kǔ-cheʼ,chulʼ-kǔ-cheʼ,chu-pǔʼ-se
3,0.3465735902799727,1.3862943611198906,1.0397207708399179,chu-pǔʼ-se,chu-pǔʼ-se,chuch-husʼ-te,chu-hlä-hä,chuhlʼ-kǔ-cheʼ,chu-wunʼ-wä,chu-chihlʼ-wa,chu-chihlʼ-wä,chu-wunʼ-wä,chu-chihlʼ-wä,chu-chǔʼ-se,chu-chǔʼ-se,chu-wunʼ-wä,chup-pǔʼ-che,um-os-sǔsʼ-wä,chu-hläʼ-hä,chu-hläʼ-hä,chu-chihlʼ-wä,um-os-sǔsʼ-wä,chuhlʼ-kǔ-cheʼ,chu-wunʼ-wä,chu-wunʼ-wä,chu-chihlʼ-wä,chu-hläʼ-hä,chuhlʼ-kǔ-cheʼ,chu-chǔʼ-se,chu-chǔʼ-se,chu-pǔʼ-se,chu-chihlʼ-wä,chu-hläʼ-hä,chuhlʼ-kǔ-cheʼ,chu-chǔʼ-se,chuch-husʼ-te,chup-pǔʼ-che,um-it-te-chäˑkeʼ-to,chu-wunʼ-wä,chu-pǔʼ-se,um-os-sǔsʼ-wä,um-os-sǔsʼ-wä,chu-pǔʼ-se,chutchʼ-ke,chuch-kǔʼ-ce,chu-pǔʼ-se,chulʼ-kǔ-cheʼ,chuch-kǔʼ-ce,chuch-kǔʼ-ce,chu-päʼ-wä,chulʼ-kǔ-cheʼ,chuch-kǔʼ-ce,chu-pǔʼ-se,chulʼ-kǔ-cheʼ,chu-pǔʼ-se,chuhlʼ-ke,chuhlʼ-ke,chutchʼ-ke,chu-päʼ-wä,chu-päʼ-wä,chulʼ-kǔ-cheʼ,chu-päʼ-wä
4,0.2599301927099794,1.0397207708399179,0.7797905781299385,chu-chihlʼ-wa,chu-chǔʼ-se,chu-hläʼ-hä,chup-pǔʼ-che,um-os-sǔsʼ-wä,chu-wunʼ-wä,um-it-te-chäˑkeʼ-to,um-os-sǔsʼ-wä,chuch-husʼ-te,chu-hläʼ-hä,chu-chǔʼ-se,chuch-husʼ-te,chu-hläʼ-hä,chu-hlä-hä,chu-wunʼ-wä,chu-pǔʼ-se,chu-chihlʼ-wä,chu-wunʼ-wä,chu-wunʼ-wä,um-os-sǔsʼ-wä,chu-hläʼ-hä,chuhlʼ-kǔ-cheʼ,chu-chǔʼ-se,chu-pǔʼ-se,chuhlʼ-kǔ-cheʼ,chuhlʼ-kǔ-cheʼ,chuhlʼ-kǔ-cheʼ,chu-chihlʼ-wä,chup-pǔʼ-che,chu-chǔʼ-se,um-os-sǔsʼ-wä,chu-pǔʼ-se,chu-wunʼ-wä,chu-pǔʼ-se,chu-chǔʼ-se,chu-chihlʼ-wä,chu-chihlʼ-wä,chu-wunʼ-wä,chu-chihlʼ-wä,chuch-kǔʼ-ce,chu-päʼ-wä,chu-pǔʼ-se,chuhlʼ-ke,chulʼ-kǔ-cheʼ,chutchʼ-ke,chu-päʼ-wä,chu-pǔʼ-se,chuch-kǔʼ-ce,chu-pǔʼ-se,chu-päʼ-wä,chutchʼ-ke,chulʼ-kǔ-cheʼ,chulʼ-kǔ-cheʼ,chu-päʼ-wä,chuhlʼ-ke,chuch-kǔʼ-ce,chulʼ-kǔ-cheʼ,chuch-kǔʼ-ce,chu-pǔʼ-se
5,0.17328679513998624,1.0397207708399179,0.8664339756999316,chu-wunʼ-wä,chuch-husʼ-te,um-os-sǔsʼ-wä,chu-hläʼ-hä,chup-pǔʼ-che,chuhlʼ-kǔ-cheʼ,chu-chǔʼ-se,chu-chihlʼ-wä,chu-chihlʼ-wa,chu-chǔʼ-se,chu-pǔʼ-se,chu-pǔʼ-se,chuhlʼ-kǔ-cheʼ,chu-pǔʼ-se,um-os-sǔsʼ-wä,chu-wunʼ-wä,chuhlʼ-kǔ-cheʼ,chu-hläʼ-hä,chu-chǔʼ-se,chu-chihlʼ-wä,chuhlʼ-kǔ-cheʼ,chup-pǔʼ-che,chu-chihlʼ-wä,chu-pǔʼ-se,chu-chǔʼ-se,um-os-sǔsʼ-wä,chu-hlä-hä,chu-chǔʼ-se,chu-chihlʼ-wä,chu-chihlʼ-wä,chu-hläʼ-hä,chu-wunʼ-wä,um-os-sǔsʼ-wä,chu-hläʼ-hä,chu-wunʼ-wä,um-it-te-chäˑkeʼ-to,chu-wunʼ-wä,chuch-husʼ-te,chu-wunʼ-wä,chuch-kǔʼ-ce,chutchʼ-ke,chu-päʼ-wä,chuhlʼ-ke,chuch-kǔʼ-ce,chu-päʼ-wä,chulʼ-kǔ-cheʼ,chulʼ-kǔ-cheʼ,chu-pǔʼ-se,chu-päʼ-wä,chu-pǔʼ-se,chulʼ-kǔ-cheʼ,chuhlʼ-ke,chuch-kǔʼ-ce,chutchʼ-ke,chu-pǔʼ-se,chuch-kǔʼ-ce,chulʼ-kǔ-cheʼ,chu-päʼ-wä,chu-pǔʼ-se
6,0.17328679513998624,1.0397207708399179,0.8664339756999316,chuhlʼ-kǔ-cheʼ,chuhlʼ-kǔ-cheʼ,chu-wunʼ-wä,chu-wunʼ-wä,chuhlʼ-kǔ-cheʼ,chuch-husʼ-te,chu-chǔʼ-se,chu-hläʼ-hä,um-os-sǔsʼ-wä,um-os-sǔsʼ-wä,chu-hläʼ-hä,chu-hlä-hä,chu-pǔʼ-se,chup-pǔʼ-che,chu-wunʼ-wä,um-os-sǔsʼ-wä,chu-chǔʼ-se,chu-chihlʼ-wä,chu-pǔʼ-se,chup-pǔʼ-che,chu-chihlʼ-wä,chuch-husʼ-te,chu-wunʼ-wä,chu-pǔʼ-se,chu-chihlʼ-wa,chu-chihlʼ-wä,chu-chǔʼ-se,chu-pǔʼ-se,chu-chihlʼ-wä,chu-hläʼ-hä,chu-chǔʼ-se,chu-chǔʼ-se,chu-wunʼ-wä,um-os-sǔsʼ-wä,chu-wunʼ-wä,um-it-te-chäˑkeʼ-to,chuhlʼ-kǔ-cheʼ,chu-hläʼ-hä,chu-chihlʼ-wä,chulʼ-kǔ-cheʼ,chu-päʼ-wä,chulʼ-kǔ-cheʼ,chu-pǔʼ-se,chu-pǔʼ-se,chu-pǔʼ-se,chuhlʼ-ke,chulʼ-kǔ-cheʼ,chuch-kǔʼ-ce,chuch-kǔʼ-ce,chuch-kǔʼ-ce,chu-pǔʼ-se,chulʼ-kǔ-cheʼ,chu-päʼ-wä,chu-päʼ-wä,chuch-kǔʼ-ce,chutchʼ-ke,chuhlʼ-ke,chu-päʼ-wä,chutchʼ-ke
7,0.3465735902799727,1.3862943611198906,1.0397207708399179,chuhlʼ-kǔ-cheʼ,chu-wunʼ-wä,chuch-husʼ-te,chuhlʼ-kǔ-cheʼ,chu-hläʼ-hä,chu-hläʼ-hä,um-it-te-chäˑkeʼ-to,chu-wunʼ-wä,chu-chǔʼ-se,chu-pǔʼ-se,chu-pǔʼ-se,chu-chihlʼ-wä,chu-wunʼ-wä,chu-wunʼ-wä,um-os-sǔsʼ-wä,chu-hläʼ-hä,chu-chihlʼ-wä,chu-chihlʼ-wa,chu-pǔʼ-se,chuhlʼ-kǔ-cheʼ,chu-chǔʼ-se,chu-chǔʼ-se,um-os-sǔsʼ-wä,chu-hlä-hä,chuch-husʼ-te,chup-pǔʼ-che,chu-pǔʼ-se,chu-hläʼ-hä,chu-chihlʼ-wä,um-os-sǔsʼ-wä,chu-chǔʼ-se,chup-pǔʼ-che,chu-chihlʼ-wä,chu-wunʼ-wä,chu-chihlʼ-wä,um-os-sǔsʼ-wä,chuhlʼ-kǔ-cheʼ,chu-wunʼ-wä,chu-chǔʼ-se,chulʼ-kǔ-cheʼ,chu-pǔʼ-se,chu-päʼ-wä,chulʼ-kǔ-cheʼ,chulʼ-kǔ-cheʼ,chu-pǔʼ-se,chuch-kǔʼ-ce,chuhlʼ-ke,chu-päʼ-wä,chu-päʼ-wä,chuch-kǔʼ-ce,chutchʼ-ke,chu-pǔʼ-se,chuch-kǔʼ-ce,chuhlʼ-ke,chulʼ-kǔ-cheʼ,chu-pǔʼ-se,chutchʼ-ke,chuch-kǔʼ-ce,chu-päʼ-wä
8,0.2599301927099794,1.0397207708399179,0.7797905781299385,um-os-sǔsʼ-wä,chu-pǔʼ-se,chup-pǔʼ-che,chu-wunʼ-wä,chu-wunʼ-wä,chu-hläʼ-hä,chu-chihlʼ-wä,chu-wunʼ-wä,chu-chǔʼ-se,chu-chihlʼ-wä,chu-hläʼ-hä,um-it-te-chäˑkeʼ-to,chu-chǔʼ-se,chu-hläʼ-hä,chu-hläʼ-hä,chu-pǔʼ-se,chuch-husʼ-te,chu-wunʼ-wä,chu-chǔʼ-se,um-os-sǔsʼ-wä,chuhlʼ-kǔ-cheʼ,chu-chihlʼ-wa,chu-pǔʼ-se,chuhlʼ-kǔ-cheʼ,chu-hlä-hä,chuhlʼ-kǔ-cheʼ,chu-chihlʼ-wä,chu-pǔʼ-se,chu-chihlʼ-wä,um-os-sǔsʼ-wä,chuhlʼ-kǔ-cheʼ,chup-pǔʼ-che,chu-wunʼ-wä,chu-chǔʼ-se,um-os-sǔsʼ-wä,chu-wunʼ-wä,chu-chǔʼ-se,chuch-husʼ-te,chu-chihlʼ-wä,chu-pǔʼ-se,chuhlʼ-ke,chu-päʼ-wä,chutchʼ-ke,chuch-kǔʼ-ce,chuch-kǔʼ-ce,chulʼ-kǔ-cheʼ,chu-pǔʼ-se,chu-pǔʼ-se,chuch-kǔʼ-ce,chu-päʼ-wä,chulʼ-kǔ-cheʼ,chuhlʼ-ke,chulʼ-kǔ-cheʼ,chu-pǔʼ-se,chutchʼ-ke,chulʼ-kǔ-cheʼ,chu-päʼ-wä,chu-päʼ-wä,chuch-kǔʼ-ce
9,0.6931471805599453,1.3862943611198906,0.6931471805599453,chu-wunʼ-wä,chuhlʼ-kǔ-cheʼ,chu-chihlʼ-wä,chu-pǔʼ-se,chu-hläʼ-hä,chu-wunʼ-wä,chu-chihlʼ-wä,um-os-sǔsʼ-wä,chu-pǔʼ-se,chuch-husʼ-te,chu-wunʼ-wä,chu-hläʼ-hä,chu-hläʼ-hä,chu-pǔʼ-se,chu-wunʼ-wä,chu-chǔʼ-se,chuch-husʼ-te,chu-chihlʼ-wä,um-os-sǔsʼ-wä,chu-chihlʼ-wa,chup-pǔʼ-che,chu-chǔʼ-se,chu-hlä-hä,chu-chihlʼ-wä,chu-chǔʼ-se,chuhlʼ-kǔ-cheʼ,um-os-sǔsʼ-wä,um-os-sǔsʼ-wä,chup-pǔʼ-che,chuhlʼ-kǔ-cheʼ,um-it-te-chäˑkeʼ-to,chu-hläʼ-hä,chu-wunʼ-wä,chuhlʼ-kǔ-cheʼ,chu-wunʼ-wä,chu-chihlʼ-wä,chu-chǔʼ-se,chu-pǔʼ-se,chu-chǔʼ-se,chu-päʼ-wä,chuhlʼ-ke,chulʼ-kǔ-cheʼ,chuhlʼ-ke,chu-päʼ-wä,chuch-kǔʼ-ce,chulʼ-kǔ-cheʼ,chuch-kǔʼ-ce,chu-pǔʼ-se,chulʼ-kǔ-cheʼ,chutchʼ-ke,chu-päʼ-wä,chu-pǔʼ-se,chulʼ-kǔ-cheʼ,chu-päʼ-wä,chuch-kǔʼ-ce,chu-pǔʼ-se,chutchʼ-ke,chuch-kǔʼ-ce,chu-pǔʼ-se
