simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ
0,0.3186614633132494,1.3633043805213236,1.0446429172080742,dantjanak jang toeana,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,dantjanak laki,pasanakan,pasanakan,pasanakan,dantjanak jang toeana,pasanakan,pasanakan,adi,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,dantjanak bini,pasanakan,pasanakan,dantjanak laki,pasanakan,pasanakan,pasanakan,pasanakan,adi,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,dantjanak bini,papa dantjanaka,ina,dado,dado,dado,dado,papa dèkèa,papa dantjanaka,"papā, abā",dado,dado,dado,papa dèkèa,ina,dado
1,0.16242202415625018,1.335345451522163,1.1729234273659128,adi,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,dantjanak jang toeana,pasanakan,dantjanak laki,dantjanak jang toeana,pasanakan,adi,pasanakan,pasanakan,dantjanak laki,pasanakan,pasanakan,dantjanak bini,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,dantjanak bini,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,dado,papa dèkèa,dado,dado,dado,"papā, abā",ina,papa dèkèa,dado,ina,dado,papa dantjanaka,papa dantjanaka,dado,dado
2,0.19140115705249605,1.335345451522163,1.143944294469667,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,dantjanak laki,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,dantjanak jang toeana,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,dantjanak jang toeana,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,adi,pasanakan,dantjanak laki,dantjanak bini,pasanakan,dantjanak bini,pasanakan,pasanakan,adi,dado,dado,ina,ina,dado,dado,papa dèkèa,"papā, abā",papa dantjanaka,papa dèkèa,dado,papa dantjanaka,dado,dado,dado
3,0.22058478280631144,1.3205716222356068,1.0999868394292953,pasanakan,adi,pasanakan,pasanakan,pasanakan,pasanakan,dantjanak bini,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,dantjanak jang toeana,adi,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,dantjanak laki,pasanakan,pasanakan,dantjanak jang toeana,dantjanak bini,pasanakan,dantjanak laki,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,papa dantjanaka,papa dèkèa,papa dantjanaka,dado,dado,ina,dado,dado,dado,dado,ina,papa dèkèa,dado,dado,"papā, abā"
4,0.08318807918846716,1.1930051828320978,1.1098171036436306,pasanakan,pasanakan,pasanakan,pasanakan,dantjanak laki,pasanakan,pasanakan,pasanakan,pasanakan,dantjanak laki,dantjanak bini,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,dantjanak jang toeana,dantjanak jang toeana,pasanakan,pasanakan,pasanakan,pasanakan,adi,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,adi,dantjanak bini,pasanakan,pasanakan,dado,dado,dado,dado,ina,papa dèkèa,papa dantjanaka,dado,dado,ina,"papā, abā",dado,dado,papa dantjanaka,papa dèkèa
5,0.15323908759321525,1.376814677250533,1.2235755896573177,pasanakan,dantjanak bini,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,adi,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,dantjanak bini,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,dantjanak laki,pasanakan,dantjanak jang toeana,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,dantjanak jang toeana,pasanakan,pasanakan,adi,dantjanak laki,pasanakan,dado,"papā, abā",papa dantjanaka,papa dèkèa,dado,papa dantjanaka,ina,dado,dado,dado,dado,dado,ina,papa dèkèa,dado
6,0.1016401156693314,1.2533110807532748,1.1516709650839434,dantjanak jang toeana,adi,pasanakan,pasanakan,pasanakan,pasanakan,dantjanak bini,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,dantjanak bini,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,dantjanak jang toeana,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,dantjanak laki,dantjanak laki,pasanakan,pasanakan,adi,pasanakan,dado,papa dantjanaka,ina,dado,dado,papa dantjanaka,dado,dado,ina,dado,"papā, abā",papa dèkèa,dado,dado,papa dèkèa
7,0.12219659149999895,1.2235762951264344,1.1013797036264354,pasanakan,pasanakan,dantjanak bini,dantjanak jang toeana,pasanakan,dantjanak laki,dantjanak laki,pasanakan,pasanakan,adi,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,adi,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,dantjanak bini,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,dantjanak jang toeana,pasanakan,pasanakan,pasanakan,papa dantjanaka,dado,dado,papa dantjanaka,papa dèkèa,dado,dado,dado,dado,dado,"papā, abā",ina,dado,ina,papa dèkèa
8,0.23652602934589395,1.3633043805213236,1.1267783511754297,pasanakan,dantjanak bini,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,dantjanak jang toeana,pasanakan,pasanakan,dantjanak laki,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,adi,pasanakan,pasanakan,pasanakan,dantjanak bini,pasanakan,pasanakan,adi,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,dantjanak laki,dantjanak jang toeana,pasanakan,papa dantjanaka,dado,papa dèkèa,dado,dado,papa dantjanaka,dado,dado,papa dèkèa,"papā, abā",dado,ina,ina,dado,dado
9,0.15727705798531577,1.335345451522163,1.1780683935368472,pasanakan,dantjanak bini,pasanakan,dantjanak laki,adi,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,dantjanak bini,pasanakan,pasanakan,pasanakan,dantjanak jang toeana,pasanakan,pasanakan,pasanakan,dantjanak jang toeana,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,pasanakan,dantjanak laki,pasanakan,pasanakan,pasanakan,pasanakan,adi,pasanakan,pasanakan,pasanakan,dado,dado,papa dantjanaka,dado,dado,papa dèkèa,dado,dado,ina,papa dantjanaka,dado,ina,"papā, abā",dado,papa dèkèa
