simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.12775359891492433,1.192854958575232,1.0651013596603076,tuahine,teina,tuakana,tungaane,teina,teina,tuahine,teina,tuahine,tuahine,tuahine,teina,tuahine,teina,tungaane,tungaane,tuakana,tuakana,tungaane,teina,tuakana,tuahine,tungaane,tuahine,teina,tungaane,tuahine,teina,tuakana,tuakana,tungaane,tuakana,tungaane,tuakana,tuakana,tungaane,tungaane,tuahine,"whaea, matua keekee, matakeekee","matua, matua keekee, matakeekee","whaea, matua keekee, matakeekee","matua, matua keekee, matakeekee","whaea, matua keekee, matakeekee","matua, matua keekee, matakeekee","matua, matua keekee, matakeekee","matua, matua keekee, matakeekee","matua wahine, whaea","whaea, matua keekee, matakeekee","matua wahine, whaea","whaea, matua keekee, matakeekee","matua, matua keekee, matakeekee","whaea, matua keekee, matakeekee","whaea, matua keekee, matakeekee","matua, matua keekee, matakeekee","matua, matua keekee, matakeekee",matua,matua,"whaea, matua keekee, matakeekee"
1,0.14799644556584735,1.2135652713163758,1.0655688257505285,teina,tuahine,tuahine,teina,tuakana,tuakana,teina,tuahine,tuahine,tuahine,tuakana,tungaane,tungaane,teina,tungaane,tungaane,tuakana,teina,tuahine,tuahine,tungaane,tuahine,tungaane,tuakana,teina,tuakana,tuakana,teina,teina,tungaane,teina,tuahine,tungaane,tuakana,tuakana,tungaane,tungaane,tuahine,"whaea, matua keekee, matakeekee","matua wahine, whaea",matua,"matua, matua keekee, matakeekee","matua, matua keekee, matakeekee","matua, matua keekee, matakeekee","matua, matua keekee, matakeekee","matua, matua keekee, matakeekee","whaea, matua keekee, matakeekee","whaea, matua keekee, matakeekee","whaea, matua keekee, matakeekee",matua,"whaea, matua keekee, matakeekee","whaea, matua keekee, matakeekee","whaea, matua keekee, matakeekee","whaea, matua keekee, matakeekee","matua wahine, whaea","matua, matua keekee, matakeekee","matua, matua keekee, matakeekee","matua, matua keekee, matakeekee"
2,0.15988694131370362,1.1403524705011352,0.9804655291874316,tuakana,tungaane,tuakana,teina,tuahine,tuahine,tuahine,teina,tuahine,tungaane,teina,tungaane,tuahine,tuahine,tuakana,tungaane,tungaane,teina,tuakana,teina,tuakana,teina,tuakana,tuahine,tuakana,tungaane,tuahine,tuakana,teina,tuahine,tungaane,tuakana,tuahine,teina,tungaane,teina,tungaane,tungaane,"whaea, matua keekee, matakeekee","whaea, matua keekee, matakeekee","whaea, matua keekee, matakeekee","matua, matua keekee, matakeekee","matua, matua keekee, matakeekee","matua wahine, whaea","matua, matua keekee, matakeekee","whaea, matua keekee, matakeekee","matua wahine, whaea",matua,"matua, matua keekee, matakeekee","whaea, matua keekee, matakeekee","matua, matua keekee, matakeekee",matua,"matua, matua keekee, matakeekee","whaea, matua keekee, matakeekee","matua, matua keekee, matakeekee","whaea, matua keekee, matakeekee","whaea, matua keekee, matakeekee","matua, matua keekee, matakeekee"
3,0.07563522010209534,1.1403524705011352,1.0647172503990399,tuakana,tuakana,tuahine,tuahine,teina,teina,tuahine,teina,tuakana,tuakana,tungaane,teina,teina,tungaane,tungaane,teina,tuahine,tuahine,tungaane,tungaane,tuahine,tungaane,tungaane,tuakana,tuahine,tungaane,teina,tuakana,tuahine,tuahine,teina,tuahine,teina,tungaane,tuakana,tuakana,tungaane,tuakana,"whaea, matua keekee, matakeekee","matua, matua keekee, matakeekee","whaea, matua keekee, matakeekee","matua, matua keekee, matakeekee","whaea, matua keekee, matakeekee",matua,"whaea, matua keekee, matakeekee","whaea, matua keekee, matakeekee","matua wahine, whaea","matua wahine, whaea","matua, matua keekee, matakeekee","matua, matua keekee, matakeekee","whaea, matua keekee, matakeekee",matua,"whaea, matua keekee, matakeekee","whaea, matua keekee, matakeekee","matua, matua keekee, matakeekee","matua, matua keekee, matakeekee","matua, matua keekee, matakeekee","matua, matua keekee, matakeekee"
4,0.23808479296417584,1.1907686023357982,0.9526838093716223,tuahine,tungaane,teina,tuakana,tuahine,tuakana,tuahine,tuahine,tuakana,tuakana,tuakana,tuahine,tuakana,tungaane,tuahine,tungaane,teina,teina,teina,tungaane,teina,tuakana,teina,tuahine,tuakana,teina,tungaane,teina,tuahine,tungaane,teina,tuakana,tungaane,tuahine,tungaane,tungaane,tuahine,tungaane,"matua, matua keekee, matakeekee","whaea, matua keekee, matakeekee","whaea, matua keekee, matakeekee","whaea, matua keekee, matakeekee","whaea, matua keekee, matakeekee","whaea, matua keekee, matakeekee","matua, matua keekee, matakeekee","matua, matua keekee, matakeekee","matua wahine, whaea","matua, matua keekee, matakeekee","matua, matua keekee, matakeekee",matua,matua,"matua, matua keekee, matakeekee","matua, matua keekee, matakeekee","whaea, matua keekee, matakeekee","matua wahine, whaea","matua, matua keekee, matakeekee","whaea, matua keekee, matakeekee","whaea, matua keekee, matakeekee"
5,0.15850493438223978,1.2149847829974896,1.0564798486152498,teina,tuakana,tungaane,tuahine,tungaane,tuakana,tungaane,tungaane,teina,tuakana,tuahine,tuakana,tuahine,teina,tuakana,tuakana,tungaane,tungaane,tuahine,tuakana,tuahine,tungaane,tungaane,tuahine,teina,teina,teina,tuahine,tuakana,teina,tuakana,teina,tuahine,tungaane,tungaane,tuahine,teina,tuahine,"whaea, matua keekee, matakeekee","matua, matua keekee, matakeekee",matua,"whaea, matua keekee, matakeekee","matua, matua keekee, matakeekee","whaea, matua keekee, matakeekee","whaea, matua keekee, matakeekee","matua, matua keekee, matakeekee","whaea, matua keekee, matakeekee","matua, matua keekee, matakeekee","matua, matua keekee, matakeekee","matua, matua keekee, matakeekee","matua, matua keekee, matakeekee","whaea, matua keekee, matakeekee","whaea, matua keekee, matakeekee","matua wahine, whaea","matua wahine, whaea",matua,"whaea, matua keekee, matakeekee","matua, matua keekee, matakeekee"
6,0.18064202983240252,1.2135652713163756,1.032923241483973,tungaane,teina,teina,tuakana,tuakana,tungaane,tuahine,tuahine,tuahine,tuahine,tungaane,teina,tuahine,tuahine,teina,tungaane,tuakana,teina,tuakana,tuakana,tungaane,tuahine,tuahine,tuakana,tuakana,tungaane,tuahine,tuakana,tungaane,tuahine,teina,tungaane,teina,tuakana,tungaane,tungaane,teina,teina,"whaea, matua keekee, matakeekee","whaea, matua keekee, matakeekee","whaea, matua keekee, matakeekee","matua wahine, whaea","matua, matua keekee, matakeekee","matua, matua keekee, matakeekee","whaea, matua keekee, matakeekee",matua,"matua, matua keekee, matakeekee","matua, matua keekee, matakeekee","matua, matua keekee, matakeekee","whaea, matua keekee, matakeekee","whaea, matua keekee, matakeekee","matua, matua keekee, matakeekee","matua wahine, whaea","matua, matua keekee, matakeekee","matua, matua keekee, matakeekee","whaea, matua keekee, matakeekee",matua,"whaea, matua keekee, matakeekee"
7,0.28200047555429686,1.192854958575232,0.9108544830209351,teina,tuakana,teina,tuahine,teina,tungaane,tuakana,tuahine,tuahine,tungaane,tuakana,tuahine,tuahine,tuahine,tuakana,tuakana,tuahine,tuakana,tungaane,tungaane,teina,tuakana,tuahine,teina,teina,tungaane,tungaane,tuakana,tuahine,tuahine,tungaane,teina,tungaane,tungaane,teina,tungaane,tuakana,teina,"whaea, matua keekee, matakeekee","whaea, matua keekee, matakeekee","matua, matua keekee, matakeekee","whaea, matua keekee, matakeekee","whaea, matua keekee, matakeekee","matua, matua keekee, matakeekee",matua,"matua, matua keekee, matakeekee","matua, matua keekee, matakeekee","whaea, matua keekee, matakeekee","matua, matua keekee, matakeekee","whaea, matua keekee, matakeekee","matua, matua keekee, matakeekee","whaea, matua keekee, matakeekee",matua,"whaea, matua keekee, matakeekee","matua wahine, whaea","matua wahine, whaea","matua, matua keekee, matakeekee","matua, matua keekee, matakeekee"
8,0.12832981761636142,1.1403524705011352,1.0120226528847738,tungaane,tuakana,tuakana,teina,tuakana,tungaane,teina,teina,tungaane,tuahine,teina,tuahine,tuahine,tuakana,tungaane,tungaane,tungaane,teina,tuahine,tungaane,tuahine,tungaane,tungaane,teina,tuahine,teina,tuakana,teina,tuahine,teina,tungaane,tuakana,tuakana,tuakana,tuahine,tuahine,tuahine,tuakana,"whaea, matua keekee, matakeekee","whaea, matua keekee, matakeekee","matua, matua keekee, matakeekee","whaea, matua keekee, matakeekee","matua, matua keekee, matakeekee","matua, matua keekee, matakeekee","whaea, matua keekee, matakeekee","matua, matua keekee, matakeekee","whaea, matua keekee, matakeekee","matua wahine, whaea","matua, matua keekee, matakeekee","matua, matua keekee, matakeekee","matua, matua keekee, matakeekee",matua,"matua wahine, whaea",matua,"whaea, matua keekee, matakeekee","whaea, matua keekee, matakeekee","matua, matua keekee, matakeekee","whaea, matua keekee, matakeekee"
9,0.12464886664074859,1.2135652713163756,1.088916404675627,tuakana,teina,tuahine,teina,tungaane,tuahine,tuakana,tungaane,tuahine,tuahine,tuakana,tuahine,tuakana,teina,tungaane,tuahine,teina,teina,tuakana,tuakana,tungaane,teina,tungaane,tuahine,tuakana,tungaane,tuahine,tuakana,teina,tuakana,tungaane,teina,tungaane,tungaane,tuahine,tuahine,tungaane,teina,"matua, matua keekee, matakeekee","matua, matua keekee, matakeekee",matua,"whaea, matua keekee, matakeekee",matua,"whaea, matua keekee, matakeekee","matua, matua keekee, matakeekee","whaea, matua keekee, matakeekee","whaea, matua keekee, matakeekee","matua, matua keekee, matakeekee","whaea, matua keekee, matakeekee","matua wahine, whaea","matua wahine, whaea","matua, matua keekee, matakeekee","matua, matua keekee, matakeekee","whaea, matua keekee, matakeekee","whaea, matua keekee, matakeekee","matua, matua keekee, matakeekee","whaea, matua keekee, matakeekee","matua, matua keekee, matakeekee"
