simulation_number,mutual_information,entropy,conditional_entropy,fMZyS,mMZyS,fMZeD,fMZyD,mMZeD,mMZyD,mMZeS,fFByD,mFByD,fyB,myB,feB,meB,fyZ,myZ,fFZeS,fFZyS,fMBeS,fMByS,mFZeS,mFZyS,mMBeS,mMByS,fFZeD,fFZyD,fMBeD,fMByD,mFZeD,mFZyD,mMBeD,mMByD,fFBeS,fFByS,mFByS,mFBeS,mFBeD,fFBeD,feZ,meZ,fF,mF,fFyZ,mFyZ,fFeZ,mFeZ,fMyZ,mMyZ,fMeB,fMyB,mMeB,mMyB,fM,mM,fFeB,mFeB,fFyB,mFyB,fMeZ,mMeZ
0,0.5198603854199589,1.3862943611198906,0.8664339756999316,wo-tě mei-mei,wo-tě e-peaon-tsze-mei,wo-tě e-peaon-tsze-mei,wo-tě peaon-heung-te,wo-tě peaon-tsze-mei,wo-tě mei-mei,wo-tě e-peaon-heung-te,wo-tě peaon-heung-te,wo-tě e-peason-heung-te,"wo-tě tseay-tseay, tsze",wo-tě ko-ko,wo-tě peaon-tsze-mei,wo-tě peaon-heung-te,wo-tě e-peaon-tsze-mei,wo-tě e-tang-tsze-mei,wo-tě ko-ko,wo-tě tang-tsze-mei,wo-tě peaon-tsze-mei,wo-tě peaon-heung-te,wo-tě peaon-heung-te,wo-tě e-tang-tsze-mei,wo-tě peaon-tsze-mei,wo-tě peaon-heung-te,wo-tě tang-heung-te,wo-tě tang-tse-mei,wo-tě e-peaon-heung-te,"wo-tě heung-te, a-te",wo-tě peaon-tsze-mei,wo-tě e-peaon-tsze-mei,wo-tě tang-heung-te,wo-tě peaon-tsze-mei,wo-tě peaon-tsze-mei,wo-tě tang-heung-te,wo-tě peaon-heung-te,wo-tě peaon-tsze-mei,wo-tě peaon-heung-te,wo-tě tang-heung-te,"wo-tě heung-te, a-te","wo-tě tseay-tseay, tsze",wo-tě ta-e-ma,wo-tě kǔtseay,wo-tě leaon-e-ma,wo-tě poh-fǔ,wo-tě mo-kew,wo-tě kǔ-mo,wo-tě mo-kew,wo-tě fǔ-tsin,wo-tě kǔtseay,wo-tě mo-kew,wo-tě ta-e-ma,wo-tě fǔ-tsin,wo-tě poh-fǔ,"wo-tě mo-tsin, kea-mo",wo-tě leaon-e-ma,wo-tě shuh-fǔ,wo-tě mo-kew,wo-tě kǔ-mo,wo-tě shuh-fǔ,"wo-tě mo-tsin, kea-mo"
1,0.22722718372469508,1.0397207708399179,0.8124935871152228,wo-tě mei-mei,wo-tě peaon-tsze-mei,wo-tě tang-heung-te,"wo-tě tseay-tseay, tsze",wo-tě ko-ko,wo-tě mei-mei,wo-tě tang-heung-te,wo-tě e-peaon-tsze-mei,wo-tě e-peaon-tsze-mei,wo-tě peaon-heung-te,"wo-tě tseay-tseay, tsze",wo-tě peaon-tsze-mei,wo-tě peaon-heung-te,wo-tě peaon-tsze-mei,wo-tě e-peaon-heung-te,wo-tě peaon-heung-te,wo-tě tang-heung-te,wo-tě peaon-tsze-mei,wo-tě e-peaon-tsze-mei,wo-tě e-tang-tsze-mei,wo-tě peaon-tsze-mei,"wo-tě heung-te, a-te",wo-tě e-peaon-heung-te,wo-tě e-peaon-tsze-mei,wo-tě ko-ko,wo-tě tang-tse-mei,wo-tě peaon-tsze-mei,wo-tě tang-heung-te,wo-tě peaon-tsze-mei,wo-tě peaon-heung-te,wo-tě peaon-heung-te,wo-tě tang-tsze-mei,wo-tě peaon-heung-te,wo-tě peaon-heung-te,"wo-tě heung-te, a-te",wo-tě e-peason-heung-te,wo-tě peaon-tsze-mei,wo-tě e-tang-tsze-mei,wo-tě peaon-heung-te,wo-tě leaon-e-ma,wo-tě shuh-fǔ,wo-tě poh-fǔ,wo-tě fǔ-tsin,"wo-tě mo-tsin, kea-mo",wo-tě poh-fǔ,wo-tě fǔ-tsin,wo-tě ta-e-ma,wo-tě mo-kew,wo-tě leaon-e-ma,wo-tě kǔtseay,wo-tě shuh-fǔ,wo-tě kǔ-mo,wo-tě kǔ-mo,wo-tě mo-kew,wo-tě mo-kew,wo-tě mo-kew,"wo-tě mo-tsin, kea-mo",wo-tě kǔtseay,wo-tě ta-e-ma
2,0.3465735902799726,1.0397207708399179,0.6931471805599453,wo-tě tang-heung-te,wo-tě peaon-tsze-mei,wo-tě mei-mei,wo-tě tang-tse-mei,wo-tě e-peaon-tsze-mei,wo-tě peaon-heung-te,wo-tě peaon-heung-te,wo-tě e-peaon-heung-te,"wo-tě heung-te, a-te",wo-tě peaon-tsze-mei,wo-tě tang-heung-te,wo-tě peaon-heung-te,wo-tě e-tang-tsze-mei,wo-tě peaon-heung-te,wo-tě e-peason-heung-te,wo-tě peaon-heung-te,"wo-tě tseay-tseay, tsze",wo-tě mei-mei,wo-tě e-peaon-tsze-mei,"wo-tě heung-te, a-te",wo-tě ko-ko,wo-tě e-tang-tsze-mei,wo-tě e-peaon-tsze-mei,wo-tě e-peaon-heung-te,wo-tě peaon-tsze-mei,wo-tě peaon-tsze-mei,wo-tě tang-heung-te,wo-tě peaon-tsze-mei,wo-tě peaon-heung-te,wo-tě ko-ko,wo-tě peaon-tsze-mei,wo-tě e-peaon-tsze-mei,wo-tě tang-tsze-mei,wo-tě peaon-tsze-mei,wo-tě peaon-heung-te,wo-tě peaon-tsze-mei,wo-tě tang-heung-te,wo-tě peaon-heung-te,"wo-tě tseay-tseay, tsze",wo-tě leaon-e-ma,wo-tě leaon-e-ma,wo-tě kǔ-mo,wo-tě mo-kew,wo-tě mo-kew,wo-tě fǔ-tsin,wo-tě ta-e-ma,wo-tě kǔtseay,"wo-tě mo-tsin, kea-mo",wo-tě shuh-fǔ,wo-tě shuh-fǔ,wo-tě ta-e-ma,wo-tě mo-kew,wo-tě poh-fǔ,wo-tě mo-kew,wo-tě kǔtseay,wo-tě fǔ-tsin,"wo-tě mo-tsin, kea-mo",wo-tě kǔ-mo,wo-tě poh-fǔ
3,0.3465735902799727,1.3862943611198906,1.0397207708399179,wo-tě peaon-tsze-mei,"wo-tě tseay-tseay, tsze",wo-tě tang-heung-te,wo-tě peaon-tsze-mei,"wo-tě heung-te, a-te",wo-tě peaon-tsze-mei,wo-tě peaon-heung-te,wo-tě peaon-heung-te,wo-tě tang-heung-te,wo-tě e-tang-tsze-mei,wo-tě e-peaon-tsze-mei,wo-tě tang-tse-mei,wo-tě peaon-heung-te,wo-tě peaon-heung-te,"wo-tě tseay-tseay, tsze",wo-tě tang-tsze-mei,wo-tě tang-heung-te,wo-tě ko-ko,wo-tě mei-mei,wo-tě peaon-heung-te,wo-tě e-peason-heung-te,wo-tě e-peaon-heung-te,wo-tě ko-ko,wo-tě peaon-heung-te,wo-tě peaon-heung-te,wo-tě mei-mei,wo-tě peaon-tsze-mei,wo-tě tang-heung-te,wo-tě e-peaon-tsze-mei,wo-tě peaon-heung-te,wo-tě e-tang-tsze-mei,wo-tě e-peaon-tsze-mei,"wo-tě heung-te, a-te",wo-tě e-peaon-heung-te,wo-tě peaon-tsze-mei,wo-tě peaon-tsze-mei,wo-tě e-peaon-tsze-mei,wo-tě peaon-tsze-mei,wo-tě peaon-tsze-mei,wo-tě ta-e-ma,wo-tě mo-kew,wo-tě kǔ-mo,wo-tě shuh-fǔ,"wo-tě mo-tsin, kea-mo",wo-tě kǔtseay,wo-tě fǔ-tsin,wo-tě kǔtseay,wo-tě poh-fǔ,wo-tě poh-fǔ,wo-tě mo-kew,wo-tě leaon-e-ma,wo-tě kǔ-mo,"wo-tě mo-tsin, kea-mo",wo-tě mo-kew,wo-tě leaon-e-ma,wo-tě fǔ-tsin,wo-tě ta-e-ma,wo-tě shuh-fǔ,wo-tě mo-kew
4,0.6931471805599453,1.3862943611198906,0.6931471805599453,wo-tě peaon-heung-te,wo-tě tang-heung-te,wo-tě e-peason-heung-te,wo-tě peaon-heung-te,wo-tě peaon-tsze-mei,wo-tě peaon-heung-te,wo-tě peaon-heung-te,wo-tě mei-mei,wo-tě e-peaon-tsze-mei,wo-tě e-peaon-tsze-mei,wo-tě tang-heung-te,wo-tě tang-tse-mei,wo-tě e-tang-tsze-mei,wo-tě peaon-tsze-mei,"wo-tě tseay-tseay, tsze",wo-tě peaon-tsze-mei,wo-tě peaon-tsze-mei,"wo-tě heung-te, a-te",wo-tě e-peaon-tsze-mei,"wo-tě heung-te, a-te",wo-tě ko-ko,wo-tě peaon-tsze-mei,wo-tě peaon-tsze-mei,wo-tě peaon-heung-te,wo-tě peaon-heung-te,wo-tě ko-ko,wo-tě peaon-tsze-mei,wo-tě peaon-tsze-mei,wo-tě e-tang-tsze-mei,wo-tě mei-mei,wo-tě e-peaon-tsze-mei,wo-tě e-peaon-heung-te,wo-tě e-peaon-heung-te,wo-tě peaon-heung-te,wo-tě tang-heung-te,"wo-tě tseay-tseay, tsze",wo-tě tang-heung-te,wo-tě peaon-heung-te,wo-tě tang-tsze-mei,wo-tě fǔ-tsin,wo-tě mo-kew,"wo-tě mo-tsin, kea-mo",wo-tě mo-kew,wo-tě ta-e-ma,wo-tě poh-fǔ,wo-tě ta-e-ma,wo-tě leaon-e-ma,wo-tě shuh-fǔ,wo-tě fǔ-tsin,wo-tě leaon-e-ma,wo-tě kǔtseay,wo-tě shuh-fǔ,wo-tě kǔ-mo,wo-tě mo-kew,"wo-tě mo-tsin, kea-mo",wo-tě kǔ-mo,wo-tě mo-kew,wo-tě poh-fǔ,wo-tě kǔtseay
5,0.3465735902799726,1.0397207708399179,0.6931471805599453,"wo-tě tseay-tseay, tsze",wo-tě e-peaon-tsze-mei,wo-tě e-peaon-tsze-mei,wo-tě e-peaon-heung-te,wo-tě tang-heung-te,wo-tě ko-ko,"wo-tě tseay-tseay, tsze",wo-tě e-peaon-tsze-mei,wo-tě peaon-heung-te,wo-tě e-tang-tsze-mei,wo-tě peaon-tsze-mei,"wo-tě heung-te, a-te",wo-tě mei-mei,wo-tě mei-mei,wo-tě ko-ko,wo-tě peaon-tsze-mei,wo-tě e-tang-tsze-mei,wo-tě e-peaon-heung-te,wo-tě tang-heung-te,wo-tě peaon-tsze-mei,wo-tě peaon-tsze-mei,wo-tě e-peaon-tsze-mei,"wo-tě heung-te, a-te",wo-tě peaon-tsze-mei,wo-tě peaon-heung-te,wo-tě tang-tse-mei,wo-tě peaon-heung-te,wo-tě peaon-heung-te,wo-tě tang-heung-te,wo-tě peaon-heung-te,wo-tě tang-heung-te,wo-tě peaon-tsze-mei,wo-tě peaon-heung-te,wo-tě peaon-tsze-mei,wo-tě peaon-heung-te,wo-tě tang-tsze-mei,wo-tě e-peason-heung-te,wo-tě peaon-tsze-mei,wo-tě peaon-heung-te,wo-tě fǔ-tsin,wo-tě poh-fǔ,wo-tě kǔtseay,wo-tě mo-kew,wo-tě mo-kew,wo-tě ta-e-ma,wo-tě shuh-fǔ,"wo-tě mo-tsin, kea-mo",wo-tě kǔ-mo,wo-tě kǔtseay,"wo-tě mo-tsin, kea-mo",wo-tě shuh-fǔ,wo-tě leaon-e-ma,wo-tě poh-fǔ,wo-tě ta-e-ma,wo-tě mo-kew,wo-tě mo-kew,wo-tě kǔ-mo,wo-tě fǔ-tsin,wo-tě leaon-e-ma
6,0.3465735902799727,1.3862943611198906,1.0397207708399179,wo-tě mei-mei,wo-tě peaon-tsze-mei,wo-tě e-peaon-tsze-mei,wo-tě tang-tse-mei,wo-tě tang-heung-te,wo-tě ko-ko,wo-tě peaon-tsze-mei,wo-tě peaon-heung-te,"wo-tě heung-te, a-te",wo-tě peaon-tsze-mei,wo-tě e-peason-heung-te,wo-tě peaon-heung-te,"wo-tě heung-te, a-te",wo-tě tang-heung-te,wo-tě tang-heung-te,wo-tě e-peaon-heung-te,wo-tě e-tang-tsze-mei,wo-tě e-peaon-tsze-mei,wo-tě mei-mei,wo-tě peaon-tsze-mei,"wo-tě tseay-tseay, tsze",wo-tě e-peaon-tsze-mei,"wo-tě tseay-tseay, tsze",wo-tě peaon-tsze-mei,wo-tě peaon-heung-te,wo-tě peaon-tsze-mei,wo-tě peaon-tsze-mei,wo-tě e-peaon-heung-te,wo-tě peaon-heung-te,wo-tě ko-ko,wo-tě tang-tsze-mei,wo-tě e-tang-tsze-mei,wo-tě tang-heung-te,wo-tě e-peaon-tsze-mei,wo-tě peaon-heung-te,wo-tě peaon-heung-te,wo-tě peaon-heung-te,wo-tě peaon-tsze-mei,wo-tě peaon-heung-te,wo-tě mo-kew,wo-tě ta-e-ma,wo-tě kǔtseay,wo-tě ta-e-ma,wo-tě shuh-fǔ,wo-tě fǔ-tsin,wo-tě mo-kew,wo-tě kǔ-mo,wo-tě mo-kew,wo-tě poh-fǔ,wo-tě shuh-fǔ,wo-tě leaon-e-ma,wo-tě fǔ-tsin,wo-tě kǔ-mo,wo-tě leaon-e-ma,"wo-tě mo-tsin, kea-mo","wo-tě mo-tsin, kea-mo",wo-tě kǔtseay,wo-tě poh-fǔ,wo-tě mo-kew
7,0.3465735902799727,1.3862943611198906,1.0397207708399179,wo-tě ko-ko,"wo-tě heung-te, a-te",wo-tě mei-mei,wo-tě mei-mei,wo-tě peaon-tsze-mei,wo-tě peaon-tsze-mei,wo-tě ko-ko,wo-tě tang-heung-te,"wo-tě tseay-tseay, tsze","wo-tě tseay-tseay, tsze",wo-tě peaon-tsze-mei,wo-tě peaon-heung-te,wo-tě peaon-heung-te,wo-tě e-peaon-tsze-mei,wo-tě tang-heung-te,wo-tě e-peason-heung-te,wo-tě peaon-tsze-mei,wo-tě tang-tse-mei,wo-tě peaon-heung-te,wo-tě peaon-heung-te,wo-tě peaon-heung-te,wo-tě peaon-heung-te,wo-tě e-peaon-heung-te,wo-tě e-tang-tsze-mei,wo-tě e-peaon-tsze-mei,wo-tě peaon-tsze-mei,wo-tě peaon-heung-te,wo-tě e-peaon-tsze-mei,wo-tě tang-tsze-mei,wo-tě peaon-heung-te,wo-tě peaon-tsze-mei,wo-tě peaon-tsze-mei,wo-tě peaon-tsze-mei,wo-tě e-peaon-heung-te,"wo-tě heung-te, a-te",wo-tě tang-heung-te,wo-tě e-peaon-tsze-mei,wo-tě tang-heung-te,wo-tě e-tang-tsze-mei,wo-tě poh-fǔ,wo-tě kǔtseay,wo-tě shuh-fǔ,wo-tě fǔ-tsin,wo-tě ta-e-ma,wo-tě mo-kew,wo-tě mo-kew,wo-tě ta-e-ma,wo-tě leaon-e-ma,"wo-tě mo-tsin, kea-mo",wo-tě mo-kew,wo-tě leaon-e-ma,wo-tě mo-kew,wo-tě kǔ-mo,wo-tě kǔ-mo,"wo-tě mo-tsin, kea-mo",wo-tě kǔtseay,wo-tě poh-fǔ,wo-tě shuh-fǔ,wo-tě fǔ-tsin
8,0.5198603854199589,1.3862943611198906,0.8664339756999316,wo-tě e-peaon-tsze-mei,wo-tě peaon-tsze-mei,wo-tě peaon-tsze-mei,wo-tě e-peaon-heung-te,wo-tě e-peaon-tsze-mei,wo-tě mei-mei,wo-tě peaon-tsze-mei,wo-tě peaon-tsze-mei,"wo-tě tseay-tseay, tsze",wo-tě peaon-heung-te,"wo-tě heung-te, a-te",wo-tě tang-heung-te,wo-tě tang-heung-te,wo-tě tang-tsze-mei,wo-tě e-peason-heung-te,wo-tě peaon-tsze-mei,wo-tě peaon-heung-te,wo-tě peaon-heung-te,wo-tě peaon-heung-te,wo-tě e-peaon-heung-te,wo-tě e-peaon-tsze-mei,wo-tě peaon-heung-te,wo-tě mei-mei,wo-tě peaon-heung-te,wo-tě peaon-heung-te,"wo-tě heung-te, a-te",wo-tě peaon-heung-te,wo-tě tang-heung-te,wo-tě tang-heung-te,wo-tě e-tang-tsze-mei,wo-tě peaon-tsze-mei,wo-tě ko-ko,wo-tě peaon-tsze-mei,wo-tě peaon-tsze-mei,wo-tě e-tang-tsze-mei,wo-tě ko-ko,wo-tě e-peaon-tsze-mei,"wo-tě tseay-tseay, tsze",wo-tě tang-tse-mei,wo-tě mo-kew,wo-tě kǔ-mo,wo-tě kǔ-mo,wo-tě poh-fǔ,"wo-tě mo-tsin, kea-mo",wo-tě mo-kew,wo-tě poh-fǔ,"wo-tě mo-tsin, kea-mo",wo-tě shuh-fǔ,wo-tě kǔtseay,wo-tě mo-kew,wo-tě kǔtseay,wo-tě shuh-fǔ,wo-tě ta-e-ma,wo-tě mo-kew,wo-tě leaon-e-ma,wo-tě leaon-e-ma,wo-tě fǔ-tsin,wo-tě fǔ-tsin,wo-tě ta-e-ma
9,0.5198603854199589,1.3862943611198906,0.8664339756999316,wo-tě e-tang-tsze-mei,wo-tě peaon-heung-te,wo-tě ko-ko,"wo-tě heung-te, a-te","wo-tě heung-te, a-te",wo-tě peaon-tsze-mei,wo-tě peaon-tsze-mei,wo-tě e-tang-tsze-mei,wo-tě tang-tse-mei,wo-tě mei-mei,wo-tě tang-heung-te,wo-tě peaon-tsze-mei,wo-tě e-peaon-heung-te,wo-tě peaon-heung-te,wo-tě peaon-tsze-mei,wo-tě tang-heung-te,wo-tě e-peaon-tsze-mei,wo-tě e-peaon-tsze-mei,wo-tě peaon-heung-te,wo-tě e-peason-heung-te,wo-tě mei-mei,wo-tě peaon-tsze-mei,wo-tě tang-heung-te,wo-tě e-peaon-tsze-mei,wo-tě peaon-heung-te,wo-tě peaon-tsze-mei,wo-tě peaon-heung-te,wo-tě peaon-heung-te,wo-tě tang-heung-te,wo-tě peaon-heung-te,wo-tě tang-tsze-mei,wo-tě peaon-tsze-mei,wo-tě peaon-tsze-mei,wo-tě e-peaon-tsze-mei,"wo-tě tseay-tseay, tsze",wo-tě peaon-heung-te,"wo-tě tseay-tseay, tsze",wo-tě ko-ko,wo-tě e-peaon-heung-te,wo-tě poh-fǔ,wo-tě mo-kew,wo-tě leaon-e-ma,wo-tě fǔ-tsin,wo-tě shuh-fǔ,wo-tě shuh-fǔ,wo-tě mo-kew,wo-tě mo-kew,wo-tě kǔ-mo,"wo-tě mo-tsin, kea-mo",wo-tě mo-kew,"wo-tě mo-tsin, kea-mo",wo-tě kǔtseay,wo-tě kǔ-mo,wo-tě ta-e-ma,wo-tě ta-e-ma,wo-tě kǔtseay,wo-tě poh-fǔ,wo-tě fǔ-tsin,wo-tě leaon-e-ma
