simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFZS,mMBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mMeZD,mMyZD,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFZS,fMBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fMeZD,fMyZD,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB
0,0.19604943409242748,1.4743985132189144,1.2783490791264869,tyitya,ngatyi,ngatyi,ngatyi,ngatyi,tyuulu,ngatyi,ngatyi,ngatyi,tyitya,ngatyi,ngatyi,jinda,ngatyi,gagu,ngatyi,gambirrganda,tyitya,ngatyi,ngatyi,ngatyi,ngatyi,gambirrganda,ngatyi,ngatyi,tyitya,ngatyi,ngatyi,tyitya,dawa,gagu,tyuulu,ngatyi,ngatyi,tyitya,tyitya,tyitya,tyitya,ngatyi,tyitya,ngatyi,ngatyi,ngatyi,ngatyi,tyitya,ngatyi,ngatyi,tyitya,tyitya,tyitya,ngatyi,ngatyi,ngatyi,tyitya,ngatyi,tyitya,ngatyi,ngatyi,dawa,ngatyi,ngatyi,ngatyi,tyitya,tyitya,ngatyi,tyitya,jinda,tyitya,ngatyi,tyitya,ngatyi,parran,parran,paapa,parran,paapa,parran,parran,miimi,paapa,kawa,kawa,kawa,parran,paapa,miimi,kawa,baali,paapa,kawa,paapa,kawa,baali
1,0.37972936779515987,1.4196939978245626,1.0399646300294028,ngatyi,gagu,gambirrganda,ngatyi,ngatyi,tyitya,gagu,ngatyi,ngatyi,tyitya,tyitya,tyuulu,tyitya,tyitya,ngatyi,ngatyi,tyitya,tyitya,tyitya,ngatyi,tyitya,tyitya,ngatyi,ngatyi,ngatyi,ngatyi,ngatyi,ngatyi,ngatyi,ngatyi,ngatyi,tyitya,ngatyi,ngatyi,tyitya,ngatyi,ngatyi,ngatyi,ngatyi,ngatyi,ngatyi,dawa,tyitya,dawa,ngatyi,ngatyi,tyitya,ngatyi,gambirrganda,ngatyi,tyitya,tyitya,tyitya,ngatyi,tyitya,ngatyi,tyitya,ngatyi,ngatyi,jinda,tyuulu,ngatyi,jinda,ngatyi,tyitya,tyitya,ngatyi,ngatyi,ngatyi,ngatyi,ngatyi,kawa,baali,parran,kawa,kawa,kawa,parran,paapa,miimi,paapa,baali,kawa,parran,parran,paapa,kawa,paapa,miimi,paapa,parran,parran,paapa
2,0.2518755079077508,1.5384481142439725,1.2865726063362217,ngatyi,tyitya,tyitya,gambirrganda,ngatyi,ngatyi,ngatyi,tyitya,gambirrganda,ngatyi,ngatyi,ngatyi,ngatyi,ngatyi,dawa,tyitya,dawa,ngatyi,ngatyi,tyitya,ngatyi,ngatyi,ngatyi,ngatyi,ngatyi,ngatyi,ngatyi,tyitya,ngatyi,ngatyi,tyitya,ngatyi,ngatyi,ngatyi,ngatyi,ngatyi,ngatyi,gagu,ngatyi,ngatyi,tyitya,tyitya,tyitya,ngatyi,tyitya,ngatyi,tyitya,ngatyi,tyitya,jinda,ngatyi,tyitya,tyuulu,tyitya,tyitya,tyuulu,tyitya,ngatyi,ngatyi,gagu,ngatyi,ngatyi,ngatyi,jinda,ngatyi,tyitya,tyitya,ngatyi,tyitya,tyitya,ngatyi,baali,parran,baali,kawa,paapa,parran,parran,paapa,paapa,paapa,kawa,kawa,kawa,parran,parran,miimi,paapa,paapa,parran,kawa,kawa,miimi
3,0.20052218981742875,1.5115959373818288,1.3110737475644,ngatyi,gambirrganda,ngatyi,tyitya,tyitya,ngatyi,ngatyi,tyitya,ngatyi,ngatyi,ngatyi,tyitya,ngatyi,tyitya,ngatyi,tyitya,ngatyi,ngatyi,ngatyi,jinda,ngatyi,ngatyi,tyitya,tyitya,ngatyi,ngatyi,tyitya,tyitya,gambirrganda,ngatyi,ngatyi,ngatyi,ngatyi,ngatyi,tyitya,ngatyi,ngatyi,ngatyi,tyitya,ngatyi,tyitya,ngatyi,dawa,ngatyi,ngatyi,ngatyi,gagu,tyitya,jinda,ngatyi,ngatyi,ngatyi,ngatyi,ngatyi,tyitya,ngatyi,gagu,ngatyi,dawa,ngatyi,tyitya,tyitya,tyitya,tyitya,tyitya,tyuulu,ngatyi,ngatyi,tyitya,tyuulu,ngatyi,kawa,miimi,parran,kawa,parran,parran,kawa,kawa,paapa,paapa,baali,parran,miimi,baali,paapa,parran,paapa,paapa,kawa,parran,kawa,paapa
4,0.19686000245351476,1.4601225555361246,1.2632625530826098,tyitya,ngatyi,gambirrganda,tyitya,ngatyi,tyitya,ngatyi,tyuulu,ngatyi,ngatyi,tyitya,ngatyi,ngatyi,ngatyi,ngatyi,ngatyi,tyitya,ngatyi,tyitya,tyitya,ngatyi,ngatyi,ngatyi,ngatyi,ngatyi,ngatyi,gagu,tyitya,dawa,ngatyi,ngatyi,ngatyi,ngatyi,jinda,dawa,tyitya,tyitya,ngatyi,ngatyi,tyitya,ngatyi,gambirrganda,ngatyi,tyitya,ngatyi,ngatyi,tyitya,tyitya,tyuulu,tyitya,ngatyi,ngatyi,tyitya,tyitya,ngatyi,ngatyi,gagu,ngatyi,ngatyi,tyitya,ngatyi,ngatyi,tyitya,tyitya,ngatyi,tyitya,ngatyi,ngatyi,jinda,ngatyi,ngatyi,kawa,paapa,paapa,parran,paapa,paapa,parran,parran,miimi,kawa,parran,baali,paapa,kawa,kawa,kawa,parran,paapa,parran,kawa,miimi,baali
5,0.15367622922925306,1.5018951259830444,1.3482188967537914,dawa,ngatyi,tyitya,tyitya,gagu,ngatyi,tyitya,tyitya,ngatyi,tyitya,ngatyi,tyitya,tyitya,ngatyi,tyuulu,gambirrganda,ngatyi,ngatyi,ngatyi,tyitya,tyitya,ngatyi,ngatyi,ngatyi,ngatyi,tyitya,ngatyi,ngatyi,ngatyi,ngatyi,ngatyi,tyitya,ngatyi,ngatyi,ngatyi,ngatyi,ngatyi,ngatyi,jinda,tyitya,gambirrganda,ngatyi,ngatyi,ngatyi,gagu,ngatyi,jinda,ngatyi,tyitya,tyitya,ngatyi,ngatyi,dawa,ngatyi,ngatyi,ngatyi,tyitya,ngatyi,tyitya,tyitya,ngatyi,tyuulu,ngatyi,tyitya,ngatyi,tyitya,ngatyi,ngatyi,tyitya,ngatyi,tyitya,paapa,parran,kawa,miimi,kawa,paapa,paapa,baali,parran,parran,baali,parran,miimi,kawa,paapa,paapa,kawa,kawa,kawa,paapa,parran,parran
6,0.16284179801421828,1.4563323843549822,1.293490586340764,ngatyi,ngatyi,ngatyi,jinda,ngatyi,ngatyi,ngatyi,tyitya,gambirrganda,ngatyi,ngatyi,tyitya,tyitya,tyitya,ngatyi,tyitya,tyitya,tyitya,ngatyi,ngatyi,ngatyi,ngatyi,gagu,tyitya,ngatyi,gambirrganda,jinda,tyitya,ngatyi,tyitya,ngatyi,tyitya,ngatyi,tyitya,tyitya,ngatyi,tyitya,ngatyi,tyitya,ngatyi,tyitya,dawa,ngatyi,ngatyi,tyitya,ngatyi,ngatyi,tyitya,tyuulu,tyuulu,ngatyi,ngatyi,ngatyi,tyitya,ngatyi,ngatyi,tyitya,ngatyi,ngatyi,ngatyi,tyitya,ngatyi,ngatyi,ngatyi,gagu,ngatyi,ngatyi,ngatyi,ngatyi,ngatyi,dawa,kawa,kawa,kawa,parran,paapa,parran,baali,kawa,kawa,paapa,baali,paapa,miimi,miimi,parran,kawa,parran,parran,paapa,paapa,paapa,parran
7,0.17773482619844816,1.4829918064602325,1.3052569802617844,ngatyi,ngatyi,tyitya,ngatyi,ngatyi,tyitya,tyitya,ngatyi,ngatyi,dawa,ngatyi,tyitya,ngatyi,ngatyi,jinda,ngatyi,ngatyi,ngatyi,ngatyi,gagu,ngatyi,ngatyi,ngatyi,tyitya,tyitya,tyitya,ngatyi,ngatyi,tyitya,ngatyi,ngatyi,tyitya,ngatyi,ngatyi,ngatyi,tyitya,tyitya,gambirrganda,tyitya,ngatyi,jinda,gagu,ngatyi,tyitya,ngatyi,gambirrganda,tyitya,tyitya,ngatyi,ngatyi,ngatyi,tyitya,ngatyi,ngatyi,ngatyi,ngatyi,tyitya,tyitya,tyitya,ngatyi,tyuulu,ngatyi,ngatyi,dawa,ngatyi,ngatyi,tyuulu,ngatyi,tyitya,tyitya,ngatyi,kawa,kawa,kawa,paapa,paapa,parran,paapa,kawa,miimi,paapa,parran,baali,parran,miimi,parran,kawa,parran,kawa,paapa,paapa,parran,baali
8,0.23620066636563686,1.4941597060789449,1.257959039713308,ngatyi,tyitya,tyuulu,tyitya,jinda,ngatyi,gambirrganda,ngatyi,ngatyi,tyitya,tyitya,dawa,ngatyi,ngatyi,gagu,ngatyi,ngatyi,tyitya,ngatyi,tyitya,ngatyi,ngatyi,ngatyi,ngatyi,ngatyi,tyitya,ngatyi,ngatyi,ngatyi,tyitya,tyitya,ngatyi,ngatyi,tyitya,ngatyi,ngatyi,ngatyi,tyitya,ngatyi,ngatyi,ngatyi,ngatyi,gambirrganda,ngatyi,ngatyi,tyuulu,tyitya,tyitya,jinda,tyitya,tyitya,ngatyi,ngatyi,ngatyi,dawa,tyitya,tyitya,ngatyi,ngatyi,gagu,tyitya,ngatyi,ngatyi,ngatyi,ngatyi,ngatyi,ngatyi,tyitya,tyitya,tyitya,ngatyi,parran,paapa,kawa,paapa,kawa,miimi,kawa,parran,kawa,paapa,parran,parran,parran,miimi,baali,paapa,kawa,paapa,kawa,paapa,parran,baali
9,0.19514353354963787,1.5333816382829395,1.3382381047333016,ngatyi,tyitya,ngatyi,gagu,ngatyi,ngatyi,ngatyi,ngatyi,ngatyi,ngatyi,ngatyi,tyitya,ngatyi,ngatyi,tyitya,tyitya,ngatyi,ngatyi,ngatyi,dawa,ngatyi,ngatyi,jinda,ngatyi,tyitya,ngatyi,ngatyi,ngatyi,tyuulu,tyitya,tyitya,ngatyi,ngatyi,tyitya,tyitya,ngatyi,ngatyi,ngatyi,gambirrganda,tyitya,ngatyi,ngatyi,ngatyi,tyitya,tyuulu,tyitya,ngatyi,jinda,tyitya,ngatyi,dawa,ngatyi,tyitya,tyitya,gagu,gambirrganda,ngatyi,ngatyi,tyitya,tyitya,ngatyi,ngatyi,tyitya,tyitya,tyitya,tyitya,ngatyi,ngatyi,ngatyi,ngatyi,ngatyi,kawa,miimi,parran,parran,kawa,paapa,paapa,baali,parran,parran,miimi,paapa,kawa,parran,paapa,baali,paapa,kawa,kawa,parran,kawa,paapa
