simulation_number,mutual_information,entropy,conditional_entropy,mB,meB,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,feB,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,fMyZ,fMyB,fFyB,fFyZ,mMyZ,mMyB,mFyB,mFyZ,fMeZ,fMeB,fFeB,fFeZ,mMeZ,mMeB,mFeB,mFeZ
0,0.07991591134309628,1.1403524705011352,1.060436559158039,amdus,amdun,amdus,amdus,amdus,amdus,amdun,bistɨl,amdun,bistɨl,amdun,amdun,amdun,amdun,amdus,amdun,amdun,amdun,amdus,amdun,amdus,amdus,amdus,amdus,amdus,amdun,amdun,amdus,amdus,amdun,amdus,amdun,hīˑɣebišep,amdun,amdun,amdus,amdun,amdus,amdun,amdun,amdus,amdun,amdus,amdun,amdun,amdun,amdus,amdun,amdun,amdus,amdun,amdus,amdun,hīˑɣebišep,amdun,amdus,amdun,amdun,amdus,amdus,amdun,amdus,amdus,amdun,amdus,amdus,amdus,amdus,amdun,bistɨl,amdun,amdus,amdus,bistɨl,bisep,amdun,amdun,amdun,amdus,bisep,amdus,amdus,amdus,amdus,amdus,amdun,beˀp,qoja,ob,qoja,qoja,qoja,ob,beˀp,beˀp,beˀp,beˀp,qoja,beˀp,am,beˀp,am,qoja,qoja,qoja,beˀp
1,0.0982802988626299,1.1396856259428154,1.0414053270801855,amdus,amdun,amdun,amdun,amdun,amdus,amdus,bistɨl,bisep,amdus,amdus,amdun,amdun,amdus,amdun,amdun,hīˑɣebišep,amdun,amdun,amdus,amdus,amdun,amdus,amdus,amdun,amdus,bistɨl,amdus,amdun,amdun,amdun,amdun,amdus,amdus,amdus,amdun,amdus,amdus,amdun,amdus,amdun,amdun,amdus,bistɨl,amdus,amdun,amdun,amdus,amdun,amdun,amdus,amdun,amdus,amdus,amdun,amdun,amdun,amdus,amdus,amdun,bistɨl,amdus,hīˑɣebišep,amdus,amdun,amdus,amdun,amdun,amdus,amdus,amdun,amdus,amdun,amdus,amdus,amdun,amdun,amdus,amdun,amdun,amdun,amdus,bisep,amdus,amdus,amdus,qoja,qoja,beˀp,beˀp,qoja,qoja,ob,beˀp,beˀp,qoja,am,qoja,am,beˀp,beˀp,qoja,qoja,beˀp,beˀp,ob
2,0.17692001599299378,1.1624822949233928,0.985562278930399,amdun,amdun,amdun,amdun,amdun,bisep,amdus,hīˑɣebišep,amdun,amdus,amdus,bistɨl,amdus,amdus,amdus,amdus,amdus,amdun,amdun,amdun,hīˑɣebišep,amdun,amdun,amdus,amdus,amdun,amdun,amdus,amdus,amdun,amdun,amdus,amdus,bistɨl,amdus,amdus,amdun,amdun,amdus,amdus,amdus,amdun,amdun,amdun,amdus,amdus,amdun,amdun,amdun,amdus,amdun,amdun,amdus,amdun,amdus,amdun,amdun,bistɨl,amdun,amdus,amdun,amdus,amdun,amdun,amdun,amdus,amdun,amdus,amdus,amdun,amdun,amdus,amdun,amdus,bisep,amdus,amdun,amdus,amdus,amdus,bistɨl,amdus,amdus,amdus,amdun,amdus,ob,beˀp,qoja,beˀp,qoja,qoja,am,beˀp,am,beˀp,beˀp,qoja,qoja,ob,beˀp,qoja,beˀp,qoja,qoja,beˀp
3,0.05913920057304911,1.192854958575232,1.1337157580021828,amdus,amdus,amdus,amdun,amdus,amdun,amdun,hīˑɣebišep,amdun,amdun,amdun,amdus,amdun,amdun,amdun,amdun,amdun,amdus,amdun,amdus,amdus,amdun,amdun,amdus,amdun,amdun,amdus,amdus,amdus,amdun,amdus,amdun,amdun,bistɨl,amdus,bistɨl,amdus,amdus,amdun,bisep,amdun,amdus,amdus,amdun,amdun,amdus,amdun,amdun,amdus,amdun,amdun,amdus,bistɨl,amdun,amdus,amdun,amdus,amdun,amdus,amdus,amdus,amdun,bisep,amdun,amdun,bistɨl,amdus,amdus,amdus,amdus,amdus,amdus,amdus,amdus,amdun,amdus,amdus,amdus,amdun,amdun,hīˑɣebišep,amdun,amdus,amdun,amdus,amdun,qoja,beˀp,qoja,qoja,ob,am,qoja,beˀp,qoja,beˀp,qoja,beˀp,beˀp,qoja,beˀp,ob,beˀp,qoja,am,beˀp
4,0.10402385592913976,1.2149847829974898,1.11096092706835,amdus,amdus,amdus,bistɨl,amdun,amdus,amdun,amdus,amdus,amdun,amdun,amdun,amdus,bistɨl,amdus,amdun,amdun,amdus,amdun,amdus,amdun,amdun,amdus,amdus,amdus,amdus,amdun,amdun,amdus,amdun,bistɨl,amdun,amdun,amdun,amdun,amdun,amdus,amdun,amdus,amdun,amdus,amdun,amdun,amdun,bisep,amdun,amdus,amdun,amdun,amdus,amdus,amdun,hīˑɣebišep,amdun,hīˑɣebišep,amdus,amdun,amdus,amdun,amdus,bistɨl,amdus,amdus,amdus,amdun,amdus,bisep,amdun,amdus,amdun,amdun,amdus,amdus,amdus,amdus,amdus,amdun,amdus,amdun,amdus,amdus,amdus,amdun,amdus,amdun,amdun,qoja,ob,beˀp,beˀp,beˀp,beˀp,qoja,beˀp,am,qoja,qoja,qoja,ob,am,qoja,beˀp,beˀp,qoja,qoja,beˀp
5,0.057859969555514645,1.140352470501135,1.0824925009456203,amdun,amdus,amdus,amdus,amdun,amdun,amdus,amdus,amdus,amdun,amdus,amdus,hīˑɣebišep,amdun,amdus,bistɨl,amdun,amdus,amdun,amdun,amdun,bistɨl,amdun,amdun,amdun,amdus,amdus,amdus,amdus,amdus,amdun,amdus,amdus,amdus,amdus,amdus,amdun,amdun,amdus,amdun,amdun,amdun,bisep,amdus,amdun,amdun,amdun,amdus,bisep,amdun,amdus,amdus,amdun,amdun,amdun,amdus,hīˑɣebišep,amdun,amdus,amdus,amdus,amdun,amdun,amdun,amdus,amdun,amdun,amdun,amdus,amdus,amdun,bistɨl,amdun,amdus,amdus,amdus,bistɨl,amdun,amdun,amdus,amdun,amdus,amdus,amdun,amdun,amdus,qoja,beˀp,beˀp,beˀp,beˀp,ob,am,qoja,qoja,qoja,qoja,beˀp,qoja,qoja,am,beˀp,beˀp,ob,qoja,beˀp
6,0.11821701141185059,1.2135652713163756,1.095348259904525,amdun,amdus,bisep,amdun,amdus,amdus,amdun,amdun,amdus,amdus,amdus,amdun,amdus,amdun,amdus,amdun,amdun,amdun,amdun,hīˑɣebišep,amdun,amdun,amdus,bistɨl,amdun,amdun,bistɨl,amdus,amdun,amdun,amdun,amdun,amdus,amdus,amdus,amdus,amdus,amdun,amdun,bistɨl,amdun,amdun,amdun,bisep,amdus,amdus,amdus,amdun,amdun,amdun,amdus,amdun,amdus,amdus,amdus,amdus,amdus,amdus,amdun,amdun,amdun,amdun,hīˑɣebišep,amdus,amdus,amdus,amdun,amdus,amdus,amdun,amdus,amdun,amdus,amdus,amdun,amdus,amdun,bistɨl,amdun,amdun,amdus,amdus,amdus,amdus,amdun,amdus,ob,beˀp,qoja,beˀp,beˀp,qoja,qoja,qoja,qoja,beˀp,beˀp,beˀp,ob,beˀp,am,qoja,qoja,beˀp,am,qoja
7,0.11668923434899958,1.1935496040981333,1.0768603697491337,amdun,amdus,amdun,amdun,amdun,amdun,amdus,amdun,amdus,amdus,amdun,amdus,bisep,amdun,amdun,amdus,amdun,amdun,bistɨl,amdus,amdus,amdun,amdun,amdus,amdus,amdun,amdus,amdun,amdus,amdun,amdus,amdun,amdus,bistɨl,amdun,amdun,amdun,amdun,amdun,amdus,amdus,bistɨl,amdus,amdun,amdun,amdun,amdus,amdun,amdus,amdun,amdus,amdus,amdus,amdus,amdus,amdun,bisep,amdus,amdun,amdun,amdus,hīˑɣebišep,amdus,amdus,amdus,amdun,amdun,amdus,amdun,amdun,amdun,bistɨl,amdun,amdun,amdus,amdus,amdus,hīˑɣebišep,amdun,amdus,amdus,amdus,amdus,amdus,amdus,amdun,beˀp,beˀp,qoja,beˀp,beˀp,ob,beˀp,qoja,qoja,am,qoja,ob,qoja,beˀp,am,qoja,qoja,beˀp,beˀp,qoja
8,0.10865723031278396,1.192854958575232,1.084197728262448,amdus,amdun,amdun,amdus,amdus,amdun,amdus,amdus,amdus,amdun,amdus,amdus,amdun,amdus,amdus,amdun,amdun,amdun,amdun,amdus,amdun,amdus,amdun,amdus,amdun,bisep,amdus,amdun,amdun,amdus,amdus,amdus,amdus,amdun,amdun,bistɨl,amdus,amdun,amdus,amdun,hīˑɣebišep,amdus,amdus,amdus,amdus,amdun,amdun,amdun,amdun,bistɨl,bistɨl,amdun,amdun,amdus,amdus,amdus,amdus,bisep,amdun,amdun,amdun,amdus,amdus,amdus,amdus,bistɨl,amdus,amdus,hīˑɣebišep,amdun,amdus,amdun,amdun,amdun,amdun,amdun,amdun,amdus,amdun,amdun,amdus,amdus,amdun,amdus,amdun,amdun,qoja,beˀp,qoja,beˀp,beˀp,qoja,beˀp,qoja,ob,beˀp,beˀp,qoja,qoja,ob,am,am,beˀp,qoja,beˀp,qoja
9,0.10429340029736234,1.1907686023357982,1.0864752020384358,amdun,amdun,amdus,amdun,amdus,amdun,amdun,amdun,amdus,amdus,hīˑɣebišep,amdun,amdus,amdun,amdun,amdun,amdus,bistɨl,amdus,amdus,bistɨl,amdus,amdus,amdun,amdus,amdun,amdus,amdus,amdun,amdun,amdun,amdun,amdus,amdus,amdun,amdus,amdus,amdun,amdun,amdus,amdun,bistɨl,amdun,amdun,amdun,amdus,amdun,hīˑɣebišep,amdus,amdus,amdus,amdus,amdus,amdus,amdus,amdun,amdus,amdun,amdus,amdus,amdun,amdun,amdus,bistɨl,amdus,bisep,amdus,amdun,bisep,amdun,amdun,amdus,amdun,amdun,amdus,amdus,amdun,amdun,amdus,amdun,amdun,amdus,amdus,amdun,amdus,amdun,beˀp,beˀp,qoja,beˀp,am,beˀp,qoja,qoja,beˀp,beˀp,qoja,beˀp,qoja,qoja,beˀp,ob,ob,qoja,qoja,am
