simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.05977135132321321,1.0960355550247958,1.0362642037015826,exadelphos,exadelphi,exadelphi,exadelphos,exadelphi,exadelphos,adhelphos,exadelphos,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphos,adelphi,adhelphos,exadelphi,exadelphos,exadelphi,exadelphi,exadelphos,exadelphi,exadelphos,exadelphos,exadelphi,exadelphi,exadelphos,exadelphos,exadelphos,exadelphi,exadelphi,adhelphos,exadelphi,exadelphi,exadelphos,exadelphi,exadelphos,exadelphos,exadelphi,adelphi,exadelphi,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphi,exadelphos,exadelphi,exadelphi,exadelphos,exadelphi,exadelphos,adelphi,exadelphos,exadelphi,adhelphos,exadelphos,exadelphos,exadelphos,adelphi,exadelphos,exadelphi,exadelphi,adelphi,adhelphos,exadelphi,exadelphi,exadelphi,exadelphi,exadelphi,exadelphos,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphos,exadelphi,exadelphi,exadelphi,adhelphos,exadelphos,exadelphi,adelphi,exadelphos,exadelphos,exadelphos,exadelphos,exadelphos,barbas,barbas,barbas,theia,mitera,barbas,theia,barbas,barbas,barbas,theia,theia,pateras,theia,theia,barbas,barbas,pateras,theia,theia,theia,mitera,barbas,theia,barbas,theia,theia,barbas
1,0.0559139964001244,1.0079640616497278,0.9520500652496034,adhelphos,adhelphos,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphos,exadelphos,exadelphos,exadelphos,exadelphos,exadelphos,exadelphos,exadelphi,exadelphos,exadelphi,adelphi,exadelphi,exadelphos,exadelphi,exadelphi,adelphi,exadelphos,exadelphi,exadelphos,exadelphos,exadelphi,exadelphi,exadelphos,exadelphi,adelphi,exadelphi,exadelphos,exadelphi,adelphi,exadelphi,exadelphi,exadelphos,exadelphi,exadelphos,exadelphos,exadelphi,exadelphi,exadelphi,exadelphi,exadelphos,exadelphos,exadelphi,exadelphos,adelphi,exadelphos,exadelphi,exadelphi,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphi,exadelphi,exadelphos,exadelphi,adhelphos,exadelphos,exadelphi,exadelphi,exadelphi,exadelphi,exadelphos,exadelphi,exadelphos,adhelphos,exadelphos,exadelphi,exadelphi,exadelphos,exadelphos,exadelphos,exadelphi,adelphi,exadelphos,exadelphi,exadelphos,adhelphos,adhelphos,exadelphos,exadelphos,exadelphi,exadelphos,barbas,theia,theia,barbas,barbas,barbas,barbas,barbas,barbas,theia,theia,barbas,mitera,barbas,pateras,barbas,barbas,theia,theia,barbas,theia,pateras,theia,theia,theia,theia,mitera,theia
2,0.1236817001541084,1.1430618609218155,1.019380160767707,exadelphos,adhelphos,exadelphi,exadelphi,exadelphi,exadelphi,exadelphos,adelphi,exadelphos,adelphi,adelphi,exadelphi,exadelphi,exadelphi,adelphi,exadelphi,exadelphos,exadelphi,exadelphos,exadelphos,exadelphos,exadelphi,exadelphi,adhelphos,exadelphos,exadelphi,exadelphi,exadelphos,exadelphi,exadelphos,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphos,adhelphos,exadelphos,exadelphos,adelphi,exadelphi,exadelphi,exadelphi,exadelphos,exadelphos,exadelphi,exadelphi,exadelphi,exadelphi,exadelphos,exadelphi,exadelphi,exadelphos,exadelphos,exadelphos,exadelphos,exadelphos,exadelphi,exadelphos,exadelphi,exadelphi,exadelphos,exadelphos,adelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphi,adhelphos,exadelphos,exadelphos,adhelphos,adhelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphi,exadelphi,exadelphi,exadelphos,exadelphos,exadelphi,exadelphos,exadelphos,exadelphos,exadelphi,exadelphos,theia,theia,barbas,mitera,barbas,barbas,theia,theia,barbas,theia,barbas,barbas,barbas,theia,theia,pateras,barbas,barbas,theia,pateras,theia,barbas,theia,barbas,mitera,theia,barbas,theia
3,0.06984843789762518,1.111952263268819,1.0421038253711938,adhelphos,adelphi,exadelphos,exadelphi,exadelphos,exadelphi,adhelphos,exadelphos,adelphi,exadelphos,exadelphi,exadelphi,exadelphi,exadelphi,exadelphos,exadelphi,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphos,adelphi,exadelphi,exadelphi,exadelphos,adelphi,exadelphos,exadelphi,exadelphi,exadelphos,exadelphos,exadelphos,exadelphos,adhelphos,exadelphos,exadelphos,exadelphi,exadelphi,exadelphi,exadelphos,adhelphos,exadelphi,exadelphos,exadelphi,exadelphi,adhelphos,exadelphi,exadelphos,exadelphos,exadelphi,exadelphos,exadelphos,exadelphi,exadelphi,adhelphos,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphi,exadelphos,exadelphos,exadelphos,exadelphi,exadelphos,adelphi,exadelphi,exadelphi,exadelphos,exadelphos,exadelphi,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphi,exadelphos,exadelphos,exadelphos,adelphi,exadelphi,exadelphos,exadelphi,exadelphi,exadelphos,barbas,theia,mitera,barbas,barbas,theia,theia,theia,barbas,barbas,theia,barbas,theia,barbas,mitera,barbas,theia,pateras,theia,barbas,theia,pateras,barbas,barbas,theia,theia,theia,barbas
4,0.04911780050101555,1.078766968938344,1.0296491684373283,exadelphos,exadelphos,exadelphi,exadelphi,exadelphos,exadelphi,exadelphos,exadelphos,exadelphos,exadelphi,exadelphi,adhelphos,exadelphos,exadelphos,exadelphi,adhelphos,exadelphi,exadelphi,exadelphos,exadelphos,exadelphos,exadelphi,exadelphi,exadelphi,exadelphos,exadelphi,adelphi,adelphi,exadelphi,adelphi,exadelphi,exadelphi,adhelphos,exadelphos,adhelphos,exadelphi,exadelphi,exadelphos,exadelphos,exadelphi,exadelphos,exadelphos,exadelphi,exadelphi,exadelphos,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphos,exadelphos,exadelphi,exadelphi,exadelphos,exadelphi,exadelphi,exadelphi,exadelphi,exadelphi,exadelphi,exadelphi,exadelphos,adhelphos,exadelphi,adelphi,exadelphi,exadelphos,exadelphos,adelphi,exadelphi,exadelphos,exadelphos,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,adelphi,exadelphos,exadelphos,exadelphos,exadelphi,adhelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphos,exadelphos,theia,theia,theia,theia,barbas,barbas,mitera,theia,theia,mitera,theia,theia,barbas,barbas,barbas,theia,barbas,pateras,barbas,barbas,barbas,theia,barbas,pateras,theia,theia,barbas,barbas
5,0.07836063113836311,1.0028365797199732,0.9244759485816101,exadelphos,exadelphos,exadelphos,exadelphi,exadelphos,adelphi,exadelphos,exadelphi,exadelphos,exadelphos,exadelphi,exadelphi,adelphi,exadelphos,exadelphos,exadelphos,adhelphos,exadelphi,exadelphos,exadelphi,adhelphos,exadelphos,exadelphos,exadelphos,adhelphos,exadelphos,adelphi,exadelphi,exadelphos,exadelphi,exadelphi,exadelphi,exadelphi,exadelphi,exadelphi,exadelphi,exadelphos,exadelphi,exadelphi,exadelphi,exadelphi,exadelphi,exadelphos,exadelphos,exadelphi,exadelphi,exadelphi,exadelphi,exadelphi,exadelphos,exadelphos,exadelphi,exadelphos,exadelphos,exadelphi,exadelphi,exadelphi,exadelphos,exadelphi,exadelphi,adhelphos,exadelphos,exadelphi,exadelphos,exadelphos,adelphi,exadelphi,exadelphos,exadelphos,exadelphi,exadelphos,exadelphos,exadelphos,exadelphi,exadelphi,exadelphos,adhelphos,exadelphos,exadelphi,exadelphos,exadelphi,adhelphos,exadelphos,exadelphos,exadelphi,exadelphos,adelphi,adelphi,exadelphi,exadelphos,barbas,barbas,barbas,theia,barbas,barbas,theia,theia,theia,theia,pateras,theia,barbas,theia,barbas,mitera,theia,barbas,theia,barbas,pateras,mitera,barbas,theia,barbas,theia,theia,barbas
6,0.07146459712326791,1.1285783001317093,1.0571137030084414,exadelphi,exadelphi,exadelphos,exadelphos,exadelphos,exadelphos,exadelphos,exadelphos,exadelphos,adelphi,exadelphos,exadelphi,exadelphi,exadelphos,exadelphos,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphos,exadelphos,exadelphi,exadelphos,exadelphi,adelphi,adhelphos,exadelphi,exadelphi,adelphi,exadelphi,exadelphos,exadelphos,exadelphi,exadelphi,exadelphi,exadelphi,exadelphos,exadelphos,exadelphi,exadelphos,exadelphos,exadelphos,exadelphi,exadelphi,exadelphos,exadelphos,exadelphi,exadelphi,exadelphos,adhelphos,exadelphos,adhelphos,exadelphi,exadelphos,exadelphi,exadelphi,exadelphos,exadelphi,exadelphi,adelphi,adelphi,exadelphos,exadelphi,exadelphi,exadelphi,exadelphos,exadelphi,exadelphi,exadelphos,adelphi,exadelphos,exadelphi,exadelphi,adhelphos,exadelphos,exadelphos,exadelphi,exadelphos,adhelphos,exadelphi,exadelphi,exadelphi,adhelphos,exadelphi,exadelphi,exadelphos,exadelphos,exadelphos,exadelphi,barbas,mitera,barbas,theia,pateras,barbas,theia,theia,theia,pateras,mitera,barbas,theia,barbas,theia,barbas,theia,barbas,theia,barbas,barbas,barbas,theia,barbas,theia,theia,theia,barbas
7,0.07569701179372434,1.1157904395707239,1.0400934277769995,exadelphos,adhelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,adhelphos,exadelphi,exadelphi,exadelphos,exadelphos,exadelphos,exadelphos,exadelphi,exadelphos,exadelphos,adelphi,exadelphos,exadelphos,adhelphos,exadelphos,exadelphi,exadelphos,exadelphos,exadelphos,exadelphi,exadelphos,exadelphi,exadelphi,exadelphos,exadelphi,exadelphi,exadelphos,exadelphos,exadelphi,adelphi,exadelphos,exadelphi,exadelphi,exadelphi,exadelphos,exadelphi,exadelphi,exadelphi,exadelphos,exadelphi,exadelphi,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphos,exadelphos,exadelphos,exadelphi,exadelphos,exadelphi,exadelphi,exadelphi,exadelphos,exadelphi,exadelphi,exadelphi,exadelphos,adelphi,exadelphos,adhelphos,adelphi,exadelphi,exadelphos,exadelphos,exadelphos,exadelphos,exadelphi,adelphi,exadelphi,exadelphi,adhelphos,exadelphi,exadelphos,adelphi,exadelphi,exadelphi,exadelphos,exadelphos,exadelphi,adhelphos,barbas,theia,theia,theia,mitera,theia,barbas,theia,theia,barbas,theia,barbas,theia,pateras,theia,theia,mitera,theia,barbas,barbas,barbas,barbas,barbas,theia,barbas,barbas,barbas,pateras
8,0.05449929592277769,1.0745032984683227,1.020004002545545,exadelphos,exadelphi,exadelphi,exadelphi,exadelphi,exadelphos,adhelphos,exadelphos,exadelphos,exadelphos,exadelphos,exadelphos,exadelphos,adhelphos,exadelphi,exadelphos,exadelphos,adelphi,exadelphi,exadelphi,adhelphos,exadelphi,exadelphos,adelphi,exadelphi,exadelphi,exadelphi,exadelphi,exadelphi,exadelphi,exadelphi,exadelphos,exadelphi,adhelphos,exadelphi,exadelphos,exadelphi,exadelphi,exadelphi,exadelphi,exadelphos,exadelphos,exadelphi,exadelphos,exadelphi,exadelphi,exadelphos,exadelphos,adelphi,exadelphi,exadelphos,exadelphos,adelphi,adhelphos,exadelphos,exadelphi,exadelphos,exadelphos,exadelphi,exadelphos,adelphi,exadelphi,exadelphos,exadelphi,exadelphos,exadelphos,exadelphos,exadelphi,adelphi,exadelphi,exadelphi,exadelphi,exadelphos,exadelphos,exadelphi,exadelphos,exadelphos,exadelphi,exadelphi,exadelphi,exadelphos,adhelphos,exadelphi,exadelphos,exadelphos,exadelphos,exadelphos,exadelphos,exadelphos,exadelphi,theia,theia,barbas,theia,barbas,theia,barbas,pateras,barbas,theia,theia,barbas,barbas,theia,barbas,theia,barbas,mitera,theia,theia,barbas,barbas,theia,barbas,theia,mitera,pateras,barbas
9,0.07026847764954791,1.096035555024796,1.025767077375248,exadelphi,exadelphos,adelphi,exadelphos,exadelphos,adhelphos,exadelphos,exadelphi,exadelphos,exadelphos,exadelphi,exadelphos,exadelphi,exadelphi,adelphi,exadelphi,adelphi,exadelphos,exadelphos,exadelphi,exadelphi,exadelphos,exadelphos,adhelphos,exadelphos,exadelphos,exadelphos,exadelphos,exadelphi,exadelphi,exadelphi,exadelphos,exadelphos,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,adelphi,exadelphi,exadelphi,exadelphos,exadelphi,exadelphi,exadelphi,exadelphos,exadelphi,adhelphos,exadelphos,exadelphi,exadelphi,exadelphi,exadelphi,exadelphi,exadelphos,exadelphos,adelphi,exadelphi,exadelphi,exadelphi,exadelphos,exadelphi,exadelphi,exadelphi,adelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphi,exadelphi,adhelphos,exadelphos,adhelphos,exadelphos,exadelphos,exadelphos,exadelphi,exadelphos,exadelphos,exadelphi,exadelphos,exadelphos,exadelphos,adhelphos,exadelphi,exadelphos,barbas,theia,barbas,pateras,theia,theia,mitera,theia,theia,barbas,theia,barbas,barbas,theia,barbas,theia,barbas,mitera,theia,theia,theia,pateras,barbas,barbas,barbas,barbas,theia,barbas
