simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,myZ,fZ,feB,fyB,fyZ,mB,fB,meZ,feZ,mZ,mM,fM,mF,mFB,mMB,mFeB,mFyB,mMeB,mMyB,fF,fFB,fMB,fFeB,fFyB,fMeB,fMyB,mFZ,mFeZ,mFyZ,fFZ,fFeZ,fFyZ
0,0.1978763973926393,1.0296530140645737,0.8317766166719344,merudina,turdu,merudina,puyu kada,baaye boordoo,puyu,baaye wallaroo,baaye boordoo,puyu,baaye wallaroo,turdu,puyu kada,mamalu kunminyu,kangku,kangku,mamalu kunminyu,kangku,puyu,kangku,jagu,puyu,puyu,mamalu kunminyu,puyu,puyu,mama,mamalu kunminyu,mama,kangku,jagu,mamalu kunminyu,puyu,mamalu kunminyu,kangku
1,0.4092816250127206,1.366158847569202,0.9568772225564813,puyu kada,turdu,baaye wallaroo,merudina,baaye wallaroo,puyu kada,baaye boordoo,puyu,merudina,puyu,baaye boordoo,turdu,kangku,mama,mamalu kunminyu,kangku,mamalu kunminyu,kangku,puyu,kangku,mamalu kunminyu,puyu,jagu,mamalu kunminyu,puyu,puyu,mama,mamalu kunminyu,puyu,jagu,kangku,puyu,kangku,mamalu kunminyu
2,0.21486630107217908,1.0296530140645737,0.8147867129923946,baaye wallaroo,merudina,puyu,puyu,merudina,turdu,puyu kada,baaye boordoo,baaye boordoo,turdu,puyu kada,baaye wallaroo,jagu,kangku,mamalu kunminyu,puyu,kangku,kangku,jagu,mamalu kunminyu,mamalu kunminyu,mamalu kunminyu,kangku,kangku,puyu,kangku,puyu,mama,puyu,puyu,mamalu kunminyu,mamalu kunminyu,mama,puyu
3,0.310343426316401,1.0296530140645737,0.7193095877481727,turdu,puyu,baaye wallaroo,baaye wallaroo,merudina,puyu kada,puyu kada,puyu,baaye boordoo,merudina,baaye boordoo,turdu,mamalu kunminyu,kangku,mama,puyu,jagu,kangku,jagu,kangku,kangku,mamalu kunminyu,mamalu kunminyu,kangku,puyu,mamalu kunminyu,mamalu kunminyu,puyu,mamalu kunminyu,puyu,puyu,kangku,mama,puyu
4,0.24102870826040645,1.0296530140645737,0.7886243058041672,puyu kada,merudina,puyu,baaye wallaroo,baaye wallaroo,puyu kada,puyu,turdu,baaye boordoo,turdu,baaye boordoo,merudina,mama,mamalu kunminyu,puyu,kangku,puyu,puyu,puyu,mamalu kunminyu,mamalu kunminyu,puyu,jagu,kangku,mama,kangku,kangku,puyu,kangku,jagu,mamalu kunminyu,mamalu kunminyu,kangku,mamalu kunminyu
5,0.17171399020441191,1.0296530140645737,0.8579390238601617,turdu,puyu kada,baaye wallaroo,puyu,merudina,puyu,turdu,merudina,puyu kada,baaye boordoo,baaye boordoo,baaye wallaroo,mama,puyu,mamalu kunminyu,mamalu kunminyu,jagu,puyu,kangku,kangku,kangku,mamalu kunminyu,mamalu kunminyu,jagu,puyu,puyu,puyu,kangku,mama,puyu,kangku,kangku,mamalu kunminyu,mamalu kunminyu
6,0.24102870826040645,1.0296530140645737,0.7886243058041672,baaye boordoo,puyu kada,puyu,merudina,baaye boordoo,baaye wallaroo,turdu,merudina,turdu,puyu kada,puyu,baaye wallaroo,mama,mama,kangku,kangku,kangku,mamalu kunminyu,mamalu kunminyu,mamalu kunminyu,kangku,jagu,mamalu kunminyu,mamalu kunminyu,puyu,jagu,kangku,puyu,kangku,puyu,puyu,puyu,mamalu kunminyu,puyu
7,0.43890510565304564,1.0888999753452238,0.6499948696921781,baaye boordoo,turdu,merudina,baaye wallaroo,merudina,puyu kada,baaye boordoo,turdu,puyu kada,puyu,baaye wallaroo,puyu,mama,puyu,kangku,mamalu kunminyu,kangku,jagu,mamalu kunminyu,mamalu kunminyu,puyu,puyu,mamalu kunminyu,mama,puyu,jagu,kangku,kangku,mamalu kunminyu,puyu,kangku,kangku,puyu,mamalu kunminyu
8,0.23096095148506213,1.366158847569202,1.1351978960841398,merudina,merudina,baaye wallaroo,turdu,baaye wallaroo,puyu kada,puyu,puyu,turdu,puyu kada,baaye boordoo,baaye boordoo,kangku,puyu,jagu,kangku,puyu,mamalu kunminyu,mamalu kunminyu,mamalu kunminyu,puyu,mama,kangku,puyu,kangku,mamalu kunminyu,kangku,mama,kangku,mamalu kunminyu,mamalu kunminyu,puyu,jagu,puyu
9,0.27411326235282907,1.3661588475692017,1.0920455852163726,baaye wallaroo,baaye boordoo,baaye boordoo,puyu,puyu,puyu kada,turdu,merudina,merudina,turdu,baaye wallaroo,puyu kada,mama,kangku,puyu,kangku,puyu,puyu,mamalu kunminyu,jagu,mamalu kunminyu,mamalu kunminyu,mama,mamalu kunminyu,mamalu kunminyu,kangku,jagu,mamalu kunminyu,puyu,kangku,kangku,kangku,puyu,puyu
