simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.22189910608269958,1.3990740824639398,1.1771749763812402,basun tohter,,,basunsun,muomun tohter,,,,,ōheimessun,,bruodar,,,,,,feterinsun,,,,,,,swestar,,,,,,,,,,,,,,,,,,,,feterin tohter,ōheimes tohter,,swestar,basun tohter,,,,ōheimessun,,,muomunsun,ōheimes tohter,,,muomunsun,bruodar,,,,feterin tohter,,,,,basunsun,muomun tohter,,,,,,,,,,,,,feterinsun,,,,,,,,muoma,,ōheim,,fater,fetiro,fetiro,basa,,,,,,fater,,,,muoma,,muotar,ōheim,,,,,muotar,basa
1,0.23551388719948307,1.3529654216136346,1.1174515344141516,,,,,,,muomun tohter,,,,,feterinsun,,feterin tohter,,feterinsun,,,ōheimessun,muomunsun,,,,feterin tohter,,basun tohter,basunsun,,,muomunsun,,,ōheimes tohter,,,,,,,,,,,,,,,,ōheimes tohter,,,,,,,,,,basunsun,,,,,,muomun tohter,,,,,,,,,,,bruodar,swestar,,,,basun tohter,,,,bruodar,,,,swestar,ōheimessun,,,,muotar,,,fetiro,,ōheim,fater,fetiro,,muotar,,muoma,basa,,,,fater,,,ōheim,basa,,,muoma,
2,0.19151488039276532,1.4835878094142048,1.2920729290214394,,,ōheimessun,,,,ōheimes tohter,,,,,,,,,,,muomun tohter,,,muomunsun,,,,,,,,,feterin tohter,,,,,,,,,,,ōheimessun,,,,,,feterin tohter,basunsun,,feterinsun,,,,bruodar,,,,basun tohter,,,,bruodar,,,,,,,,,basun tohter,,,swestar,swestar,feterinsun,,,,,muomun tohter,,,basunsun,,muomunsun,,,ōheimes tohter,,muoma,,,basa,muoma,basa,ōheim,,,,muotar,,ōheim,fater,,fetiro,,fetiro,,,,,,,muotar,,fater,
3,0.3066437140074276,1.5579856923302295,1.251341978322802,,muomunsun,,basunsun,,,swestar,basun tohter,,ōheimessun,feterin tohter,,,,,,,,,,,,,,bruodar,,,,,,,,,,,muomun tohter,,ōheimes tohter,,,feterin tohter,,,feterinsun,muomun tohter,,,,,,,,,swestar,,,,,,,ōheimes tohter,basunsun,,,,,,,feterinsun,,,,,ōheimessun,,muomunsun,,,,bruodar,,,,basun tohter,,,,,,,,fetiro,ōheim,muoma,muotar,,,,fater,,fater,,,,,muoma,basa,,basa,muotar,,fetiro,,,,,ōheim,
4,0.21971149304550952,1.4080161370321183,1.1883046439866087,,feterin tohter,,,,ōheimessun,,muomun tohter,,,basunsun,,feterin tohter,,,basunsun,,,,,,bruodar,,,,muomunsun,,,,,,,,,,,,swestar,ōheimes tohter,,,,,,bruodar,,,,,ōheimes tohter,,,,,,,,,,,ōheimessun,,basun tohter,,muomun tohter,feterinsun,,swestar,,,,,,,,muomunsun,,,,basun tohter,,,,,feterinsun,,,,,,,,,,basa,fater,,fetiro,muoma,fetiro,,,,,,ōheim,,ōheim,,muotar,muoma,fater,,,muotar,,basa,
5,0.21568198123428828,1.4623546932641578,1.2466727120298695,,,,,muomun tohter,,,,,,,,,muomunsun,,,,,,,,,muomunsun,,,,,feterinsun,,bruodar,,,,,,swestar,,feterin tohter,feterin tohter,,,,,,,,,,ōheimessun,,,,,,,,,ōheimes tohter,,ōheimessun,,,basun tohter,,,,,basunsun,,,,,bruodar,,,,basun tohter,,,feterinsun,,swestar,ōheimes tohter,muomun tohter,,,,,,basunsun,,,,fetiro,,basa,,,,fater,ōheim,,,,muotar,ōheim,muoma,muoma,,basa,muotar,fater,,,,,,fetiro
6,0.3047170394668577,1.522605559350402,1.2178885198835443,,,basun tohter,,,,,feterinsun,,feterin tohter,,,ōheimessun,,bruodar,,,,ōheimes tohter,ōheimessun,,,feterinsun,,basunsun,muomunsun,,swestar,,swestar,,,,,,,feterin tohter,,,muomun tohter,bruodar,,,,,,,,,,muomunsun,,,,,,,,,,,,,,,,muomun tohter,,,,,,,,ōheimes tohter,basun tohter,,,,,,,basunsun,,,,,,,,fetiro,,,muoma,basa,muotar,,ōheim,,fetiro,,,fater,,,,,,muoma,basa,,,,ōheim,muotar,,fater,
7,0.16538460063522042,1.4113496063820798,1.2459650057468594,,,,,,feterin tohter,,,,,,,,feterinsun,,bruodar,ōheimes tohter,,ōheimes tohter,,,,,muomun tohter,,,,,muomun tohter,,,,muomunsun,,bruodar,,basunsun,,,,,,,,,,,,swestar,,,,ōheimessun,,,,,basunsun,muomunsun,,,,feterinsun,,,,,,,,,,,,,swestar,,ōheimessun,,feterin tohter,,,basun tohter,basun tohter,,,,,,,muoma,,fetiro,,,fater,,muoma,fetiro,,,muotar,,ōheim,ōheim,muotar,,,,,basa,,,fater,,,basa,
8,0.23527331710994015,1.4400979574486545,1.2048246403387144,,muomunsun,,,,,,,feterin tohter,,,,,,swestar,,,,,basunsun,,,,,ōheimes tohter,,,,muomun tohter,,,ōheimes tohter,,,ōheimessun,,feterin tohter,,,ōheimessun,,,,,,muomun tohter,,feterinsun,,,,basun tohter,basunsun,,,,,,,,,,,,,bruodar,,,,,,muomunsun,basun tohter,,bruodar,,,,,,,,,,,,,swestar,feterinsun,,muotar,basa,muoma,,,ōheim,muotar,muoma,fater,,,fetiro,,,,,,fetiro,,,,fater,,basa,,,ōheim,
9,0.14763910819912485,1.4479613894969927,1.3003222812978679,,,,,,,,,,,basunsun,,,muomun tohter,,,,,,,,,,swestar,,,,,,muomun tohter,,,muomunsun,,,,,,basunsun,,,feterinsun,,,,,,ōheimessun,,,,bruodar,,swestar,,ōheimes tohter,,basun tohter,,,,,,ōheimessun,,ōheimes tohter,,,,feterinsun,basun tohter,,,feterin tohter,feterin tohter,muomunsun,,,,bruodar,,,,,,,,,,,,muoma,fetiro,,,ōheim,,muotar,,fetiro,,,fater,,ōheim,,,,muoma,basa,basa,muotar,,,,,,fater
