simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.08313505172177815,1.6727684600909645,1.5896334083691863,puwa,muwarnngu,thapu,muwarnngu,puwa,muwarnngu,muwarnngu,muwarnngu,wungkurlu,thapu,thapu,muwarnngu,muwarnngu,puwa,puwa,muwarnngu,muwarnngu,wungkurlu,muwarnngu,muwarnngu,muwarnngu,muwarnngu,thapu,puwa,puwa,muwarnngu,muwarnngu,muwarnngu,thapu,puwa,puwa,muwarnngu,thapu,muwarnngu,thapu,muwarnngu,thapu,thapu,puwa,puwa,thapu,puwa,muwarnngu,puwa,muwarnngu,muwarnngu,puwa,puwa,puwa,muwarnngu,muwarnngu,muwarnngu,muwarnngu,muwarnngu,thapu,thapu,muwarnngu,thapu,muwarnngu,thapu,muwarnngu,puwa,muwarnngu,muwarnngu,puwa,muwarnngu,puwa,puwa,thapu,thapu,muwarnngu,muwarnngu,puwa,thapu,wungkurlu,thapu,thapu,muwarnngu,wungkurlu,thapu,muwarnngu,puwa,muwarnngu,muwarnngu,puwa,muwarnngu,puwa,thapu,thapu,pitharta,martu,ngutyirr,tyalatya,tyalatya,pitharta,ngutyirr,kurla,ngutyirr,tyalatya,wupatyi,martu,pitharta,pitharta,pitharta,tyalatya,wupatyi,ngutyirr,wupatyi,pitharta,tyalatya,wupatyi,wupatyi,ngutyirr,kurla,wupatyi,ngutyirr,tyalatya
1,0.094052509443594,1.7140033975214317,1.6199508880778377,muwarnngu,muwarnngu,muwarnngu,puwa,thapu,thapu,muwarnngu,thapu,muwarnngu,muwarnngu,thapu,muwarnngu,puwa,muwarnngu,thapu,muwarnngu,muwarnngu,puwa,puwa,thapu,puwa,puwa,thapu,muwarnngu,puwa,muwarnngu,muwarnngu,thapu,puwa,thapu,muwarnngu,muwarnngu,puwa,thapu,muwarnngu,muwarnngu,puwa,muwarnngu,puwa,puwa,muwarnngu,thapu,puwa,wungkurlu,muwarnngu,muwarnngu,thapu,muwarnngu,puwa,muwarnngu,thapu,puwa,muwarnngu,muwarnngu,muwarnngu,thapu,muwarnngu,muwarnngu,wungkurlu,muwarnngu,muwarnngu,muwarnngu,puwa,thapu,thapu,puwa,muwarnngu,wungkurlu,muwarnngu,puwa,thapu,wungkurlu,muwarnngu,puwa,muwarnngu,thapu,muwarnngu,thapu,muwarnngu,thapu,muwarnngu,puwa,muwarnngu,puwa,thapu,puwa,thapu,puwa,muwarnngu,ngutyirr,ngutyirr,tyalatya,tyalatya,kurla,martu,wupatyi,kurla,ngutyirr,pitharta,pitharta,ngutyirr,wupatyi,ngutyirr,tyalatya,tyalatya,pitharta,ngutyirr,wupatyi,pitharta,martu,tyalatya,wupatyi,wupatyi,tyalatya,pitharta,pitharta,wupatyi
2,0.18410386565737769,1.7088159510331593,1.5247120853757816,thapu,puwa,muwarnngu,muwarnngu,muwarnngu,puwa,muwarnngu,puwa,puwa,muwarnngu,puwa,puwa,puwa,muwarnngu,thapu,puwa,thapu,puwa,muwarnngu,muwarnngu,muwarnngu,muwarnngu,muwarnngu,wungkurlu,muwarnngu,thapu,puwa,thapu,thapu,muwarnngu,muwarnngu,muwarnngu,puwa,muwarnngu,thapu,thapu,thapu,puwa,thapu,muwarnngu,muwarnngu,thapu,muwarnngu,thapu,puwa,puwa,thapu,muwarnngu,thapu,muwarnngu,puwa,muwarnngu,muwarnngu,puwa,thapu,muwarnngu,puwa,muwarnngu,puwa,muwarnngu,wungkurlu,muwarnngu,muwarnngu,thapu,wungkurlu,wungkurlu,muwarnngu,thapu,puwa,thapu,muwarnngu,puwa,muwarnngu,thapu,thapu,muwarnngu,muwarnngu,puwa,thapu,thapu,muwarnngu,muwarnngu,muwarnngu,muwarnngu,puwa,muwarnngu,muwarnngu,muwarnngu,puwa,ngutyirr,wupatyi,ngutyirr,martu,tyalatya,wupatyi,ngutyirr,pitharta,wupatyi,tyalatya,pitharta,pitharta,wupatyi,ngutyirr,kurla,kurla,martu,tyalatya,tyalatya,tyalatya,wupatyi,pitharta,pitharta,pitharta,tyalatya,ngutyirr,ngutyirr,wupatyi
3,0.1364602220286597,1.6882855429699957,1.551825320941336,muwarnngu,muwarnngu,puwa,puwa,puwa,thapu,thapu,thapu,thapu,muwarnngu,puwa,muwarnngu,thapu,muwarnngu,muwarnngu,thapu,puwa,puwa,puwa,puwa,muwarnngu,puwa,muwarnngu,wungkurlu,muwarnngu,thapu,puwa,thapu,thapu,muwarnngu,muwarnngu,muwarnngu,wungkurlu,puwa,muwarnngu,thapu,muwarnngu,muwarnngu,thapu,muwarnngu,puwa,thapu,puwa,muwarnngu,wungkurlu,puwa,thapu,thapu,muwarnngu,muwarnngu,muwarnngu,muwarnngu,muwarnngu,wungkurlu,thapu,thapu,muwarnngu,puwa,muwarnngu,muwarnngu,muwarnngu,puwa,puwa,muwarnngu,muwarnngu,thapu,muwarnngu,muwarnngu,puwa,thapu,muwarnngu,puwa,muwarnngu,thapu,puwa,muwarnngu,muwarnngu,muwarnngu,thapu,muwarnngu,muwarnngu,thapu,muwarnngu,puwa,puwa,muwarnngu,puwa,thapu,muwarnngu,kurla,pitharta,kurla,wupatyi,wupatyi,wupatyi,ngutyirr,tyalatya,tyalatya,wupatyi,tyalatya,wupatyi,pitharta,ngutyirr,pitharta,tyalatya,wupatyi,ngutyirr,ngutyirr,pitharta,tyalatya,ngutyirr,tyalatya,pitharta,martu,pitharta,ngutyirr,martu
4,0.12095206502482925,1.6485534814750848,1.5276014164502556,muwarnngu,muwarnngu,puwa,muwarnngu,thapu,puwa,muwarnngu,muwarnngu,thapu,muwarnngu,thapu,muwarnngu,wungkurlu,thapu,wungkurlu,puwa,thapu,muwarnngu,muwarnngu,muwarnngu,thapu,muwarnngu,puwa,puwa,puwa,puwa,muwarnngu,muwarnngu,muwarnngu,muwarnngu,muwarnngu,muwarnngu,muwarnngu,thapu,puwa,muwarnngu,thapu,thapu,muwarnngu,muwarnngu,thapu,puwa,thapu,puwa,thapu,puwa,muwarnngu,puwa,puwa,thapu,thapu,muwarnngu,muwarnngu,thapu,puwa,puwa,puwa,puwa,puwa,muwarnngu,muwarnngu,muwarnngu,muwarnngu,thapu,muwarnngu,muwarnngu,wungkurlu,muwarnngu,thapu,muwarnngu,puwa,muwarnngu,puwa,muwarnngu,muwarnngu,thapu,muwarnngu,muwarnngu,thapu,wungkurlu,muwarnngu,puwa,puwa,puwa,thapu,muwarnngu,muwarnngu,thapu,thapu,ngutyirr,ngutyirr,martu,wupatyi,pitharta,wupatyi,martu,ngutyirr,wupatyi,tyalatya,pitharta,pitharta,kurla,tyalatya,tyalatya,pitharta,wupatyi,tyalatya,tyalatya,wupatyi,pitharta,kurla,pitharta,ngutyirr,wupatyi,ngutyirr,ngutyirr,tyalatya
5,0.06013324874112835,1.6971835666586026,1.6370503179174742,wungkurlu,puwa,thapu,muwarnngu,muwarnngu,muwarnngu,puwa,thapu,muwarnngu,puwa,puwa,puwa,muwarnngu,puwa,muwarnngu,puwa,puwa,puwa,muwarnngu,puwa,muwarnngu,thapu,thapu,muwarnngu,muwarnngu,muwarnngu,puwa,puwa,thapu,thapu,muwarnngu,wungkurlu,muwarnngu,muwarnngu,thapu,muwarnngu,puwa,wungkurlu,thapu,muwarnngu,puwa,puwa,thapu,muwarnngu,muwarnngu,thapu,thapu,thapu,thapu,muwarnngu,puwa,muwarnngu,thapu,muwarnngu,muwarnngu,puwa,thapu,puwa,thapu,puwa,puwa,muwarnngu,thapu,muwarnngu,thapu,muwarnngu,thapu,muwarnngu,puwa,muwarnngu,muwarnngu,puwa,thapu,muwarnngu,muwarnngu,muwarnngu,muwarnngu,muwarnngu,thapu,muwarnngu,muwarnngu,muwarnngu,muwarnngu,wungkurlu,puwa,thapu,muwarnngu,muwarnngu,muwarnngu,kurla,pitharta,pitharta,ngutyirr,tyalatya,wupatyi,pitharta,ngutyirr,tyalatya,martu,ngutyirr,kurla,wupatyi,ngutyirr,ngutyirr,pitharta,martu,pitharta,wupatyi,pitharta,tyalatya,wupatyi,wupatyi,tyalatya,wupatyi,tyalatya,tyalatya,ngutyirr
6,0.14057454726084462,1.6817591352633559,1.5411845880025112,thapu,puwa,muwarnngu,puwa,muwarnngu,puwa,muwarnngu,puwa,muwarnngu,muwarnngu,puwa,muwarnngu,puwa,thapu,muwarnngu,muwarnngu,muwarnngu,puwa,thapu,muwarnngu,muwarnngu,muwarnngu,puwa,thapu,thapu,muwarnngu,muwarnngu,muwarnngu,muwarnngu,thapu,thapu,thapu,puwa,muwarnngu,muwarnngu,puwa,muwarnngu,muwarnngu,muwarnngu,thapu,puwa,wungkurlu,muwarnngu,thapu,muwarnngu,muwarnngu,muwarnngu,puwa,puwa,thapu,thapu,muwarnngu,muwarnngu,puwa,muwarnngu,wungkurlu,muwarnngu,wungkurlu,thapu,thapu,muwarnngu,muwarnngu,thapu,thapu,thapu,puwa,thapu,muwarnngu,thapu,muwarnngu,wungkurlu,puwa,muwarnngu,muwarnngu,puwa,puwa,muwarnngu,thapu,puwa,puwa,muwarnngu,puwa,puwa,thapu,muwarnngu,thapu,puwa,muwarnngu,muwarnngu,tyalatya,wupatyi,pitharta,ngutyirr,wupatyi,pitharta,wupatyi,pitharta,ngutyirr,ngutyirr,pitharta,wupatyi,kurla,pitharta,tyalatya,pitharta,wupatyi,tyalatya,tyalatya,kurla,wupatyi,tyalatya,tyalatya,ngutyirr,ngutyirr,martu,martu,ngutyirr
7,0.11364359602393082,1.6514704026231308,1.5378268065992,puwa,muwarnngu,thapu,puwa,puwa,muwarnngu,thapu,puwa,muwarnngu,puwa,muwarnngu,thapu,thapu,puwa,puwa,muwarnngu,muwarnngu,muwarnngu,puwa,muwarnngu,muwarnngu,muwarnngu,puwa,muwarnngu,thapu,thapu,puwa,thapu,muwarnngu,thapu,muwarnngu,puwa,muwarnngu,muwarnngu,thapu,puwa,muwarnngu,thapu,muwarnngu,muwarnngu,muwarnngu,thapu,thapu,muwarnngu,muwarnngu,muwarnngu,muwarnngu,muwarnngu,muwarnngu,muwarnngu,puwa,muwarnngu,puwa,thapu,muwarnngu,puwa,puwa,muwarnngu,muwarnngu,muwarnngu,thapu,puwa,thapu,thapu,thapu,muwarnngu,puwa,puwa,muwarnngu,muwarnngu,muwarnngu,wungkurlu,muwarnngu,thapu,puwa,puwa,muwarnngu,muwarnngu,thapu,muwarnngu,muwarnngu,thapu,wungkurlu,puwa,puwa,thapu,thapu,wungkurlu,wungkurlu,ngutyirr,wupatyi,tyalatya,pitharta,wupatyi,pitharta,kurla,wupatyi,tyalatya,pitharta,pitharta,ngutyirr,wupatyi,tyalatya,wupatyi,ngutyirr,ngutyirr,ngutyirr,tyalatya,tyalatya,tyalatya,ngutyirr,martu,pitharta,martu,kurla,pitharta,wupatyi
8,0.1461491187546866,1.6716020233796856,1.525452904624999,thapu,puwa,muwarnngu,puwa,muwarnngu,muwarnngu,puwa,muwarnngu,thapu,muwarnngu,thapu,muwarnngu,muwarnngu,puwa,muwarnngu,muwarnngu,muwarnngu,puwa,muwarnngu,puwa,muwarnngu,thapu,wungkurlu,muwarnngu,muwarnngu,wungkurlu,muwarnngu,thapu,puwa,puwa,thapu,wungkurlu,muwarnngu,puwa,muwarnngu,muwarnngu,thapu,puwa,puwa,thapu,muwarnngu,thapu,thapu,thapu,puwa,thapu,muwarnngu,muwarnngu,puwa,muwarnngu,puwa,muwarnngu,thapu,muwarnngu,wungkurlu,muwarnngu,puwa,muwarnngu,muwarnngu,muwarnngu,thapu,muwarnngu,muwarnngu,puwa,puwa,thapu,puwa,puwa,muwarnngu,thapu,muwarnngu,thapu,muwarnngu,puwa,muwarnngu,puwa,muwarnngu,muwarnngu,thapu,thapu,puwa,muwarnngu,thapu,muwarnngu,thapu,puwa,muwarnngu,muwarnngu,thapu,martu,ngutyirr,wupatyi,pitharta,pitharta,tyalatya,pitharta,tyalatya,ngutyirr,wupatyi,tyalatya,ngutyirr,martu,ngutyirr,ngutyirr,pitharta,wupatyi,tyalatya,wupatyi,tyalatya,kurla,wupatyi,ngutyirr,tyalatya,wupatyi,kurla,pitharta,pitharta
9,0.11371271065074073,1.7136312659913062,1.5999185553405655,puwa,muwarnngu,muwarnngu,muwarnngu,puwa,thapu,muwarnngu,muwarnngu,puwa,puwa,thapu,muwarnngu,muwarnngu,wungkurlu,puwa,thapu,wungkurlu,muwarnngu,thapu,thapu,thapu,puwa,muwarnngu,puwa,muwarnngu,puwa,puwa,puwa,muwarnngu,muwarnngu,muwarnngu,puwa,puwa,muwarnngu,thapu,muwarnngu,muwarnngu,muwarnngu,muwarnngu,muwarnngu,puwa,muwarnngu,muwarnngu,thapu,thapu,thapu,puwa,wungkurlu,thapu,thapu,puwa,muwarnngu,puwa,muwarnngu,muwarnngu,muwarnngu,muwarnngu,muwarnngu,puwa,muwarnngu,muwarnngu,muwarnngu,muwarnngu,puwa,puwa,puwa,muwarnngu,thapu,muwarnngu,muwarnngu,thapu,thapu,thapu,puwa,muwarnngu,puwa,thapu,puwa,muwarnngu,wungkurlu,thapu,thapu,thapu,muwarnngu,muwarnngu,thapu,muwarnngu,muwarnngu,thapu,ngutyirr,ngutyirr,tyalatya,tyalatya,wupatyi,martu,tyalatya,pitharta,ngutyirr,pitharta,pitharta,ngutyirr,wupatyi,martu,tyalatya,wupatyi,pitharta,kurla,wupatyi,ngutyirr,wupatyi,tyalatya,ngutyirr,wupatyi,tyalatya,kurla,pitharta,pitharta
