simulation_number,mutual_information,entropy,conditional_entropy,mFByS,mMBeS,fMBeS,mMByS,fMByS,fFZeD,fFZyD,mFZeD,mFZyD,myB,fyB,myZ,fyZ,mFByD,fFByD,mMZyS,fMZyS,mMZyD,fMZyD,fFByS,mFBeS,fFBeS,mMZeS,meB,feB,mFZeS,mFZyS,meZ,feZ,mFBeD,fFBeD,mMZeD,fMZeD,fFZeS,fFZyS,mMBeD,fMBeD,fMByD,mMByD,mFeB,mFyB,fFeB,fFyB,mF,fF,mFeZ,mFyZ,fFeZ,fFyZ,mMeB,mMyB,fMeB,fMyB,mMeZ,mMyZ,fMeZ,fMyZ,mM,fM
0,0.3465735902799726,1.0397207708399179,0.6931471805599453,nǎ-seʼ-mǎ,nǎ-misʼ-sǎ,nǎ-nǎʼ-kwä-nis,ne-seʼ-mǎ,nǎ-täʼ-nis,nǎ-seʼ-mǎ,na-ke-͡aʼ,nǎ-misʼ-sǎ,nǎ-misʼ-sǎ,nǎ-saʼ-mä,na-saʼ-mä,nǎ-kwisʼ-sä,na-misʼ-sǎ,nǎ-seʼ-mǎ,nǎ-shǎ-misʼ,nǎ-seʼ-mǎ,nǎ-saʼ-mä,na-saʼ-mä,na-seʼ-mǎ,nǎ-zhe-sǎʼ,na-ke-͡ǎʼ,nǎ-seʼ-mǎ,nǎ-seʼ-mǎ,nǎ-seʼ-mǎ,nǎ-misʼ-sǎ,nǎ-kwisʼ-sä,nǎ-zhe-sǎʼ,nǎ-zhe-sǎʼ,nǎ-nǎʼ-gwä-nls,nǎ-shǎ-misʼ,nǎ-täʼ-nis,nǎ-seʼ-mǎ,nǎ-seʼ-mǎ,nǎ-saʼ-mä,nǎ-misʼ-sǎ,nǎ-zhe-sǎʼ,na-ke-͡ǎʼ,na-ke-͡ǎʼ,nǎ-seʼ-mǎ,nǎ-zhe-sǎʼ,nǒss,nǒss,nǎ-ke-͡ǎʼ,nǎ-ke-͡ǎʼ,nak-yeʼ-hä,nǒss,nǒss,nak-yeʼ-hä,nǎ-ke-͡aʼ,nǎ-ke-͡ǎʼ,nǎ-ke-͡aʼ,nǎ-ke-͡ǎʼ,nak-yeʼ-hä,nǎ-zhe-sǎʼ,nak-yeʼ-hä,noss,noss,nǎ-zhe-sǎʼ,nǎ-zhe-sǎʼ
1,0.6931471805599453,1.3862943611198906,0.6931471805599453,nǎ-seʼ-mǎ,nǎ-misʼ-sǎ,nǎ-misʼ-sǎ,nǎ-seʼ-mǎ,na-misʼ-sǎ,nǎ-täʼ-nis,nǎ-seʼ-mǎ,nǎ-kwisʼ-sä,nǎ-zhe-sǎʼ,nǎ-misʼ-sǎ,nǎ-zhe-sǎʼ,nǎ-shǎ-misʼ,nǎ-seʼ-mǎ,nǎ-nǎʼ-gwä-nls,nǎ-shǎ-misʼ,nǎ-täʼ-nis,nǎ-saʼ-mä,nǎ-nǎʼ-kwä-nis,na-ke-͡ǎʼ,nǎ-seʼ-mǎ,nǎ-seʼ-mǎ,nǎ-saʼ-mä,nǎ-seʼ-mǎ,nǎ-misʼ-sǎ,nǎ-kwisʼ-sä,nǎ-misʼ-sǎ,nǎ-seʼ-mǎ,na-ke-͡aʼ,nǎ-seʼ-mǎ,na-seʼ-mǎ,nǎ-saʼ-mä,nǎ-zhe-sǎʼ,ne-seʼ-mǎ,na-ke-͡ǎʼ,nǎ-seʼ-mǎ,na-saʼ-mä,na-saʼ-mä,nǎ-zhe-sǎʼ,na-ke-͡ǎʼ,nǒss,nǒss,nǎ-zhe-sǎʼ,nǎ-ke-͡ǎʼ,nǎ-ke-͡ǎʼ,noss,nak-yeʼ-hä,nǎ-ke-͡ǎʼ,nak-yeʼ-hä,nǎ-zhe-sǎʼ,nak-yeʼ-hä,nǎ-zhe-sǎʼ,nǎ-ke-͡ǎʼ,nǎ-ke-͡aʼ,nǒss,nǒss,nak-yeʼ-hä,noss,nǎ-ke-͡aʼ,nǎ-zhe-sǎʼ
2,0.5198603854199589,1.3862943611198906,0.8664339756999316,ne-seʼ-mǎ,nǎ-saʼ-mä,nǎ-seʼ-mǎ,nǎ-zhe-sǎʼ,nǎ-kwisʼ-sä,nǎ-nǎʼ-kwä-nis,nǎ-seʼ-mǎ,nǎ-misʼ-sǎ,nǎ-zhe-sǎʼ,nǎ-saʼ-mä,nǎ-seʼ-mǎ,na-ke-͡ǎʼ,nǎ-kwisʼ-sä,nǎ-misʼ-sǎ,nǎ-täʼ-nis,nǎ-seʼ-mǎ,na-ke-͡ǎʼ,nǎ-zhe-sǎʼ,nǎ-seʼ-mǎ,nǎ-seʼ-mǎ,na-misʼ-sǎ,nǎ-seʼ-mǎ,na-ke-͡aʼ,nǎ-misʼ-sǎ,nǎ-saʼ-mä,na-saʼ-mä,nǎ-shǎ-misʼ,nǎ-zhe-sǎʼ,nǎ-täʼ-nis,na-saʼ-mä,nǎ-seʼ-mǎ,nǎ-seʼ-mǎ,na-ke-͡ǎʼ,nǎ-misʼ-sǎ,nǎ-nǎʼ-gwä-nls,na-seʼ-mǎ,nǎ-misʼ-sǎ,nǎ-seʼ-mǎ,nǎ-shǎ-misʼ,nak-yeʼ-hä,nǎ-ke-͡aʼ,nak-yeʼ-hä,nǎ-ke-͡ǎʼ,nǎ-ke-͡ǎʼ,nak-yeʼ-hä,nǒss,nǒss,nǎ-ke-͡ǎʼ,nǎ-ke-͡ǎʼ,noss,nǎ-zhe-sǎʼ,nǎ-ke-͡aʼ,noss,nǒss,nǎ-zhe-sǎʼ,nak-yeʼ-hä,nǎ-zhe-sǎʼ,nǒss,nǎ-zhe-sǎʼ
3,0.17328679513998624,1.0397207708399179,0.8664339756999316,nǎ-seʼ-mǎ,na-ke-͡ǎʼ,nǎ-täʼ-nis,nǎ-saʼ-mä,nǎ-seʼ-mǎ,nǎ-misʼ-sǎ,na-saʼ-mä,nǎ-zhe-sǎʼ,na-misʼ-sǎ,nǎ-seʼ-mǎ,nǎ-seʼ-mǎ,na-ke-͡ǎʼ,nǎ-misʼ-sǎ,nǎ-zhe-sǎʼ,nǎ-kwisʼ-sä,nǎ-nǎʼ-gwä-nls,nǎ-seʼ-mǎ,nǎ-seʼ-mǎ,nǎ-seʼ-mǎ,na-seʼ-mǎ,nǎ-seʼ-mǎ,ne-seʼ-mǎ,na-ke-͡ǎʼ,nǎ-saʼ-mä,nǎ-kwisʼ-sä,na-ke-͡aʼ,nǎ-shǎ-misʼ,nǎ-misʼ-sǎ,nǎ-zhe-sǎʼ,nǎ-seʼ-mǎ,nǎ-misʼ-sǎ,nǎ-shǎ-misʼ,nǎ-saʼ-mä,nǎ-zhe-sǎʼ,nǎ-seʼ-mǎ,nǎ-täʼ-nis,na-saʼ-mä,nǎ-nǎʼ-kwä-nis,nǎ-misʼ-sǎ,nǎ-zhe-sǎʼ,nak-yeʼ-hä,nǒss,nak-yeʼ-hä,nǒss,nǎ-ke-͡aʼ,nǎ-ke-͡ǎʼ,nǎ-ke-͡ǎʼ,nǎ-ke-͡ǎʼ,noss,nǎ-zhe-sǎʼ,nǒss,nǒss,nǎ-zhe-sǎʼ,nǎ-zhe-sǎʼ,nak-yeʼ-hä,nak-yeʼ-hä,nǎ-ke-͡ǎʼ,nǎ-ke-͡aʼ,noss
4,0.22722718372469508,1.0397207708399179,0.8124935871152228,nǎ-seʼ-mǎ,nǎ-seʼ-mǎ,nǎ-seʼ-mǎ,nǎ-zhe-sǎʼ,nǎ-zhe-sǎʼ,nǎ-misʼ-sǎ,nǎ-shǎ-misʼ,nǎ-nǎʼ-kwä-nis,nǎ-saʼ-mä,nǎ-täʼ-nis,na-ke-͡ǎʼ,nǎ-saʼ-mä,nǎ-seʼ-mǎ,nǎ-saʼ-mä,nǎ-kwisʼ-sä,na-seʼ-mǎ,ne-seʼ-mǎ,na-ke-͡aʼ,nǎ-seʼ-mǎ,na-saʼ-mä,nǎ-nǎʼ-gwä-nls,nǎ-seʼ-mǎ,na-misʼ-sǎ,nǎ-misʼ-sǎ,nǎ-seʼ-mǎ,nǎ-zhe-sǎʼ,nǎ-täʼ-nis,nǎ-misʼ-sǎ,nǎ-misʼ-sǎ,nǎ-seʼ-mǎ,nǎ-kwisʼ-sä,nǎ-misʼ-sǎ,nǎ-seʼ-mǎ,na-saʼ-mä,nǎ-zhe-sǎʼ,nǎ-shǎ-misʼ,nǎ-seʼ-mǎ,na-ke-͡ǎʼ,na-ke-͡ǎʼ,nǎ-zhe-sǎʼ,nǎ-ke-͡aʼ,noss,nǒss,nǎ-ke-͡ǎʼ,nǎ-ke-͡ǎʼ,nak-yeʼ-hä,nǎ-ke-͡aʼ,noss,nak-yeʼ-hä,nǒss,nǎ-ke-͡ǎʼ,nǎ-ke-͡ǎʼ,nǎ-zhe-sǎʼ,nǎ-zhe-sǎʼ,nak-yeʼ-hä,nǒss,nak-yeʼ-hä,nǒss,nǎ-zhe-sǎʼ
5,0.5198603854199589,1.3862943611198906,0.8664339756999316,nǎ-kwisʼ-sä,nǎ-nǎʼ-gwä-nls,nǎ-zhe-sǎʼ,nǎ-zhe-sǎʼ,nǎ-shǎ-misʼ,nǎ-zhe-sǎʼ,na-ke-͡ǎʼ,nǎ-saʼ-mä,nǎ-saʼ-mä,na-misʼ-sǎ,nǎ-seʼ-mǎ,nǎ-zhe-sǎʼ,na-ke-͡ǎʼ,nǎ-seʼ-mǎ,na-seʼ-mǎ,nǎ-shǎ-misʼ,na-ke-͡aʼ,nǎ-seʼ-mǎ,nǎ-kwisʼ-sä,nǎ-seʼ-mǎ,nǎ-seʼ-mǎ,nǎ-seʼ-mǎ,nǎ-misʼ-sǎ,nǎ-seʼ-mǎ,ne-seʼ-mǎ,nǎ-täʼ-nis,na-ke-͡ǎʼ,nǎ-täʼ-nis,nǎ-misʼ-sǎ,na-saʼ-mä,nǎ-nǎʼ-kwä-nis,nǎ-seʼ-mǎ,na-saʼ-mä,nǎ-misʼ-sǎ,nǎ-misʼ-sǎ,nǎ-seʼ-mǎ,nǎ-seʼ-mǎ,nǎ-saʼ-mä,nǎ-misʼ-sǎ,nǎ-zhe-sǎʼ,nǒss,nǎ-zhe-sǎʼ,nǎ-ke-͡aʼ,noss,nǎ-ke-͡aʼ,nak-yeʼ-hä,nǎ-ke-͡ǎʼ,nǎ-zhe-sǎʼ,nǎ-zhe-sǎʼ,nak-yeʼ-hä,nǎ-ke-͡ǎʼ,nǒss,nǒss,noss,nak-yeʼ-hä,nǒss,nǎ-ke-͡ǎʼ,nak-yeʼ-hä,nǎ-ke-͡ǎʼ
6,0.5198603854199589,1.3862943611198906,0.8664339756999316,nǎ-saʼ-mä,ne-seʼ-mǎ,nǎ-shǎ-misʼ,nǎ-zhe-sǎʼ,nǎ-seʼ-mǎ,nǎ-nǎʼ-kwä-nis,nǎ-zhe-sǎʼ,nǎ-seʼ-mǎ,nǎ-zhe-sǎʼ,na-ke-͡aʼ,nǎ-misʼ-sǎ,nǎ-täʼ-nis,nǎ-seʼ-mǎ,nǎ-nǎʼ-gwä-nls,nǎ-misʼ-sǎ,nǎ-kwisʼ-sä,nǎ-seʼ-mǎ,na-seʼ-mǎ,na-saʼ-mä,na-misʼ-sǎ,nǎ-seʼ-mǎ,na-saʼ-mä,na-ke-͡ǎʼ,nǎ-misʼ-sǎ,nǎ-seʼ-mǎ,nǎ-misʼ-sǎ,nǎ-kwisʼ-sä,nǎ-shǎ-misʼ,nǎ-seʼ-mǎ,na-ke-͡ǎʼ,nǎ-seʼ-mǎ,nǎ-täʼ-nis,nǎ-seʼ-mǎ,nǎ-saʼ-mä,nǎ-saʼ-mä,na-ke-͡ǎʼ,nǎ-misʼ-sǎ,nǎ-seʼ-mǎ,nǎ-zhe-sǎʼ,nǎ-ke-͡ǎʼ,nǒss,noss,nǎ-ke-͡ǎʼ,nǎ-ke-͡ǎʼ,nak-yeʼ-hä,nǒss,nǒss,nǎ-zhe-sǎʼ,nǎ-zhe-sǎʼ,nak-yeʼ-hä,nak-yeʼ-hä,noss,nǎ-ke-͡ǎʼ,nǒss,nǎ-zhe-sǎʼ,nǎ-ke-͡aʼ,nak-yeʼ-hä,nǎ-zhe-sǎʼ,nǎ-ke-͡aʼ
7,0.5198603854199589,1.3862943611198906,0.8664339756999316,na-ke-͡aʼ,nǎ-zhe-sǎʼ,nǎ-zhe-sǎʼ,nǎ-seʼ-mǎ,nǎ-misʼ-sǎ,nǎ-seʼ-mǎ,nǎ-saʼ-mä,na-ke-͡ǎʼ,nǎ-misʼ-sǎ,nǎ-saʼ-mä,nǎ-nǎʼ-kwä-nis,nǎ-zhe-sǎʼ,na-saʼ-mä,na-ke-͡ǎʼ,nǎ-misʼ-sǎ,nǎ-misʼ-sǎ,nǎ-nǎʼ-gwä-nls,nǎ-seʼ-mǎ,nǎ-seʼ-mǎ,nǎ-seʼ-mǎ,nǎ-seʼ-mǎ,nǎ-seʼ-mǎ,nǎ-kwisʼ-sä,na-misʼ-sǎ,ne-seʼ-mǎ,nǎ-seʼ-mǎ,na-ke-͡ǎʼ,na-saʼ-mä,nǎ-seʼ-mǎ,nǎ-saʼ-mä,nǎ-kwisʼ-sä,nǎ-seʼ-mǎ,nǎ-shǎ-misʼ,na-seʼ-mǎ,nǎ-täʼ-nis,nǎ-shǎ-misʼ,nǎ-täʼ-nis,nǎ-zhe-sǎʼ,nǎ-misʼ-sǎ,nǎ-ke-͡ǎʼ,nak-yeʼ-hä,nǎ-ke-͡ǎʼ,nǎ-ke-͡ǎʼ,nak-yeʼ-hä,nǎ-ke-͡aʼ,nak-yeʼ-hä,nǎ-ke-͡aʼ,nǒss,noss,nǎ-zhe-sǎʼ,nǎ-zhe-sǎʼ,nǒss,nǒss,nǒss,nǎ-zhe-sǎʼ,nak-yeʼ-hä,noss,nǎ-ke-͡ǎʼ,nǎ-zhe-sǎʼ
8,0.4544543674493904,1.3862943611198906,0.9318399936705002,nǎ-täʼ-nis,nǎ-misʼ-sǎ,na-seʼ-mǎ,nǎ-saʼ-mä,na-saʼ-mä,nǎ-seʼ-mǎ,na-misʼ-sǎ,nǎ-nǎʼ-gwä-nls,nǎ-zhe-sǎʼ,nǎ-misʼ-sǎ,nǎ-seʼ-mǎ,nǎ-seʼ-mǎ,nǎ-shǎ-misʼ,nǎ-täʼ-nis,nǎ-misʼ-sǎ,nǎ-kwisʼ-sä,nǎ-saʼ-mä,nǎ-seʼ-mǎ,nǎ-saʼ-mä,nǎ-seʼ-mǎ,nǎ-kwisʼ-sä,na-saʼ-mä,na-ke-͡ǎʼ,nǎ-seʼ-mǎ,na-ke-͡aʼ,nǎ-seʼ-mǎ,nǎ-seʼ-mǎ,na-ke-͡ǎʼ,nǎ-nǎʼ-kwä-nis,nǎ-zhe-sǎʼ,nǎ-zhe-sǎʼ,nǎ-misʼ-sǎ,na-ke-͡ǎʼ,nǎ-misʼ-sǎ,nǎ-seʼ-mǎ,ne-seʼ-mǎ,nǎ-shǎ-misʼ,nǎ-seʼ-mǎ,nǎ-zhe-sǎʼ,nak-yeʼ-hä,nǎ-ke-͡ǎʼ,nak-yeʼ-hä,nǎ-zhe-sǎʼ,nǒss,noss,nǒss,nǎ-zhe-sǎʼ,nak-yeʼ-hä,nǎ-zhe-sǎʼ,nak-yeʼ-hä,nǎ-ke-͡aʼ,nǎ-zhe-sǎʼ,noss,nǒss,nǎ-ke-͡ǎʼ,nǎ-ke-͡ǎʼ,nǒss,nǎ-ke-͡ǎʼ,nǎ-ke-͡aʼ
9,0.22722718372469508,1.0397207708399179,0.8124935871152228,nǎ-zhe-sǎʼ,na-misʼ-sǎ,nǎ-täʼ-nis,nǎ-misʼ-sǎ,nǎ-seʼ-mǎ,nǎ-seʼ-mǎ,nǎ-seʼ-mǎ,nǎ-täʼ-nis,nǎ-nǎʼ-kwä-nis,nǎ-seʼ-mǎ,nǎ-saʼ-mä,nǎ-shǎ-misʼ,nǎ-misʼ-sǎ,na-ke-͡ǎʼ,nǎ-zhe-sǎʼ,nǎ-shǎ-misʼ,nǎ-kwisʼ-sä,nǎ-saʼ-mä,nǎ-misʼ-sǎ,nǎ-seʼ-mǎ,nǎ-zhe-sǎʼ,na-saʼ-mä,nǎ-seʼ-mǎ,nǎ-misʼ-sǎ,na-saʼ-mä,nǎ-zhe-sǎʼ,nǎ-seʼ-mǎ,nǎ-misʼ-sǎ,ne-seʼ-mǎ,nǎ-saʼ-mä,nǎ-seʼ-mǎ,na-ke-͡ǎʼ,nǎ-nǎʼ-gwä-nls,nǎ-seʼ-mǎ,nǎ-kwisʼ-sä,na-seʼ-mǎ,nǎ-seʼ-mǎ,na-ke-͡ǎʼ,na-ke-͡aʼ,nǎ-ke-͡ǎʼ,nǎ-zhe-sǎʼ,nǎ-ke-͡ǎʼ,nak-yeʼ-hä,nak-yeʼ-hä,nak-yeʼ-hä,nǒss,nǎ-ke-͡ǎʼ,nǎ-zhe-sǎʼ,noss,nǎ-ke-͡aʼ,nǎ-ke-͡aʼ,nǎ-zhe-sǎʼ,nǒss,nak-yeʼ-hä,noss,nǒss,nǒss,nǎ-zhe-sǎʼ,nǎ-ke-͡ǎʼ
