simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,mFZD,mMBD,mFZS,mMBS,mFyBD,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fB,fyZ,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mFeBS,mFyBS,mFeBD,mMeZS,mMyZS,mMeZD,mMyZD,feZ,fFeBS,fFyBS,fFeBD,fMeZS,fMyZS,fMeZD,fMyZD,mF,mM,mFZ,mMB,mFeB,mFyB,mMeZ,mMyZ,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFZ,fMB,fFeB,fFyB,fMeZ,fMyZ,fFeZ,fFyZ,fMeB,fMyB
0,0.4023986533428128,1.926352647120543,1.5239539937777302,ntsala,ntsala,ngwana rrangwane,ngwana mmangwane,ntsala,ntsala,ntsala,ntsala,ntsala,ngwana-mmemogolo,ngwana-rremogolo,ngwana wa ga rrangwane,ngwana-mmemogolo,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,nkgonne,nnake,ntsala,nnake,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,kgaitsadi,ntsala,ngwana mmangwane,ngwana rrangwane,ngwana-rremogolo,ntsala,ntsala,ngwana-mmemogolo,ngwana-rremogolo,ngwana mmangwane,ngwana-rremogolo,mogolole,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ngwana-mmemogolo,ntsala,ntsala,ntsala,ntsala,ngwana mmangwane,ntsala,ntsala,ntsala,ntsala,rrakgadi,rrangwane,rre,rrakgadi,rrakgadi,mme,rrakgadi,rre,malome,malome,mme,malome,rrakgadi,mmangwane,malome,mme-mogolo,rrangwane,malome,rre-mogolo,mmangwane,mme-mogolo,rre-mogolo,malome,rrakgadi
1,0.40836734909321515,1.9934655075568453,1.5850981584636301,ngwana rrangwane,ngwana-mmemogolo,ngwana rrangwane,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ngwana-mmemogolo,nnake,ntsala,nkgonne,ntsala,ngwana wa ga rrangwane,ntsala,ngwana-rremogolo,ntsala,nnake,ntsala,ngwana mmangwane,ntsala,ngwana-mmemogolo,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ngwana-rremogolo,ntsala,ntsala,ngwana-rremogolo,ngwana-mmemogolo,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ngwana-rremogolo,ntsala,ngwana mmangwane,ngwana mmangwane,mogolole,ntsala,kgaitsadi,ntsala,ngwana mmangwane,ntsala,rrakgadi,malome,mme,rre-mogolo,malome,malome,rrakgadi,rre-mogolo,malome,rrangwane,rrangwane,malome,rrakgadi,rre,mme-mogolo,mme-mogolo,rre,rrakgadi,mme,rrakgadi,mmangwane,rrakgadi,malome,mmangwane
2,0.42699097207144865,1.868726791519479,1.4417358194480303,ntsala,ntsala,nnake,ntsala,ngwana-rremogolo,ntsala,ntsala,ntsala,ntsala,ntsala,ngwana-mmemogolo,ntsala,ntsala,ngwana-mmemogolo,ntsala,ntsala,ngwana rrangwane,ntsala,ntsala,ntsala,nnake,ntsala,ntsala,ngwana wa ga rrangwane,ntsala,ntsala,ntsala,ntsala,ngwana-rremogolo,nkgonne,ngwana mmangwane,ngwana-rremogolo,ngwana mmangwane,ntsala,ntsala,ntsala,ntsala,ntsala,ngwana-rremogolo,ntsala,ngwana rrangwane,ntsala,ntsala,ntsala,ngwana-mmemogolo,ntsala,ngwana mmangwane,ntsala,ntsala,kgaitsadi,mogolole,ntsala,ntsala,ngwana-mmemogolo,ntsala,ntsala,ntsala,ngwana mmangwane,ntsala,ntsala,rrakgadi,rrangwane,rrakgadi,malome,rrakgadi,mme-mogolo,rrangwane,rrakgadi,mme,malome,rre,malome,mmangwane,mmangwane,rrakgadi,rre-mogolo,rre,rrakgadi,mme-mogolo,malome,rre-mogolo,malome,malome,mme
3,0.42066426950665914,1.8897302351375864,1.4690659656309273,kgaitsadi,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,nkgonne,nnake,ntsala,ntsala,nnake,ntsala,ntsala,ntsala,ngwana-mmemogolo,ngwana-rremogolo,ntsala,ngwana-mmemogolo,ntsala,ntsala,mogolole,ntsala,ntsala,ntsala,ntsala,ngwana wa ga rrangwane,ntsala,ntsala,ntsala,ntsala,ntsala,ngwana-mmemogolo,ngwana-rremogolo,ntsala,ngwana-rremogolo,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ngwana rrangwane,ntsala,ngwana mmangwane,ngwana mmangwane,ngwana-rremogolo,ntsala,ngwana rrangwane,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ngwana mmangwane,ngwana-mmemogolo,ngwana mmangwane,ntsala,rrakgadi,rre,malome,rre-mogolo,rrangwane,mme-mogolo,malome,rrakgadi,malome,mme-mogolo,rrakgadi,rrakgadi,rre,mme,rre-mogolo,rrangwane,malome,mme,rrakgadi,mmangwane,rrakgadi,mmangwane,malome,malome
4,0.42032344670884014,1.896301731967181,1.475978285258341,ntsala,ntsala,ntsala,ntsala,ngwana wa ga rrangwane,ntsala,ntsala,ngwana-rremogolo,ngwana-mmemogolo,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ngwana rrangwane,ntsala,ngwana mmangwane,ngwana-mmemogolo,ntsala,ngwana mmangwane,nkgonne,ntsala,ngwana-rremogolo,ngwana-mmemogolo,ntsala,nnake,ntsala,ngwana mmangwane,ngwana mmangwane,ntsala,ntsala,ntsala,ntsala,ngwana-rremogolo,ntsala,nnake,ntsala,ngwana rrangwane,ntsala,ntsala,ntsala,ntsala,ntsala,ngwana-mmemogolo,mogolole,kgaitsadi,ntsala,ntsala,ntsala,ngwana-rremogolo,ntsala,ntsala,ntsala,malome,rrakgadi,malome,malome,malome,rrangwane,malome,rrakgadi,rre-mogolo,mmangwane,mme-mogolo,rrangwane,mme,malome,rre-mogolo,mmangwane,mme-mogolo,mme,rrakgadi,rre,rrakgadi,rre,rrakgadi,rrakgadi
5,0.44438159506870534,1.9607187116173657,1.5163371165486603,ntsala,ngwana rrangwane,ntsala,mogolole,ntsala,ntsala,ntsala,kgaitsadi,ntsala,ntsala,ngwana mmangwane,ntsala,ngwana-rremogolo,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ngwana-rremogolo,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ngwana wa ga rrangwane,ngwana-rremogolo,ngwana-mmemogolo,ngwana mmangwane,ntsala,ngwana-mmemogolo,ntsala,ngwana rrangwane,ntsala,ntsala,ntsala,ntsala,ntsala,ngwana-mmemogolo,ntsala,nnake,ntsala,ntsala,ntsala,ntsala,nnake,ngwana-mmemogolo,ntsala,nkgonne,ngwana mmangwane,ntsala,ngwana mmangwane,ngwana-rremogolo,ntsala,rre-mogolo,mme,rre-mogolo,mme-mogolo,malome,rrakgadi,rrakgadi,rre,mmangwane,rrakgadi,rrangwane,rrakgadi,malome,rrangwane,rrakgadi,mme,malome,malome,rrakgadi,rre,malome,mme-mogolo,malome,mmangwane
6,0.474741373593226,1.9133001068903603,1.4385587332971344,ntsala,ngwana-rremogolo,ngwana-mmemogolo,ntsala,ntsala,ngwana-rremogolo,ntsala,ntsala,ntsala,ngwana-rremogolo,ntsala,ntsala,ngwana mmangwane,ntsala,nkgonne,ntsala,ntsala,nnake,ngwana-rremogolo,ntsala,ngwana-mmemogolo,ntsala,ngwana wa ga rrangwane,ntsala,ntsala,ntsala,ntsala,ngwana mmangwane,ngwana rrangwane,ntsala,ntsala,ntsala,mogolole,ntsala,kgaitsadi,ngwana-mmemogolo,ntsala,ntsala,ntsala,ntsala,ngwana mmangwane,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ngwana-mmemogolo,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,nnake,ngwana rrangwane,ntsala,ngwana mmangwane,ntsala,ntsala,rre,mmangwane,mmangwane,rrangwane,malome,rre-mogolo,rrakgadi,rrakgadi,malome,malome,mme-mogolo,mme-mogolo,mme,rre-mogolo,rrakgadi,rrakgadi,rrangwane,rrakgadi,malome,mme,rrakgadi,malome,malome,rre
7,0.3854452340739396,1.850877858110749,1.4654326240368094,nkgonne,ntsala,ngwana mmangwane,ntsala,ntsala,ntsala,ntsala,nnake,ngwana mmangwane,ntsala,kgaitsadi,ntsala,ntsala,ntsala,ngwana-rremogolo,ntsala,ntsala,ntsala,ngwana wa ga rrangwane,ntsala,ntsala,nnake,ngwana mmangwane,ngwana-rremogolo,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,mogolole,ntsala,ntsala,ngwana rrangwane,ntsala,ntsala,ntsala,ngwana-mmemogolo,ntsala,ntsala,ntsala,ntsala,ngwana-mmemogolo,ngwana-rremogolo,ntsala,ntsala,ntsala,ntsala,ngwana rrangwane,ntsala,ntsala,ngwana-mmemogolo,ntsala,ntsala,ntsala,ngwana-rremogolo,ntsala,ngwana-mmemogolo,ntsala,ngwana mmangwane,malome,rrangwane,rre-mogolo,rrakgadi,mme,rrakgadi,malome,malome,rrakgadi,rre-mogolo,rre,mmangwane,rre,rrakgadi,malome,rrakgadi,malome,mme,rrangwane,malome,mme-mogolo,mmangwane,rrakgadi,mme-mogolo
8,0.4488458207750703,1.8651859387797547,1.4163401180046844,ntsala,ngwana mmangwane,ntsala,ngwana mmangwane,ntsala,ngwana mmangwane,ngwana-rremogolo,ngwana-mmemogolo,kgaitsadi,ntsala,ntsala,ngwana-rremogolo,ntsala,ntsala,nkgonne,ntsala,ntsala,ngwana-rremogolo,ntsala,ntsala,nnake,ntsala,ntsala,ntsala,ngwana mmangwane,nnake,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ngwana rrangwane,ngwana rrangwane,ntsala,ngwana-mmemogolo,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ngwana wa ga rrangwane,ntsala,ngwana-mmemogolo,mogolole,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ngwana-mmemogolo,ngwana-rremogolo,rrakgadi,malome,mmangwane,rrakgadi,mmangwane,rrangwane,rrangwane,rrakgadi,rrakgadi,mme,rre,mme-mogolo,malome,rre,rrakgadi,malome,malome,rre-mogolo,mme-mogolo,mme,rre-mogolo,rrakgadi,malome,malome
9,0.35491064773614345,1.9762239882635821,1.6213133405274387,ntsala,nnake,kgaitsadi,ntsala,ntsala,ngwana-mmemogolo,nnake,ngwana-rremogolo,mogolole,ngwana-mmemogolo,ntsala,ntsala,ntsala,ntsala,ntsala,ngwana wa ga rrangwane,ntsala,ntsala,ntsala,ngwana rrangwane,ngwana-rremogolo,ntsala,ntsala,nkgonne,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ngwana-rremogolo,ntsala,ntsala,ntsala,ntsala,ntsala,ntsala,ngwana mmangwane,ngwana-mmemogolo,ntsala,ntsala,ngwana mmangwane,ntsala,ngwana rrangwane,ngwana-rremogolo,ngwana mmangwane,ntsala,ntsala,ntsala,ntsala,ngwana mmangwane,ntsala,ntsala,ntsala,ngwana-mmemogolo,ntsala,ntsala,ntsala,rrakgadi,malome,mme-mogolo,rre-mogolo,rrakgadi,rre-mogolo,rrakgadi,mmangwane,malome,mme-mogolo,malome,rre,rrakgadi,rrangwane,malome,mme,mmangwane,malome,rrakgadi,mme,rrakgadi,rre,rrangwane,malome
