simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.4595496741531413,1.5342510472529907,1.0747013730998494,lelel,manungk,natungk,lelel,vivinungk,lelel,natungk,manungk,natungk,tuangk,natungk,vivinungk,vavwe,natungk,tasungk,tuangk,natungk,lelel,vivinungk,vivinungk,vavwe,vavwe,natungk,tuangk,manungk,tasungk,vavwe,tasungk,manungk,natungk,nangk,nangk,nangk,vavwe,mamwe lamp,mamwe,mamwe,nangk,mamwe,mamwe lamp,vavwe,nangk,vavwe,vimbi,vimbi,nangk,mamwe,vimbi,vavwe,vimbi
1,0.42297259429635936,1.5656933602980168,1.1427207660016574,natungk,lelel,lelel,vavwe,tasungk,natungk,natungk,tuangk,lelel,vivinungk,vavwe,tasungk,tuangk,vavwe,manungk,manungk,tasungk,vivinungk,natungk,manungk,natungk,vavwe,vivinungk,manungk,natungk,natungk,tuangk,lelel,natungk,vivinungk,nangk,vimbi,mamwe lamp,vavwe,mamwe lamp,mamwe,mamwe,mamwe,nangk,vavwe,nangk,mamwe,nangk,vimbi,nangk,nangk,vimbi,vimbi,vavwe,vavwe
2,0.48443703224020584,1.5308615235820813,1.0464244913418754,natungk,tasungk,manungk,tuangk,vavwe,manungk,natungk,vivinungk,lelel,lelel,natungk,lelel,natungk,tuangk,vivinungk,vavwe,vavwe,lelel,vivinungk,vavwe,tasungk,tasungk,manungk,manungk,natungk,tuangk,vivinungk,natungk,natungk,natungk,nangk,mamwe,vavwe,vimbi,nangk,mamwe,mamwe,vimbi,nangk,vimbi,nangk,vimbi,vavwe,vavwe,nangk,vavwe,mamwe lamp,mamwe,nangk,mamwe lamp
3,0.4452591474871368,1.5308615235820813,1.0856023760949445,vivinungk,tasungk,tuangk,natungk,lelel,vivinungk,natungk,natungk,lelel,manungk,natungk,tasungk,tuangk,vivinungk,natungk,tasungk,manungk,vavwe,tuangk,lelel,vavwe,natungk,vivinungk,natungk,vavwe,lelel,manungk,natungk,manungk,vavwe,nangk,vavwe,mamwe,vimbi,vimbi,mamwe,vavwe,vimbi,nangk,mamwe lamp,nangk,vimbi,vavwe,mamwe,nangk,mamwe,nangk,vavwe,mamwe lamp,nangk
4,0.4460529756615583,1.5656933602980168,1.1196403846364584,natungk,manungk,vivinungk,natungk,vavwe,natungk,vavwe,tasungk,natungk,lelel,tuangk,vivinungk,lelel,natungk,vivinungk,natungk,manungk,natungk,lelel,tuangk,tasungk,manungk,manungk,lelel,vavwe,tasungk,vivinungk,natungk,tuangk,vavwe,vimbi,nangk,vavwe,mamwe lamp,nangk,nangk,nangk,nangk,vimbi,vavwe,vimbi,nangk,vimbi,mamwe,mamwe,mamwe,vavwe,mamwe lamp,mamwe,vavwe
5,0.29204168523144625,1.5199011899903832,1.227859504758937,natungk,vivinungk,tuangk,vivinungk,tuangk,vavwe,natungk,lelel,vavwe,natungk,tuangk,tasungk,manungk,tasungk,manungk,natungk,vavwe,natungk,lelel,vivinungk,vavwe,manungk,vivinungk,natungk,natungk,manungk,lelel,tasungk,natungk,lelel,vavwe,mamwe lamp,nangk,vimbi,mamwe,vavwe,vimbi,vimbi,vavwe,nangk,vimbi,mamwe lamp,nangk,nangk,mamwe,mamwe,vavwe,nangk,mamwe,nangk
6,0.27955677467445383,1.4936310485615478,1.214074273887094,natungk,natungk,natungk,tasungk,natungk,vivinungk,tasungk,tuangk,natungk,lelel,vivinungk,vavwe,vavwe,tasungk,natungk,vivinungk,manungk,manungk,tuangk,vavwe,natungk,lelel,tuangk,manungk,lelel,natungk,lelel,vavwe,manungk,vivinungk,nangk,vimbi,vavwe,nangk,nangk,mamwe,mamwe,nangk,mamwe lamp,vimbi,vavwe,nangk,nangk,mamwe,vimbi,vavwe,vavwe,vimbi,mamwe lamp,mamwe
7,0.49159857104042337,1.536063571329492,1.0444650002890685,natungk,lelel,natungk,vavwe,tuangk,natungk,lelel,vivinungk,tasungk,tuangk,tasungk,tuangk,natungk,tasungk,manungk,manungk,vavwe,manungk,vavwe,vivinungk,vavwe,natungk,natungk,lelel,vivinungk,natungk,manungk,natungk,lelel,vivinungk,nangk,vimbi,nangk,nangk,mamwe,nangk,vimbi,vavwe,nangk,mamwe,nangk,mamwe,mamwe lamp,mamwe,vimbi,mamwe lamp,vavwe,vavwe,vimbi,vavwe
8,0.39515884930834155,1.5542083472687853,1.1590494979604438,vivinungk,vavwe,tasungk,natungk,natungk,lelel,natungk,manungk,manungk,manungk,natungk,natungk,tasungk,tasungk,vavwe,vivinungk,vivinungk,tuangk,natungk,vavwe,natungk,natungk,tuangk,vavwe,lelel,tuangk,lelel,manungk,lelel,vivinungk,vimbi,mamwe lamp,vavwe,vimbi,mamwe,mamwe lamp,vavwe,nangk,mamwe,nangk,mamwe,nangk,vavwe,nangk,vimbi,vavwe,nangk,vimbi,nangk,mamwe
9,0.3559651344480559,1.5475714371462566,1.1916063026982007,vavwe,manungk,vivinungk,natungk,vavwe,tuangk,lelel,natungk,natungk,natungk,natungk,lelel,tuangk,vivinungk,vivinungk,manungk,lelel,tasungk,manungk,manungk,natungk,tasungk,vavwe,lelel,natungk,natungk,vivinungk,tasungk,tuangk,vavwe,nangk,mamwe,vavwe,nangk,mamwe,vimbi,mamwe lamp,nangk,vavwe,mamwe,mamwe,vimbi,mamwe lamp,vimbi,vimbi,vavwe,nangk,nangk,nangk,vavwe
