simulation_number,mutual_information,entropy,conditional_entropy,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mB,mZ,meB,meZ,fB,fZ,feB,feZ,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB,mF,mM,fF,fM
0,0.18105332059024626,1.4904462738401723,1.309392953249926,brālēns,brālis,māsīca,māsīca,māsīca,māsīca,jaunākā māsa,māsīca,māsīca,brālēns,jaunākā māsa,māsīca,māsīca,māsīca,māsīca,māsīca,brālis,māsīca,brālēns,māsīca,māsīca,māsīca,māsīca,māsīca,brālēns,māsīca,brālēns,māsīca,brālēns,brālēns,brālēns,māsīca,brālēns,brālēns,māsa,māsīca,brālēns,brālēns,māsīca,māsīca,brālēns,brālēns,māsīca,māsīca,brālēns,brālēns,māsīca,brālēns,brālēns,māsīca,māsīca,māsa,brālēns,māsīca,brālis,brālēns,māsīca,brālēns,brālēns,brālēns,māsīca,jaunākais brālis,māsīca,māsīca,brālēns,brālēns,māsa,brālēns,brālēns,māsīca,jaunākais brālis,brālēns,brālēns,māsa,māsīca,māsīca,brālēns,brālēns,brālēns,māsīca,brālēns,brālēns,māsīca,brālēns,brālēns,brālēns,brālis,brālēns,brālēns,māsīca,onkulis,tēvabrālis,krusttēvs,krustmāte,krustmāte,tēvabrālis,onkulis,onkulis,krustmāte,tēvabrālis,krustmāte,krustmāte,tēvabrālis,krusttēvs,krustmāte,krustmāte,krustmāte,tēvs,tēvs,māte,māte,tēvabrālis,krustmāte,tēvabrālis,krusttēvs,krustmāte,krustmāte,krustmāte
1,0.20614869432053506,1.5684370641531862,1.3622883698326511,māsīca,māsīca,māsīca,māsīca,māsīca,brālēns,māsīca,brālis,brālēns,brālēns,māsīca,māsīca,māsīca,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,māsīca,māsīca,brālēns,māsīca,māsa,jaunākais brālis,māsīca,brālēns,brālēns,māsīca,brālis,māsīca,jaunākā māsa,brālēns,brālēns,māsa,brālis,māsīca,brālēns,brālēns,māsīca,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,māsīca,māsīca,māsīca,māsa,māsīca,brālēns,brālēns,māsīca,māsīca,brālis,brālēns,māsīca,brālēns,brālēns,māsīca,jaunākais brālis,brālēns,māsa,brālēns,brālēns,jaunākā māsa,māsīca,māsīca,māsīca,māsīca,brālēns,māsīca,māsīca,māsīca,brālēns,brālēns,māsīca,māsīca,brālēns,māsīca,māsīca,brālēns,māsīca,brālēns,māsīca,māsīca,onkulis,krustmāte,krusttēvs,tēvabrālis,krustmāte,krustmāte,krustmāte,māte,tēvs,tēvs,māte,krustmāte,tēvabrālis,krustmāte,onkulis,krusttēvs,krusttēvs,krustmāte,tēvabrālis,tēvabrālis,tēvabrālis,krustmāte,krustmāte,krustmāte,onkulis,krustmāte,tēvabrālis,krustmāte
2,0.19286857821900494,1.468205717208009,1.275337138989004,māsīca,māsīca,māsīca,māsa,māsīca,māsa,māsīca,brālēns,brālēns,māsīca,māsīca,brālēns,brālēns,māsīca,brālēns,brālis,brālēns,brālēns,brālēns,brālis,brālēns,māsīca,māsīca,brālēns,brālēns,māsīca,brālēns,brālēns,māsīca,brālēns,māsīca,māsīca,brālēns,jaunākā māsa,jaunākais brālis,māsīca,brālis,brālēns,māsīca,māsīca,brālēns,brālēns,brālēns,māsīca,māsīca,māsīca,māsīca,brālēns,brālēns,brālēns,māsīca,māsīca,brālēns,māsīca,brālēns,brālēns,brālēns,māsīca,māsīca,brālēns,brālēns,māsīca,māsīca,māsa,brālēns,brālēns,brālēns,māsīca,māsīca,jaunākā māsa,māsīca,brālēns,brālēns,brālēns,māsīca,māsīca,brālēns,māsīca,māsīca,brālis,brālēns,brālēns,māsīca,brālēns,māsīca,māsa,jaunākais brālis,brālēns,māsīca,māsīca,krustmāte,tēvs,tēvabrālis,onkulis,onkulis,onkulis,krustmāte,māte,krusttēvs,tēvabrālis,krustmāte,krustmāte,tēvabrālis,krustmāte,krustmāte,krustmāte,krusttēvs,māte,tēvabrālis,krustmāte,krustmāte,tēvs,krusttēvs,krustmāte,tēvabrālis,tēvabrālis,krustmāte,krustmāte
3,0.11564854209818054,1.4424462683874224,1.3267977262892419,māsīca,māsīca,brālēns,māsīca,brālēns,brālis,jaunākā māsa,māsīca,māsīca,māsīca,brālēns,māsīca,brālis,māsīca,brālēns,brālēns,brālēns,māsīca,brālēns,māsīca,māsīca,brālēns,māsīca,brālēns,brālēns,māsīca,brālēns,māsīca,māsīca,brālēns,brālēns,brālis,brālēns,brālēns,māsīca,māsa,brālēns,māsīca,brālēns,māsīca,brālēns,māsīca,māsīca,brālēns,jaunākā māsa,brālēns,māsīca,brālēns,māsīca,māsīca,māsa,brālēns,māsīca,māsīca,brālēns,brālēns,brālēns,brālēns,māsīca,māsīca,brālēns,brālēns,brālēns,brālēns,māsīca,māsīca,brālēns,brālēns,brālēns,māsīca,māsīca,brālēns,māsa,māsīca,jaunākais brālis,māsīca,māsīca,māsa,brālis,māsīca,jaunākais brālis,brālēns,māsīca,māsīca,brālēns,māsīca,māsīca,brālēns,brālēns,brālēns,krustmāte,krustmāte,tēvabrālis,krustmāte,krusttēvs,krustmāte,tēvabrālis,onkulis,tēvs,onkulis,tēvabrālis,tēvabrālis,krustmāte,krustmāte,onkulis,tēvabrālis,krusttēvs,krustmāte,tēvs,māte,krusttēvs,krustmāte,krustmāte,māte,krustmāte,tēvabrālis,krustmāte,krustmāte
4,0.15704228443788848,1.6372151894198101,1.4801729049819217,māsīca,brālēns,māsīca,māsīca,māsīca,māsīca,māsīca,brālēns,māsīca,māsīca,māsīca,jaunākais brālis,jaunākā māsa,māsīca,māsīca,brālēns,brālēns,brālēns,māsīca,brālēns,māsīca,brālēns,brālēns,māsīca,jaunākais brālis,brālēns,brālēns,māsa,māsīca,māsīca,māsīca,brālis,māsīca,brālis,māsīca,brālēns,brālēns,brālēns,māsīca,brālēns,māsa,māsīca,māsīca,brālēns,brālēns,brālēns,māsīca,brālēns,brālēns,jaunākā māsa,brālis,brālēns,māsīca,māsīca,māsīca,brālis,brālēns,brālēns,brālēns,māsīca,māsīca,brālēns,brālēns,brālēns,māsa,māsīca,brālēns,māsīca,māsīca,māsīca,brālēns,māsīca,māsīca,brālēns,brālēns,brālēns,brālēns,māsīca,māsīca,brālēns,māsīca,māsīca,māsa,māsīca,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,onkulis,onkulis,krusttēvs,tēvs,tēvabrālis,krustmāte,tēvabrālis,krustmāte,māte,tēvabrālis,onkulis,krustmāte,tēvs,krusttēvs,krustmāte,māte,krusttēvs,krustmāte,krustmāte,tēvabrālis,krustmāte,krustmāte,tēvabrālis,krustmāte,krustmāte,krustmāte,krustmāte,tēvabrālis
5,0.17754853811357263,1.632679319639253,1.4551307815256804,māsīca,māsa,māsīca,brālēns,brālēns,brālēns,māsīca,brālēns,māsīca,brālēns,māsīca,māsīca,brālēns,brālēns,māsīca,māsa,māsīca,māsīca,māsīca,brālēns,māsīca,brālēns,māsīca,māsa,brālēns,brālēns,brālēns,brālēns,māsīca,brālēns,māsīca,brālēns,māsīca,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,māsīca,māsīca,māsīca,māsīca,brālēns,brālis,brālēns,māsīca,brālēns,māsīca,māsīca,brālēns,brālēns,māsīca,brālis,māsīca,māsīca,brālēns,brālis,māsīca,brālēns,māsīca,brālēns,brālēns,māsīca,māsīca,māsīca,māsa,māsīca,brālēns,brālēns,māsīca,brālēns,brālēns,māsīca,māsīca,māsīca,brālēns,brālis,māsīca,māsīca,māsīca,jaunākā māsa,brālēns,jaunākais brālis,jaunākā māsa,brālēns,brālēns,jaunākais brālis,māsīca,māte,tēvabrālis,tēvs,krusttēvs,krustmāte,onkulis,krustmāte,onkulis,krustmāte,tēvabrālis,krustmāte,krustmāte,onkulis,krusttēvs,krustmāte,tēvabrālis,krustmāte,māte,krustmāte,krustmāte,krustmāte,krustmāte,tēvabrālis,krustmāte,tēvabrālis,tēvs,tēvabrālis,krusttēvs
6,0.17772650304841298,1.5808652919574928,1.4031387889090798,brālēns,brālēns,māsīca,brālēns,brālēns,brālēns,māsīca,māsīca,brālēns,māsīca,brālēns,māsīca,jaunākā māsa,māsīca,māsa,māsīca,jaunākais brālis,māsīca,brālēns,māsīca,māsīca,brālēns,brālēns,māsīca,māsīca,māsīca,brālēns,brālis,jaunākā māsa,brālēns,brālēns,māsīca,māsīca,brālēns,brālēns,māsīca,brālēns,brālēns,brālēns,brālēns,brālēns,māsīca,brālēns,brālis,brālēns,brālēns,brālēns,māsīca,brālis,brālis,māsīca,brālēns,māsīca,māsa,māsīca,māsīca,māsīca,brālēns,brālēns,brālēns,māsīca,māsīca,brālēns,māsīca,brālēns,māsīca,māsīca,brālēns,jaunākais brālis,māsa,brālēns,māsīca,māsīca,māsīca,brālēns,māsīca,māsīca,māsīca,brālēns,māsīca,brālēns,brālēns,brālēns,māsa,māsīca,brālēns,māsīca,māsīca,māsīca,brālēns,māte,krustmāte,tēvabrālis,onkulis,krustmāte,tēvs,tēvabrālis,tēvs,tēvabrālis,krustmāte,onkulis,krusttēvs,tēvabrālis,krustmāte,krustmāte,tēvabrālis,krustmāte,krustmāte,onkulis,krustmāte,krustmāte,krustmāte,tēvabrālis,krustmāte,krusttēvs,krusttēvs,krustmāte,māte
7,0.15128450563578832,1.5169493421044453,1.365664836468657,māsīca,brālēns,jaunākais brālis,māsīca,māsīca,brālēns,brālēns,brālēns,brālēns,brālēns,māsīca,māsa,māsīca,brālēns,māsīca,brālēns,māsīca,māsīca,brālis,māsīca,brālēns,māsīca,brālēns,māsīca,māsīca,brālēns,māsīca,brālēns,māsīca,māsīca,brālēns,brālēns,brālēns,māsīca,brālēns,māsīca,māsīca,māsīca,māsa,brālēns,brālēns,māsīca,māsīca,māsīca,māsīca,māsīca,jaunākais brālis,māsīca,brālēns,māsīca,māsīca,brālēns,māsīca,māsīca,māsīca,māsīca,brālēns,brālēns,brālēns,māsīca,brālis,brālēns,māsa,māsīca,māsīca,brālēns,jaunākā māsa,māsīca,brālēns,brālēns,brālēns,brālēns,brālēns,jaunākā māsa,brālēns,brālēns,brālēns,māsīca,brālēns,brālēns,māsa,māsīca,brālis,brālis,brālēns,brālēns,māsīca,brālēns,brālēns,māsīca,krusttēvs,krustmāte,krustmāte,krustmāte,krusttēvs,krustmāte,krustmāte,tēvabrālis,tēvabrālis,māte,krustmāte,tēvs,krustmāte,krusttēvs,krustmāte,tēvabrālis,krustmāte,krustmāte,krustmāte,māte,onkulis,onkulis,onkulis,tēvabrālis,tēvabrālis,tēvs,krustmāte,tēvabrālis
8,0.19086909336131308,1.5136438025075027,1.3227747091461897,brālēns,jaunākā māsa,māsīca,māsīca,brālēns,māsīca,brālēns,brālēns,brālēns,māsīca,brālēns,brālēns,brālēns,brālēns,māsīca,brālēns,māsīca,māsīca,māsīca,brālēns,brālēns,māsīca,māsīca,māsīca,brālēns,jaunākā māsa,māsīca,brālēns,brālēns,māsīca,māsīca,māsīca,brālēns,māsīca,māsīca,māsa,brālēns,māsīca,māsa,brālēns,māsīca,brālēns,māsīca,brālēns,jaunākais brālis,brālēns,māsīca,brālēns,brālis,māsīca,māsa,brālēns,brālēns,brālēns,māsīca,brālēns,māsīca,māsa,brālēns,brālis,brālis,brālis,māsīca,brālēns,brālēns,jaunākais brālis,māsīca,māsīca,māsīca,brālēns,brālēns,māsīca,māsīca,brālēns,māsīca,māsīca,māsīca,māsīca,brālēns,māsīca,brālēns,māsīca,māsīca,brālēns,brālēns,māsīca,brālēns,māsīca,brālēns,brālēns,krustmāte,krustmāte,tēvabrālis,krusttēvs,tēvs,krustmāte,krustmāte,onkulis,krusttēvs,onkulis,krustmāte,onkulis,krustmāte,krustmāte,tēvabrālis,krustmāte,tēvs,krustmāte,tēvabrālis,krustmāte,krustmāte,tēvabrālis,krustmāte,krusttēvs,māte,tēvabrālis,māte,tēvabrālis
9,0.1664051069723398,1.53212973563243,1.3657246286600901,brālēns,māsīca,brālēns,māsīca,māsīca,brālēns,māsīca,brālēns,māsīca,māsīca,brālēns,brālēns,māsīca,māsīca,māsīca,brālēns,māsīca,brālis,māsīca,jaunākais brālis,māsīca,māsīca,māsīca,māsīca,māsa,māsīca,brālēns,brālēns,māsīca,brālēns,māsīca,brālēns,māsīca,brālēns,brālēns,māsīca,māsīca,brālēns,māsīca,brālēns,māsa,māsīca,brālēns,māsīca,brālēns,māsa,māsa,māsīca,brālēns,brālēns,māsīca,brālis,brālēns,brālēns,brālēns,brālis,brālēns,māsīca,māsīca,māsīca,brālēns,brālēns,brālēns,jaunākais brālis,brālēns,māsīca,māsīca,brālēns,brālis,māsīca,brālēns,brālēns,brālēns,brālēns,brālēns,brālēns,māsīca,māsīca,māsīca,māsīca,māsīca,jaunākā māsa,brālēns,jaunākā māsa,māsīca,brālēns,brālēns,māsīca,brālēns,brālēns,tēvs,onkulis,krustmāte,krustmāte,krustmāte,tēvabrālis,onkulis,tēvs,māte,krustmāte,krustmāte,krustmāte,krustmāte,onkulis,krusttēvs,krusttēvs,krusttēvs,māte,krustmāte,tēvabrālis,krustmāte,tēvabrālis,krustmāte,tēvabrālis,krustmāte,tēvabrālis,tēvabrālis,krustmāte
