simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mF,mM,mFB,mFZ,mMB,mFeB,mFyB,mMeZ,mMyZ,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fFeB,fFyB,fMeZ,fMyZ,fFeZ,fFyZ,fMeB,fMyB
0,0.2876420925802712,1.366158847569202,1.0785167549889307,mfa̤d,ntṳ'ndzà̪m,māmà,n̊ko̤sṳ,n̊ko̤sṳ,mfa̤d,mfa̤d,ntṳ'ndzà̪m,mfa̤d,māmà,ntṳ'ndzà̪m,ntṳ'ndzà̪m,bàbambo̠d,bàban̊guka̤d,nimbàn̊,nimbàn̊,nǎ,tǎn̊gwi,ta,nǎn̊guka̪d,nimbàn̊,bàbambo̠d,nǎn̊guka̪d,tǎn̊gwi,tǎn̊gwi,nǎmbo̠d,nimbàn̊,ta,nimbàn̊,tǎn̊gwi,bàban̊guka̤d,nimbàn̊,nǎ,tǎn̊gwi,nǎmbo̠d,tǎn̊gwi,nimbàn̊,nimbàn̊
1,0.1887038938839516,1.0296530140645737,0.8409491201806221,n̊ko̤sṳ,māmà,ntṳ'ndzà̪m,ntṳ'ndzà̪m,n̊ko̤sṳ,mfa̤d,ntṳ'ndzà̪m,mfa̤d,mfa̤d,māmà,mfa̤d,ntṳ'ndzà̪m,tǎn̊gwi,nimbàn̊,nimbàn̊,nimbàn̊,nimbàn̊,nǎmbo̠d,tǎn̊gwi,bàban̊guka̤d,bàbambo̠d,tǎn̊gwi,nǎ,nǎn̊guka̪d,ta,bàbambo̠d,nimbàn̊,nǎ,nimbàn̊,tǎn̊gwi,tǎn̊gwi,nimbàn̊,nǎmbo̠d,tǎn̊gwi,nimbàn̊,ta,bàban̊guka̤d,nǎn̊guka̪d
2,0.14465632974952758,1.366158847569202,1.2215025178196743,ntṳ'ndzà̪m,māmà,n̊ko̤sṳ,ntṳ'ndzà̪m,ntṳ'ndzà̪m,mfa̤d,mfa̤d,mfa̤d,n̊ko̤sṳ,māmà,mfa̤d,ntṳ'ndzà̪m,nǎmbo̠d,nǎ,tǎn̊gwi,nimbàn̊,ta,tǎn̊gwi,nimbàn̊,nǎn̊guka̪d,bàban̊guka̤d,nimbàn̊,bàbambo̠d,bàban̊guka̤d,ta,nimbàn̊,bàbambo̠d,nimbàn̊,tǎn̊gwi,tǎn̊gwi,nimbàn̊,nǎn̊guka̪d,tǎn̊gwi,nimbàn̊,nǎmbo̠d,nimbàn̊,tǎn̊gwi,nǎ
3,0.03790073088235585,0.5004024235381879,0.462501692655832,n̊ko̤sṳ,ntṳ'ndzà̪m,mfa̤d,māmà,mfa̤d,ntṳ'ndzà̪m,ntṳ'ndzà̪m,māmà,n̊ko̤sṳ,mfa̤d,ntṳ'ndzà̪m,mfa̤d,nimbàn̊,nimbàn̊,nǎ,nimbàn̊,bàbambo̠d,bàban̊guka̤d,bàbambo̠d,nǎmbo̠d,tǎn̊gwi,nimbàn̊,ta,tǎn̊gwi,nǎ,nǎmbo̠d,nimbàn̊,tǎn̊gwi,nǎn̊guka̪d,nimbàn̊,ta,tǎn̊gwi,nimbàn̊,nimbàn̊,bàban̊guka̤d,tǎn̊gwi,nǎn̊guka̪d,tǎn̊gwi
4,0.11447790053900297,1.0296530140645737,0.9151751135255707,māmà,ntṳ'ndzà̪m,ntṳ'ndzà̪m,mfa̤d,n̊ko̤sṳ,ntṳ'ndzà̪m,mfa̤d,n̊ko̤sṳ,mfa̤d,ntṳ'ndzà̪m,māmà,mfa̤d,nǎmbo̠d,tǎn̊gwi,nimbàn̊,nǎ,bàban̊guka̤d,nimbàn̊,nimbàn̊,ta,tǎn̊gwi,ta,bàban̊guka̤d,nǎ,tǎn̊gwi,tǎn̊gwi,nǎn̊guka̪d,tǎn̊gwi,nimbàn̊,nimbàn̊,bàbambo̠d,tǎn̊gwi,nǎn̊guka̪d,bàbambo̠d,nimbàn̊,nimbàn̊,nimbàn̊,nǎmbo̠d
5,0.1616462334290676,1.366158847569202,1.2045126141401343,mfa̤d,n̊ko̤sṳ,mfa̤d,ntṳ'ndzà̪m,māmà,n̊ko̤sṳ,ntṳ'ndzà̪m,ntṳ'ndzà̪m,mfa̤d,mfa̤d,ntṳ'ndzà̪m,māmà,nǎmbo̠d,tǎn̊gwi,nǎn̊guka̪d,nimbàn̊,tǎn̊gwi,nǎn̊guka̪d,nǎmbo̠d,bàbambo̠d,tǎn̊gwi,nǎ,bàban̊guka̤d,tǎn̊gwi,nimbàn̊,nimbàn̊,bàban̊guka̤d,nǎ,tǎn̊gwi,ta,ta,tǎn̊gwi,nimbàn̊,bàbambo̠d,nimbàn̊,nimbàn̊,nimbàn̊,nimbàn̊
6,0.0894253904911747,0.5004024235381879,0.41097703304701316,mfa̤d,n̊ko̤sṳ,n̊ko̤sṳ,mfa̤d,mfa̤d,ntṳ'ndzà̪m,ntṳ'ndzà̪m,māmà,mfa̤d,māmà,ntṳ'ndzà̪m,ntṳ'ndzà̪m,nimbàn̊,nimbàn̊,tǎn̊gwi,tǎn̊gwi,nimbàn̊,tǎn̊gwi,nimbàn̊,ta,bàban̊guka̤d,nǎn̊guka̪d,nǎ,bàbambo̠d,tǎn̊gwi,bàbambo̠d,nimbàn̊,nǎ,tǎn̊gwi,bàban̊guka̤d,nǎmbo̠d,nǎmbo̠d,tǎn̊gwi,nimbàn̊,nimbàn̊,nǎn̊guka̪d,nimbàn̊,ta
7,0.18524282043185403,1.0296530140645737,0.8444101936327196,ntṳ'ndzà̪m,mfa̤d,māmà,māmà,n̊ko̤sṳ,n̊ko̤sṳ,ntṳ'ndzà̪m,mfa̤d,mfa̤d,mfa̤d,ntṳ'ndzà̪m,ntṳ'ndzà̪m,tǎn̊gwi,nimbàn̊,nimbàn̊,ta,nimbàn̊,nimbàn̊,bàban̊guka̤d,tǎn̊gwi,bàbambo̠d,nimbàn̊,ta,nimbàn̊,tǎn̊gwi,nǎmbo̠d,tǎn̊gwi,nǎn̊guka̪d,nǎ,bàban̊guka̤d,bàbambo̠d,nimbàn̊,nǎ,tǎn̊gwi,nimbàn̊,tǎn̊gwi,nǎn̊guka̪d,nǎmbo̠d
8,0.17171399020441191,1.0296530140645737,0.8579390238601617,māmà,māmà,n̊ko̤sṳ,ntṳ'ndzà̪m,mfa̤d,mfa̤d,n̊ko̤sṳ,mfa̤d,ntṳ'ndzà̪m,mfa̤d,ntṳ'ndzà̪m,ntṳ'ndzà̪m,tǎn̊gwi,bàbambo̠d,nimbàn̊,nimbàn̊,nimbàn̊,nǎ,tǎn̊gwi,nǎn̊guka̪d,tǎn̊gwi,tǎn̊gwi,nimbàn̊,nǎn̊guka̪d,bàban̊guka̤d,tǎn̊gwi,nimbàn̊,tǎn̊gwi,nǎmbo̠d,nimbàn̊,bàban̊guka̤d,nǎmbo̠d,ta,bàbambo̠d,nimbàn̊,ta,nǎ,nimbàn̊
9,0.3103434263164009,1.0296530140645737,0.7193095877481728,n̊ko̤sṳ,n̊ko̤sṳ,māmà,mfa̤d,mfa̤d,mfa̤d,mfa̤d,ntṳ'ndzà̪m,ntṳ'ndzà̪m,ntṳ'ndzà̪m,māmà,ntṳ'ndzà̪m,nimbàn̊,nǎ,bàbambo̠d,tǎn̊gwi,nǎn̊guka̪d,nǎmbo̠d,tǎn̊gwi,nimbàn̊,nǎ,ta,tǎn̊gwi,ta,nimbàn̊,nimbàn̊,nǎmbo̠d,nimbàn̊,nimbàn̊,bàban̊guka̤d,bàban̊guka̤d,bàbambo̠d,tǎn̊gwi,nimbàn̊,tǎn̊gwi,tǎn̊gwi,nǎn̊guka̪d,nimbàn̊
