simulation_number,mutual_information,entropy,conditional_entropy,mZ,feZ,fyZ,meB,myB,feB,fyB,mB,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mM,mMB,mMeB,mMyB,fM,fMB,fMeB,fMyB,mF,mFZ,mFeZ,mFyZ,fF,fFZ,fFeZ,fFyZ
0,0.15758181854825137,1.2417116096156477,1.0841297910673964,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,gutha,mulirriɲ7,gutha,mulirriɲ7,gutha,wa:wa,mulirriɲ7,mulirriɲ7,mulirriɲ7,nhu:piya,mulirriɲ7,mulirriɲ7,mulirriɲ7,nhu:piya,mulirriɲ7,mulirriɲ7,mulirriɲ7,mirdiku,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,wa:wa,mulirriɲ7,mirdiku,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,yapa,nga:rndi,ngapipi7,mu:kul,mu:rri,mu:kul,nga:rndi,ngapipi7,mu:kul,mu:kul,ngapipi7,ngapipi7,ngapipi7,mu:kul,ngapipi7,mu:kul,mu:rri
1,0.10823484898873947,1.2652175822274423,1.1569827332387028,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,wa:wa,mulirriɲ7,yapa,mirdiku,wa:wa,mulirriɲ7,nhu:piya,mulirriɲ7,mulirriɲ7,nhu:piya,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,gutha,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,gutha,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mirdiku,mulirriɲ7,gutha,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,ngapipi7,nga:rndi,mu:kul,mu:kul,ngapipi7,ngapipi7,mu:kul,mu:rri,mu:kul,nga:rndi,ngapipi7,mu:rri,mu:kul,ngapipi7,ngapipi7,mu:kul
2,0.11584376693905862,1.282397123460233,1.1665533565211743,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,nhu:piya,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,yapa,mulirriɲ7,mirdiku,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,nhu:piya,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,gutha,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mirdiku,mulirriɲ7,mulirriɲ7,wa:wa,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,wa:wa,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,gutha,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,gutha,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,ngapipi7,nga:rndi,ngapipi7,ngapipi7,mu:kul,mu:kul,ngapipi7,mu:kul,mu:rri,mu:kul,mu:kul,mu:rri,mu:kul,nga:rndi,ngapipi7,ngapipi7
3,0.06722477925759085,1.1970966229062487,1.129871843648658,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mirdiku,mulirriɲ7,mulirriɲ7,wa:wa,mulirriɲ7,mulirriɲ7,nhu:piya,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,gutha,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,gutha,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,nhu:piya,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,gutha,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,wa:wa,mulirriɲ7,mirdiku,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,yapa,mulirriɲ7,mu:kul,ngapipi7,ngapipi7,mu:kul,mu:kul,ngapipi7,ngapipi7,mu:rri,ngapipi7,mu:kul,nga:rndi,ngapipi7,nga:rndi,mu:kul,mu:kul,mu:rri
4,0.05360840491229313,1.23314194690927,1.1795335419969768,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,yapa,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,nhu:piya,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,wa:wa,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mirdiku,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,gutha,wa:wa,mulirriɲ7,mulirriɲ7,mirdiku,mulirriɲ7,nhu:piya,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,gutha,gutha,mulirriɲ7,mulirriɲ7,mulirriɲ7,mu:rri,ngapipi7,ngapipi7,mu:kul,mu:rri,ngapipi7,mu:kul,mu:kul,mu:kul,ngapipi7,mu:kul,ngapipi7,nga:rndi,mu:kul,ngapipi7,nga:rndi
5,0.14351388178039648,1.287277203284784,1.1437633215043874,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,gutha,mirdiku,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,nhu:piya,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mirdiku,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,wa:wa,mulirriɲ7,yapa,mulirriɲ7,mulirriɲ7,mulirriɲ7,gutha,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,gutha,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,nhu:piya,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,wa:wa,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,ngapipi7,ngapipi7,mu:kul,nga:rndi,mu:kul,nga:rndi,ngapipi7,ngapipi7,mu:kul,mu:kul,mu:kul,ngapipi7,ngapipi7,mu:rri,mu:rri,mu:kul
6,0.06551076740491957,1.287277203284784,1.2217664358798643,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,nhu:piya,mulirriɲ7,mulirriɲ7,gutha,mulirriɲ7,gutha,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mirdiku,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,yapa,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,wa:wa,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,gutha,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mirdiku,mulirriɲ7,mulirriɲ7,mulirriɲ7,wa:wa,mulirriɲ7,mulirriɲ7,mulirriɲ7,nhu:piya,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mu:kul,nga:rndi,ngapipi7,mu:kul,ngapipi7,mu:rri,nga:rndi,ngapipi7,ngapipi7,mu:kul,mu:rri,ngapipi7,mu:kul,ngapipi7,mu:kul,mu:kul
7,0.123243262821364,1.3007553791999873,1.1775121163786233,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,gutha,gutha,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,gutha,mulirriɲ7,nhu:piya,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,wa:wa,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,wa:wa,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,nhu:piya,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mirdiku,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,yapa,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mirdiku,mulirriɲ7,mulirriɲ7,ngapipi7,mu:rri,mu:kul,ngapipi7,mu:kul,mu:kul,ngapipi7,nga:rndi,mu:kul,nga:rndi,mu:kul,ngapipi7,mu:rri,ngapipi7,ngapipi7,mu:kul
8,0.11440438732128633,1.3352163159881059,1.2208119286668195,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mirdiku,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mirdiku,mulirriɲ7,nhu:piya,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,wa:wa,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,yapa,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,gutha,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,gutha,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,gutha,nhu:piya,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,wa:wa,mu:kul,nga:rndi,ngapipi7,ngapipi7,mu:rri,mu:rri,mu:kul,ngapipi7,mu:kul,nga:rndi,mu:kul,ngapipi7,mu:kul,ngapipi7,mu:kul,ngapipi7
9,0.14269350380183354,1.250916892705693,1.1082233889038595,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,gutha,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,wa:wa,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,wa:wa,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mirdiku,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,nhu:piya,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mirdiku,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,yapa,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,gutha,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,gutha,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,mulirriɲ7,nhu:piya,mulirriɲ7,mulirriɲ7,mu:kul,ngapipi7,ngapipi7,mu:kul,nga:rndi,mu:rri,mu:rri,nga:rndi,ngapipi7,mu:kul,mu:kul,ngapipi7,ngapipi7,ngapipi7,mu:kul,mu:kul
