simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,mFZ,mMB,mMZ,mFeB,mFyB,mMeZ,mMyZ,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFZ,fMB,fMZ,fFeB,fFyB,fMeZ,fMyZ,fFeZ,fFyZ,fMeB,fMyB
0,0.30582193256663714,1.8113391724662953,1.5055172398996581,nhuwa,pinthi,piwarra,mayi,pinthi,thurtu,pinthi,thurtu,nhuwa,pinthi,pinthi,marraa,pinthi,pinthi,pinthi,pinthi,nhuwa,nhuwa,kurtaarra,pinthi,nhuwa,pinthi,nhuwa,nhuwa,marraa,nhuwa,nhuwa,piwarra,pinthi,nhuwa,nhuwa,mayi,pinthi,nhuwa,nhuwa,marraa,pinthi,nhuwa,marraa,kurtaarra,nhuwa,pinthi,pinthi,pinthi,nhuwa,nhuwa,pinthi,nhuwa,pinthi,nhuwa,pinthi,nhuwa,kamayi,mimi,piwi,piwi,ngangka,yayu,nyirti,kamayi,mimi,mimi,papu,nyirti,nyirti,yumuni,papu,mimi,nyirti,ngangka,yayu,mimi,nyirti,mama,mimi,mama,yumuni,nyirti
1,0.3371740201027318,1.9685334098404477,1.6313593897377159,pinthi,nhuwa,marraa,nhuwa,nhuwa,pinthi,kurtaarra,nhuwa,marraa,pinthi,nhuwa,nhuwa,pinthi,kurtaarra,pinthi,pinthi,pinthi,nhuwa,thurtu,nhuwa,nhuwa,pinthi,piwarra,mayi,nhuwa,nhuwa,nhuwa,nhuwa,nhuwa,pinthi,pinthi,nhuwa,pinthi,pinthi,pinthi,nhuwa,marraa,mayi,marraa,pinthi,pinthi,pinthi,nhuwa,nhuwa,nhuwa,piwarra,pinthi,pinthi,thurtu,pinthi,pinthi,nhuwa,nyirti,piwi,kamayi,mama,mimi,mimi,nyirti,nyirti,papu,ngangka,mimi,mimi,mimi,yayu,nyirti,nyirti,yumuni,yayu,yumuni,mimi,papu,kamayi,mama,ngangka,nyirti,piwi
2,0.30600942330582304,1.979603674270094,1.673594250964271,marraa,nhuwa,pinthi,pinthi,nhuwa,pinthi,pinthi,nhuwa,pinthi,nhuwa,pinthi,nhuwa,pinthi,nhuwa,marraa,nhuwa,marraa,pinthi,nhuwa,nhuwa,pinthi,marraa,pinthi,pinthi,nhuwa,mayi,nhuwa,pinthi,nhuwa,piwarra,kurtaarra,pinthi,pinthi,piwarra,pinthi,thurtu,mayi,nhuwa,nhuwa,nhuwa,nhuwa,nhuwa,thurtu,pinthi,pinthi,pinthi,nhuwa,kurtaarra,pinthi,nhuwa,nhuwa,pinthi,papu,yumuni,nyirti,kamayi,nyirti,kamayi,mimi,yayu,nyirti,piwi,piwi,nyirti,nyirti,mimi,yumuni,mimi,mama,mimi,mimi,mama,ngangka,yayu,papu,nyirti,mimi,ngangka
3,0.4041974839064342,2.0113305028629633,1.6071330189565292,nhuwa,nhuwa,nhuwa,pinthi,pinthi,pinthi,pinthi,pinthi,pinthi,pinthi,thurtu,pinthi,nhuwa,nhuwa,pinthi,nhuwa,pinthi,pinthi,nhuwa,mayi,pinthi,pinthi,nhuwa,nhuwa,nhuwa,nhuwa,kurtaarra,nhuwa,pinthi,nhuwa,pinthi,thurtu,pinthi,pinthi,pinthi,pinthi,nhuwa,nhuwa,marraa,marraa,piwarra,nhuwa,nhuwa,kurtaarra,nhuwa,piwarra,marraa,nhuwa,mayi,marraa,pinthi,nhuwa,yumuni,mimi,piwi,ngangka,mimi,nyirti,kamayi,yayu,papu,mimi,ngangka,nyirti,mama,mimi,mama,nyirti,yayu,papu,mimi,nyirti,mimi,nyirti,piwi,kamayi,nyirti,yumuni
4,0.283432634722355,1.7663160915500737,1.4828834568277187,pinthi,nhuwa,nhuwa,pinthi,nhuwa,nhuwa,kurtaarra,pinthi,marraa,nhuwa,pinthi,pinthi,pinthi,pinthi,pinthi,nhuwa,pinthi,nhuwa,piwarra,nhuwa,pinthi,piwarra,nhuwa,mayi,nhuwa,pinthi,thurtu,nhuwa,nhuwa,pinthi,pinthi,nhuwa,pinthi,pinthi,kurtaarra,pinthi,marraa,marraa,nhuwa,pinthi,mayi,nhuwa,nhuwa,nhuwa,nhuwa,pinthi,nhuwa,nhuwa,pinthi,thurtu,pinthi,marraa,ngangka,nyirti,nyirti,piwi,yayu,yayu,mimi,mimi,mama,papu,kamayi,yumuni,ngangka,nyirti,yumuni,mimi,mimi,mama,piwi,nyirti,mimi,kamayi,papu,mimi,nyirti,nyirti
5,0.36736957336016585,1.6814841818574773,1.3141146084973114,nhuwa,pinthi,nhuwa,pinthi,nhuwa,pinthi,pinthi,pinthi,nhuwa,nhuwa,pinthi,pinthi,pinthi,thurtu,pinthi,pinthi,nhuwa,marraa,nhuwa,nhuwa,nhuwa,nhuwa,nhuwa,pinthi,pinthi,kurtaarra,marraa,nhuwa,marraa,marraa,pinthi,nhuwa,nhuwa,pinthi,nhuwa,mayi,pinthi,nhuwa,nhuwa,pinthi,nhuwa,pinthi,mayi,thurtu,piwarra,nhuwa,kurtaarra,nhuwa,pinthi,piwarra,pinthi,pinthi,mimi,mama,mama,nyirti,ngangka,yayu,papu,kamayi,yumuni,mimi,papu,nyirti,mimi,yayu,nyirti,nyirti,mimi,mimi,nyirti,yumuni,kamayi,nyirti,piwi,ngangka,piwi,mimi
6,0.41649671690575185,1.9530911127055917,1.5365943957998398,nhuwa,nhuwa,marraa,nhuwa,marraa,pinthi,pinthi,thurtu,nhuwa,pinthi,pinthi,pinthi,nhuwa,pinthi,piwarra,pinthi,nhuwa,nhuwa,nhuwa,nhuwa,pinthi,nhuwa,pinthi,pinthi,thurtu,nhuwa,kurtaarra,pinthi,pinthi,nhuwa,pinthi,pinthi,kurtaarra,pinthi,mayi,nhuwa,nhuwa,pinthi,nhuwa,pinthi,nhuwa,nhuwa,nhuwa,nhuwa,nhuwa,pinthi,marraa,marraa,pinthi,piwarra,mayi,pinthi,mimi,piwi,mama,nyirti,mimi,kamayi,mimi,kamayi,mimi,nyirti,mimi,mimi,papu,nyirti,yumuni,ngangka,ngangka,yumuni,nyirti,yayu,piwi,nyirti,papu,nyirti,yayu,mama
7,0.44161074303525005,1.9658830584597753,1.5242723154245252,pinthi,pinthi,pinthi,kurtaarra,pinthi,nhuwa,nhuwa,pinthi,nhuwa,nhuwa,nhuwa,nhuwa,pinthi,pinthi,pinthi,mayi,thurtu,pinthi,pinthi,pinthi,nhuwa,piwarra,piwarra,thurtu,pinthi,mayi,pinthi,nhuwa,nhuwa,nhuwa,nhuwa,marraa,nhuwa,pinthi,pinthi,pinthi,marraa,nhuwa,nhuwa,pinthi,nhuwa,kurtaarra,pinthi,nhuwa,nhuwa,nhuwa,pinthi,marraa,nhuwa,marraa,nhuwa,pinthi,mimi,nyirti,nyirti,yumuni,yayu,nyirti,papu,piwi,piwi,mimi,mimi,ngangka,papu,mama,yayu,kamayi,kamayi,mimi,mimi,mimi,nyirti,nyirti,mama,ngangka,yumuni,nyirti
8,0.3332551169772937,1.8910411643454141,1.5577860473681204,pinthi,pinthi,nhuwa,nhuwa,nhuwa,pinthi,pinthi,nhuwa,mayi,pinthi,marraa,pinthi,pinthi,nhuwa,pinthi,pinthi,kurtaarra,nhuwa,nhuwa,pinthi,marraa,pinthi,nhuwa,pinthi,nhuwa,pinthi,piwarra,nhuwa,marraa,pinthi,nhuwa,nhuwa,piwarra,nhuwa,pinthi,nhuwa,nhuwa,pinthi,pinthi,thurtu,pinthi,mayi,marraa,nhuwa,nhuwa,nhuwa,kurtaarra,pinthi,nhuwa,thurtu,pinthi,nhuwa,mama,nyirti,mimi,yayu,nyirti,nyirti,kamayi,yayu,papu,papu,mimi,piwi,mimi,mama,ngangka,mimi,piwi,kamayi,mimi,yumuni,mimi,ngangka,nyirti,yumuni,nyirti,nyirti
9,0.28805294173470175,1.7811233325731517,1.49307039083845,pinthi,mayi,pinthi,nhuwa,nhuwa,pinthi,nhuwa,pinthi,pinthi,nhuwa,pinthi,pinthi,pinthi,nhuwa,piwarra,nhuwa,nhuwa,nhuwa,pinthi,pinthi,kurtaarra,pinthi,nhuwa,nhuwa,nhuwa,pinthi,pinthi,mayi,nhuwa,pinthi,nhuwa,nhuwa,marraa,thurtu,nhuwa,thurtu,nhuwa,pinthi,pinthi,kurtaarra,nhuwa,pinthi,piwarra,marraa,marraa,pinthi,nhuwa,nhuwa,nhuwa,marraa,pinthi,pinthi,ngangka,piwi,nyirti,ngangka,mama,nyirti,kamayi,mimi,nyirti,piwi,mama,mimi,yumuni,papu,yumuni,nyirti,nyirti,kamayi,mimi,yayu,yayu,papu,mimi,mimi,nyirti,mimi
