simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.36862629054450735,1.2673635523751876,0.8987372618306803,tua-mʷa,fafʷa,fafʷa,tua-mʷa,tua-mʷa,tua-mʷa,tata,fafʷa,tua-mʷa,oɣosi,oɣosi,kuku,tua-mʷa,tata,kuku,tata,kuku,tua-mʷa,tua-mʷa,oɣosi,kuku,tua-mʷa,tua-mʷa,kuku,tata,oɣosi,oɣosi,oɣosi,tua-mʷa,oɣosi,fafʷa,oɣosi,tata,fafʷa,kuku,kuku,oɣosi,kuku,tua-mʷa,oɣosi,oɣosi,tua-mʷa,oɣosi,kuku,oɣosi,oɣosi,kuku,bena,mʷua,bena,bena,tata,mʷua,tata,tata,mʷua,mʷua,fafʷa,mʷua,fafʷa,tata,fafʷa,fafʷa,bena,tata,tata,mʷua
1,0.33271719857981563,1.384908679412363,1.0521914808325474,oɣosi,tua-mʷa,tata,tua-mʷa,tua-mʷa,fafʷa,kuku,tua-mʷa,tua-mʷa,kuku,tua-mʷa,oɣosi,oɣosi,kuku,oɣosi,kuku,tua-mʷa,fafʷa,kuku,tata,kuku,oɣosi,oɣosi,oɣosi,tua-mʷa,fafʷa,fafʷa,oɣosi,tua-mʷa,kuku,kuku,tata,tata,tata,tua-mʷa,fafʷa,tua-mʷa,tua-mʷa,oɣosi,tua-mʷa,oɣosi,kuku,kuku,oɣosi,oɣosi,oɣosi,oɣosi,fafʷa,bena,mʷua,fafʷa,mʷua,tata,bena,fafʷa,mʷua,bena,tata,tata,mʷua,mʷua,fafʷa,tata,tata,tata,bena,mʷua
2,0.2588905958518326,1.3090751048589775,1.0501845090071449,tua-mʷa,tata,kuku,tua-mʷa,oɣosi,oɣosi,oɣosi,oɣosi,tua-mʷa,tua-mʷa,fafʷa,fafʷa,kuku,tata,oɣosi,kuku,tata,kuku,tua-mʷa,oɣosi,tua-mʷa,oɣosi,oɣosi,oɣosi,kuku,kuku,tua-mʷa,tata,tua-mʷa,fafʷa,tua-mʷa,oɣosi,tua-mʷa,tua-mʷa,kuku,kuku,tua-mʷa,oɣosi,tata,oɣosi,fafʷa,tua-mʷa,oɣosi,kuku,oɣosi,kuku,fafʷa,fafʷa,fafʷa,bena,mʷua,tata,tata,mʷua,mʷua,fafʷa,tata,mʷua,tata,tata,mʷua,tata,bena,mʷua,bena,fafʷa,bena
3,0.31266829282256337,1.2963545127006189,0.9836862198780555,kuku,kuku,oɣosi,oɣosi,oɣosi,kuku,tua-mʷa,oɣosi,tua-mʷa,oɣosi,oɣosi,kuku,tata,oɣosi,tua-mʷa,fafʷa,tata,oɣosi,fafʷa,kuku,tua-mʷa,tua-mʷa,fafʷa,tua-mʷa,fafʷa,oɣosi,kuku,tua-mʷa,fafʷa,oɣosi,tua-mʷa,tua-mʷa,kuku,tata,tua-mʷa,kuku,oɣosi,oɣosi,tata,kuku,tua-mʷa,tua-mʷa,tua-mʷa,oɣosi,tata,kuku,oɣosi,mʷua,fafʷa,fafʷa,bena,tata,mʷua,tata,tata,fafʷa,tata,mʷua,tata,mʷua,bena,tata,bena,fafʷa,mʷua,bena,mʷua
4,0.27941927001563815,1.314775737547273,1.035356467531635,kuku,oɣosi,fafʷa,tua-mʷa,fafʷa,tua-mʷa,fafʷa,tata,oɣosi,kuku,tua-mʷa,tua-mʷa,tata,oɣosi,oɣosi,oɣosi,tata,kuku,tata,oɣosi,kuku,tua-mʷa,oɣosi,tua-mʷa,kuku,oɣosi,oɣosi,kuku,tua-mʷa,oɣosi,oɣosi,tua-mʷa,tua-mʷa,oɣosi,kuku,tua-mʷa,fafʷa,oɣosi,oɣosi,kuku,kuku,fafʷa,tua-mʷa,tua-mʷa,tua-mʷa,kuku,tata,tata,mʷua,tata,tata,mʷua,fafʷa,bena,fafʷa,tata,mʷua,bena,mʷua,mʷua,fafʷa,fafʷa,tata,tata,bena,bena,mʷua
5,0.42215362220049135,1.3416019012518097,0.9194482790513183,tua-mʷa,tata,oɣosi,oɣosi,oɣosi,oɣosi,tata,fafʷa,tua-mʷa,kuku,tua-mʷa,kuku,tua-mʷa,kuku,oɣosi,fafʷa,tata,tua-mʷa,kuku,oɣosi,kuku,tata,fafʷa,tua-mʷa,oɣosi,tata,oɣosi,tua-mʷa,kuku,tua-mʷa,kuku,oɣosi,kuku,tua-mʷa,fafʷa,oɣosi,tua-mʷa,fafʷa,oɣosi,oɣosi,oɣosi,tua-mʷa,kuku,tua-mʷa,oɣosi,kuku,tua-mʷa,fafʷa,fafʷa,fafʷa,fafʷa,mʷua,bena,tata,mʷua,mʷua,bena,tata,tata,mʷua,mʷua,tata,bena,mʷua,tata,tata,bena
6,0.17656387091432402,1.256637906749007,1.080074035834683,oɣosi,tua-mʷa,tua-mʷa,tua-mʷa,oɣosi,tua-mʷa,tua-mʷa,tata,tua-mʷa,oɣosi,oɣosi,tua-mʷa,kuku,tata,kuku,kuku,tua-mʷa,tua-mʷa,fafʷa,oɣosi,tua-mʷa,oɣosi,kuku,kuku,fafʷa,oɣosi,kuku,oɣosi,tua-mʷa,tua-mʷa,fafʷa,kuku,kuku,oɣosi,tata,oɣosi,fafʷa,oɣosi,tua-mʷa,tata,fafʷa,kuku,oɣosi,oɣosi,kuku,tata,oɣosi,bena,mʷua,fafʷa,tata,mʷua,mʷua,bena,tata,tata,tata,tata,mʷua,fafʷa,tata,fafʷa,fafʷa,bena,mʷua,bena,mʷua
7,0.13697074954156885,1.3416019012518094,1.2046311517102406,tata,tua-mʷa,tata,tua-mʷa,oɣosi,oɣosi,kuku,fafʷa,kuku,fafʷa,tua-mʷa,fafʷa,oɣosi,tua-mʷa,tua-mʷa,oɣosi,fafʷa,kuku,kuku,fafʷa,tua-mʷa,tua-mʷa,tua-mʷa,oɣosi,oɣosi,oɣosi,tua-mʷa,kuku,oɣosi,tua-mʷa,kuku,oɣosi,oɣosi,oɣosi,kuku,tata,kuku,tua-mʷa,oɣosi,tua-mʷa,kuku,tata,tata,kuku,oɣosi,tua-mʷa,oɣosi,bena,fafʷa,mʷua,mʷua,mʷua,bena,tata,mʷua,fafʷa,tata,fafʷa,tata,tata,tata,bena,mʷua,bena,tata,fafʷa,mʷua
8,0.27977447432339,1.2459466183336316,0.9661721440102417,tua-mʷa,kuku,tata,fafʷa,fafʷa,tua-mʷa,fafʷa,kuku,tua-mʷa,kuku,oɣosi,oɣosi,tata,tua-mʷa,tua-mʷa,oɣosi,tua-mʷa,tua-mʷa,tata,fafʷa,fafʷa,kuku,tua-mʷa,kuku,tua-mʷa,oɣosi,kuku,oɣosi,oɣosi,oɣosi,oɣosi,tata,kuku,oɣosi,tua-mʷa,tua-mʷa,oɣosi,oɣosi,oɣosi,kuku,oɣosi,kuku,kuku,tata,tua-mʷa,tua-mʷa,oɣosi,fafʷa,tata,tata,fafʷa,mʷua,mʷua,tata,bena,mʷua,mʷua,mʷua,tata,bena,tata,bena,tata,fafʷa,bena,mʷua,fafʷa
9,0.23164262288953952,1.168554925967082,0.9369123030775425,kuku,tata,oɣosi,kuku,kuku,kuku,oɣosi,kuku,fafʷa,tua-mʷa,tua-mʷa,tua-mʷa,oɣosi,fafʷa,oɣosi,kuku,tata,oɣosi,oɣosi,oɣosi,fafʷa,tua-mʷa,tua-mʷa,oɣosi,oɣosi,oɣosi,oɣosi,kuku,tata,tata,tua-mʷa,oɣosi,tua-mʷa,oɣosi,fafʷa,tua-mʷa,tua-mʷa,oɣosi,tua-mʷa,tua-mʷa,tata,kuku,fafʷa,tua-mʷa,kuku,tua-mʷa,kuku,tata,tata,tata,bena,mʷua,mʷua,tata,mʷua,fafʷa,mʷua,mʷua,tata,fafʷa,bena,tata,mʷua,bena,bena,fafʷa,fafʷa
