simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.20772938344888736,1.5571273605493403,1.349397977100453,punkali,thurtu,marrkara,thurtu,thurtu,marrkara,thurtu,punkali,thurtu,thurtu,nyupa,thurtu,nyupa,marrkara,nyupa,thurtu,kumpali,marrkara,marrkara,marrkara,kumpali,punkali,nyupa,marrkara,marrkara,thurtu,marrkara,marrkara,nyupa,punkali,nyupa,nyupa,marrkara,kumpali,thurtu,nyupa,nyupa,marrkara,marrkara,marrkara,kumpali,mari,kumpali,nyupa,nyupa,punkali,marrkara,marrkara,punkali,nyupa,thurtu,thurtu,kumpali,thurtu,marrkara,kumpali,thurtu,nyupa,thurtu,nyupa,thurtu,thurtu,marrkara,marrkara,thurtu,marrkara,punkali,mari,nyupa,kumpali,nyupa,nyupa,nyupa,marrkara,kumpali,thurtu,punkali,nyupa,kumpali,katya,nyupa,thurtu,punkali,thurtu,punkali,yurru,ngangka,kaka,mama,yurru,yurru,yaru,mama,yaru,yumani,yumani,kaka,kaka,yaru,yurru,yurru,yurru,yurru,yurru,kaka,yurru,kaka,yaru,yaru,yaru,yumani,ngangka,kaka
1,0.16630874700896903,1.604933757080038,1.438625010071069,kumpali,marrkara,thurtu,thurtu,nyupa,nyupa,nyupa,nyupa,marrkara,thurtu,nyupa,punkali,katya,kumpali,nyupa,marrkara,marrkara,marrkara,thurtu,thurtu,marrkara,marrkara,marrkara,thurtu,nyupa,nyupa,mari,marrkara,nyupa,thurtu,thurtu,nyupa,thurtu,thurtu,thurtu,punkali,thurtu,nyupa,kumpali,punkali,nyupa,marrkara,punkali,kumpali,punkali,thurtu,marrkara,thurtu,thurtu,punkali,nyupa,marrkara,nyupa,nyupa,thurtu,marrkara,nyupa,thurtu,marrkara,punkali,punkali,kumpali,mari,kumpali,marrkara,kumpali,thurtu,marrkara,thurtu,marrkara,kumpali,marrkara,marrkara,punkali,thurtu,punkali,nyupa,thurtu,marrkara,kumpali,kumpali,marrkara,nyupa,nyupa,nyupa,yumani,mama,yurru,kaka,yurru,yaru,kaka,yaru,yurru,kaka,yaru,kaka,yaru,yurru,mama,yurru,yaru,kaka,ngangka,yurru,yurru,ngangka,yumani,yaru,yumani,kaka,yurru,yurru
2,0.1911341763607728,1.5931104869343753,1.4019763105736025,nyupa,thurtu,thurtu,thurtu,thurtu,nyupa,thurtu,nyupa,punkali,kumpali,marrkara,thurtu,nyupa,marrkara,marrkara,nyupa,nyupa,nyupa,thurtu,nyupa,kumpali,marrkara,marrkara,kumpali,nyupa,punkali,marrkara,punkali,thurtu,kumpali,punkali,marrkara,katya,thurtu,thurtu,nyupa,thurtu,thurtu,punkali,marrkara,marrkara,punkali,marrkara,marrkara,punkali,thurtu,marrkara,punkali,marrkara,marrkara,thurtu,punkali,kumpali,nyupa,mari,thurtu,thurtu,nyupa,kumpali,nyupa,nyupa,nyupa,marrkara,nyupa,marrkara,thurtu,punkali,thurtu,kumpali,mari,marrkara,thurtu,marrkara,marrkara,kumpali,kumpali,nyupa,thurtu,kumpali,marrkara,nyupa,marrkara,thurtu,nyupa,nyupa,kaka,yaru,yaru,yurru,yaru,yurru,yaru,yurru,ngangka,kaka,yurru,kaka,kaka,yumani,mama,kaka,ngangka,kaka,yaru,yurru,yurru,mama,yumani,yurru,yurru,yurru,yumani,yaru
3,0.16205084135344583,1.636189676867567,1.4741388355141212,marrkara,nyupa,punkali,punkali,marrkara,nyupa,marrkara,marrkara,mari,kumpali,punkali,nyupa,nyupa,kumpali,nyupa,marrkara,thurtu,marrkara,nyupa,thurtu,kumpali,katya,marrkara,nyupa,kumpali,kumpali,thurtu,punkali,nyupa,thurtu,marrkara,nyupa,thurtu,mari,marrkara,thurtu,marrkara,thurtu,thurtu,marrkara,punkali,nyupa,kumpali,marrkara,marrkara,kumpali,thurtu,nyupa,kumpali,punkali,nyupa,marrkara,kumpali,thurtu,punkali,nyupa,marrkara,kumpali,punkali,thurtu,thurtu,nyupa,marrkara,thurtu,marrkara,nyupa,thurtu,nyupa,marrkara,nyupa,thurtu,thurtu,punkali,marrkara,nyupa,thurtu,thurtu,thurtu,nyupa,nyupa,thurtu,marrkara,thurtu,marrkara,punkali,yaru,kaka,yurru,kaka,yurru,kaka,ngangka,yaru,yurru,yurru,ngangka,yaru,yumani,yaru,kaka,yumani,yurru,kaka,mama,yumani,yaru,yurru,yurru,yaru,yurru,mama,yurru,kaka
4,0.1803744124882778,1.616731258655287,1.4363568461670093,thurtu,marrkara,punkali,kumpali,marrkara,punkali,katya,kumpali,punkali,mari,nyupa,thurtu,punkali,thurtu,nyupa,thurtu,nyupa,marrkara,thurtu,marrkara,nyupa,nyupa,marrkara,marrkara,marrkara,marrkara,nyupa,nyupa,nyupa,nyupa,punkali,punkali,punkali,kumpali,kumpali,thurtu,nyupa,kumpali,thurtu,nyupa,marrkara,kumpali,mari,marrkara,punkali,kumpali,thurtu,marrkara,nyupa,thurtu,marrkara,marrkara,nyupa,marrkara,thurtu,thurtu,kumpali,thurtu,thurtu,marrkara,thurtu,thurtu,marrkara,kumpali,thurtu,punkali,nyupa,thurtu,nyupa,thurtu,nyupa,thurtu,thurtu,marrkara,thurtu,marrkara,marrkara,nyupa,marrkara,marrkara,nyupa,nyupa,punkali,kumpali,nyupa,mama,yaru,yaru,yurru,kaka,yaru,mama,kaka,kaka,yurru,ngangka,ngangka,yurru,kaka,kaka,yurru,yurru,yaru,yumani,yaru,kaka,yurru,yaru,yumani,yumani,yurru,yurru,yurru
5,0.25625158485984056,1.6423998316583632,1.3861482467985227,nyupa,marrkara,marrkara,kumpali,nyupa,marrkara,thurtu,thurtu,thurtu,marrkara,marrkara,thurtu,marrkara,thurtu,thurtu,kumpali,marrkara,marrkara,kumpali,nyupa,punkali,nyupa,mari,thurtu,marrkara,thurtu,nyupa,marrkara,nyupa,nyupa,thurtu,nyupa,marrkara,marrkara,thurtu,katya,thurtu,kumpali,nyupa,thurtu,punkali,punkali,marrkara,thurtu,thurtu,marrkara,thurtu,punkali,kumpali,kumpali,thurtu,punkali,marrkara,punkali,thurtu,nyupa,nyupa,kumpali,kumpali,nyupa,marrkara,nyupa,nyupa,marrkara,thurtu,thurtu,thurtu,nyupa,kumpali,mari,punkali,nyupa,marrkara,marrkara,nyupa,punkali,nyupa,marrkara,punkali,marrkara,nyupa,nyupa,punkali,thurtu,kumpali,mama,ngangka,yaru,kaka,yurru,yaru,yaru,yaru,yurru,yumani,yurru,yurru,yaru,yurru,yurru,yaru,kaka,mama,ngangka,kaka,yurru,yumani,yumani,yurru,kaka,kaka,kaka,yurru
6,0.2201507903061819,1.6290434825462552,1.4088926922400733,thurtu,marrkara,nyupa,thurtu,marrkara,thurtu,thurtu,punkali,thurtu,nyupa,mari,kumpali,thurtu,nyupa,punkali,marrkara,thurtu,thurtu,nyupa,marrkara,kumpali,kumpali,kumpali,nyupa,marrkara,marrkara,kumpali,marrkara,nyupa,thurtu,mari,thurtu,kumpali,punkali,marrkara,nyupa,thurtu,thurtu,punkali,nyupa,nyupa,marrkara,marrkara,nyupa,kumpali,marrkara,nyupa,marrkara,katya,marrkara,punkali,punkali,thurtu,nyupa,nyupa,thurtu,nyupa,thurtu,kumpali,nyupa,marrkara,nyupa,punkali,kumpali,marrkara,nyupa,marrkara,marrkara,marrkara,punkali,thurtu,thurtu,punkali,thurtu,marrkara,nyupa,thurtu,punkali,nyupa,kumpali,thurtu,nyupa,marrkara,marrkara,thurtu,yurru,yurru,kaka,kaka,yurru,yumani,yaru,yurru,yurru,ngangka,mama,yaru,yurru,yumani,yaru,ngangka,yaru,kaka,yumani,yurru,kaka,yaru,mama,kaka,yaru,yurru,yurru,kaka
7,0.24569881546408778,1.7006535237866585,1.4549547083225707,thurtu,nyupa,thurtu,marrkara,punkali,punkali,marrkara,thurtu,thurtu,nyupa,kumpali,punkali,marrkara,nyupa,nyupa,marrkara,marrkara,thurtu,thurtu,marrkara,thurtu,marrkara,nyupa,marrkara,thurtu,thurtu,kumpali,marrkara,thurtu,marrkara,kumpali,thurtu,thurtu,kumpali,thurtu,marrkara,kumpali,marrkara,marrkara,thurtu,mari,marrkara,punkali,kumpali,mari,punkali,thurtu,nyupa,kumpali,nyupa,punkali,nyupa,kumpali,nyupa,marrkara,marrkara,punkali,thurtu,nyupa,thurtu,kumpali,nyupa,nyupa,marrkara,nyupa,thurtu,thurtu,marrkara,nyupa,marrkara,nyupa,thurtu,nyupa,marrkara,nyupa,nyupa,thurtu,nyupa,punkali,kumpali,marrkara,punkali,nyupa,punkali,katya,yaru,yaru,ngangka,yurru,yumani,yurru,yaru,yumani,yaru,kaka,yurru,yurru,kaka,yumani,kaka,kaka,yaru,kaka,mama,ngangka,yurru,yurru,yurru,yurru,mama,yurru,kaka,yaru
8,0.23169159064975142,1.6050959684838304,1.373404377834079,punkali,nyupa,thurtu,kumpali,marrkara,nyupa,thurtu,katya,thurtu,punkali,thurtu,nyupa,marrkara,mari,nyupa,nyupa,nyupa,punkali,nyupa,marrkara,thurtu,thurtu,marrkara,marrkara,punkali,kumpali,marrkara,nyupa,nyupa,punkali,nyupa,nyupa,nyupa,nyupa,thurtu,punkali,marrkara,marrkara,punkali,thurtu,thurtu,thurtu,nyupa,thurtu,thurtu,marrkara,marrkara,marrkara,marrkara,nyupa,marrkara,marrkara,nyupa,thurtu,mari,marrkara,kumpali,thurtu,kumpali,marrkara,nyupa,marrkara,nyupa,kumpali,thurtu,thurtu,marrkara,kumpali,thurtu,kumpali,punkali,nyupa,marrkara,punkali,thurtu,thurtu,marrkara,nyupa,kumpali,kumpali,thurtu,thurtu,kumpali,marrkara,punkali,yumani,yumani,yurru,kaka,yurru,ngangka,yaru,ngangka,yurru,mama,yaru,yumani,kaka,yurru,yaru,kaka,yurru,yurru,kaka,kaka,mama,yurru,yaru,yurru,kaka,yaru,yurru,yaru
9,0.20833979187465523,1.6256843895996997,1.4173445977250445,punkali,kumpali,nyupa,nyupa,mari,thurtu,punkali,thurtu,thurtu,nyupa,marrkara,thurtu,punkali,punkali,thurtu,thurtu,marrkara,mari,thurtu,nyupa,punkali,nyupa,thurtu,thurtu,nyupa,nyupa,thurtu,marrkara,marrkara,marrkara,marrkara,kumpali,marrkara,nyupa,katya,nyupa,thurtu,marrkara,punkali,marrkara,nyupa,nyupa,kumpali,thurtu,kumpali,nyupa,kumpali,marrkara,thurtu,punkali,thurtu,kumpali,nyupa,nyupa,marrkara,marrkara,thurtu,marrkara,nyupa,marrkara,thurtu,punkali,marrkara,punkali,marrkara,marrkara,kumpali,nyupa,nyupa,thurtu,nyupa,nyupa,thurtu,marrkara,punkali,kumpali,marrkara,thurtu,thurtu,marrkara,kumpali,kumpali,thurtu,marrkara,nyupa,kaka,yaru,yaru,yurru,kaka,yaru,yurru,ngangka,kaka,kaka,yurru,yumani,ngangka,yurru,kaka,yumani,yaru,mama,yaru,yurru,yurru,yurru,mama,kaka,yumani,yurru,yaru,yurru
