simulation_number,mutual_information,entropy,conditional_entropy,feB,meB,fMBeS,fMByS,mMBeS,mMByS,fFZeS,fFZyS,mFZeS,mFZyS,fFByS,mFByS,fFBeS,mFBeS,fMZyS,mMZeS,mMZyS,fyB,myB,fMBeD,fMByD,fMZeD,fMZyD,mMZyD,mMBeD,mMByD,mMZeD,mFByD,fFBeD,mFBeD,fFZeD,fFZyD,mFZeD,mFZyD,feZ,meZ,fyZ,myZ,fFeB,fFyB,mFeB,mFyB,fMeB,fMyB,mMeB,mMyB,fF,mF,fM,mM,fMeZ,fMyZ,mMeZ,mMyZ,fFeZ,fFyZ,mFeZ,mFyZ
0,0.17328679513998624,1.0397207708399179,0.8664339756999316,meri bahin,"merá bhaí, phuphera bhaí","merá bhaí, mamere bhaí","merá bhaí, phuphera bhaí",merí barí bahin,"merá bhai´, chackerá bhai´","merá bhai´, mauseta bhai",meri chotí bahin,merá bará bhái,"merï bahin, chacheri bahin","merá bhai´, chackerá bhai´","merí bahin, phupherí bahin","merá bhaí, mamera bhaí","merï bahin, chacheri bahin",meri bahin,merí bahin,"merá bhai´, chackerá bhai´","merï bahin, chacheri bahin","merá bhaí, phuphera bhaí","merí bahin, phupherí bahin","merá bhaí, mamera bhaí",merï bahin,meri chotí bahin,merá chotá bhái,merí bahin,"merá bhai´, mausetu bhai","merá bhai´, mauseta bhai","merá bhai´, chackerá bhai´",merí bahin,merá chotá bhái,meri bahin,"merá bhaí, phuphera bhaí","merá bhaí, mamere bhaí",merí barí bahin,"merí bahin, phupherí bahin","merí bahin, phupherí bahin",merá bará bhái,meri bahin,merá mámú,merá chachá,meri mátá,meri mausi,meri mausi,merá mámú,merá pitá,meri phuphi´,meri phuphi´,meri mausi,merá chachá,meri phuphi´,meri mausi,meri mátá,merá mámú,merá chachá,meri phuphi´,merá chachá,merá pitá,merá mámú
1,0.28116757230940403,1.3862943611198906,1.1051267888104865,merá bará bhái,"merá bhaí, mamere bhaí","merá bhaí, phuphera bhaí",meri bahin,meri chotí bahin,merí bahin,merá chotá bhái,"merá bhaí, mamera bhaí","merï bahin, chacheri bahin","merá bhai´, mauseta bhai","merï bahin, chacheri bahin",merï bahin,"merá bhai´, chackerá bhai´",meri chotí bahin,"merá bhai´, mauseta bhai","merá bhaí, mamere bhaí","merá bhaí, mamera bhaí","merí bahin, phupherí bahin","merí bahin, phupherí bahin","merá bhai´, chackerá bhai´",merí bahin,"merá bhaí, phuphera bhaí",merí barí bahin,"merá bhai´, chackerá bhai´","merá bhai´, mausetu bhai",merá chotá bhái,merá bará bhái,merí bahin,meri bahin,merí barí bahin,"merá bhaí, phuphera bhaí","merá bhaí, phuphera bhaí","merí bahin, phupherí bahin","merá bhai´, chackerá bhai´",meri bahin,"merí bahin, phupherí bahin","merï bahin, chacheri bahin",meri bahin,merá pitá,merá chachá,meri phuphi´,meri phuphi´,merá mámú,merá mámú,merá mámú,meri mausi,meri phuphi´,merá pitá,merá mámú,meri mausi,meri mausi,meri phuphi´,meri mátá,meri mátá,meri mausi,merá chachá,merá chachá,merá chachá
2,0.21576155433883565,0.5623351446188083,0.34657359027997264,"merï bahin, chacheri bahin",merï bahin,"merá bhai´, chackerá bhai´",merí bahin,"merá bhai´, chackerá bhai´","merá bhai´, mausetu bhai","merá bhaí, phuphera bhaí","merí bahin, phupherí bahin","merá bhaí, mamera bhaí",merí bahin,meri bahin,"merá bhai´, mauseta bhai","merá bhaí, mamera bhaí","merí bahin, phupherí bahin","merá bhaí, mamere bhaí",meri chotí bahin,meri bahin,merí barí bahin,"merí bahin, phupherí bahin","merï bahin, chacheri bahin","merá bhaí, phuphera bhaí","merí bahin, phupherí bahin",merí barí bahin,"merá bhaí, phuphera bhaí","merï bahin, chacheri bahin","merá bhai´, chackerá bhai´",merá chotá bhái,merá chotá bhái,"merá bhaí, mamere bhaí",merá bará bhái,"merá bhai´, mauseta bhai",meri bahin,meri bahin,merí bahin,meri chotí bahin,merá bará bhái,"merá bhai´, chackerá bhai´","merá bhaí, phuphera bhaí",meri mátá,merá chachá,merá mámú,meri phuphi´,meri mausi,meri mátá,meri mausi,meri mausi,meri phuphi´,meri mausi,meri phuphi´,meri phuphi´,merá mámú,merá mámú,merá pitá,merá chachá,merá chachá,merá pitá,merá mámú,merá chachá
3,0.3465735902799726,1.0397207708399179,0.6931471805599453,"merá bhaí, phuphera bhaí",meri bahin,"merï bahin, chacheri bahin","merá bhaí, phuphera bhaí",merí bahin,merí barí bahin,meri bahin,merï bahin,"merá bhai´, chackerá bhai´","merá bhaí, mamera bhaí","merá bhaí, phuphera bhaí",meri chotí bahin,"merí bahin, phupherí bahin",merí bahin,merá chotá bhái,"merá bhai´, mauseta bhai",meri bahin,merí barí bahin,"merá bhaí, mamere bhaí","merï bahin, chacheri bahin","merá bhaí, mamera bhaí","merá bhai´, mauseta bhai",meri bahin,"merá bhai´, chackerá bhai´",merá bará bhái,"merá bhaí, phuphera bhaí","merá bhai´, chackerá bhai´","merí bahin, phupherí bahin","merí bahin, phupherí bahin","merá bhai´, mausetu bhai","merí bahin, phupherí bahin","merï bahin, chacheri bahin","merá bhaí, mamere bhaí",merá bará bhái,merí bahin,"merá bhai´, chackerá bhai´",merá chotá bhái,meri chotí bahin,merá chachá,merá mámú,meri mátá,meri mausi,meri mausi,merá chachá,meri phuphi´,meri phuphi´,meri phuphi´,merá mámú,merá mámú,merá pitá,merá chachá,merá mámú,meri phuphi´,merá pitá,meri mátá,meri mausi,meri mausi,merá chachá
4,0.5198603854199589,0.6931471805599453,0.17328679513998632,merá chotá bhái,"merï bahin, chacheri bahin","merá bhai´, chackerá bhai´","merá bhaí, phuphera bhaí",merá bará bhái,"merá bhaí, mamere bhaí",merá bará bhái,"merí bahin, phupherí bahin","merá bhaí, phuphera bhaí","merí bahin, phupherí bahin",merí bahin,merí bahin,"merá bhai´, chackerá bhai´",meri bahin,"merá bhaí, mamere bhaí",meri bahin,"merá bhaí, mamera bhaí",meri bahin,meri chotí bahin,"merá bhaí, phuphera bhaí","merí bahin, phupherí bahin","merá bhai´, chackerá bhai´",merï bahin,"merá bhai´, chackerá bhai´","merï bahin, chacheri bahin",merí bahin,merí barí bahin,"merï bahin, chacheri bahin","merá bhaí, mamera bhaí","merá bhai´, mausetu bhai",merá chotá bhái,merí barí bahin,"merá bhai´, mauseta bhai",meri bahin,"merí bahin, phupherí bahin","merá bhaí, phuphera bhaí",meri chotí bahin,"merá bhai´, mauseta bhai",merá mámú,merá pitá,merá chachá,meri mátá,merá chachá,merá mámú,meri mausi,meri mausi,meri phuphi´,meri mausi,meri phuphi´,meri mausi,merá pitá,merá mámú,meri phuphi´,meri phuphi´,merá chachá,meri mátá,merá mámú,merá chachá
5,0.2599301927099794,1.0397207708399179,0.7797905781299385,"merá bhai´, mauseta bhai",merá bará bhái,"merí bahin, phupherí bahin",meri chotí bahin,meri chotí bahin,"merá bhai´, chackerá bhai´","merï bahin, chacheri bahin","merí bahin, phupherí bahin",merá bará bhái,meri bahin,"merá bhai´, mausetu bhai","merá bhaí, mamera bhaí","merï bahin, chacheri bahin","merí bahin, phupherí bahin",meri bahin,"merï bahin, chacheri bahin","merá bhaí, phuphera bhaí",merí bahin,merí barí bahin,"merá bhai´, mauseta bhai",meri bahin,"merá bhaí, mamera bhaí","merá bhaí, phuphera bhaí","merá bhai´, chackerá bhai´",merí barí bahin,merï bahin,merá chotá bhái,merá chotá bhái,"merá bhai´, chackerá bhai´","merá bhaí, mamere bhaí",meri bahin,merí bahin,"merá bhaí, phuphera bhaí","merá bhai´, chackerá bhai´","merá bhaí, phuphera bhaí","merá bhaí, mamere bhaí","merí bahin, phupherí bahin",merí bahin,merá mámú,merá mámú,merá pitá,merá chachá,meri phuphi´,merá pitá,meri mátá,meri mátá,meri mausi,meri phuphi´,merá mámú,meri mausi,merá chachá,merá chachá,meri phuphi´,merá mámú,meri mausi,merá chachá,meri mausi,meri phuphi´
6,0.3465735902799726,1.0397207708399179,0.6931471805599453,"merí bahin, phupherí bahin","merá bhaí, mamere bhaí","merí bahin, phupherí bahin",merá chotá bhái,merï bahin,"merá bhaí, phuphera bhaí","merá bhaí, phuphera bhaí","merí bahin, phupherí bahin","merá bhai´, mauseta bhai","merá bhai´, chackerá bhai´","merá bhaí, phuphera bhaí",merí bahin,"merá bhai´, chackerá bhai´",meri bahin,"merï bahin, chacheri bahin",meri bahin,merá bará bhái,"merï bahin, chacheri bahin",merí bahin,meri chotí bahin,meri bahin,"merá bhai´, chackerá bhai´","merá bhai´, mausetu bhai","merá bhaí, phuphera bhaí",merí bahin,"merï bahin, chacheri bahin",merí barí bahin,merá chotá bhái,"merá bhai´, mauseta bhai","merá bhaí, mamere bhaí",merí barí bahin,"merí bahin, phupherí bahin",meri chotí bahin,meri bahin,"merá bhaí, mamera bhaí",merá bará bhái,"merá bhaí, mamera bhaí","merá bhai´, chackerá bhai´",meri mátá,merá mámú,meri mátá,meri phuphi´,meri phuphi´,meri mausi,merá pitá,meri mausi,merá mámú,meri mausi,merá chachá,merá mámú,meri phuphi´,merá chachá,meri mausi,merá mámú,merá chachá,meri phuphi´,merá pitá,merá chachá
7,0.5198603854199589,1.3862943611198906,0.8664339756999316,"merá bhai´, mausetu bhai",meri bahin,"merï bahin, chacheri bahin",merí bahin,merí bahin,"merí bahin, phupherí bahin","merá bhaí, phuphera bhaí",merá bará bhái,"merá bhai´, mauseta bhai",meri bahin,meri bahin,"merá bhaí, phuphera bhaí","merï bahin, chacheri bahin",meri bahin,"merá bhaí, mamera bhaí","merá bhaí, mamera bhaí",merá chotá bhái,"merí bahin, phupherí bahin","merí bahin, phupherí bahin",merá chotá bhái,merí barí bahin,"merï bahin, chacheri bahin",merá bará bhái,merï bahin,meri chotí bahin,"merá bhai´, chackerá bhai´","merá bhai´, chackerá bhai´","merá bhai´, chackerá bhai´","merá bhaí, phuphera bhaí","merí bahin, phupherí bahin","merá bhai´, chackerá bhai´","merá bhaí, phuphera bhaí","merá bhaí, mamere bhaí","merá bhaí, mamere bhaí","merá bhai´, mauseta bhai",meri chotí bahin,merí bahin,merí barí bahin,meri phuphi´,merá chachá,merá chachá,merá pitá,merá pitá,meri mátá,merá chachá,merá mámú,meri mátá,merá mámú,meri mausi,meri phuphi´,meri mausi,meri phuphi´,meri phuphi´,merá mámú,merá chachá,meri mausi,meri mausi,merá mámú
8,0.6931471805599453,1.3862943611198906,0.6931471805599453,merí bahin,"merá bhaí, phuphera bhaí","merï bahin, chacheri bahin",merá chotá bhái,meri bahin,"merá bhaí, mamere bhaí","merá bhai´, mauseta bhai","merá bhaí, phuphera bhaí","merá bhaí, mamera bhaí",meri chotí bahin,meri bahin,"merá bhai´, mausetu bhai","merí bahin, phupherí bahin","merá bhai´, chackerá bhai´","merá bhai´, chackerá bhai´",merí bahin,"merá bhaí, mamera bhaí","merï bahin, chacheri bahin",merá bará bhái,"merí bahin, phupherí bahin",merí barí bahin,"merá bhai´, chackerá bhai´",merï bahin,meri bahin,"merá bhai´, mauseta bhai","merá bhai´, chackerá bhai´","merï bahin, chacheri bahin","merí bahin, phupherí bahin",merí barí bahin,merá chotá bhái,"merá bhaí, phuphera bhaí",meri chotí bahin,meri bahin,"merá bhaí, mamere bhaí","merí bahin, phupherí bahin","merá bhaí, phuphera bhaí",merí bahin,merá bará bhái,merá chachá,merá mámú,meri phuphi´,merá chachá,merá mámú,meri phuphi´,merá chachá,merá mámú,merá chachá,merá pitá,meri mátá,merá mámú,meri phuphi´,meri mátá,meri mausi,meri mausi,meri mausi,merá pitá,meri mausi,meri phuphi´
9,0.6931471805599453,1.3862943611198906,0.6931471805599453,"merá bhaí, phuphera bhaí","merï bahin, chacheri bahin",merá bará bhái,merí barí bahin,meri bahin,"merá bhai´, mausetu bhai","merá bhai´, chackerá bhai´","merí bahin, phupherí bahin","merá bhaí, mamera bhaí",merá chotá bhái,"merá bhaí, mamera bhaí","merá bhai´, chackerá bhai´",meri bahin,"merá bhaí, phuphera bhaí",meri chotí bahin,"merá bhaí, mamere bhaí","merá bhaí, phuphera bhaí","merá bhai´, mauseta bhai","merá bhai´, chackerá bhai´",merí bahin,merí bahin,merï bahin,"merí bahin, phupherí bahin","merï bahin, chacheri bahin","merí bahin, phupherí bahin",meri bahin,"merá bhai´, chackerá bhai´",meri chotí bahin,"merá bhai´, mauseta bhai","merá bhaí, phuphera bhaí","merí bahin, phupherí bahin",meri bahin,"merá bhaí, mamere bhaí",merá chotá bhái,merí bahin,merí barí bahin,merá bará bhái,"merï bahin, chacheri bahin",merá mámú,merá chachá,meri mátá,meri mausi,meri phuphi´,meri mausi,merá mámú,merá chachá,meri phuphi´,meri mátá,merá pitá,merá mámú,merá pitá,meri mausi,merá chachá,merá mámú,merá chachá,meri phuphi´,meri phuphi´,meri mausi
