simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ
0,0.031163025605907224,1.3298358955712566,1.2986728699653494,kave,taina,taina,kave,kave,taina,taina,kave,taina,kave,kave,kave,taina,kave,taina,kave,taina,kave,kave,taina,taina,kave,kave,kave,taina,taina,taina,kave,taina,taina,kave,kave,kave,kave,taina,taina,kave,kave,taina,kave,kave,taina,kave,taina,taina,taina,kave,kave,kave,taina,kave,kave,taina,kave,kave,kave,kave,taina,kave,taina,taina,kave,taina,taina,taina,taina,kave,kave,kave,kave,taina,taina,taina,taina,taina,taina,taina,taina,kave,taina,kave,kave,taina,taina,taina,kave,kave,kave,taina,masikitaŋa,masikitaŋa,tamana,tuatina,tinana,tamana,tamana,tuatina,tamana,masikitaŋa,tinana,tinana,tamana,masikitaŋa,tuatina,tinana,masikitaŋa,tamana,tamana,tinana,tinana,tamana,masikitaŋa,tinana,tinana
1,0.020344916487386566,1.3474357001790394,1.3270907836916528,taina,kave,kave,taina,taina,taina,kave,kave,taina,kave,taina,kave,kave,taina,taina,kave,kave,taina,kave,kave,kave,kave,kave,taina,kave,taina,taina,taina,taina,taina,kave,kave,taina,taina,kave,taina,kave,taina,kave,kave,taina,taina,kave,kave,kave,taina,kave,taina,kave,taina,kave,kave,kave,kave,kave,kave,kave,taina,taina,kave,taina,kave,kave,kave,taina,kave,taina,taina,taina,taina,kave,taina,taina,taina,kave,kave,taina,taina,taina,taina,taina,taina,kave,taina,kave,kave,kave,taina,taina,masikitaŋa,tamana,tamana,masikitaŋa,tinana,tinana,tinana,tamana,masikitaŋa,tinana,masikitaŋa,tamana,tinana,tuatina,tamana,tinana,tuatina,tuatina,tamana,masikitaŋa,tinana,tinana,tamana,tamana,masikitaŋa
2,0.0321578820206212,1.330240676059367,1.2980827940387458,kave,kave,kave,kave,taina,taina,taina,taina,kave,kave,kave,taina,kave,kave,taina,taina,taina,kave,taina,kave,kave,taina,taina,taina,kave,taina,kave,kave,kave,kave,kave,taina,taina,kave,kave,kave,kave,taina,kave,taina,kave,kave,kave,taina,kave,taina,kave,kave,taina,kave,taina,taina,kave,taina,kave,kave,kave,kave,kave,taina,taina,kave,taina,kave,kave,taina,kave,kave,taina,kave,taina,taina,taina,kave,taina,taina,taina,taina,taina,taina,taina,taina,taina,taina,taina,taina,kave,kave,taina,masikitaŋa,tinana,tamana,masikitaŋa,tuatina,tamana,masikitaŋa,tuatina,tamana,tinana,tamana,tamana,masikitaŋa,tamana,tinana,masikitaŋa,masikitaŋa,tinana,tinana,tamana,tamana,tinana,tinana,tinana,tuatina
3,0.04571754326422539,1.3113301814048761,1.2656126381406507,taina,kave,kave,taina,taina,kave,kave,taina,kave,kave,taina,taina,taina,kave,kave,kave,kave,kave,taina,taina,kave,kave,kave,taina,kave,kave,taina,taina,kave,taina,taina,kave,taina,taina,kave,taina,kave,kave,taina,taina,kave,kave,kave,taina,taina,kave,taina,taina,kave,kave,kave,taina,taina,taina,taina,kave,kave,taina,taina,kave,taina,taina,kave,kave,taina,kave,taina,taina,taina,taina,taina,taina,kave,taina,kave,taina,kave,kave,kave,taina,taina,kave,kave,kave,taina,kave,taina,kave,kave,tamana,masikitaŋa,tinana,masikitaŋa,tinana,tamana,tamana,tamana,masikitaŋa,tuatina,tinana,tamana,masikitaŋa,masikitaŋa,tuatina,tuatina,tinana,tamana,tamana,tinana,tinana,tinana,tamana,masikitaŋa,tinana
4,0.03210894328178027,1.292240381755184,1.2601314384734037,kave,kave,taina,taina,kave,taina,kave,taina,taina,taina,kave,kave,taina,taina,taina,taina,kave,taina,kave,kave,taina,taina,taina,taina,kave,kave,taina,kave,kave,kave,kave,kave,taina,kave,kave,kave,kave,kave,taina,kave,kave,kave,kave,taina,taina,taina,kave,taina,kave,taina,kave,taina,taina,taina,kave,taina,kave,taina,kave,kave,taina,taina,kave,taina,taina,kave,kave,kave,taina,taina,taina,kave,taina,taina,kave,taina,taina,kave,kave,kave,taina,taina,kave,kave,kave,taina,kave,taina,taina,tinana,tamana,tamana,masikitaŋa,tamana,tinana,masikitaŋa,tamana,tinana,tuatina,tinana,tamana,masikitaŋa,tuatina,tuatina,masikitaŋa,tamana,tamana,tinana,tamana,tinana,tinana,masikitaŋa,tinana,masikitaŋa
5,0.022732787929885534,1.325114821238985,1.3023820333090994,taina,taina,kave,kave,taina,taina,kave,kave,kave,taina,kave,taina,taina,taina,kave,taina,taina,taina,kave,kave,kave,kave,taina,kave,taina,kave,taina,kave,taina,taina,taina,taina,kave,kave,kave,kave,kave,kave,kave,taina,kave,kave,taina,kave,taina,taina,kave,kave,kave,taina,kave,kave,taina,taina,taina,kave,taina,taina,kave,taina,kave,kave,taina,taina,taina,taina,kave,taina,taina,taina,taina,kave,taina,kave,taina,taina,kave,taina,taina,kave,taina,kave,kave,kave,kave,kave,taina,kave,kave,tamana,tinana,tinana,tamana,masikitaŋa,tinana,tamana,tuatina,tinana,tamana,masikitaŋa,masikitaŋa,tamana,masikitaŋa,tuatina,tinana,tinana,tuatina,masikitaŋa,tamana,masikitaŋa,tinana,tamana,tinana,tamana
6,0.039977327427799025,1.3115311278596138,1.2715538004318148,taina,kave,kave,kave,kave,taina,taina,kave,taina,taina,kave,taina,kave,kave,taina,kave,kave,kave,taina,kave,kave,taina,kave,kave,kave,kave,taina,kave,kave,kave,kave,kave,kave,taina,taina,kave,taina,taina,kave,taina,taina,kave,taina,kave,kave,taina,kave,kave,taina,kave,taina,kave,taina,kave,taina,taina,taina,taina,taina,kave,taina,taina,kave,taina,kave,kave,kave,taina,taina,kave,taina,kave,kave,kave,taina,taina,taina,taina,kave,taina,taina,kave,taina,taina,kave,taina,taina,taina,taina,tinana,masikitaŋa,masikitaŋa,tamana,tamana,masikitaŋa,tamana,tamana,tinana,tamana,tuatina,tinana,tinana,tinana,masikitaŋa,tuatina,masikitaŋa,masikitaŋa,tinana,tinana,tamana,tinana,tuatina,tamana,tamana
7,0.05262698612121297,1.3085622925880078,1.2559353064667949,taina,taina,kave,kave,taina,taina,kave,taina,kave,taina,taina,kave,taina,kave,taina,kave,taina,taina,kave,kave,taina,taina,kave,kave,taina,kave,taina,taina,taina,kave,taina,kave,taina,kave,taina,taina,kave,kave,taina,kave,kave,taina,kave,kave,kave,kave,taina,kave,kave,kave,taina,taina,kave,taina,taina,taina,kave,kave,taina,kave,kave,kave,taina,taina,kave,taina,taina,kave,kave,kave,taina,taina,taina,kave,kave,taina,kave,taina,kave,kave,kave,kave,taina,taina,taina,kave,taina,taina,kave,tuatina,tinana,tamana,tinana,masikitaŋa,tamana,tinana,tuatina,tamana,tamana,masikitaŋa,tinana,tinana,masikitaŋa,tamana,masikitaŋa,tamana,tinana,tinana,tamana,tinana,masikitaŋa,tamana,masikitaŋa,tuatina
8,0.026549455465159966,1.288036987558894,1.261487532093734,taina,kave,taina,kave,taina,kave,taina,taina,kave,kave,kave,taina,kave,kave,kave,kave,kave,taina,taina,taina,kave,kave,kave,kave,taina,kave,kave,kave,kave,taina,taina,taina,taina,taina,kave,kave,taina,taina,kave,kave,kave,taina,kave,taina,taina,taina,kave,kave,kave,taina,taina,kave,kave,taina,kave,kave,kave,kave,taina,kave,kave,taina,taina,kave,taina,taina,kave,taina,taina,taina,taina,taina,taina,kave,taina,kave,taina,taina,taina,taina,kave,kave,kave,kave,kave,taina,taina,taina,taina,tinana,tinana,tinana,tamana,tamana,masikitaŋa,tamana,tamana,masikitaŋa,tuatina,tamana,tinana,tamana,masikitaŋa,masikitaŋa,tinana,masikitaŋa,tinana,tamana,tuatina,masikitaŋa,tuatina,tinana,tinana,tamana
9,0.028417517406135406,1.2874010142656978,1.2589834968595623,taina,kave,kave,taina,taina,kave,kave,kave,kave,taina,taina,kave,taina,taina,taina,kave,kave,taina,taina,taina,kave,kave,taina,kave,taina,kave,kave,taina,kave,taina,taina,taina,kave,kave,taina,kave,taina,taina,kave,kave,taina,taina,kave,taina,taina,kave,kave,kave,taina,taina,taina,kave,taina,kave,taina,taina,kave,kave,taina,taina,kave,kave,taina,taina,kave,kave,taina,kave,kave,taina,taina,kave,taina,kave,kave,taina,kave,kave,kave,taina,kave,kave,taina,taina,kave,kave,kave,taina,taina,tinana,tinana,masikitaŋa,tinana,tinana,tinana,tinana,masikitaŋa,tuatina,tuatina,tamana,tamana,tamana,tuatina,tinana,tamana,masikitaŋa,tamana,masikitaŋa,tamana,masikitaŋa,masikitaŋa,tamana,tamana,tinana
