simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mFZD,mMBD,mFZS,mMBS,mFeBS,mFyBS,mFeBD,mFyBD,mMeZS,mMyZS,mMeZD,mMyZD,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFZD,fMBD,fFZS,fMBS,fFeBS,fFyBS,fFeBD,fMeZS,fMyZS,fMeZD,fMyZD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,mFZ,mMB,mFeB,mFyB,mMeZ,mMyZ,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFZ,fMB,fFeB,fFyB,fMeZ,fMyZ,fFeZ,fFyZ,fMeB,fMyB
0,0.5481637016669678,1.9944246828775938,1.446260981210626,neahpit,vahnen oɑbba,neahpit,muottit,čeahcit,siessal,vahnen viellyɑ,oɑbba,neahpit,siessal,siessal,siessal,neahpit,neahpit,eahkit,siessal,čeahcit,neahpit,siessal,nuor̃ɑt viellyɑ,muottit,siessal,siessal,goaskitt,siessal,nuor̃ɑt oɑbba,čeahcit,goaskitt,nuor̃ɑt oɑbba,siessal,vahnen viellyɑ,neahpit,neahpit,siessal,muottit,siessal,eahkit,viellyɑ,neahpit,siessal,goaskitt,nuor̃ɑt viellyɑ,neahpit,neahpit,neahpit,neahpit,neahpit,neahpit,neahpit,neahpit,čeahcit,eahkit,siessal,neahpit,muottit,neahpit,viellyɑ,oɑbba,siessal,vahnen oɑbba,neahpit,goaskitt,siessal,siessal,siessal,siessal,siessal,eɑnu,ahčči,eɑdni,eɑhki,eɑnu,siessa,goɑski,siessa,siessa,eɑdni,eɑhki,eɑnu,eɑnu,siessa,muoθθa,čeɑhc̷i,eɑnu,eɑnu,čeɑhc̷i,siessa,muoθθa,ahčči,siessa,goɑski
1,0.5469962274458213,1.9244208130555371,1.3774245856097158,goaskitt,siessal,nuor̃ɑt viellyɑ,neahpit,siessal,eahkit,vahnen viellyɑ,neahpit,neahpit,neahpit,siessal,oɑbba,siessal,siessal,viellyɑ,nuor̃ɑt viellyɑ,neahpit,muottit,neahpit,čeahcit,oɑbba,siessal,vahnen oɑbba,neahpit,siessal,siessal,čeahcit,siessal,goaskitt,siessal,neahpit,siessal,siessal,neahpit,neahpit,čeahcit,goaskitt,čeahcit,neahpit,neahpit,neahpit,eahkit,vahnen oɑbba,neahpit,neahpit,siessal,siessal,siessal,neahpit,siessal,siessal,siessal,neahpit,muottit,eahkit,viellyɑ,muottit,vahnen viellyɑ,siessal,neahpit,siessal,nuor̃ɑt oɑbba,goaskitt,neahpit,neahpit,nuor̃ɑt oɑbba,muottit,goɑski,eɑhki,ahčči,siessa,eɑnu,ahčči,eɑdni,čeɑhc̷i,siessa,eɑnu,eɑnu,čeɑhc̷i,siessa,siessa,eɑnu,eɑnu,eɑnu,siessa,eɑhki,goɑski,siessa,muoθθa,eɑdni,muoθθa
2,0.4619270594280407,1.9247764373967087,1.462849377968668,siessal,neahpit,siessal,neahpit,vahnen viellyɑ,siessal,neahpit,nuor̃ɑt viellyɑ,neahpit,neahpit,viellyɑ,muottit,neahpit,neahpit,siessal,siessal,goaskitt,siessal,nuor̃ɑt oɑbba,siessal,neahpit,siessal,siessal,siessal,neahpit,siessal,neahpit,čeahcit,muottit,siessal,eahkit,muottit,siessal,goaskitt,čeahcit,goaskitt,neahpit,oɑbba,muottit,čeahcit,neahpit,siessal,neahpit,goaskitt,vahnen oɑbba,nuor̃ɑt oɑbba,siessal,neahpit,neahpit,vahnen oɑbba,eahkit,neahpit,neahpit,oɑbba,siessal,siessal,neahpit,siessal,siessal,neahpit,viellyɑ,nuor̃ɑt viellyɑ,vahnen viellyɑ,neahpit,siessal,čeahcit,eahkit,siessa,eɑnu,ahčči,goɑski,siessa,ahčči,eɑnu,eɑnu,eɑnu,siessa,siessa,eɑdni,čeɑhc̷i,goɑski,siessa,muoθθa,siessa,muoθθa,eɑhki,eɑnu,eɑdni,eɑhki,čeɑhc̷i,eɑnu
3,0.5978326244849479,1.8938342368378314,1.2960016123528835,neahpit,eahkit,neahpit,neahpit,nuor̃ɑt viellyɑ,siessal,siessal,neahpit,čeahcit,siessal,muottit,vahnen oɑbba,muottit,neahpit,siessal,neahpit,viellyɑ,oɑbba,siessal,siessal,siessal,viellyɑ,nuor̃ɑt oɑbba,neahpit,čeahcit,siessal,neahpit,neahpit,siessal,neahpit,čeahcit,neahpit,goaskitt,siessal,eahkit,neahpit,siessal,neahpit,siessal,goaskitt,siessal,siessal,siessal,siessal,siessal,muottit,neahpit,neahpit,vahnen viellyɑ,vahnen viellyɑ,muottit,čeahcit,goaskitt,neahpit,siessal,eahkit,nuor̃ɑt oɑbba,oɑbba,neahpit,goaskitt,siessal,neahpit,neahpit,siessal,neahpit,nuor̃ɑt viellyɑ,vahnen oɑbba,muoθθa,siessa,eɑnu,siessa,eɑnu,goɑski,čeɑhc̷i,eɑdni,siessa,eɑnu,čeɑhc̷i,muoθθa,eɑhki,eɑnu,ahčči,ahčči,eɑnu,goɑski,siessa,eɑhki,siessa,siessa,eɑdni,eɑnu
4,0.5005735788968206,1.9371931629787948,1.4366195840819742,siessal,čeahcit,siessal,siessal,goaskitt,eahkit,siessal,neahpit,siessal,oɑbba,siessal,neahpit,siessal,neahpit,neahpit,neahpit,goaskitt,siessal,siessal,neahpit,nuor̃ɑt viellyɑ,muottit,neahpit,goaskitt,siessal,vahnen viellyɑ,vahnen viellyɑ,čeahcit,siessal,oɑbba,siessal,neahpit,nuor̃ɑt oɑbba,siessal,neahpit,čeahcit,siessal,eahkit,vahnen oɑbba,siessal,neahpit,neahpit,čeahcit,neahpit,neahpit,muottit,neahpit,muottit,nuor̃ɑt viellyɑ,siessal,siessal,neahpit,neahpit,siessal,vahnen oɑbba,goaskitt,neahpit,neahpit,neahpit,siessal,eahkit,siessal,nuor̃ɑt oɑbba,neahpit,viellyɑ,viellyɑ,muottit,siessa,eɑdni,goɑski,eɑnu,siessa,eɑdni,eɑhki,eɑnu,čeɑhc̷i,eɑnu,siessa,eɑnu,muoθθa,siessa,eɑnu,ahčči,ahčči,siessa,muoθθa,eɑhki,čeɑhc̷i,siessa,eɑnu,goɑski
5,0.5638100523302854,1.9674770989950894,1.403667046664804,siessal,čeahcit,vahnen viellyɑ,muottit,siessal,siessal,neahpit,neahpit,neahpit,eahkit,čeahcit,oɑbba,neahpit,siessal,muottit,siessal,nuor̃ɑt viellyɑ,neahpit,neahpit,neahpit,siessal,muottit,siessal,neahpit,siessal,neahpit,siessal,neahpit,goaskitt,nuor̃ɑt viellyɑ,eahkit,siessal,siessal,viellyɑ,neahpit,neahpit,neahpit,čeahcit,siessal,neahpit,siessal,siessal,siessal,neahpit,vahnen oɑbba,eahkit,nuor̃ɑt oɑbba,oɑbba,siessal,siessal,neahpit,siessal,siessal,goaskitt,nuor̃ɑt oɑbba,siessal,vahnen viellyɑ,neahpit,muottit,neahpit,goaskitt,goaskitt,viellyɑ,neahpit,čeahcit,neahpit,vahnen oɑbba,siessa,goɑski,eɑdni,eɑhki,siessa,goɑski,eɑnu,eɑnu,siessa,eɑdni,eɑnu,ahčči,eɑnu,čeɑhc̷i,ahčči,siessa,čeɑhc̷i,eɑnu,eɑnu,muoθθa,muoθθa,siessa,siessa,eɑhki
6,0.5091321650543272,1.951757203206117,1.4426250381517898,siessal,oɑbba,neahpit,vahnen viellyɑ,nuor̃ɑt oɑbba,čeahcit,muottit,siessal,goaskitt,siessal,nuor̃ɑt viellyɑ,neahpit,siessal,siessal,neahpit,siessal,eahkit,neahpit,neahpit,vahnen oɑbba,neahpit,neahpit,goaskitt,neahpit,neahpit,siessal,nuor̃ɑt viellyɑ,oɑbba,neahpit,neahpit,goaskitt,siessal,eahkit,siessal,neahpit,neahpit,muottit,neahpit,neahpit,siessal,čeahcit,siessal,muottit,čeahcit,siessal,siessal,siessal,muottit,eahkit,neahpit,neahpit,nuor̃ɑt oɑbba,viellyɑ,vahnen oɑbba,siessal,siessal,siessal,vahnen viellyɑ,goaskitt,viellyɑ,neahpit,siessal,neahpit,čeahcit,siessal,siessal,neahpit,eɑnu,muoθθa,eɑhki,muoθθa,goɑski,eɑnu,eɑhki,siessa,čeɑhc̷i,siessa,eɑnu,siessa,goɑski,eɑnu,eɑnu,ahčči,ahčči,siessa,siessa,eɑdni,eɑdni,čeɑhc̷i,siessa,eɑnu
7,0.48785046626602524,1.8626717731714146,1.3748213069053894,siessal,siessal,siessal,siessal,oɑbba,neahpit,neahpit,čeahcit,goaskitt,viellyɑ,neahpit,goaskitt,eahkit,siessal,siessal,eahkit,siessal,vahnen viellyɑ,siessal,siessal,goaskitt,čeahcit,siessal,čeahcit,neahpit,siessal,neahpit,siessal,neahpit,neahpit,muottit,siessal,neahpit,muottit,neahpit,eahkit,siessal,neahpit,neahpit,neahpit,siessal,neahpit,čeahcit,neahpit,oɑbba,vahnen oɑbba,muottit,vahnen viellyɑ,neahpit,neahpit,nuor̃ɑt oɑbba,neahpit,neahpit,nuor̃ɑt viellyɑ,nuor̃ɑt viellyɑ,siessal,nuor̃ɑt oɑbba,siessal,siessal,goaskitt,muottit,neahpit,neahpit,viellyɑ,siessal,siessal,vahnen oɑbba,eɑnu,siessa,siessa,eɑnu,ahčči,eɑnu,muoθθa,siessa,čeɑhc̷i,eɑhki,eɑnu,siessa,eɑnu,siessa,goɑski,ahčči,eɑnu,goɑski,eɑdni,eɑdni,muoθθa,siessa,eɑhki,čeɑhc̷i
8,0.452671943317398,1.8774194692050292,1.4247475258876312,vahnen viellyɑ,vahnen oɑbba,siessal,čeahcit,neahpit,goaskitt,neahpit,nuor̃ɑt oɑbba,siessal,neahpit,siessal,nuor̃ɑt viellyɑ,eahkit,vahnen oɑbba,oɑbba,eahkit,nuor̃ɑt viellyɑ,čeahcit,viellyɑ,siessal,neahpit,siessal,siessal,neahpit,siessal,neahpit,viellyɑ,neahpit,siessal,siessal,neahpit,siessal,siessal,siessal,siessal,siessal,neahpit,siessal,neahpit,neahpit,muottit,siessal,goaskitt,siessal,neahpit,muottit,siessal,čeahcit,neahpit,neahpit,vahnen viellyɑ,muottit,čeahcit,neahpit,eahkit,siessal,nuor̃ɑt oɑbba,neahpit,neahpit,neahpit,siessal,neahpit,oɑbba,goaskitt,goaskitt,muottit,neahpit,eɑnu,siessa,siessa,muoθθa,eɑnu,goɑski,siessa,siessa,eɑhki,eɑnu,ahčči,eɑnu,muoθθa,eɑhki,ahčči,eɑnu,eɑnu,eɑdni,čeɑhc̷i,čeɑhc̷i,goɑski,siessa,siessa,eɑdni
9,0.5371827729029877,1.9346565093517187,1.397473736448731,neahpit,eahkit,goaskitt,siessal,muottit,nuor̃ɑt oɑbba,neahpit,vahnen viellyɑ,neahpit,neahpit,neahpit,neahpit,viellyɑ,čeahcit,neahpit,goaskitt,siessal,neahpit,viellyɑ,čeahcit,čeahcit,siessal,siessal,nuor̃ɑt viellyɑ,vahnen oɑbba,siessal,neahpit,oɑbba,neahpit,siessal,siessal,neahpit,muottit,neahpit,neahpit,goaskitt,nuor̃ɑt viellyɑ,čeahcit,siessal,siessal,siessal,oɑbba,siessal,goaskitt,siessal,siessal,neahpit,nuor̃ɑt oɑbba,muottit,siessal,siessal,siessal,neahpit,neahpit,siessal,neahpit,neahpit,neahpit,vahnen viellyɑ,siessal,siessal,eahkit,muottit,neahpit,siessal,vahnen oɑbba,eahkit,goɑski,eɑnu,eɑnu,čeɑhc̷i,siessa,siessa,čeɑhc̷i,siessa,ahčči,eɑdni,muoθθa,eɑhki,eɑnu,eɑhki,ahčči,siessa,eɑdni,siessa,eɑnu,siessa,eɑnu,muoθθa,eɑnu,goɑski
