simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ
0,0.34282051491740106,1.0648409968573884,0.7220204819399874,ilamutu,"ilamutu, fai-tua-fafine","tuafafine fetau taina, tua-fafin, faka-tua-fafine","tuafafine fetau taina, tua-fafin, faka-tua-fafine","tuafafine fetau taina, tua-fafin, faka-tua-fafine",tua-tina,"ilamutu, fai-tuagane","fai-tuagane, tua-tina","fai-tua-fafine, tua-tina",taina,"ilamutu, fai-tua-fafine","taina fetau taina, taina, tua-fafin, faka-tua-fafine","ilamutu, taina",taina,"taina fetau taina, faka-tua-gane",taina,ilamutu,tua-tina,"fetau-taina, uso","ilamutu, fai-tuagane","ilamutu, fai-tuagane",taina,"fai-tua-fafine, tua-tina",taina,"ilamutu, fai-tua-fafine","fai-tua-fafine, tua-tina","fai-tuagane, tua-tina",taina,tua-fafine,"ilamutu, fai-tuagane",tua-tina,tua-tina,tua-gane,"fai-tua-fafine, tua-tina","taina fetau taina, taina, tua-fafin, faka-tua-fafine","fai-tuagane, tua-tina","ilamutu, taina","fai-tuagane, tua-tina",taina,tua-tina,"tuafafine fetau taina, tua-gane, faka-tua-gane","ilamutu, taina",tua-tina,taina,"taina fetau taina, faka-tua-gane",taina,"taina fetau taina, taina, tua-fafin, faka-tua-fafine","tuafafine fetau taina, tua-gane, faka-tua-gane","fetau-taina, uso",tua-tina,tua-tina,ilamutu,ilamutu,taina,"tuafafine fetau taina, tua-gane, faka-tua-gane","tuafafine fetau taina, tua-fafin, faka-tua-fafine",taina,"tuafafine fetau taina, tua-gane, faka-tua-gane","ilamutu, taina",ilamutu,tua-tina,taina,"fai-tua-fafine, tua-tina",tua-fafine,"taina fetau taina, faka-tua-gane","taina fetau taina, faka-tua-gane","ilamutu, fai-tuagane","taina fetau taina, faka-tua-gane","ilamutu, fai-tua-fafine","ilamutu, fai-tua-fafine","fai-tuagane, tua-tina","ilamutu, taina","tuafafine fetau taina, tua-fafin, faka-tua-fafine",taina,tua-gane,"taina fetau taina, taina, tua-fafin, faka-tua-fafine",taina,"taina fetau taina, taina, tua-fafin, faka-tua-fafine",taina,tua-tina,"fetau-taina, uso","matua sa, matua tau-aitu",tamana,tamana,maatua,maatua,maatua,tamana,maatua,tamana,tamana,"matua sa, matua tau-aitu",tamana,maatua,maatua,"matua sa, matua tau-aitu","matua sa, matua tau-aitu"
1,0.42445262805937456,1.0334920606923674,0.6090394326329929,taina,"ilamutu, fai-tuagane",tua-tina,"tuafafine fetau taina, tua-fafin, faka-tua-fafine","fai-tuagane, tua-tina",taina,taina,tua-tina,taina,"fetau-taina, uso",tua-tina,"tuafafine fetau taina, tua-fafin, faka-tua-fafine","fai-tuagane, tua-tina","ilamutu, fai-tuagane",taina,"ilamutu, taina","taina fetau taina, taina, tua-fafin, faka-tua-fafine","ilamutu, fai-tua-fafine","ilamutu, fai-tua-fafine","fai-tua-fafine, tua-tina",taina,"taina fetau taina, faka-tua-gane","taina fetau taina, taina, tua-fafin, faka-tua-fafine",tua-tina,"tuafafine fetau taina, tua-gane, faka-tua-gane","tuafafine fetau taina, tua-fafin, faka-tua-fafine",taina,"ilamutu, fai-tuagane","tuafafine fetau taina, tua-gane, faka-tua-gane",tua-gane,ilamutu,tua-tina,taina,"ilamutu, taina",taina,taina,"taina fetau taina, faka-tua-gane","taina fetau taina, taina, tua-fafin, faka-tua-fafine","ilamutu, fai-tua-fafine","ilamutu, taina",ilamutu,taina,"taina fetau taina, taina, tua-fafin, faka-tua-fafine",tua-tina,"ilamutu, taina","fai-tua-fafine, tua-tina","tuafafine fetau taina, tua-fafin, faka-tua-fafine","fai-tuagane, tua-tina","ilamutu, fai-tua-fafine","fai-tua-fafine, tua-tina","fai-tuagane, tua-tina","tuafafine fetau taina, tua-gane, faka-tua-gane","tuafafine fetau taina, tua-fafin, faka-tua-fafine",tua-fafine,"taina fetau taina, faka-tua-gane","ilamutu, fai-tuagane",ilamutu,"ilamutu, taina","ilamutu, fai-tuagane","fai-tua-fafine, tua-tina",taina,"ilamutu, fai-tua-fafine","fai-tua-fafine, tua-tina",ilamutu,tua-tina,"fai-tuagane, tua-tina","taina fetau taina, taina, tua-fafin, faka-tua-fafine",taina,taina,"fetau-taina, uso",tua-tina,"taina fetau taina, faka-tua-gane","taina fetau taina, faka-tua-gane",tua-tina,ilamutu,tua-fafine,"tuafafine fetau taina, tua-gane, faka-tua-gane",tua-tina,taina,tua-gane,"fetau-taina, uso","matua sa, matua tau-aitu",tamana,tamana,tamana,maatua,maatua,maatua,tamana,"matua sa, matua tau-aitu",tamana,"matua sa, matua tau-aitu","matua sa, matua tau-aitu",maatua,maatua,maatua,tamana
2,0.3861850164234686,1.0648409968573884,0.6786559804339198,"taina fetau taina, taina, tua-fafin, faka-tua-fafine",tua-tina,taina,tua-gane,"ilamutu, taina","taina fetau taina, taina, tua-fafin, faka-tua-fafine","tuafafine fetau taina, tua-fafin, faka-tua-fafine","ilamutu, taina","fai-tua-fafine, tua-tina",taina,taina,"tuafafine fetau taina, tua-gane, faka-tua-gane",tua-fafine,"ilamutu, fai-tua-fafine",taina,taina,"tuafafine fetau taina, tua-gane, faka-tua-gane",taina,"ilamutu, fai-tuagane","ilamutu, fai-tuagane",tua-tina,"ilamutu, fai-tua-fafine",ilamutu,tua-tina,"taina fetau taina, taina, tua-fafin, faka-tua-fafine",tua-tina,tua-tina,"tuafafine fetau taina, tua-fafin, faka-tua-fafine","taina fetau taina, taina, tua-fafin, faka-tua-fafine","taina fetau taina, faka-tua-gane","fai-tua-fafine, tua-tina","fetau-taina, uso",tua-tina,"fai-tua-fafine, tua-tina",tua-tina,tua-gane,"fai-tuagane, tua-tina","fai-tua-fafine, tua-tina","ilamutu, fai-tua-fafine","tuafafine fetau taina, tua-gane, faka-tua-gane","fetau-taina, uso","taina fetau taina, faka-tua-gane","ilamutu, taina","fai-tuagane, tua-tina","taina fetau taina, faka-tua-gane",taina,"tuafafine fetau taina, tua-fafin, faka-tua-fafine",tua-fafine,taina,"fetau-taina, uso","taina fetau taina, taina, tua-fafin, faka-tua-fafine",ilamutu,"ilamutu, fai-tua-fafine","tuafafine fetau taina, tua-fafin, faka-tua-fafine","tuafafine fetau taina, tua-fafin, faka-tua-fafine","ilamutu, fai-tuagane",tua-tina,"taina fetau taina, faka-tua-gane","fai-tuagane, tua-tina","ilamutu, taina","fai-tua-fafine, tua-tina",tua-tina,"tuafafine fetau taina, tua-gane, faka-tua-gane",taina,ilamutu,ilamutu,taina,taina,taina,"fai-tuagane, tua-tina","ilamutu, fai-tua-fafine","ilamutu, fai-tuagane",taina,taina,tua-tina,"ilamutu, fai-tuagane","taina fetau taina, faka-tua-gane",ilamutu,"fai-tuagane, tua-tina","ilamutu, taina",taina,tamana,tamana,maatua,tamana,maatua,maatua,"matua sa, matua tau-aitu","matua sa, matua tau-aitu","matua sa, matua tau-aitu",tamana,"matua sa, matua tau-aitu",tamana,maatua,maatua,tamana,maatua
3,0.4772673879468865,1.0648409968573884,0.5875736089105019,"tuafafine fetau taina, tua-fafin, faka-tua-fafine","fai-tuagane, tua-tina",taina,taina,taina,tua-tina,"taina fetau taina, faka-tua-gane","ilamutu, fai-tuagane",taina,"tuafafine fetau taina, tua-fafin, faka-tua-fafine","taina fetau taina, taina, tua-fafin, faka-tua-fafine","taina fetau taina, taina, tua-fafin, faka-tua-fafine","ilamutu, fai-tua-fafine","fai-tua-fafine, tua-tina","fai-tuagane, tua-tina","taina fetau taina, taina, tua-fafin, faka-tua-fafine","fai-tua-fafine, tua-tina","ilamutu, fai-tuagane","ilamutu, fai-tuagane","tuafafine fetau taina, tua-gane, faka-tua-gane",taina,taina,ilamutu,"fai-tua-fafine, tua-tina","ilamutu, fai-tuagane",tua-fafine,ilamutu,ilamutu,"ilamutu, taina","tuafafine fetau taina, tua-gane, faka-tua-gane","tuafafine fetau taina, tua-fafin, faka-tua-fafine",taina,tua-gane,"ilamutu, fai-tuagane",tua-tina,tua-tina,"ilamutu, taina","taina fetau taina, faka-tua-gane",taina,"taina fetau taina, faka-tua-gane","taina fetau taina, taina, tua-fafin, faka-tua-fafine",tua-fafine,"ilamutu, taina","taina fetau taina, taina, tua-fafin, faka-tua-fafine","ilamutu, fai-tua-fafine",tua-tina,taina,taina,"tuafafine fetau taina, tua-fafin, faka-tua-fafine","fetau-taina, uso","fai-tuagane, tua-tina",taina,"tuafafine fetau taina, tua-fafin, faka-tua-fafine",tua-tina,taina,"fai-tuagane, tua-tina","fai-tuagane, tua-tina","tuafafine fetau taina, tua-gane, faka-tua-gane",tua-tina,taina,"tuafafine fetau taina, tua-gane, faka-tua-gane","ilamutu, fai-tua-fafine",tua-tina,"taina fetau taina, faka-tua-gane",taina,tua-tina,"ilamutu, fai-tua-fafine",tua-gane,"ilamutu, taina","fai-tua-fafine, tua-tina","fetau-taina, uso","fetau-taina, uso",ilamutu,"ilamutu, taina",taina,ilamutu,tua-tina,"fai-tua-fafine, tua-tina","taina fetau taina, faka-tua-gane",tua-tina,"ilamutu, fai-tua-fafine","matua sa, matua tau-aitu",maatua,tamana,maatua,tamana,tamana,maatua,tamana,maatua,maatua,tamana,"matua sa, matua tau-aitu","matua sa, matua tau-aitu",tamana,maatua,"matua sa, matua tau-aitu"
4,0.4184985346164989,1.0648409968573884,0.6463424622408895,tua-tina,"taina fetau taina, taina, tua-fafin, faka-tua-fafine","taina fetau taina, faka-tua-gane","fai-tua-fafine, tua-tina","fai-tua-fafine, tua-tina","ilamutu, fai-tua-fafine",taina,"ilamutu, fai-tua-fafine","tuafafine fetau taina, tua-fafin, faka-tua-fafine","tuafafine fetau taina, tua-gane, faka-tua-gane",taina,"taina fetau taina, taina, tua-fafin, faka-tua-fafine","tuafafine fetau taina, tua-fafin, faka-tua-fafine","fai-tuagane, tua-tina","fetau-taina, uso",taina,"fai-tuagane, tua-tina","taina fetau taina, taina, tua-fafin, faka-tua-fafine",taina,"tuafafine fetau taina, tua-fafin, faka-tua-fafine",taina,"tuafafine fetau taina, tua-gane, faka-tua-gane",tua-tina,"ilamutu, fai-tua-fafine","taina fetau taina, faka-tua-gane","ilamutu, taina","tuafafine fetau taina, tua-fafin, faka-tua-fafine",taina,taina,ilamutu,tua-tina,tua-tina,tua-fafine,"ilamutu, fai-tuagane","ilamutu, fai-tuagane",tua-gane,"tuafafine fetau taina, tua-gane, faka-tua-gane","taina fetau taina, faka-tua-gane","fai-tua-fafine, tua-tina","ilamutu, fai-tua-fafine","ilamutu, fai-tuagane","taina fetau taina, faka-tua-gane",ilamutu,"ilamutu, taina","fetau-taina, uso","fai-tua-fafine, tua-tina","fetau-taina, uso",tua-tina,"ilamutu, fai-tua-fafine",taina,"fai-tuagane, tua-tina",tua-tina,"fai-tuagane, tua-tina","fai-tuagane, tua-tina",taina,"taina fetau taina, faka-tua-gane","fai-tua-fafine, tua-tina",ilamutu,"ilamutu, fai-tuagane","taina fetau taina, taina, tua-fafin, faka-tua-fafine",taina,taina,tua-tina,ilamutu,tua-tina,"taina fetau taina, taina, tua-fafin, faka-tua-fafine",tua-tina,taina,"ilamutu, fai-tuagane","ilamutu, taina","tuafafine fetau taina, tua-fafin, faka-tua-fafine","ilamutu, taina",tua-fafine,taina,tua-gane,ilamutu,taina,"tuafafine fetau taina, tua-gane, faka-tua-gane",tua-tina,taina,"ilamutu, taina",tamana,tamana,maatua,tamana,maatua,tamana,maatua,"matua sa, matua tau-aitu",tamana,maatua,tamana,"matua sa, matua tau-aitu",maatua,maatua,"matua sa, matua tau-aitu","matua sa, matua tau-aitu"
5,0.3762209194924738,1.081163713485801,0.7049427939933272,"fai-tuagane, tua-tina",taina,tua-tina,"tuafafine fetau taina, tua-fafin, faka-tua-fafine",taina,tua-tina,"tuafafine fetau taina, tua-fafin, faka-tua-fafine","ilamutu, fai-tua-fafine","fai-tuagane, tua-tina","tuafafine fetau taina, tua-fafin, faka-tua-fafine","ilamutu, fai-tuagane",taina,"taina fetau taina, taina, tua-fafin, faka-tua-fafine","ilamutu, fai-tua-fafine","taina fetau taina, taina, tua-fafin, faka-tua-fafine","fai-tua-fafine, tua-tina","ilamutu, fai-tuagane","ilamutu, taina",tua-fafine,"fai-tua-fafine, tua-tina","fetau-taina, uso","fai-tua-fafine, tua-tina","ilamutu, fai-tuagane",tua-gane,tua-tina,taina,"fai-tuagane, tua-tina","ilamutu, fai-tuagane",taina,ilamutu,taina,taina,"taina fetau taina, faka-tua-gane","tuafafine fetau taina, tua-fafin, faka-tua-fafine",ilamutu,"fai-tua-fafine, tua-tina","fai-tuagane, tua-tina",tua-tina,"ilamutu, taina","taina fetau taina, taina, tua-fafin, faka-tua-fafine","tuafafine fetau taina, tua-gane, faka-tua-gane",ilamutu,"ilamutu, taina","taina fetau taina, faka-tua-gane",tua-tina,"ilamutu, taina",taina,"tuafafine fetau taina, tua-gane, faka-tua-gane","tuafafine fetau taina, tua-gane, faka-tua-gane",taina,"fetau-taina, uso","taina fetau taina, taina, tua-fafin, faka-tua-fafine",taina,taina,taina,"ilamutu, fai-tua-fafine","fetau-taina, uso",tua-tina,taina,"taina fetau taina, faka-tua-gane",tua-tina,tua-fafine,"ilamutu, fai-tua-fafine",tua-tina,"taina fetau taina, faka-tua-gane","ilamutu, fai-tuagane",tua-tina,"taina fetau taina, taina, tua-fafin, faka-tua-fafine","ilamutu, taina","ilamutu, fai-tua-fafine","fai-tuagane, tua-tina","fai-tua-fafine, tua-tina",taina,"tuafafine fetau taina, tua-gane, faka-tua-gane",tua-tina,ilamutu,"taina fetau taina, faka-tua-gane",taina,tua-gane,ilamutu,"tuafafine fetau taina, tua-fafin, faka-tua-fafine",tamana,tamana,tamana,maatua,tamana,"matua sa, matua tau-aitu","matua sa, matua tau-aitu",tamana,maatua,maatua,maatua,maatua,"matua sa, matua tau-aitu",maatua,tamana,"matua sa, matua tau-aitu"
6,0.4460253532606302,1.0843917254939652,0.638366372233335,"tuafafine fetau taina, tua-gane, faka-tua-gane","ilamutu, taina","taina fetau taina, taina, tua-fafin, faka-tua-fafine",tua-tina,taina,"ilamutu, taina",taina,"tuafafine fetau taina, tua-gane, faka-tua-gane",taina,ilamutu,tua-fafine,"fetau-taina, uso","taina fetau taina, faka-tua-gane",tua-fafine,"ilamutu, fai-tuagane",taina,taina,"fetau-taina, uso",taina,"ilamutu, fai-tuagane",tua-gane,taina,taina,"fai-tua-fafine, tua-tina","fai-tua-fafine, tua-tina","fai-tuagane, tua-tina","taina fetau taina, faka-tua-gane","taina fetau taina, faka-tua-gane",ilamutu,"tuafafine fetau taina, tua-fafin, faka-tua-fafine","fai-tua-fafine, tua-tina",tua-tina,"ilamutu, fai-tua-fafine","ilamutu, taina",ilamutu,"fai-tuagane, tua-tina","ilamutu, fai-tua-fafine","tuafafine fetau taina, tua-fafin, faka-tua-fafine",tua-tina,tua-gane,"tuafafine fetau taina, tua-fafin, faka-tua-fafine",taina,"ilamutu, fai-tua-fafine",tua-tina,"taina fetau taina, taina, tua-fafin, faka-tua-fafine","ilamutu, taina","tuafafine fetau taina, tua-fafin, faka-tua-fafine","taina fetau taina, taina, tua-fafin, faka-tua-fafine","ilamutu, fai-tua-fafine",taina,taina,"tuafafine fetau taina, tua-fafin, faka-tua-fafine","fai-tuagane, tua-tina","taina fetau taina, faka-tua-gane","ilamutu, taina",tua-tina,"taina fetau taina, taina, tua-fafin, faka-tua-fafine",ilamutu,tua-tina,tua-tina,"tuafafine fetau taina, tua-gane, faka-tua-gane",taina,tua-tina,taina,taina,"ilamutu, fai-tua-fafine","fai-tua-fafine, tua-tina","taina fetau taina, taina, tua-fafin, faka-tua-fafine",ilamutu,"ilamutu, fai-tuagane",tua-tina,"taina fetau taina, faka-tua-gane","fetau-taina, uso","fai-tuagane, tua-tina","tuafafine fetau taina, tua-gane, faka-tua-gane",tua-tina,"ilamutu, fai-tuagane",taina,"fai-tuagane, tua-tina","ilamutu, fai-tuagane","fai-tua-fafine, tua-tina",tamana,tamana,"matua sa, matua tau-aitu",maatua,tamana,maatua,maatua,maatua,"matua sa, matua tau-aitu","matua sa, matua tau-aitu",tamana,tamana,maatua,maatua,tamana,"matua sa, matua tau-aitu"
7,0.5685962545631458,1.081163713485801,0.5125674589226552,"fai-tua-fafine, tua-tina",tua-fafine,"fai-tuagane, tua-tina","ilamutu, fai-tua-fafine","tuafafine fetau taina, tua-fafin, faka-tua-fafine","tuafafine fetau taina, tua-fafin, faka-tua-fafine","taina fetau taina, taina, tua-fafin, faka-tua-fafine",taina,"fai-tuagane, tua-tina",tua-tina,"ilamutu, fai-tuagane","tuafafine fetau taina, tua-gane, faka-tua-gane",taina,"ilamutu, fai-tua-fafine",tua-tina,taina,ilamutu,"ilamutu, fai-tuagane",tua-tina,"taina fetau taina, faka-tua-gane",tua-tina,taina,"ilamutu, fai-tuagane",ilamutu,"tuafafine fetau taina, tua-fafin, faka-tua-fafine",taina,"taina fetau taina, faka-tua-gane",taina,"tuafafine fetau taina, tua-fafin, faka-tua-fafine",tua-tina,taina,tua-tina,tua-tina,taina,"taina fetau taina, faka-tua-gane","tuafafine fetau taina, tua-gane, faka-tua-gane","ilamutu, taina","fai-tuagane, tua-tina","fai-tua-fafine, tua-tina",taina,"ilamutu, fai-tuagane","fai-tuagane, tua-tina","fai-tua-fafine, tua-tina","fai-tua-fafine, tua-tina","ilamutu, taina","ilamutu, taina",tua-gane,"fetau-taina, uso","ilamutu, fai-tuagane","taina fetau taina, faka-tua-gane",taina,"taina fetau taina, faka-tua-gane",tua-tina,taina,"tuafafine fetau taina, tua-gane, faka-tua-gane","fai-tuagane, tua-tina","taina fetau taina, taina, tua-fafin, faka-tua-fafine","taina fetau taina, taina, tua-fafin, faka-tua-fafine","ilamutu, fai-tua-fafine","fetau-taina, uso",tua-tina,"taina fetau taina, taina, tua-fafin, faka-tua-fafine",taina,"ilamutu, taina","tuafafine fetau taina, tua-gane, faka-tua-gane",taina,tua-gane,ilamutu,tua-fafine,"taina fetau taina, taina, tua-fafin, faka-tua-fafine","fetau-taina, uso","ilamutu, fai-tua-fafine",ilamutu,tua-tina,"fai-tua-fafine, tua-tina","ilamutu, taina",taina,"ilamutu, fai-tua-fafine",taina,ilamutu,"tuafafine fetau taina, tua-fafin, faka-tua-fafine",tamana,"matua sa, matua tau-aitu",tamana,maatua,maatua,"matua sa, matua tau-aitu",tamana,"matua sa, matua tau-aitu",maatua,maatua,maatua,maatua,tamana,tamana,"matua sa, matua tau-aitu",tamana
8,0.3793039839105343,1.0923286127544831,0.7130246288439488,"fai-tua-fafine, tua-tina","fetau-taina, uso","ilamutu, fai-tua-fafine",ilamutu,"tuafafine fetau taina, tua-gane, faka-tua-gane",tua-tina,"ilamutu, fai-tuagane","fai-tua-fafine, tua-tina",tua-gane,taina,"ilamutu, fai-tua-fafine",taina,"taina fetau taina, faka-tua-gane",taina,tua-tina,"ilamutu, fai-tua-fafine","taina fetau taina, faka-tua-gane",tua-tina,taina,"fai-tuagane, tua-tina","ilamutu, fai-tuagane","fetau-taina, uso","tuafafine fetau taina, tua-gane, faka-tua-gane","tuafafine fetau taina, tua-fafin, faka-tua-fafine","taina fetau taina, taina, tua-fafin, faka-tua-fafine",taina,"taina fetau taina, faka-tua-gane",taina,ilamutu,tua-fafine,ilamutu,"fai-tuagane, tua-tina","fai-tua-fafine, tua-tina","ilamutu, fai-tuagane",tua-tina,tua-tina,tua-tina,taina,"fai-tuagane, tua-tina","fai-tua-fafine, tua-tina","tuafafine fetau taina, tua-fafin, faka-tua-fafine","ilamutu, taina","tuafafine fetau taina, tua-gane, faka-tua-gane","ilamutu, fai-tua-fafine","ilamutu, fai-tuagane",taina,"ilamutu, fai-tua-fafine",taina,tua-tina,taina,"ilamutu, taina",tua-tina,ilamutu,tua-tina,tua-tina,"taina fetau taina, taina, tua-fafin, faka-tua-fafine",tua-fafine,"tuafafine fetau taina, tua-fafin, faka-tua-fafine","ilamutu, taina","fai-tua-fafine, tua-tina",taina,"tuafafine fetau taina, tua-fafin, faka-tua-fafine","ilamutu, fai-tuagane","ilamutu, taina","fai-tuagane, tua-tina",taina,"taina fetau taina, taina, tua-fafin, faka-tua-fafine",tua-gane,"fai-tuagane, tua-tina","fetau-taina, uso","ilamutu, taina","taina fetau taina, taina, tua-fafin, faka-tua-fafine","taina fetau taina, taina, tua-fafin, faka-tua-fafine","tuafafine fetau taina, tua-fafin, faka-tua-fafine",taina,taina,ilamutu,"tuafafine fetau taina, tua-gane, faka-tua-gane",taina,"taina fetau taina, faka-tua-gane","taina fetau taina, faka-tua-gane",tamana,maatua,"matua sa, matua tau-aitu",maatua,"matua sa, matua tau-aitu","matua sa, matua tau-aitu",tamana,maatua,"matua sa, matua tau-aitu",tamana,tamana,maatua,tamana,maatua,maatua,tamana
9,0.3896328289108649,1.0334920606923674,0.6438592317815025,tua-tina,"ilamutu, fai-tuagane","fetau-taina, uso","taina fetau taina, faka-tua-gane",tua-gane,tua-tina,tua-tina,taina,"fai-tuagane, tua-tina",tua-tina,"taina fetau taina, taina, tua-fafin, faka-tua-fafine","fai-tuagane, tua-tina",taina,"ilamutu, fai-tua-fafine",ilamutu,ilamutu,tua-tina,"ilamutu, taina","tuafafine fetau taina, tua-gane, faka-tua-gane","taina fetau taina, taina, tua-fafin, faka-tua-fafine","fai-tuagane, tua-tina","taina fetau taina, faka-tua-gane","fai-tua-fafine, tua-tina",taina,taina,taina,taina,"tuafafine fetau taina, tua-fafin, faka-tua-fafine",taina,"ilamutu, fai-tua-fafine",tua-fafine,"fai-tua-fafine, tua-tina","tuafafine fetau taina, tua-fafin, faka-tua-fafine","taina fetau taina, taina, tua-fafin, faka-tua-fafine",taina,tua-tina,"taina fetau taina, taina, tua-fafin, faka-tua-fafine","tuafafine fetau taina, tua-fafin, faka-tua-fafine","taina fetau taina, taina, tua-fafin, faka-tua-fafine",taina,"fetau-taina, uso","tuafafine fetau taina, tua-gane, faka-tua-gane",ilamutu,taina,ilamutu,"tuafafine fetau taina, tua-fafin, faka-tua-fafine","ilamutu, taina","fai-tua-fafine, tua-tina","taina fetau taina, faka-tua-gane",taina,"fai-tua-fafine, tua-tina",taina,"ilamutu, fai-tuagane",taina,"tuafafine fetau taina, tua-fafin, faka-tua-fafine","ilamutu, taina","ilamutu, fai-tua-fafine",taina,tua-tina,tua-gane,tua-fafine,tua-tina,"fetau-taina, uso","ilamutu, fai-tuagane","ilamutu, fai-tua-fafine","tuafafine fetau taina, tua-gane, faka-tua-gane",tua-tina,"fai-tuagane, tua-tina","taina fetau taina, faka-tua-gane","ilamutu, fai-tua-fafine","fai-tuagane, tua-tina",tua-tina,"taina fetau taina, faka-tua-gane","ilamutu, fai-tuagane","ilamutu, fai-tuagane","ilamutu, taina","fai-tua-fafine, tua-tina","tuafafine fetau taina, tua-gane, faka-tua-gane",taina,"ilamutu, taina",ilamutu,maatua,maatua,tamana,tamana,tamana,maatua,"matua sa, matua tau-aitu",maatua,tamana,tamana,"matua sa, matua tau-aitu","matua sa, matua tau-aitu",tamana,"matua sa, matua tau-aitu",maatua,maatua
