simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,feB,fyB,feZ,fyZ,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,mMB,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fMB,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.3612736557301397,1.86015367449177,1.4988800187616302,ngunpal,tyuway,nguuthuurr,ngamu,tyuway,nguuthuurr,garga,nguuthuurr,ngamu,ngunpal,kanal,tyuway,ngamu,ngunpal,tyuway,ngamu,ngamu,tyuway,yapa,yapa,ngamu,nguuthuurr,nguuthuurr,ngunpal,ngamu,ngunpal,ngunpal,ngunpal,nguuthuurr,ngamu,tyuway,tyuway,ngunpal,nguuthuurr,tyuway,tyuway,ngamu,dirnggur,ngunpal,nguuthuurr,ngamu,kanal,tyuway,nguuthuurr,nguuthuurr,dirnggur,garga,ngunpal,beba,ngulmpurr,ngunpal,mukakay,bemor,mukakay,beba,bemor,mukakay,beba,ngunpal,ngamu,ngakumatharr,mogur,ngulmpurr,mogur,mukakay,ngakumatharr,beba,ngamu,ngakumatharr,ngakumatharr
1,0.4457691169110234,1.8711610850673681,1.4253919681563447,nguuthuurr,yapa,nguuthuurr,nguuthuurr,ngamu,tyuway,ngamu,ngamu,ngunpal,ngamu,nguuthuurr,tyuway,nguuthuurr,ngunpal,kanal,tyuway,ngunpal,ngunpal,dirnggur,kanal,ngamu,nguuthuurr,ngamu,tyuway,tyuway,ngunpal,tyuway,ngunpal,yapa,garga,tyuway,nguuthuurr,ngamu,ngunpal,nguuthuurr,ngunpal,ngamu,nguuthuurr,ngunpal,tyuway,tyuway,dirnggur,nguuthuurr,ngunpal,ngamu,garga,tyuway,ngamu,beba,ngunpal,bemor,ngulmpurr,ngamu,bemor,ngunpal,mogur,beba,beba,mukakay,ngulmpurr,beba,ngakumatharr,mukakay,ngakumatharr,mukakay,mogur,ngamu,ngakumatharr,ngakumatharr,mukakay
2,0.5708694220788748,1.9693755824733234,1.3985061603944486,nguuthuurr,ngunpal,ngamu,yapa,ngamu,ngunpal,kanal,ngunpal,dirnggur,tyuway,tyuway,ngunpal,tyuway,ngamu,ngamu,kanal,nguuthuurr,tyuway,nguuthuurr,ngunpal,garga,tyuway,ngunpal,nguuthuurr,garga,tyuway,ngamu,ngunpal,nguuthuurr,ngamu,nguuthuurr,tyuway,ngamu,ngunpal,nguuthuurr,tyuway,ngamu,nguuthuurr,yapa,nguuthuurr,dirnggur,ngamu,ngunpal,tyuway,tyuway,ngamu,nguuthuurr,ngunpal,mukakay,ngakumatharr,mogur,ngulmpurr,beba,mogur,ngunpal,mukakay,ngakumatharr,ngakumatharr,beba,ngakumatharr,beba,bemor,beba,mukakay,bemor,ngamu,ngamu,ngunpal,mukakay,ngulmpurr
3,0.7808210074388382,1.9393080878065787,1.1584870803677405,ngunpal,ngamu,ngunpal,ngunpal,tyuway,nguuthuurr,ngamu,ngamu,tyuway,garga,dirnggur,kanal,nguuthuurr,ngunpal,ngamu,ngunpal,ngamu,nguuthuurr,ngunpal,ngamu,ngunpal,ngamu,ngamu,ngamu,ngunpal,ngunpal,tyuway,yapa,tyuway,tyuway,ngamu,ngunpal,tyuway,kanal,nguuthuurr,nguuthuurr,tyuway,nguuthuurr,yapa,garga,nguuthuurr,nguuthuurr,tyuway,tyuway,tyuway,nguuthuurr,nguuthuurr,dirnggur,ngunpal,ngakumatharr,mukakay,mogur,mukakay,beba,ngakumatharr,ngakumatharr,ngakumatharr,ngamu,ngamu,beba,mogur,beba,mukakay,mukakay,beba,bemor,ngunpal,ngulmpurr,ngulmpurr,bemor
4,0.4999536525712087,1.9371824701214488,1.4372288175502401,nguuthuurr,ngunpal,ngamu,yapa,kanal,dirnggur,tyuway,nguuthuurr,tyuway,ngunpal,ngunpal,nguuthuurr,tyuway,tyuway,ngamu,ngamu,nguuthuurr,garga,ngunpal,tyuway,nguuthuurr,ngamu,garga,ngunpal,ngamu,nguuthuurr,nguuthuurr,tyuway,ngunpal,tyuway,ngamu,ngunpal,nguuthuurr,tyuway,ngamu,dirnggur,ngunpal,ngamu,ngamu,kanal,nguuthuurr,nguuthuurr,ngamu,tyuway,yapa,tyuway,ngunpal,ngunpal,mukakay,mukakay,mogur,ngakumatharr,ngunpal,ngunpal,ngamu,beba,mogur,beba,bemor,ngamu,beba,beba,bemor,ngakumatharr,ngakumatharr,ngulmpurr,mukakay,ngakumatharr,ngulmpurr,mukakay
5,0.4316790898730811,1.8334941675471566,1.4018150776740754,ngunpal,ngamu,yapa,tyuway,tyuway,nguuthuurr,tyuway,ngunpal,tyuway,tyuway,nguuthuurr,nguuthuurr,yapa,ngamu,tyuway,tyuway,ngamu,ngunpal,ngunpal,kanal,ngunpal,ngunpal,ngamu,dirnggur,nguuthuurr,kanal,tyuway,nguuthuurr,ngamu,tyuway,nguuthuurr,ngamu,ngamu,ngamu,ngunpal,nguuthuurr,ngamu,ngamu,ngunpal,garga,ngunpal,dirnggur,ngunpal,nguuthuurr,nguuthuurr,garga,nguuthuurr,tyuway,ngulmpurr,beba,bemor,mogur,ngunpal,ngamu,bemor,mukakay,ngakumatharr,beba,mukakay,ngulmpurr,ngakumatharr,ngakumatharr,mogur,ngakumatharr,beba,ngunpal,mukakay,ngamu,mukakay,beba
6,0.35663762769878615,1.9629194881258598,1.6062818604270737,garga,nguuthuurr,nguuthuurr,ngamu,ngunpal,tyuway,ngunpal,ngunpal,nguuthuurr,tyuway,ngamu,tyuway,ngamu,nguuthuurr,ngunpal,ngamu,ngunpal,nguuthuurr,tyuway,yapa,ngamu,ngunpal,tyuway,nguuthuurr,tyuway,ngunpal,tyuway,ngamu,tyuway,nguuthuurr,ngunpal,ngamu,ngamu,nguuthuurr,ngamu,ngunpal,dirnggur,ngunpal,nguuthuurr,ngamu,kanal,tyuway,dirnggur,yapa,nguuthuurr,tyuway,kanal,garga,mogur,ngakumatharr,ngamu,ngakumatharr,ngulmpurr,beba,mukakay,ngunpal,mukakay,ngakumatharr,bemor,mogur,ngulmpurr,ngakumatharr,beba,bemor,mukakay,beba,beba,mukakay,ngamu,ngunpal
7,0.545815599181948,1.885697641561878,1.33988204237993,kanal,ngamu,tyuway,ngamu,ngamu,ngunpal,nguuthuurr,ngunpal,ngunpal,dirnggur,tyuway,yapa,tyuway,nguuthuurr,dirnggur,tyuway,tyuway,ngamu,ngamu,ngunpal,nguuthuurr,nguuthuurr,ngunpal,ngamu,ngamu,ngamu,kanal,tyuway,tyuway,nguuthuurr,ngamu,ngunpal,nguuthuurr,ngunpal,ngunpal,tyuway,ngamu,garga,nguuthuurr,nguuthuurr,tyuway,garga,ngunpal,ngunpal,nguuthuurr,nguuthuurr,tyuway,yapa,beba,ngakumatharr,ngakumatharr,ngunpal,ngakumatharr,ngakumatharr,mogur,mukakay,ngunpal,bemor,mukakay,ngamu,ngulmpurr,mogur,beba,mukakay,ngamu,bemor,beba,beba,ngulmpurr,mukakay
8,0.6085591163746953,1.7858217528930245,1.1772626365183292,ngamu,yapa,nguuthuurr,nguuthuurr,nguuthuurr,nguuthuurr,dirnggur,ngunpal,tyuway,nguuthuurr,tyuway,ngunpal,ngamu,ngunpal,nguuthuurr,ngunpal,ngamu,tyuway,ngamu,nguuthuurr,ngamu,ngamu,nguuthuurr,kanal,tyuway,ngunpal,garga,nguuthuurr,ngunpal,ngunpal,ngamu,nguuthuurr,tyuway,ngamu,tyuway,tyuway,ngunpal,kanal,garga,yapa,ngunpal,tyuway,ngamu,ngamu,tyuway,dirnggur,tyuway,ngunpal,beba,ngakumatharr,mogur,ngulmpurr,ngamu,mukakay,ngakumatharr,ngakumatharr,ngamu,beba,ngulmpurr,ngunpal,mukakay,ngakumatharr,beba,bemor,mukakay,mukakay,ngunpal,mogur,beba,bemor
9,0.5388378178498934,1.8607916354914138,1.3219538176415204,tyuway,tyuway,ngunpal,tyuway,nguuthuurr,tyuway,ngunpal,nguuthuurr,tyuway,tyuway,nguuthuurr,ngunpal,ngunpal,nguuthuurr,ngamu,kanal,tyuway,garga,ngunpal,ngamu,nguuthuurr,ngamu,dirnggur,ngamu,yapa,dirnggur,tyuway,garga,ngunpal,ngunpal,ngunpal,yapa,ngamu,ngamu,nguuthuurr,ngamu,ngunpal,kanal,nguuthuurr,ngamu,tyuway,ngamu,nguuthuurr,nguuthuurr,nguuthuurr,ngamu,ngunpal,tyuway,ngunpal,mogur,ngakumatharr,ngamu,ngulmpurr,mukakay,ngunpal,mogur,mukakay,mukakay,beba,bemor,beba,ngakumatharr,ngakumatharr,beba,bemor,mukakay,ngamu,ngakumatharr,beba,ngulmpurr
