simulation_number,mutual_information,entropy,conditional_entropy,myB,myZ,fyB,fyZ,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.07083074943292744,0.9950269901795212,0.9241962407465938,anyaɬiŋ,anyaɬiŋ,anyaɬiŋ,anyaɬiŋ,ankin,ankin,apyaha,ankin,anyapoŋ,ankin,apyaha,apyapka,ankatim,apyapka,ankatim,apyaha,apyaha,anyapoŋ,apyaha,apyapka,ankin,ankin,apyaha,ankin,apyapka,ankin,ankatim,ankatim,ankatim,apyapka,apyapka,ankatim
1,0.07083074943292755,0.6869615765973234,0.6161308271643958,anyaɬiŋ,anyaɬiŋ,anyaɬiŋ,anyaɬiŋ,ankin,ankin,ankatim,apyaha,apyaha,ankatim,apyaha,ankatim,apyapka,apyapka,ankin,apyapka,ankatim,anyapoŋ,apyapka,apyapka,ankin,apyaha,ankin,ankin,apyapka,ankin,ankatim,ankin,ankatim,apyaha,apyaha,anyapoŋ
2,0.07083074943292744,0.9950269901795212,0.9241962407465938,anyaɬiŋ,anyaɬiŋ,anyaɬiŋ,anyaɬiŋ,ankin,apyaha,apyapka,ankin,apyapka,ankatim,apyaha,anyapoŋ,apyaha,ankatim,ankin,ankatim,apyapka,ankin,ankin,anyapoŋ,ankin,apyapka,apyaha,ankatim,ankin,apyaha,apyapka,ankatim,ankatim,apyaha,ankin,apyapka
3,0.13666070641142758,1.0608569471580214,0.9241962407465938,anyaɬiŋ,anyaɬiŋ,anyaɬiŋ,anyaɬiŋ,apyaha,ankin,ankin,apyapka,apyaha,ankin,apyaha,ankin,ankatim,ankin,ankatim,ankatim,ankatim,apyaha,ankin,apyapka,apyapka,ankatim,apyapka,apyapka,anyapoŋ,apyapka,anyapoŋ,ankin,apyaha,ankatim,apyaha,ankin
4,0.07083074943292755,0.6869615765973234,0.6161308271643958,anyaɬiŋ,anyaɬiŋ,anyaɬiŋ,anyaɬiŋ,apyapka,ankin,ankin,anyapoŋ,anyapoŋ,ankatim,ankin,apyapka,ankatim,ankatim,ankatim,apyapka,ankin,apyaha,apyapka,ankin,apyaha,ankatim,apyapka,apyaha,ankatim,apyaha,ankin,ankin,ankin,apyaha,apyapka,apyaha
5,0.13666070641142758,1.3689223607402192,1.2322616543287916,anyaɬiŋ,anyaɬiŋ,anyaɬiŋ,anyaɬiŋ,apyapka,ankin,anyapoŋ,ankin,ankatim,apyapka,apyaha,ankin,apyaha,ankatim,apyapka,ankin,ankin,apyaha,anyapoŋ,apyaha,apyapka,apyapka,ankatim,ankatim,ankin,ankatim,apyapka,ankatim,ankin,ankin,apyaha,apyaha
6,0.13666070641142758,1.0608569471580214,0.9241962407465938,anyaɬiŋ,anyaɬiŋ,anyaɬiŋ,anyaɬiŋ,apyaha,apyapka,ankin,apyaha,ankatim,ankatim,ankin,ankin,apyaha,apyaha,ankin,ankatim,apyaha,apyapka,apyapka,ankin,ankatim,apyapka,apyaha,anyapoŋ,anyapoŋ,ankin,ankin,ankatim,apyapka,ankin,ankatim,apyapka
7,0.07083074943292744,0.9950269901795212,0.9241962407465938,anyaɬiŋ,anyaɬiŋ,anyaɬiŋ,anyaɬiŋ,apyaha,apyaha,ankatim,apyapka,apyaha,ankin,ankatim,ankin,apyapka,ankin,apyapka,ankatim,ankin,apyapka,ankatim,anyapoŋ,anyapoŋ,ankatim,apyaha,apyapka,ankin,ankin,ankatim,apyaha,ankin,apyapka,ankin,apyaha
8,0.07083074943292755,0.6869615765973234,0.6161308271643958,anyaɬiŋ,anyaɬiŋ,anyaɬiŋ,anyaɬiŋ,ankatim,apyaha,ankin,apyapka,apyapka,ankin,ankin,ankatim,apyaha,apyapka,ankatim,ankatim,anyapoŋ,ankin,ankatim,apyaha,apyapka,ankin,anyapoŋ,ankatim,apyaha,apyaha,apyapka,ankin,ankin,apyaha,apyapka,ankin
9,0.07083074943292744,0.9950269901795212,0.9241962407465938,anyaɬiŋ,anyaɬiŋ,anyaɬiŋ,anyaɬiŋ,apyaha,ankin,ankin,apyapka,ankatim,ankin,anyapoŋ,ankatim,apyaha,ankin,apyapka,apyapka,ankatim,apyapka,apyaha,apyapka,apyaha,ankin,ankin,apyapka,ankatim,ankatim,ankin,apyaha,ankatim,ankin,anyapoŋ,apyaha
