simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.049923595135743404,0.8157473709651422,0.7658237758293988,,a'an,,,,,,,,,,,,,,,,,,warin,,,,,,,uran,,,,uran,uran,,,,,,,a'an,,,,,,a'an,,,,,,,,,,,,warin,,uran,,warin,,,,,,uran,,,,,,,,a'an,,,,a'an,,warin,,,,warin,,,,,,,,,,renan,,,,,,,avan,renan,,,yaman,,,memen,,,,yaman,,,,,
1,0.03497120727066627,0.7554844398059319,0.7205132325352657,,,,,,,,,,,,,,,,warin,warin,uran,,,,,warin,,,,,,,,a'an,,,,,,,a'an,,,,,uran,,a'an,,,,uran,,,,,,,,,,,,,,,,warin,,,,,,,,uran,,,,,,a'an,,,,,,,warin,a'an,uran,,,,avan,memen,,,,,,,,,,,,,,,,,,,yaman,renan,,renan,,yaman,
2,0.06089704319235989,0.8211988942067531,0.7603018510143932,,,,,,,,,,,,,,a'an,,a'an,,,,a'an,,,,,,,,uran,,,,,,,,,,a'an,,,,,warin,,,,,,,,warin,,,,,,,,,,,,,,,,,,uran,,,uran,a'an,,,,,,,warin,warin,,,,uran,uran,,warin,,,avan,yaman,,,,,,,,renan,,,,renan,memen,,,,,,,,yaman,,,,,
3,0.0849425537127797,0.7362632285705172,0.6513206748577375,,,,,,,,,,,,,,,,,a'an,uran,,,,,,,,warin,,,,,,,warin,,,,uran,,,,,,,,,,,,uran,,,,,,,,,,,,,,a'an,warin,,,,,,,a'an,uran,a'an,warin,uran,,,,,warin,,,,,,a'an,,,,,,,,,,,memen,,yaman,renan,,,,,,yaman,,,,renan,,,,,,avan,,
4,0.03543613115520494,0.7927349218814181,0.7572987907262132,,,a'an,,,,,,,,,,,,,,,,,,,warin,,,,,,,,,,,,,,uran,,,,,uran,warin,uran,,,,warin,,,,,,,,,,,,,,a'an,,,,,,,,a'an,,,warin,uran,,,uran,,,,a'an,warin,,,,,,,,,a'an,,,,,yaman,,,renan,,,memen,,yaman,renan,,,,avan,,,,,,,,,,
5,0.04039192415298598,0.8578612343912202,0.8174693102382342,warin,,,a'an,,,uran,,,,warin,,,a'an,,,,uran,,,,,uran,,,,,,,,,,,a'an,,,,,,,,,,,,,warin,,,,,,,,,warin,,,,,,,,,,uran,,a'an,,,,,,,,uran,a'an,,,,,,,,,,,,,warin,yaman,memen,renan,,,,avan,,,,,,,,,,,,,,,,,yaman,,,renan,
6,0.03375421905255527,0.7129615658799713,0.679207346827416,,,,uran,,,,,,,,,,,,warin,,,,,,,,warin,,a'an,,,,,,,,,,,,,,,uran,,a'an,a'an,uran,,,,warin,,,uran,,,a'an,,,,,warin,,,,,,,,,,,,uran,,,,a'an,,,,,warin,,,,,,,,,,,,,,,renan,yaman,memen,,,yaman,,,,,,,,,,renan,,,,,,,avan
7,0.0652584418755563,0.6751420216991276,0.6098835798235713,,,,,,,,a'an,,,,,,,,,uran,uran,,,,,,,,,,,,,,uran,a'an,,,,a'an,,,warin,,,,a'an,,,,,uran,,,,,,,,,,a'an,,,warin,uran,,,,,,,,,,,warin,warin,,,,,,,,,,,warin,,,,,,,,,,,,,,renan,yaman,,,yaman,,memen,,,,,,,,,,avan,,renan
8,0.042716036262753776,0.9131378713971887,0.8704218351344349,,,,,,,,,,,,,,,,,,,,,,,a'an,,,,,,,,,,,,,uran,,,warin,uran,,,warin,warin,a'an,,,,,a'an,uran,,,,warin,,uran,warin,,,,,a'an,,,,,uran,,,,,,,,,,,,,a'an,,,,,,,,,,renan,,,,,yaman,,,,,,,,,,,yaman,,memen,,,,,,,avan,,renan
9,0.08643940442227604,0.7018664344270231,0.6154270300047471,,,,,,,,,warin,,,,,,,,,,,,,,warin,,uran,uran,,,,,,,,,,a'an,a'an,,,warin,,,,,,uran,uran,a'an,,,,,,,,a'an,,,,,,,,,,,,,,,,,,uran,,,,,,a'an,,warin,,,,,,,,warin,,,,,,,renan,,,,memen,,,,yaman,,,,,avan,,yaman,,,renan,,,
