simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,mFBS,mFZS,mMBS,myZ,mFeBS,mFyBS,mFeZS,mFyZS,mMeBS,mMyBS,mFBeS,mFByS,mFZeS,mFZyS,mMBeS,mMByS,fB,fZ,feB,fyB,feZ,fFBS,fFZS,fMBS,fyZ,fFeBS,fFyBS,fFeZS,fFyZS,fMeBS,fMyBS,fFBeS,fFByS,fFZeS,fFZyS,fMBeS,fMByS,mF,mM,mFB,mFZ,mMB,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB
0,0.1619214311649333,1.316210297305117,1.1542888661401838,iyra,ybyra,assycuera,iyra,tutyra,tutyra,iyra,tutyra,pyquyyra,tutyra,iyra,ybyra,yquera,pyquyyra,iyra,tutyra,tutyra,enotara,assycuera,enotara,tutyra,tutyra,iyra,iyra,tutyra,tutyra,pyquyyra,iyra,pyquyyra,tutyra,iyra,tutyra,tutyra,tutyra,yquera,tutyra,tutyra,tutyra,tutyra,tutyra,tutyra,iyra,tutyra,aixé,uba,tutyra,aixé,tutyra,aixé,uba,uba,tutyra,tutyra,sy,aixé,uba,uba,uba,uba,aixé,sy,aixé,tutyra,uba
1,0.1537456621754114,1.258507785031929,1.1047621228565176,assycuera,tutyra,enotara,tutyra,tutyra,tutyra,iyra,tutyra,iyra,tutyra,tutyra,yquera,pyquyyra,iyra,pyquyyra,tutyra,tutyra,iyra,tutyra,iyra,assycuera,tutyra,tutyra,tutyra,ybyra,tutyra,ybyra,yquera,tutyra,pyquyyra,pyquyyra,iyra,iyra,tutyra,tutyra,tutyra,iyra,iyra,tutyra,iyra,enotara,tutyra,aixé,uba,uba,sy,uba,sy,tutyra,tutyra,aixé,aixé,uba,tutyra,aixé,uba,tutyra,tutyra,uba,aixé,uba,uba,tutyra,aixé
2,0.16970699475273632,1.2645457294574771,1.0948387347047408,enotara,pyquyyra,iyra,yquera,iyra,assycuera,tutyra,tutyra,tutyra,tutyra,enotara,ybyra,tutyra,yquera,iyra,iyra,pyquyyra,iyra,iyra,ybyra,pyquyyra,tutyra,iyra,tutyra,tutyra,tutyra,tutyra,tutyra,iyra,tutyra,tutyra,tutyra,tutyra,tutyra,iyra,assycuera,tutyra,pyquyyra,iyra,tutyra,tutyra,tutyra,uba,tutyra,aixé,sy,uba,uba,sy,uba,tutyra,aixé,uba,tutyra,aixé,uba,aixé,aixé,uba,tutyra,tutyra,tutyra,aixé,uba
3,0.19860947977047672,1.2726878070459389,1.0740783272754622,tutyra,tutyra,ybyra,iyra,tutyra,iyra,tutyra,assycuera,iyra,tutyra,tutyra,tutyra,tutyra,tutyra,tutyra,pyquyyra,yquera,tutyra,tutyra,iyra,pyquyyra,iyra,iyra,yquera,iyra,tutyra,tutyra,tutyra,tutyra,tutyra,tutyra,iyra,iyra,tutyra,enotara,ybyra,assycuera,tutyra,pyquyyra,iyra,enotara,pyquyyra,uba,aixé,tutyra,tutyra,uba,tutyra,tutyra,aixé,tutyra,tutyra,aixé,aixé,uba,sy,uba,sy,uba,uba,uba,uba,aixé,aixé
4,0.1530297019772644,1.2400751001814116,1.0870453982041473,iyra,ybyra,tutyra,iyra,ybyra,tutyra,tutyra,tutyra,tutyra,tutyra,iyra,iyra,iyra,iyra,tutyra,tutyra,iyra,tutyra,tutyra,tutyra,enotara,pyquyyra,tutyra,iyra,tutyra,tutyra,tutyra,assycuera,pyquyyra,pyquyyra,yquera,assycuera,pyquyyra,tutyra,iyra,enotara,tutyra,yquera,tutyra,iyra,tutyra,tutyra,tutyra,uba,aixé,tutyra,sy,uba,aixé,aixé,tutyra,sy,uba,uba,uba,uba,uba,aixé,aixé,tutyra,aixé,tutyra,tutyra,uba
5,0.28077110742862676,1.220282612581261,0.9395115051526342,tutyra,tutyra,tutyra,tutyra,ybyra,tutyra,iyra,tutyra,pyquyyra,tutyra,pyquyyra,iyra,tutyra,yquera,tutyra,ybyra,tutyra,tutyra,assycuera,iyra,assycuera,pyquyyra,tutyra,enotara,yquera,tutyra,iyra,iyra,iyra,enotara,iyra,tutyra,tutyra,iyra,tutyra,tutyra,tutyra,pyquyyra,iyra,tutyra,tutyra,iyra,uba,uba,tutyra,uba,uba,uba,tutyra,aixé,tutyra,aixé,uba,tutyra,aixé,tutyra,sy,aixé,aixé,uba,sy,uba,aixé,tutyra
6,0.2471894542879849,1.2428180607336698,0.995628606445685,enotara,iyra,assycuera,assycuera,tutyra,tutyra,iyra,tutyra,tutyra,tutyra,iyra,tutyra,ybyra,iyra,tutyra,tutyra,ybyra,pyquyyra,pyquyyra,tutyra,tutyra,tutyra,tutyra,iyra,tutyra,tutyra,iyra,tutyra,pyquyyra,pyquyyra,yquera,yquera,tutyra,enotara,tutyra,iyra,tutyra,iyra,iyra,iyra,tutyra,tutyra,uba,tutyra,aixé,tutyra,uba,aixé,tutyra,uba,uba,uba,aixé,uba,uba,sy,tutyra,sy,aixé,aixé,tutyra,aixé,uba,tutyra
7,0.29004710220337615,1.2328542196342638,0.9428071174308876,enotara,yquera,tutyra,pyquyyra,iyra,iyra,iyra,iyra,tutyra,tutyra,tutyra,tutyra,assycuera,tutyra,pyquyyra,tutyra,iyra,tutyra,tutyra,tutyra,pyquyyra,iyra,tutyra,tutyra,pyquyyra,tutyra,tutyra,enotara,yquera,ybyra,iyra,tutyra,tutyra,tutyra,tutyra,iyra,ybyra,assycuera,iyra,iyra,tutyra,tutyra,uba,tutyra,uba,uba,uba,tutyra,aixé,uba,aixé,tutyra,uba,aixé,uba,tutyra,sy,aixé,sy,tutyra,tutyra,aixé,aixé,uba
8,0.26052963618328306,1.2040536786633154,0.9435240424800323,tutyra,tutyra,tutyra,tutyra,pyquyyra,yquera,tutyra,tutyra,ybyra,tutyra,tutyra,tutyra,assycuera,iyra,tutyra,iyra,pyquyyra,iyra,tutyra,tutyra,iyra,iyra,tutyra,iyra,iyra,tutyra,iyra,ybyra,tutyra,pyquyyra,yquera,iyra,tutyra,enotara,pyquyyra,tutyra,iyra,enotara,tutyra,tutyra,tutyra,assycuera,uba,uba,uba,tutyra,aixé,aixé,tutyra,tutyra,aixé,aixé,uba,sy,uba,uba,uba,tutyra,aixé,aixé,uba,sy,tutyra,tutyra
9,0.08935142786543393,1.2425247200119482,1.1531732921465143,pyquyyra,enotara,enotara,iyra,tutyra,iyra,pyquyyra,tutyra,assycuera,ybyra,tutyra,tutyra,tutyra,iyra,tutyra,iyra,iyra,pyquyyra,tutyra,assycuera,pyquyyra,tutyra,iyra,tutyra,yquera,ybyra,iyra,tutyra,tutyra,tutyra,tutyra,tutyra,iyra,tutyra,iyra,tutyra,tutyra,tutyra,tutyra,iyra,yquera,tutyra,uba,aixé,tutyra,tutyra,uba,aixé,tutyra,uba,sy,tutyra,uba,tutyra,uba,sy,uba,aixé,aixé,uba,aixé,tutyra,uba,aixé
