simulation_number,mutual_information,entropy,conditional_entropy,mFBD,mMBD,mMZD,mFBS,mMBS,mMZS,mFeBS,mFyBS,mFeBD,mFyBD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFBeD,mFByD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFBD,fMBD,fMZD,fFBS,fMBS,fMZS,fFeBS,fFyBS,fFeBD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFBeD,fFByD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mB,mZ,meB,meZ,mFZD,mFZS,mFeZS,mFyZS,mFeZD,mFyZD,mFZeS,mFZyS,mFZeD,mFZyD,fB,fZ,feB,feZ,fFZD,fFZS,fFeZS,fFyZS,fFeZD,fFyZD,fFZeS,fFZyS,fFZeD,fFZyD,myB,fyZ,mF,mM,fF,fM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.22001670452133437,1.709989562964953,1.4899728584436187,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mwaniituaanyu,binamʊ,binamʊ,binamʊ,binamʊ,mwaniituaanyu,binamʊ,binamʊ,binamʊ,mukulu,mwaaniitʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,ndambɛrɛ,binamʊ,binamʊ,binamʊ,binamʊ,mwaniitu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mudidi,binamʊ,binamʊ,binamʊ,binamʊ,mwaniituaanyu,mudidi,binamʊ,binamʊ,mwaniituaanyu,binamʊ,irumbʊ,mwaniitu,binamʊ,mwaniituaanyu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mwaniituaangyu,binamʊ,mukulu,binamʊ,binamʊ,mwaniitu,ndambɛrɛ,binamʊ,irumbʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mwaniitu,mwaniitu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mama mʊdudi,baba mʊdudi,mama,baba,mama,baba,iyo,mama mʊdudi,baba mʊdudi,taata,mama,mama,baba,mama mʊdudi,baba mʊdudi,mama mʊdudi,mama,baba,taata,baba,mama mʊdudi,baba mʊdudi,iyo,mama mʊdudi,mama,baba,baba mʊdudi,baba mʊdudi
1,0.2526589845397591,1.6856741760782623,1.4330151915385032,ndambɛrɛ,binamʊ,binamʊ,mudidi,binamʊ,binamʊ,binamʊ,mudidi,binamʊ,binamʊ,binamʊ,mukulu,mwaniituaangyu,binamʊ,binamʊ,binamʊ,binamʊ,mwaniitu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,irumbʊ,binamʊ,binamʊ,binamʊ,binamʊ,mwaaniitʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mwaniituaanyu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mwaniitu,mwaniituaanyu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,irumbʊ,mwaniituaanyu,mwaniituaanyu,binamʊ,binamʊ,ndambɛrɛ,binamʊ,binamʊ,binamʊ,mwaniitu,mukulu,binamʊ,binamʊ,mwaniitu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mwaniitu,binamʊ,binamʊ,mwaniituaanyu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,baba mʊdudi,mama,baba,baba mʊdudi,baba,mama,baba mʊdudi,mama mʊdudi,baba mʊdudi,taata,mama,taata,mama mʊdudi,mama mʊdudi,baba,mama,mama mʊdudi,baba,mama,iyo,baba,mama mʊdudi,mama,baba,baba mʊdudi,iyo,mama mʊdudi,baba mʊdudi
2,0.24837522919862298,1.69166094750505,1.443285718306427,binamʊ,binamʊ,mwaniitu,ndambɛrɛ,binamʊ,binamʊ,mwaniituaangyu,binamʊ,mudidi,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mwaniituaanyu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mwaniitu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mwaniituaanyu,binamʊ,binamʊ,binamʊ,mwaniitu,binamʊ,mwaaniitʊ,binamʊ,binamʊ,binamʊ,mwaniituaanyu,mwaniitu,binamʊ,mwaniituaanyu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,irumbʊ,binamʊ,binamʊ,mukulu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mukulu,binamʊ,mwaniituaanyu,binamʊ,binamʊ,irumbʊ,binamʊ,mwaniitu,binamʊ,mudidi,ndambɛrɛ,binamʊ,binamʊ,binamʊ,binamʊ,iyo,baba,taata,mama,mama mʊdudi,baba,mama mʊdudi,taata,mama mʊdudi,mama,baba mʊdudi,mama,baba mʊdudi,mama mʊdudi,mama mʊdudi,baba mʊdudi,baba,baba mʊdudi,baba mʊdudi,baba,mama,mama,iyo,baba mʊdudi,mama mʊdudi,mama,baba,baba
3,0.20001262714521695,1.6585533653627558,1.4585407382175388,binamʊ,binamʊ,binamʊ,binamʊ,mukulu,mukulu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mwaniitu,mwaniituaanyu,mwaniituaangyu,binamʊ,binamʊ,binamʊ,irumbʊ,irumbʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mwaniitu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mwaaniitʊ,binamʊ,ndambɛrɛ,binamʊ,binamʊ,mwaniituaanyu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mwaniituaanyu,binamʊ,binamʊ,binamʊ,binamʊ,mudidi,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mwaniitu,binamʊ,mwaniitu,mwaniituaanyu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mudidi,binamʊ,ndambɛrɛ,mwaniitu,mwaniituaanyu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mama mʊdudi,mama mʊdudi,baba mʊdudi,mama mʊdudi,mama,baba mʊdudi,baba,mama,mama,baba,mama,baba,taata,mama mʊdudi,baba,iyo,baba,mama mʊdudi,baba mʊdudi,taata,baba mʊdudi,iyo,mama,baba mʊdudi,baba mʊdudi,mama mʊdudi,baba,mama
4,0.25784382730571553,1.7289263805925994,1.4710825532868839,binamʊ,mwaniitu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mukulu,ndambɛrɛ,mwaniitu,binamʊ,binamʊ,binamʊ,mwaniitu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mwaniituaangyu,mwaniituaanyu,binamʊ,binamʊ,mwaniituaanyu,binamʊ,mwaniituaanyu,binamʊ,irumbʊ,binamʊ,binamʊ,mwaniitu,mwaniituaanyu,binamʊ,binamʊ,mwaniituaanyu,binamʊ,binamʊ,mudidi,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,irumbʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mudidi,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,ndambɛrɛ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mwaaniitʊ,binamʊ,binamʊ,mwaniitu,binamʊ,binamʊ,binamʊ,binamʊ,mukulu,binamʊ,binamʊ,iyo,mama mʊdudi,baba,baba mʊdudi,mama mʊdudi,taata,mama mʊdudi,baba mʊdudi,baba mʊdudi,baba,mama,mama,iyo,mama,mama,mama mʊdudi,taata,baba,baba,mama,mama,mama mʊdudi,baba,baba,baba mʊdudi,baba mʊdudi,baba mʊdudi,mama mʊdudi
5,0.22657780735825495,1.697322119174041,1.4707443118157861,mwaniituaangyu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,ndambɛrɛ,binamʊ,binamʊ,irumbʊ,mukulu,mwaniitu,binamʊ,binamʊ,binamʊ,binamʊ,mwaniituaanyu,binamʊ,ndambɛrɛ,binamʊ,mwaaniitʊ,binamʊ,binamʊ,binamʊ,irumbʊ,binamʊ,mwaniitu,binamʊ,mwaniituaanyu,binamʊ,binamʊ,mwaniituaanyu,binamʊ,mwaniituaanyu,binamʊ,mudidi,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mudidi,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mukulu,binamʊ,binamʊ,binamʊ,mwaniituaanyu,binamʊ,binamʊ,binamʊ,binamʊ,mwaniitu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mwaniitu,binamʊ,mwaniitu,binamʊ,binamʊ,binamʊ,binamʊ,iyo,mama mʊdudi,baba,mama mʊdudi,baba mʊdudi,baba,mama,baba mʊdudi,baba,mama,baba mʊdudi,baba,mama,baba,mama,mama mʊdudi,mama,mama,baba mʊdudi,taata,baba mʊdudi,mama mʊdudi,baba mʊdudi,baba,mama mʊdudi,taata,mama mʊdudi,iyo
6,0.23595607773655458,1.7181258000921757,1.4821697223556212,mwaniitu,binamʊ,binamʊ,mukulu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,irumbʊ,binamʊ,binamʊ,binamʊ,mwaniitu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,ndambɛrɛ,mwaniituaanyu,binamʊ,binamʊ,mwaniituaanyu,binamʊ,mwaaniitʊ,binamʊ,mwaniitu,irumbʊ,binamʊ,binamʊ,binamʊ,mudidi,binamʊ,binamʊ,binamʊ,binamʊ,mwaniituaanyu,binamʊ,mukulu,binamʊ,mwaniituaanyu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,ndambɛrɛ,mudidi,mwaniitu,binamʊ,binamʊ,binamʊ,mwaniituaangyu,mwaniituaanyu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mwaniitu,binamʊ,binamʊ,baba mʊdudi,mama,mama mʊdudi,baba mʊdudi,mama,taata,baba,mama mʊdudi,iyo,baba,baba,mama,mama mʊdudi,mama mʊdudi,baba mʊdudi,baba mʊdudi,mama mʊdudi,iyo,baba,baba mʊdudi,mama,mama mʊdudi,mama,baba mʊdudi,mama,baba,taata,baba
7,0.3203519743698633,1.6430817849158774,1.3227298105460141,binamʊ,binamʊ,binamʊ,mwaniitu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mwaniituaanyu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mwaniituaanyu,binamʊ,binamʊ,binamʊ,mwaniituaanyu,binamʊ,binamʊ,binamʊ,mwaaniitʊ,binamʊ,binamʊ,mwaniitu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mwaniitu,mwaniituaanyu,binamʊ,binamʊ,binamʊ,binamʊ,mwaniituaangyu,binamʊ,binamʊ,binamʊ,irumbʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mukulu,ndambɛrɛ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mwaniitu,binamʊ,binamʊ,binamʊ,binamʊ,irumbʊ,mwaniitu,binamʊ,binamʊ,binamʊ,mukulu,mwaniituaanyu,binamʊ,binamʊ,binamʊ,ndambɛrɛ,mudidi,binamʊ,mudidi,binamʊ,binamʊ,iyo,mama mʊdudi,baba,baba,baba,mama,baba,mama mʊdudi,mama,mama mʊdudi,iyo,baba mʊdudi,baba,mama mʊdudi,baba mʊdudi,baba,baba mʊdudi,baba mʊdudi,mama mʊdudi,mama mʊdudi,baba mʊdudi,taata,mama,mama,mama,taata,baba mʊdudi,mama
8,0.1984312942264017,1.6734090021732246,1.474977707946823,binamʊ,ndambɛrɛ,binamʊ,binamʊ,mwaniituaanyu,binamʊ,binamʊ,mudidi,binamʊ,binamʊ,binamʊ,ndambɛrɛ,irumbʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mwaniitu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mwaniitu,binamʊ,binamʊ,mwaniituaanyu,mudidi,binamʊ,binamʊ,binamʊ,binamʊ,mwaniituaanyu,binamʊ,binamʊ,mukulu,mwaniitu,binamʊ,binamʊ,mwaniitu,binamʊ,mwaaniitʊ,binamʊ,binamʊ,binamʊ,binamʊ,mwaniituaanyu,mwaniitu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mwaniituaangyu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mukulu,irumbʊ,binamʊ,binamʊ,binamʊ,binamʊ,mwaniituaanyu,binamʊ,binamʊ,binamʊ,baba,mama mʊdudi,mama,mama,mama,baba mʊdudi,mama mʊdudi,mama,baba mʊdudi,iyo,baba mʊdudi,mama mʊdudi,taata,baba mʊdudi,mama mʊdudi,baba,baba mʊdudi,mama,iyo,mama,baba,baba,baba mʊdudi,taata,baba,mama mʊdudi,baba,mama mʊdudi
9,0.20410198068257768,1.7088585799033358,1.504756599220758,binamʊ,binamʊ,binamʊ,binamʊ,irumbʊ,binamʊ,binamʊ,mwaniituaanyu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mwaniitu,mukulu,binamʊ,mwaniitu,binamʊ,mwaniituaanyu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,irumbʊ,mwaniituaangyu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,ndambɛrɛ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mwaniitu,binamʊ,mwaniitu,binamʊ,mwaniituaanyu,mwaaniitʊ,binamʊ,mudidi,mwaniituaanyu,binamʊ,binamʊ,binamʊ,mwaniitu,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,binamʊ,mudidi,mwaniituaanyu,ndambɛrɛ,binamʊ,binamʊ,binamʊ,mukulu,binamʊ,binamʊ,binamʊ,baba,mama,baba,mama,mama mʊdudi,mama,baba mʊdudi,baba,baba mʊdudi,baba,baba mʊdudi,mama mʊdudi,taata,taata,baba,baba mʊdudi,iyo,mama mʊdudi,iyo,baba mʊdudi,mama mʊdudi,baba mʊdudi,mama,baba,mama mʊdudi,mama,mama,mama mʊdudi
