simulation_number,mutual_information,entropy,conditional_entropy,mZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,myB,meZ,myZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,fyB,feZ,fyZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.23282180981839096,1.7068067555240631,1.4739849457056722,nyinento,nyinento,mwene,mugenzi,mwene,nyinarumi,nyinento,mwenekati,mugenzi,mwenekati,mwenekati,mwenekati,mwene,nyinento,mwenekati,nyinarumi,nyinento,mwene,mwene,nyinento,nyinarumi,mwene,mwene,mwene,mugenzi,mwene,nyinento,munyanya,mwenekati,nyinarumi,nyinarumi,mwene,mwenekati,nyinarumi,nyinarumi,nyinento,nyinarumi,nyinarumi,mwenekati,mwene,nyinarumi,nyinento,mwenekati,nyinento,mwenekati,mugenzi,mwenekati,munyanya,munyanya,nyinarumi,nyinarumi,mwenekati,mwenekati,mwenekati,mwene,nyinento,nyinarumi,mwene,nyinento,munyanya,mwenekati,nyinarumi,nyinarumi,nyinento,nyinento,nyinarumi,nyinarumi,mwene,mwenekati,munyanya,mwene,mwenekati,nyinento,nyinento,mwene,nyinarumi,nyinento,mwenekati,munyanya,nyinento,mwene,mwene,nyinento,mwene,mwenekati,nyinento,mwene,nyinarumi,mugenzi,senkati,nyinento,senkati,nyinento,nyinarumi,nyinarumi,nyinento,nyina,sento,senkati,sento,nyinarumi,sento,sento,senkati,nyinento,nyina,senkati,nyinarumi,ise,sento,nyinarumi,nyinento,senkati,nyinento,ise,sento,nyinarumi
1,0.12251025583407471,1.672770066713941,1.5502598108798662,mugenzi,mwenekati,mwenekati,mugenzi,nyinento,mwene,nyinarumi,nyinento,mwene,mwene,mwenekati,nyinarumi,mwene,nyinarumi,munyanya,mugenzi,mwene,munyanya,nyinento,nyinarumi,mwenekati,nyinarumi,nyinento,mwene,nyinento,mwene,nyinarumi,mwenekati,nyinento,munyanya,nyinarumi,mwene,nyinarumi,mugenzi,nyinento,mwenekati,mwene,nyinento,nyinento,munyanya,mugenzi,nyinarumi,nyinento,nyinarumi,mwenekati,mwene,mwenekati,nyinento,nyinarumi,mwene,mwene,nyinarumi,nyinento,munyanya,nyinento,nyinento,mwenekati,nyinarumi,nyinarumi,mwenekati,nyinarumi,nyinento,munyanya,mwenekati,mwenekati,mwenekati,mwenekati,nyinento,mwenekati,nyinarumi,nyinento,mwenekati,nyinarumi,mwene,mwene,mwene,nyinarumi,nyinento,mwenekati,mwene,nyinento,mwene,mwene,nyinarumi,nyinento,mwenekati,mwene,mwenekati,mwene,senkati,sento,senkati,nyinarumi,sento,nyinento,nyinarumi,nyinento,nyina,nyinento,nyina,senkati,nyinento,senkati,nyinarumi,sento,senkati,sento,sento,ise,nyinarumi,nyinarumi,ise,senkati,nyinento,sento,nyinarumi,nyinento
2,0.1713937581997378,1.723259970197584,1.5518662119978461,mwenekati,mugenzi,nyinarumi,nyinento,mwene,nyinento,munyanya,nyinarumi,nyinento,mwene,mwene,munyanya,nyinarumi,mwene,munyanya,mwene,nyinento,nyinento,mwene,nyinento,mwenekati,nyinento,nyinento,nyinarumi,nyinento,mwene,nyinarumi,nyinarumi,munyanya,mwenekati,munyanya,nyinarumi,mwene,mwenekati,mwene,nyinarumi,nyinarumi,nyinarumi,nyinento,mwene,nyinento,mwenekati,nyinento,mwene,nyinarumi,mwenekati,mugenzi,nyinento,mugenzi,nyinento,mwenekati,nyinento,mwene,nyinento,mwenekati,mwene,mwene,mwene,mwenekati,nyinento,nyinento,mwenekati,mwenekati,mugenzi,nyinarumi,nyinarumi,mugenzi,nyinarumi,mwene,mwene,nyinarumi,mwenekati,mwenekati,mwenekati,mwenekati,nyinento,mwene,mwenekati,mwenekati,munyanya,nyinarumi,mwene,mwenekati,nyinarumi,nyinarumi,mwenekati,nyinarumi,nyinento,mwene,senkati,sento,sento,nyina,nyinarumi,ise,sento,nyinarumi,nyinarumi,nyinento,sento,ise,sento,nyinento,senkati,nyina,nyinarumi,nyinento,senkati,nyinento,senkati,nyinento,senkati,nyinarumi,senkati,sento,nyinarumi,nyinento
3,0.1740302574658923,1.7389645459320593,1.564934288466167,mwene,munyanya,nyinento,nyinento,mugenzi,mwene,nyinento,nyinento,nyinento,mwene,mwene,mwene,munyanya,nyinarumi,mwenekati,mwene,mwene,mwenekati,nyinarumi,mwenekati,nyinento,mwenekati,nyinarumi,nyinarumi,mwenekati,nyinarumi,mwenekati,nyinento,mwenekati,nyinento,mwenekati,mugenzi,nyinarumi,nyinarumi,nyinarumi,nyinento,mwenekati,mwenekati,nyinarumi,mwene,nyinarumi,nyinento,nyinento,mugenzi,mwenekati,mwene,munyanya,nyinento,nyinarumi,munyanya,mwene,mwenekati,mwenekati,mwene,nyinarumi,nyinento,nyinento,nyinento,mwene,nyinento,mwene,mwene,nyinarumi,mwenekati,nyinento,nyinarumi,nyinento,mwene,mwene,munyanya,mwenekati,nyinarumi,mugenzi,nyinarumi,nyinento,mwene,mwenekati,nyinarumi,munyanya,mwenekati,mwenekati,mwene,mugenzi,nyinento,mwenekati,nyinarumi,nyinarumi,mwene,mwene,senkati,sento,nyina,nyinarumi,nyinento,nyina,nyinento,sento,nyinento,nyinarumi,sento,nyinarumi,senkati,nyinarumi,ise,senkati,nyinarumi,ise,sento,sento,nyinento,senkati,senkati,nyinento,nyinarumi,nyinento,senkati,sento
4,0.14303470108408467,1.705695968588546,1.5626612675044613,mwene,mugenzi,nyinento,mwene,mwenekati,mwenekati,mwenekati,munyanya,mwene,nyinento,nyinarumi,nyinento,mwenekati,nyinarumi,mwenekati,munyanya,nyinarumi,mugenzi,nyinarumi,nyinarumi,nyinarumi,mugenzi,mugenzi,mwene,nyinarumi,nyinarumi,nyinento,nyinento,nyinarumi,mwenekati,mwenekati,nyinarumi,nyinarumi,nyinarumi,nyinento,nyinento,mwene,mwene,munyanya,mwene,mwenekati,nyinarumi,mwenekati,nyinento,munyanya,nyinento,mwene,nyinento,mwene,nyinarumi,mwenekati,mugenzi,nyinento,mwene,mwene,mwenekati,mwene,mwene,nyinarumi,mwene,nyinento,mwene,mwene,mwenekati,nyinento,mwene,mwenekati,mwene,mwenekati,nyinento,nyinarumi,nyinento,munyanya,mwenekati,nyinarumi,mwenekati,nyinarumi,munyanya,nyinento,nyinento,nyinento,mwenekati,mwenekati,mwene,nyinarumi,mwenekati,nyinento,nyinento,mwene,nyinarumi,nyinarumi,nyinento,nyinento,sento,nyina,sento,nyinento,senkati,nyinento,nyinarumi,sento,ise,sento,sento,senkati,senkati,nyinarumi,nyina,senkati,nyinento,nyinarumi,ise,nyinarumi,nyinento,senkati,senkati,sento
5,0.1843085191020415,1.670570530438306,1.4862620113362646,nyinento,mwene,mugenzi,nyinento,nyinarumi,munyanya,mwene,mwenekati,mwene,mwenekati,nyinento,mugenzi,mwene,nyinarumi,nyinento,mwene,nyinarumi,mwenekati,nyinarumi,mwene,nyinento,mwenekati,nyinarumi,mwenekati,mwenekati,mwene,mwene,munyanya,mwenekati,nyinarumi,mugenzi,mwene,mwenekati,mwene,mwenekati,nyinento,nyinento,nyinarumi,nyinento,nyinento,nyinento,nyinento,nyinarumi,mwene,mwenekati,nyinento,nyinarumi,mwene,munyanya,mugenzi,nyinarumi,mwene,nyinarumi,mwenekati,nyinarumi,mwenekati,nyinarumi,nyinento,munyanya,mwenekati,mwenekati,nyinarumi,nyinento,mugenzi,nyinarumi,nyinento,nyinento,mwene,nyinarumi,nyinarumi,mwenekati,mwene,mwenekati,mwene,mwene,mwene,mwene,munyanya,mwenekati,nyinento,nyinento,nyinarumi,mwenekati,nyinento,munyanya,mwenekati,nyinarumi,nyinento,mwene,sento,ise,nyinarumi,senkati,nyinarumi,senkati,senkati,nyinarumi,nyina,sento,nyinento,ise,nyinento,nyinento,sento,senkati,nyinento,senkati,nyinento,nyinarumi,nyina,nyinarumi,sento,senkati,nyinarumi,sento,nyinento,sento
6,0.18456417350090315,1.672770066713941,1.4882058932130378,nyinento,mwene,mwenekati,mwene,mwenekati,munyanya,nyinento,nyinento,mwenekati,mwene,nyinarumi,mwene,nyinento,munyanya,mwene,mwene,mwenekati,nyinarumi,nyinento,mugenzi,mwenekati,nyinarumi,nyinento,mwene,nyinento,mwenekati,nyinarumi,nyinento,mwene,nyinento,nyinento,mwene,mwenekati,nyinarumi,mugenzi,nyinarumi,mwenekati,munyanya,mwene,mwenekati,nyinarumi,mwene,mwenekati,mwenekati,nyinento,mugenzi,munyanya,munyanya,munyanya,nyinarumi,mwenekati,nyinarumi,nyinarumi,nyinento,nyinarumi,mwene,nyinarumi,mwene,nyinento,nyinarumi,mugenzi,mwenekati,nyinento,nyinarumi,nyinento,mwene,nyinento,nyinento,nyinento,nyinento,mwene,mwenekati,mwene,mwene,mwenekati,mwenekati,mwene,nyinento,mwene,mwenekati,mwene,nyinarumi,nyinarumi,nyinarumi,nyinarumi,nyinarumi,mwenekati,mugenzi,mwenekati,nyinento,sento,nyina,senkati,senkati,sento,nyinento,nyina,nyinento,sento,ise,nyinarumi,senkati,sento,nyinento,nyinarumi,nyinarumi,senkati,sento,senkati,nyinento,nyinarumi,senkati,sento,nyinento,nyinarumi,nyinarumi,ise
7,0.16547328853863053,1.6914238465079212,1.5259505579692907,mwene,nyinento,mwenekati,mwene,nyinento,mwenekati,nyinento,mwenekati,mwenekati,nyinarumi,nyinarumi,mwene,nyinento,mwenekati,nyinarumi,nyinento,mwene,mwene,nyinarumi,mwene,mwene,nyinento,munyanya,nyinarumi,nyinento,nyinarumi,mwenekati,mugenzi,mwenekati,munyanya,mwenekati,mwenekati,mwenekati,mwene,nyinarumi,mwene,mugenzi,mwene,nyinarumi,nyinento,mwene,nyinento,nyinento,mwenekati,nyinento,nyinento,mwenekati,nyinarumi,mwene,munyanya,mugenzi,nyinento,mwene,mwenekati,nyinarumi,mwenekati,nyinento,nyinarumi,mwenekati,nyinento,mwenekati,nyinarumi,nyinarumi,mwene,nyinento,mwene,mugenzi,mugenzi,mwene,nyinento,nyinarumi,nyinarumi,munyanya,nyinarumi,nyinento,nyinarumi,mwenekati,mwene,nyinento,nyinarumi,mwenekati,mwene,munyanya,mwene,nyinento,nyinarumi,mwenekati,mwene,munyanya,sento,nyinarumi,sento,ise,nyinarumi,sento,nyinarumi,nyina,senkati,senkati,sento,nyinento,sento,nyinarumi,senkati,nyina,nyinento,nyinento,senkati,nyinento,senkati,nyinarumi,senkati,nyinento,nyinarumi,sento,ise,nyinento
8,0.18393469587022815,1.675046324552058,1.4911116286818298,mwenekati,nyinarumi,nyinento,nyinarumi,nyinarumi,mwenekati,nyinarumi,mwene,mwene,mwene,nyinento,nyinarumi,nyinarumi,munyanya,nyinarumi,munyanya,munyanya,nyinarumi,mugenzi,nyinento,nyinento,mwenekati,nyinento,mwenekati,mwene,nyinento,mwene,mwene,mugenzi,nyinento,nyinento,mwene,nyinarumi,nyinento,mugenzi,nyinarumi,nyinarumi,mwene,mwene,nyinarumi,mwene,nyinarumi,nyinento,nyinento,mwene,mwenekati,nyinarumi,mwenekati,mwenekati,mwene,nyinento,mwenekati,munyanya,nyinarumi,nyinento,nyinento,nyinento,mwene,nyinento,munyanya,mwene,mugenzi,nyinarumi,mwene,mwenekati,mugenzi,nyinento,mwene,nyinento,mwenekati,mwene,nyinarumi,nyinento,nyinento,mwene,mwenekati,mwenekati,mwenekati,mwene,mwene,mwenekati,mwenekati,munyanya,nyinarumi,mwenekati,nyinarumi,mwenekati,mwenekati,mwenekati,nyinarumi,sento,nyina,nyinarumi,nyinento,nyinarumi,nyinento,nyinarumi,ise,nyinarumi,senkati,senkati,senkati,nyinento,senkati,nyinento,sento,nyinarumi,sento,nyinento,nyinento,sento,ise,senkati,senkati,sento,sento,nyina
9,0.22841142271211456,1.6822248425085276,1.453813419796413,nyinento,nyinarumi,nyinento,munyanya,nyinento,mwenekati,nyinarumi,nyinarumi,nyinarumi,nyinarumi,mwenekati,nyinarumi,nyinarumi,mwene,nyinento,nyinarumi,nyinarumi,mwene,mwene,nyinento,mugenzi,munyanya,mwenekati,mugenzi,nyinarumi,mwenekati,nyinento,mwenekati,nyinarumi,munyanya,mwene,mwene,mwene,mugenzi,mwenekati,nyinento,nyinento,nyinarumi,mwene,mwenekati,nyinento,mwene,mwenekati,nyinarumi,mwene,mwenekati,nyinento,nyinento,mugenzi,nyinento,nyinento,nyinarumi,mwene,mwenekati,mwene,mwenekati,nyinarumi,mwenekati,mwenekati,nyinento,mwene,mwene,mwene,mwenekati,nyinento,munyanya,mwenekati,mwene,mwene,mwene,nyinarumi,mwenekati,nyinarumi,mwene,nyinento,mwenekati,mwene,nyinento,nyinarumi,nyinento,nyinento,munyanya,nyinarumi,nyinento,mwenekati,mugenzi,mwene,munyanya,mwenekati,senkati,nyinento,sento,sento,senkati,ise,sento,nyinento,ise,nyina,nyinarumi,nyinento,nyinarumi,nyinarumi,nyinento,senkati,sento,nyinarumi,nyinarumi,nyinento,sento,nyinarumi,senkati,nyina,senkati,nyinento,senkati,sento
