simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,myB,meZ,myZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,fyB,feZ,fyZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.20822804829479247,2.067815185377914,1.8595871370831214,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,antsug,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,saig,yatsug,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uban,saig,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uban,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uban,antsug,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,apa-'hu uma-yi,duku,apa-'hu yači,uma-yui,apa-'hu uma-yi,yac̷u-t,dukug,uma-yui,uma-yui,yac̷u-t,yac̷u-t,yac̷u-t,uma-yui,apag,apa-'hu uma-yi,apa-'hu yači,apa-'hu yači,apa-g,apag,diich,apa-'hu uma-yi,yac̷u-t,dukug,uma-yui,apa-'hu yači,dukug,apa-'hu uma-yi,apa-'hu yači
1,0.20541069449758886,2.0107512154531366,1.8053405209555478,i'ka 'yac̷u-t,i'ka 'yac̷u-t,saig,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uban,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uban,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,yac̷u-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,antsug,i'ka 'yac̷u-t,antsug,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yatsug,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,saig,i'ka 'yac̷u-t,uban,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,apag,apa-g,apa-'hu uma-yi,apa-'hu uma-yi,dukug,yac̷u-t,apa-'hu yači,dukug,uma-yui,yac̷u-t,uma-yui,duku,apa-'hu uma-yi,yac̷u-t,apag,uma-yui,uma-yui,yac̷u-t,apa-'hu uma-yi,apa-'hu yači,apa-'hu yači,apa-'hu yači,dukug,yac̷u-t,uma-yui,diich,apa-'hu yači,apa-'hu uma-yi
2,0.2402645113655093,1.9683691214842909,1.7281046101187816,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,saig,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,antsug,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uban,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,uban,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uban,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,antsug,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,saig,i'ka 'yac̷u-t,yatsug,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,apa-'hu yači,apag,dukug,yac̷u-t,uma-yui,apa-'hu yači,apa-'hu uma-yi,apa-'hu uma-yi,uma-yui,apa-'hu uma-yi,apa-'hu uma-yi,uma-yui,yac̷u-t,dukug,diich,apa-'hu yači,apa-'hu yači,uma-yui,apa-'hu yači,yac̷u-t,yac̷u-t,uma-yui,yac̷u-t,dukug,duku,apa-g,apa-'hu uma-yi,apag
3,0.20654518609001915,2.0059935894039422,1.799448403313923,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yatsug,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uban,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uban,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,saig,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,saig,i'ka 'yac̷u-t,antsug,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,antsug,uban,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,yac̷u-g,yac̷u-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,apa-'hu uma-yi,uma-yui,apag,apa-'hu yači,yac̷u-t,apa-g,yac̷u-t,diich,apa-'hu uma-yi,uma-yui,yac̷u-t,apa-'hu uma-yi,yac̷u-t,apa-'hu yači,dukug,apa-'hu yači,dukug,yac̷u-t,uma-yui,apa-'hu uma-yi,uma-yui,dukug,duku,apa-'hu uma-yi,apag,apa-'hu yači,uma-yui,apa-'hu yači
4,0.2601322530313992,1.9367601834904704,1.6766279304590712,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yatsug,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uban,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,saig,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,antsug,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uba-g,uba-g,saig,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uban,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,yac̷u-g,uban,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,antsug,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,uba-g,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,apa-'hu uma-yi,apa-'hu yači,diich,yac̷u-t,apa-'hu uma-yi,apag,uma-yui,uma-yui,dukug,apa-g,dukug,uma-yui,uma-yui,apa-'hu uma-yi,apa-'hu yači,apa-'hu yači,yac̷u-t,yac̷u-t,apa-'hu yači,apa-'hu yači,dukug,duku,uma-yui,apag,yac̷u-t,apa-'hu uma-yi,yac̷u-t,apa-'hu uma-yi
5,0.2791775236777181,2.0867711479462923,1.8075936242685742,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uba-g,uban,uban,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,antsug,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,saig,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,antsug,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uba-g,yatsug,i'ka 'yac̷u-t,yac̷u-g,uban,saig,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-t,apa-'hu yači,dukug,diich,uma-yui,duku,apa-'hu uma-yi,yac̷u-t,uma-yui,apa-'hu uma-yi,yac̷u-t,apa-'hu uma-yi,apa-'hu uma-yi,uma-yui,apag,apag,dukug,apa-'hu yači,apa-g,yac̷u-t,apa-'hu uma-yi,apa-'hu yači,apa-'hu yači,apa-'hu yači,yac̷u-t,dukug,uma-yui,uma-yui
6,0.2682721114762505,2.009716604350251,1.7414444928740003,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uba-g,saig,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,saig,antsug,i'ka 'yac̷u-t,antsug,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uban,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uban,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yatsug,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uban,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,yac̷u-t,apa-'hu yači,diich,yac̷u-t,apa-'hu uma-yi,dukug,uma-yui,uma-yui,apa-'hu yači,apa-'hu uma-yi,apa-'hu yači,dukug,apa-g,apa-'hu uma-yi,dukug,duku,uma-yui,apag,yac̷u-t,apa-'hu uma-yi,uma-yui,apag,yac̷u-t,apa-'hu yači,uma-yui,apa-'hu uma-yi,apa-'hu yači,yac̷u-t
7,0.16671856380388617,1.9568658131088172,1.790147249304931,i'ka 'yac̷u-t,uban,i'ka 'yac̷u-t,i'ka 'yac̷u-t,antsug,i'ka 'yac̷u-t,saig,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,saig,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uban,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,uban,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,antsug,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yatsug,i'ka 'yac̷u-t,i'ka 'yac̷u-t,apa-'hu uma-yi,yac̷u-t,apa-'hu uma-yi,uma-yui,uma-yui,apa-'hu yači,yac̷u-t,yac̷u-t,uma-yui,apa-g,duku,apa-'hu yači,apa-'hu uma-yi,yac̷u-t,apa-'hu yači,dukug,apag,apa-'hu uma-yi,yac̷u-t,apa-'hu yači,apa-'hu yači,uma-yui,apa-'hu uma-yi,uma-yui,apag,diich,dukug,dukug
8,0.29963280791552016,2.033415561224505,1.7337827533089847,uba-g,i'ka 'yac̷u-t,saig,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,saig,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uban,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uban,antsug,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,antsug,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yatsug,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,yac̷u-g,i'ka 'yac̷u-t,uban,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uma-yui,dukug,dukug,apa-g,uma-yui,apa-'hu yači,yac̷u-t,uma-yui,apa-'hu uma-yi,apa-'hu yači,duku,apa-'hu uma-yi,yac̷u-t,yac̷u-t,yac̷u-t,uma-yui,apag,yac̷u-t,apa-'hu uma-yi,apag,diich,apa-'hu yači,apa-'hu uma-yi,dukug,apa-'hu yači,apa-'hu yači,apa-'hu uma-yi,uma-yui
9,0.26275313652841614,1.9783949523294961,1.71564181580108,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uban,i'ka 'yac̷u-t,saig,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,antsug,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yatsug,uban,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,antsug,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,i'ka 'yac̷u-t,uban,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,i'ka 'yac̷u-t,saig,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,uba-g,i'ka 'yac̷u-t,i'ka 'yac̷u-t,yac̷u-g,apag,apa-'hu uma-yi,yac̷u-t,yac̷u-t,dukug,apa-'hu uma-yi,uma-yui,uma-yui,yac̷u-t,yac̷u-t,apa-'hu uma-yi,diich,apag,apa-'hu yači,uma-yui,apa-'hu yači,yac̷u-t,apa-'hu yači,uma-yui,dukug,apa-g,apa-'hu uma-yi,apa-'hu yači,uma-yui,apa-'hu yači,duku,apa-'hu uma-yi,dukug
