simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBD,mMyBD,mMeZD,mMyZD,mFBeD,mFByD,mFZeD,mFZyD,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fMeBS,fMyBS,fMeZS,fMyZS,fFBeS,fFByS,fFZeS,fFZyS,fMBeS,fMByS,fMZyS,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.16809739674264357,1.720283481541574,1.5521860847989304,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,"mama, remama",reisingen,reisingen,reisingen,reisingen,reisingen,mama,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,"cel, celuaien",reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,mama,reisingen,resingen,reisingen,reisingen,reisingen,reisingen,"cel, celuaien",reisingen,reisingen,"caca, cecen, cicango","caca, cicango",caca,cekin,cekin,hmaien,caca,hmaien,hmaien,hmaien,"caca, cecen, cicango",caca,"caca, cicango","caca, cicango","hmaien, mimi",cekin,caca,"hmaien, mimi","caca, cicango",cekin
1,0.29299116966743033,1.7116503138511945,1.4186591441837642,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,mama,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,mama,reisingen,reisingen,reisingen,reisingen,resingen,"mama, remama",reisingen,"cel, celuaien",reisingen,"cel, celuaien",reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,cekin,"caca, cicango","caca, cecen, cicango","caca, cicango",caca,hmaien,cekin,hmaien,cekin,hmaien,hmaien,"caca, cecen, cicango","caca, cicango","caca, cicango",caca,cekin,"hmaien, mimi","hmaien, mimi",caca,caca
2,0.28683598305616065,1.7423341689947238,1.4554981859385632,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,mama,reisingen,reisingen,reisingen,reisingen,reisingen,mama,reisingen,reisingen,reisingen,reisingen,reisingen,"cel, celuaien",reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,"cel, celuaien",reisingen,"mama, remama",reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,resingen,reisingen,reisingen,reisingen,cekin,hmaien,"caca, cecen, cicango","caca, cicango","caca, cicango","caca, cecen, cicango",cekin,hmaien,"hmaien, mimi",caca,hmaien,cekin,caca,"hmaien, mimi","caca, cicango",caca,caca,cekin,"caca, cicango",hmaien
3,0.1618844105626831,1.679905318758757,1.5180209081960738,reisingen,"cel, celuaien",mama,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,mama,reisingen,"cel, celuaien",reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,resingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,"mama, remama",reisingen,reisingen,cekin,cekin,hmaien,hmaien,"caca, cicango","hmaien, mimi","hmaien, mimi",hmaien,"caca, cicango",cekin,caca,hmaien,cekin,caca,"caca, cicango","caca, cecen, cicango","caca, cicango",caca,caca,"caca, cecen, cicango"
4,0.16875337518365252,1.6778494529580072,1.5090960777743547,reisingen,resingen,mama,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,"cel, celuaien",reisingen,reisingen,mama,"cel, celuaien",reisingen,reisingen,reisingen,"mama, remama",reisingen,reisingen,reisingen,reisingen,reisingen,hmaien,cekin,cekin,caca,"hmaien, mimi",caca,hmaien,"caca, cicango","caca, cicango",hmaien,hmaien,cekin,caca,cekin,"caca, cecen, cicango",caca,"hmaien, mimi","caca, cicango","caca, cicango","caca, cecen, cicango"
5,0.1052956162686296,1.7549491995193434,1.6496535832507138,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,mama,reisingen,reisingen,"mama, remama",reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,mama,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,"cel, celuaien",resingen,"cel, celuaien",reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,cekin,hmaien,"hmaien, mimi",caca,hmaien,caca,cekin,"caca, cicango","caca, cicango","caca, cicango","hmaien, mimi","caca, cecen, cicango",caca,caca,cekin,hmaien,"caca, cecen, cicango",cekin,"caca, cicango",hmaien
6,0.17237080429150176,1.666123483286317,1.4937526789948152,reisingen,reisingen,reisingen,"cel, celuaien",reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,"mama, remama",reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,mama,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,resingen,reisingen,mama,reisingen,reisingen,reisingen,reisingen,"cel, celuaien",reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,caca,"caca, cicango",hmaien,hmaien,caca,hmaien,"caca, cicango",hmaien,"hmaien, mimi","caca, cicango",cekin,caca,"caca, cicango","caca, cecen, cicango",caca,cekin,"hmaien, mimi",cekin,cekin,"caca, cecen, cicango"
7,0.07814591508388391,1.6887939587109022,1.6106480436270183,reisingen,"cel, celuaien",reisingen,reisingen,reisingen,reisingen,mama,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,mama,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,"cel, celuaien",reisingen,reisingen,reisingen,reisingen,reisingen,"mama, remama",reisingen,reisingen,reisingen,resingen,reisingen,cekin,"caca, cicango",hmaien,caca,hmaien,caca,"caca, cecen, cicango",hmaien,cekin,"caca, cicango",caca,cekin,hmaien,"caca, cecen, cicango",cekin,caca,"caca, cicango","hmaien, mimi","hmaien, mimi","caca, cicango"
8,0.11857691036615714,1.736740970786199,1.6181640604200418,reisingen,"cel, celuaien",reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,resingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,"mama, remama",mama,reisingen,reisingen,mama,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,"cel, celuaien",reisingen,reisingen,cekin,caca,hmaien,"caca, cecen, cicango",cekin,"caca, cicango",cekin,hmaien,"caca, cicango","caca, cicango","hmaien, mimi",hmaien,cekin,caca,"hmaien, mimi",caca,"caca, cicango",caca,hmaien,"caca, cecen, cicango"
9,0.2411183057063413,1.7120146295608643,1.470896323854523,reisingen,mama,mama,reisingen,reisingen,reisingen,"cel, celuaien",reisingen,reisingen,reisingen,reisingen,reisingen,"mama, remama",reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,"cel, celuaien",reisingen,reisingen,reisingen,resingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,reisingen,cekin,"caca, cicango",hmaien,caca,cekin,"caca, cicango",caca,caca,"caca, cecen, cicango",cekin,caca,"hmaien, mimi","caca, cicango","caca, cecen, cicango",hmaien,hmaien,cekin,hmaien,"hmaien, mimi","caca, cicango"
