simulation_number,mutual_information,entropy,conditional_entropy,fB,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mMB,mMeB,mMyB,fF,fM,fFB,fMB,fMeB,fMyB,mFZ,mFeB,mFyB,mMeZ,mMyZ,mFeZ,mFyZ,fFZ,fFeB,fFyB,fMeZ,fMyZ,fFeZ,fFyZ
0,0.16456140174822353,2.0582713990825656,1.893709997334342,moto,moko,moko,moko,moko,moko,homioné,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,homioné,alwané,moko,moko,moko,moko,moko,moto,moko,moko,moko,moko,alwané,moko,moko,moko,moko,moto,moko,moko,moko,moko,moko,moko,màmá,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moto,mot-ema,mot-ema,noko,noko,mot-epa,noko,mot-epa,mîkí,bàhá,kola,kola,kola,om-epa,om-ema,bàhá,noko,om-epa,noko,noko,yàyá,kola,yàyá,kola,mîkí,kola,om-ema
1,0.1702706715732405,2.0829547305692957,1.9126840589960552,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,màmá,moko,moko,moko,moko,moko,moko,moko,alwané,moko,moko,moko,moko,homioné,moto,moko,homioné,moko,moko,moko,moko,moto,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moto,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,alwané,moko,moko,moko,moko,moto,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,noko,noko,bàhá,om-epa,mot-ema,mot-epa,yàyá,kola,noko,om-epa,om-ema,noko,om-ema,kola,noko,mîkí,noko,kola,kola,mot-epa,kola,kola,mot-ema,bàhá,yàyá,mîkí
2,0.11003700024028351,2.0514929260370907,1.9414559257968071,moko,moko,moko,moko,moto,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,màmá,moko,moko,moko,moko,alwané,moko,moko,moko,moko,alwané,moko,moko,moko,moko,moko,moko,moto,moko,moko,moko,moko,moko,moko,moko,moko,moto,moko,moko,moko,moko,moko,homioné,homioné,moko,moto,moko,moko,moko,moko,noko,kola,yàyá,bàhá,mîkí,kola,bàhá,yàyá,om-ema,noko,noko,mîkí,mot-epa,noko,kola,mot-ema,om-epa,kola,mot-epa,kola,kola,om-ema,noko,mot-ema,noko,om-epa
3,0.1124316684732991,2.010960072067203,1.898528403593904,moko,moto,moko,moko,moko,moko,homioné,homioné,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moto,moto,moko,moko,moko,moko,moko,moko,moko,moko,moko,màmá,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,alwané,moto,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,alwané,moko,moko,moko,moko,moko,moko,noko,kola,kola,yàyá,kola,kola,bàhá,mîkí,kola,mîkí,noko,om-ema,mot-epa,om-epa,mot-ema,mot-ema,noko,bàhá,mot-epa,noko,om-epa,om-ema,noko,noko,yàyá,kola
4,0.10974480591774083,2.09131427000581,1.981569464088069,moko,moko,moko,moko,moko,moko,moko,moko,homioné,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moto,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,alwané,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,màmá,moko,moko,moko,alwané,moto,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moto,moko,moko,moko,moto,moko,moko,moko,homioné,moko,moko,moko,bàhá,noko,om-epa,om-ema,mîkí,kola,noko,noko,bàhá,kola,kola,yàyá,om-ema,yàyá,om-epa,mot-ema,mot-epa,noko,mot-ema,mot-epa,noko,kola,noko,mîkí,kola,kola
5,0.13639683669355063,2.0370398095277227,1.900642972834172,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,alwané,moko,moko,moko,moto,moko,moko,moto,moko,moko,moko,moko,moko,moko,moko,moko,moko,màmá,alwané,moko,moko,moko,moko,moko,moto,homioné,moko,moko,moko,moko,moko,moko,moko,moko,homioné,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moto,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,kola,noko,kola,om-ema,om-ema,yàyá,noko,mot-ema,om-epa,mot-epa,noko,kola,noko,kola,mot-ema,om-epa,kola,noko,bàhá,bàhá,noko,yàyá,kola,mîkí,mot-epa,mîkí
6,0.12992128562384964,1.964536493267463,1.8346152076436133,màmá,moko,moko,moko,moko,moko,moko,moko,moko,alwané,moko,moko,moko,moko,moko,moko,moto,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moto,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moto,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,homioné,moko,moko,moko,homioné,moko,moko,moto,moko,moko,moko,moko,alwané,moko,moko,moko,moko,moko,moko,moko,kola,noko,mot-ema,yàyá,mîkí,kola,mîkí,kola,kola,noko,bàhá,mot-ema,kola,om-ema,noko,mot-epa,mot-epa,om-ema,kola,noko,noko,om-epa,bàhá,noko,om-epa,yàyá
7,0.14470148643019543,2.03588207812858,1.8911805916983846,moko,moto,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moto,moko,alwané,moko,moko,moko,moko,moko,moko,moko,alwané,moko,moko,moko,moko,moto,moko,moko,moko,homioné,homioné,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moto,màmá,moko,moko,moko,moko,moko,kola,noko,kola,mot-ema,kola,yàyá,mot-epa,bàhá,noko,om-epa,kola,noko,mot-ema,mîkí,mot-epa,noko,om-ema,mîkí,yàyá,kola,noko,kola,om-epa,om-ema,bàhá,noko
8,0.1627631533965026,2.045752973755733,1.8829898203592306,moko,moko,moko,moko,moko,moko,màmá,moko,moko,alwané,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moto,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moto,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,homioné,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moto,moto,moko,homioné,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,alwané,moko,moko,moko,noko,bàhá,mîkí,om-epa,noko,noko,yàyá,kola,noko,bàhá,kola,noko,kola,om-ema,yàyá,mîkí,noko,kola,mot-ema,om-ema,mot-epa,mot-ema,kola,kola,om-epa,mot-epa
9,0.13419528183575702,1.9786279858934406,1.8444327040576836,màmá,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moto,moko,moto,moko,moko,moko,moko,moko,moto,alwané,homioné,moko,moko,moko,moko,moko,alwané,moko,moko,moko,moko,moko,moko,moko,moko,homioné,moko,moko,moto,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,kola,om-ema,kola,om-ema,om-epa,yàyá,mot-epa,noko,noko,noko,noko,noko,om-epa,bàhá,yàyá,mîkí,mot-ema,bàhá,noko,kola,mîkí,mot-epa,kola,mot-ema,kola,kola
