language,code,simulation_code,simulation,mutual_information,entropy_gn,entropy_gn1,conditional_entropy,variation_gn,variation_gn1,number_of_pairs
Maguindanao_(Magindonao_Moro),magu1243,magu1243_REAL,N,0.7219280948873621,0.9219280948873623,1.5219280948873621,0.8,3,3,4
Malua_Bay,malu1245,malu1245_REAL,N,1.5,2.75,1.5,-0.0,7,3,7
Mangarevans,mang1401,mang1401_REAL,N,0.6617049208213364,1.483831706844689,2.1280852788913944,1.466380358070058,4,5,8
Mangei_(Sobjo),mang1407,mang1407_REAL,N,0.0,-0.0,1.0,1.0,1,2,2
Maori,maor1246,maor1246_REAL,N,0.0013397424044414574,1.940285958670631,0.9852281360342516,0.9838883936298102,4,2,8
Maranao_(Lanao_Moro),mara1404,mara1404_REAL,N,0.9182958340544894,1.2516291673878228,1.584962500721156,0.6666666666666666,3,3,4
Matukar,matu1261,matu1261_REAL,N,0.9182958340544894,1.4182958340544896,1.584962500721156,0.6666666666666666,4,3,5
Mele-Fila_(Ifira-Mele),mele1250,mele1250_REAL,N,0.8453509366224365,1.0957952550009338,1.9362600275315274,1.0909090909090908,3,4,5
Merlav,merl1237,merl1237_REAL,N,0.9182958340544894,0.9182958340544896,1.584962500721156,0.6666666666666666,2,3,3
Miningir_(Lunga),mini1251,mini1251_REAL,N,0.8453509366224365,1.0957952550009338,1.5726236638951638,0.7272727272727273,3,3,4
Mori_Bawah,mori1268,mori1268_REAL,N,0.9182958340544894,1.2516291673878228,1.584962500721156,0.6666666666666666,3,3,4
Moronene,moro1287,moro1287_REAL,N,0.9182958340544896,1.2516291673878228,0.9182958340544896,-0.0,3,2,3
Mortlockese,mort1237,mort1237_REAL,N,0.8453509366224365,1.823067982273661,1.5726236638951638,0.7272727272727273,4,3,6
Mota,mota1237,mota1237_REAL,N,1.5,2.5,1.5,-0.0,6,3,6
Mouk,mouk1240,mouk1240_REAL,N,0.7461034137898079,2.103909910282364,1.4195562985716133,0.6734528847818053,5,3,8
Muduapa_(Vitu),mudu1242,mudu1242_REAL,N,0.2916919971380596,1.3787834934861753,0.863120568566631,0.5714285714285714,3,2,4
Muna,muna1247,muna1247_REAL,N,0.9182958340544894,1.2516291673878228,1.584962500721156,0.6666666666666666,3,3,4
Munggava_(Rennell),mung1271,mung1271_REAL,N,0.9709505944546685,1.7709505944546688,1.5219280948873621,0.5509775004326937,5,3,6
Mwotlap,motl1237,motl1237_REAL,N,0.00212794074361522,0.9986359641585718,1.8475239116381135,1.8453959708944982,2,4,8
Nakanai,naka1262,naka1262_REAL,N,0.0,1.0,2.4056390622295662,2.4056390622295662,2,6,12
Nalik_(Lukuramau),nali1244,nali1244_REAL,N,0.9910760598382222,1.974937501201927,1.4355205042826666,0.4444444444444444,4,3,6
Nalik_(Madina),nali1244b,nali1244b_REAL,N,0.8112781244591328,1.5487949406953985,0.8112781244591328,-0.0,4,2,4
Namakura,nama1268,nama1268_REAL,N,0.2861508979554659,1.6581883220423579,1.9413233117485693,1.6551724137931034,4,4,10
Naman,litz1237,litz1237_REAL,N,1.5,2.75,1.5,-0.0,7,3,7
Nehan,neha1247,neha1247_REAL,N,0.9852281360342516,1.8423709931771084,0.9852281360342516,-0.0,4,2,4
Nengone,neng1238,neng1238_REAL,N,0.17095059445466854,1.570950594454669,0.9219280948873623,0.7509775004326937,4,3,6
Neve'ei,vinm1237,vinm1237_REAL,N,1.3962406251802888,2.688721875540867,1.7924812503605778,0.3962406251802891,7,4,9
Neverver,ling1265,ling1265_REAL,N,0.891378170768989,1.7732143550933817,2.7345123817507715,1.8431342109817825,6,7,13
Nguna,ngun1274,ngun1274_REAL,N,1.5,2.5,2.0,0.5,6,4,8
Niueans,niue1239,niue1239_REAL,N,0.18385092540042125,1.8423709931771084,0.863120568566631,0.6792696431662097,4,2,6
North_Ambrym,nort2839,nort2839_REAL,N,1.5,1.5,1.5,-0.0,3,3,3
North_Marquesan,nort2845,nort2845_REAL,N,0.3219280948873622,0.7219280948873623,1.9219280948873623,1.6,2,4,5
Numbami,numb1247,numb1247_REAL,N,1.1659573209491754,2.8659573209491747,2.3219280948873626,1.1559707739381873,8,6,17
Olal,olal1237,olal1237_REAL,N,1.584962500721156,1.9182958340544893,1.584962500721156,-0.0,4,3,4
Ontong_Java,onto1237,onto1237_REAL,N,0.0,1.0,1.4591479170272448,1.4591479170272448,2,3,6
Paici,paic1239,paic1239_REAL,N,1.1556390622295665,1.5,1.9056390622295665,0.75,3,4,5
Paiwan,paiw1248,paiw1248_REAL,N,0.0,-0.0,0.9709505944546686,0.9709505944546686,1,2,2
Palauan,pala1344,pala1344_REAL,N,0.9182958340544896,2.084962500721156,0.9182958340544896,-0.0,5,2,5
Paluai,balu1257,balu1257_REAL,N,0.9999999999999998,2.1258145836939115,1.7924812503605778,0.792481250360578,5,4,8
Pampanga_(Kampampangan),pamp1243,pamp1243_REAL,N,0.7219280948873621,0.9219280948873623,1.5219280948873621,0.8,3,3,4
Pangasinan,pang1290,pang1290_REAL,N,0.5032583347756456,0.5032583347756457,1.3921472236645345,0.8888888888888888,2,3,3
Patani,pata1260,pata1260_REAL,N,0.0,1.0,1.0,1.0,2,2,4
Pendau,pend1242,pend1242_REAL,N,0.7219280948873621,0.9219280948873623,1.5219280948873621,0.8,3,3,4
Pohnpeian,pohn1238a,pohn1238a_REAL,N,0.9709505944546686,1.721928094887362,0.9709505944546686,-0.0,4,2,4
Pukapuka,puka1242,puka1242_REAL,N,0.14068276166670002,1.4949188482339508,0.9456603046006402,0.8049775429339402,3,2,5
Puluwatese_(Puluwat),pulu1242,pulu1242_REAL,N,0.9494643027794054,2.1180782093497097,1.4949188482339508,0.5454545454545454,5,3,7
Raga_(Hano),hano1246,hano1246_REAL,N,1.4355205042826666,2.5032583347756456,1.4355205042826666,-0.0,6,3,6
Raga_(Hano_Thomas_Ennever),hano1246b,hano1246b_REAL,N,1.3131006664157692,2.1180782093497093,1.8585552118703146,0.5454545454545455,5,4,7
Rarotongan_(Cook_Islands_Maori),raro1241,raro1241_REAL,N,0.3112781244591327,1.811278124459133,1.0,0.6887218755408673,4,2,6
Ratagnon,rata1245,rata1245_REAL,N,0.8112781244591327,0.8112781244591328,1.5,0.6887218755408673,2,3,3
Rennell_Islanders,renn1242,renn1242_REAL,N,0.5629072918469555,2.355388542207534,1.4591479170272446,0.896240625180289,6,3,10
Rotinese_Termanu_,term1237,term1237_REAL,N,1.4681666405523321,2.6612262562697895,2.0458416408851736,0.5776750003328414,7,5,10
Rotumans,rotu1241,rotu1241_REAL,N,0.25785606369204894,2.5243974703476995,0.8112781244591328,0.5534220607670839,7,2,9
Roviana,rovi1238,rovi1238_REAL,N,0.7219280948873623,0.9055872616982603,1.456564762130954,0.7346366672435918,3,3,4
Saaroa,saar1237,saar1237_REAL,N,0.9182958340544894,1.584962500721156,1.584962500721156,0.6666666666666666,5,3,6
Samoan,samo1305,samo1305_REAL,N,0.3219280948873624,1.721928094887362,1.9219280948873623,1.5999999999999999,4,4,10
Sawai,sawa1247,sawa1247_REAL,N,0.0,1.0,1.0,1.0,2,2,4
Sa_a,saaa1240,saaa1240_REAL,N,0.9182958340544894,0.9182958340544896,1.584962500721156,0.6666666666666666,2,3,3
Seke_(Ske),seke1241,seke1241_REAL,N,0.0036815326818671057,0.9957274520849256,1.7272486062639207,1.7235670735820536,2,4,8
Senbarei,unua1237,unua1237_REAL,N,1.2987949406953985,2.5,1.2987949406953985,-0.0,6,3,6
Sie_(Sye),siee1239,siee1239_REAL,N,0.9182958340544896,1.4466166676282082,1.5304930567574826,0.612197222702993,4,3,5
Sikaiana,sika1261,sika1261_REAL,N,0.0011694768985351933,0.9967916319816366,0.8366407419411673,0.8354712650426321,2,2,4
Sonsorol,sons1242,sons1242_REAL,N,0.9182958340544894,0.9182958340544896,1.584962500721156,0.6666666666666666,2,3,3
Southeast_Ambrym,sout2859,sout2859_REAL,N,0.9585429818803028,1.9362600275315274,2.299896391167891,1.341353409287588,4,5,10
Southwest_Tanna,sout2869,sout2869_REAL,N,0.9852281360342516,2.2359263506290326,0.9852281360342516,-0.0,5,2,5
South_Tuvaluan_(Vaitupu),sout2865,sout2865_REAL,N,0.22957395851362228,1.4591479170272446,1.4591479170272448,1.2295739585136225,3,3,7
Sula_Mangoli,mang1408,mang1408_REAL,N,0.0,-0.0,1.5219280948873621,1.5219280948873621,1,3,3
Sundanese,sund1252,sund1252_REAL,N,1.5537631144722452,2.1658942083900237,1.9347154954246262,0.38095238095238093,5,4,6
Sungagage,mari1426i,mari1426i_REAL,N,1.3131006664157692,2.1180782093497093,1.8585552118703146,0.5454545454545455,5,4,7
