simulation_number,mutual_information,entropy,conditional_entropy,myB,myZ,fyB,fyZ,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.13666070641142758,1.3689223607402192,1.2322616543287916,hanni,ʔikʸina,hanni,ʔikʸina,kuku,-c̷itta ɬašši,-c̷itta ɬašši,kʸakʸa,kʸakʸa,kuku,-c̷itta ɬašši,-c̷itta ɬašši,-c̷itta ɬašši,kuku,-tačču ɬašši,-c̷itta ɬašši,kuku,kʸakʸa,kʸakʸa,-tačču,-tačču ɬašši,kʸakʸa,-tačču,-c̷itta,-tačču ɬašši,-tačču ɬašši,kuku,-tačču ɬašši,kuku,-c̷itta,kʸakʸa,-tačču ɬašši
1,0.07083074943292755,0.9950269901795212,0.9241962407465937,hanni,ʔikʸina,hanni,ʔikʸina,kʸakʸa,kʸakʸa,kʸakʸa,-tačču ɬašši,-tačču ɬašši,-c̷itta,-c̷itta ɬašši,kʸakʸa,-tačču,-c̷itta ɬašši,-tačču,-tačču ɬašši,kuku,-tačču ɬašši,kuku,-c̷itta,kʸakʸa,kuku,kʸakʸa,kuku,-c̷itta ɬašši,-c̷itta ɬašši,-tačču ɬašši,-c̷itta ɬašši,kuku,-tačču ɬašši,kuku,-c̷itta ɬašši
2,0.7527915335758234,1.3689223607402192,0.6161308271643958,ʔikʸina,ʔikʸina,hanni,hanni,-c̷itta ɬašši,kʸakʸa,-c̷itta ɬašši,-c̷itta ɬašši,-tačču ɬašši,-tačču ɬašši,kuku,-c̷itta ɬašši,kuku,-c̷itta ɬašši,kʸakʸa,-c̷itta ɬašši,-tačču ɬašši,-c̷itta,-c̷itta,kuku,-tačču ɬašši,kuku,-tačču ɬašši,-tačču ɬašši,kuku,kʸakʸa,kuku,-tačču,kʸakʸa,kʸakʸa,kʸakʸa,-tačču
3,0.13666070641142758,1.3689223607402192,1.2322616543287916,ʔikʸina,hanni,ʔikʸina,hanni,-c̷itta,-tačču,-c̷itta ɬašši,kʸakʸa,-tačču ɬašši,kʸakʸa,-tačču,-tačču ɬašši,kuku,-c̷itta,-c̷itta ɬašši,kuku,-c̷itta ɬašši,kʸakʸa,-c̷itta ɬašši,-tačču ɬašši,-c̷itta ɬašši,-c̷itta ɬašši,kuku,kuku,-tačču ɬašši,-tačču ɬašši,kʸakʸa,kʸakʸa,-tačču ɬašši,kʸakʸa,kuku,kuku
4,0.3788961630151254,0.9950269901795212,0.6161308271643958,ʔikʸina,ʔikʸina,hanni,hanni,-tačču ɬašši,-c̷itta ɬašši,-c̷itta,kʸakʸa,-c̷itta ɬašši,-tačču ɬašši,-c̷itta ɬašši,kuku,kuku,kʸakʸa,-tačču,kuku,-c̷itta ɬašši,-tačču ɬašši,-tačču ɬašši,kuku,-tačču ɬašši,kuku,kʸakʸa,-c̷itta,-c̷itta ɬašši,kʸakʸa,-tačču,kʸakʸa,-tačču ɬašši,-c̷itta ɬašši,kʸakʸa,kuku
5,0.44472611999362555,1.0608569471580214,0.6161308271643958,ʔikʸina,ʔikʸina,hanni,hanni,-c̷itta ɬašši,-tačču ɬašši,kuku,-tačču ɬašši,-tačču ɬašši,kʸakʸa,-tačču ɬašši,kuku,kʸakʸa,-tačču ɬašši,kʸakʸa,-c̷itta,-c̷itta ɬašši,-c̷itta ɬašši,-tačču ɬašši,kʸakʸa,kuku,kuku,-c̷itta ɬašši,kuku,-c̷itta ɬašši,kʸakʸa,kʸakʸa,kuku,-c̷itta ɬašši,-tačču,-c̷itta,-tačču
6,0.1366607064114277,1.0608569471580214,0.9241962407465937,ʔikʸina,hanni,ʔikʸina,hanni,kʸakʸa,-c̷itta ɬašši,-c̷itta ɬašši,-tačču ɬašši,-tačču ɬašši,-tačču,-tačču ɬašši,-tačču ɬašši,kuku,-c̷itta ɬašši,kuku,kʸakʸa,-c̷itta,kʸakʸa,-c̷itta ɬašši,-tačču ɬašši,-c̷itta ɬašši,kʸakʸa,kuku,kʸakʸa,-c̷itta ɬašši,kuku,-c̷itta,-tačču,-tačču ɬašši,kuku,kʸakʸa,kuku
7,0.13666070641142758,1.3689223607402192,1.2322616543287916,hanni,ʔikʸina,ʔikʸina,hanni,kuku,-tačču ɬašši,kʸakʸa,kʸakʸa,kuku,-c̷itta ɬašši,kuku,-c̷itta ɬašši,kuku,-c̷itta ɬašši,-tačču ɬašši,-tačču ɬašši,kʸakʸa,-c̷itta ɬašši,-c̷itta ɬašši,kʸakʸa,-tačču,kʸakʸa,-tačču ɬašši,kuku,-tačču ɬašši,kuku,-tačču,kʸakʸa,-c̷itta ɬašši,-tačču ɬašši,-c̷itta,-c̷itta
8,0.13666070641142758,1.3689223607402192,1.2322616543287916,hanni,ʔikʸina,hanni,ʔikʸina,-c̷itta,kuku,-tačču ɬašši,-c̷itta ɬašši,kʸakʸa,-tačču ɬašši,kuku,kʸakʸa,kʸakʸa,kʸakʸa,-c̷itta,-tačču ɬašši,-c̷itta ɬašši,kuku,-c̷itta ɬašši,-tačču ɬašši,kʸakʸa,-c̷itta ɬašši,-tačču,-tačču ɬašši,kuku,kʸakʸa,-tačču ɬašši,-c̷itta ɬašši,kuku,-c̷itta ɬašši,-tačču,kuku
9,0.1366607064114277,1.0608569471580214,0.9241962407465937,ʔikʸina,hanni,ʔikʸina,hanni,-tačču ɬašši,kuku,-c̷itta ɬašši,kʸakʸa,kʸakʸa,-c̷itta,kuku,-c̷itta ɬašši,-tačču,-tačču ɬašši,-tačču ɬašši,kʸakʸa,kʸakʸa,-tačču,kuku,-c̷itta,-tačču ɬašši,-tačču ɬašši,kuku,-c̷itta ɬašši,-tačču ɬašši,kuku,-c̷itta ɬašši,kʸakʸa,kuku,-c̷itta ɬašši,-c̷itta ɬašši,kʸakʸa
