simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fB,feB,feZ,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mZ,myZ,fZ,fyZ,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.25487957624071456,1.6392658252388643,1.3843862489981498,muyaleya,muyaleya,muyaleya,muyaleya,múkulwåna,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,ílúmbú lyane,múkulwåna,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,ikololyane,mukulu ghwâne,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,ílúmbú lyane,muyaleya,muyaleya,muyaleya,mutooghwâne,muyaleya,muyaleya,muyaleya,jóójó,muyaleya,jóójó,táata,múkwetú,sêngé,måajo,måajo múkulú,táata múkulú,sêngé,múkwetú,sêngé,táata múkulú,sêngé,múkwetú,táata múkulú,måajo múkulú,táata múkulú,táata múkulú,sêngé,måajo múkulú,sêngé,måajo,múkwetú,táata,måajo múkulú,táata múkulú,måajo múkulú,múkwetú,måajo múkulú,múkwetú
1,0.35771498989895467,1.6235787358378027,1.265863745938848,muyaleya,muyaleya,muyaleya,muyaleya,ílúmbú lyane,muyaleya,muyaleya,ikololyane,muyaleya,jóójó,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,jóójó,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,múkulwåna,muyaleya,muyaleya,muyaleya,ílúmbú lyane,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,múkulwåna,muyaleya,muyaleya,mutooghwâne,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,mukulu ghwâne,múkwetú,måajo múkulú,múkwetú,sêngé,táata múkulú,sêngé,múkwetú,táata múkulú,múkwetú,táata,táata,sêngé,måajo múkulú,múkwetú,måajo múkulú,táata múkulú,múkwetú,sêngé,táata múkulú,måajo,sêngé,táata múkulú,sêngé,måajo múkulú,måajo múkulú,táata múkulú,måajo,måajo múkulú
2,0.19902219279640043,1.5394728805436433,1.3404506877472429,ílúmbú lyane,muyaleya,muyaleya,muyaleya,muyaleya,múkulwåna,muyaleya,jóójó,jóójó,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,mukulu ghwâne,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,ikololyane,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,mutooghwâne,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,ílúmbú lyane,muyaleya,muyaleya,múkulwåna,måajo múkulú,sêngé,måajo,táata,måajo múkulú,måajo múkulú,múkwetú,táata múkulú,múkwetú,sêngé,måajo múkulú,sêngé,múkwetú,táata múkulú,sêngé,táata múkulú,múkwetú,múkwetú,sêngé,måajo múkulú,måajo,táata múkulú,táata múkulú,múkwetú,táata múkulú,táata,sêngé,måajo múkulú
3,0.21269560657486775,1.443604619182148,1.2309090126072804,jóójó,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,múkulwåna,muyaleya,muyaleya,muyaleya,jóójó,muyaleya,muyaleya,muyaleya,muyaleya,ikololyane,muyaleya,muyaleya,muyaleya,muyaleya,ílúmbú lyane,ílúmbú lyane,muyaleya,múkulwåna,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,mutooghwâne,muyaleya,muyaleya,mukulu ghwâne,muyaleya,muyaleya,sêngé,måajo múkulú,sêngé,táata múkulú,táata múkulú,måajo múkulú,táata múkulú,múkwetú,måajo múkulú,múkwetú,múkwetú,múkwetú,sêngé,måajo múkulú,táata múkulú,sêngé,sêngé,sêngé,måajo múkulú,táata,táata,múkwetú,múkwetú,måajo múkulú,táata múkulú,måajo,måajo,táata múkulú
4,0.26331540986929935,1.578699597639524,1.3153841877702246,muyaleya,mutooghwâne,muyaleya,muyaleya,muyaleya,múkulwåna,ílúmbú lyane,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,mukulu ghwâne,múkulwåna,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,jóójó,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,jóójó,ikololyane,muyaleya,muyaleya,muyaleya,ílúmbú lyane,muyaleya,muyaleya,muyaleya,muyaleya,táata múkulú,múkwetú,måajo múkulú,sêngé,måajo múkulú,táata múkulú,táata múkulú,sêngé,múkwetú,múkwetú,táata múkulú,múkwetú,måajo,múkwetú,sêngé,måajo múkulú,táata múkulú,múkwetú,måajo múkulú,måajo,måajo múkulú,sêngé,táata,táata múkulú,sêngé,táata,sêngé,måajo múkulú
5,0.19562768187463186,1.6090828983562233,1.4134552164815914,muyaleya,ikololyane,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,ílúmbú lyane,muyaleya,muyaleya,jóójó,muyaleya,muyaleya,jóójó,muyaleya,múkulwåna,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,múkulwåna,muyaleya,ílúmbú lyane,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,mutooghwâne,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,mukulu ghwâne,muyaleya,muyaleya,sêngé,táata múkulú,múkwetú,sêngé,måajo múkulú,måajo,múkwetú,táata múkulú,táata múkulú,táata múkulú,måajo múkulú,táata múkulú,múkwetú,måajo múkulú,táata,måajo múkulú,sêngé,måajo múkulú,sêngé,sêngé,táata múkulú,múkwetú,måajo,múkwetú,múkwetú,sêngé,måajo múkulú,táata
6,0.24373727085747077,1.630244888508259,1.3865076176507882,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,mutooghwâne,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,jóójó,muyaleya,muyaleya,jóójó,muyaleya,ikololyane,muyaleya,muyaleya,muyaleya,múkulwåna,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,ílúmbú lyane,múkulwåna,muyaleya,muyaleya,muyaleya,mukulu ghwâne,ílúmbú lyane,muyaleya,muyaleya,muyaleya,måajo múkulú,måajo múkulú,múkwetú,táata múkulú,táata múkulú,måajo múkulú,múkwetú,múkwetú,måajo múkulú,sêngé,táata múkulú,múkwetú,sêngé,táata múkulú,táata múkulú,måajo,sêngé,sêngé,táata,táata múkulú,táata,múkwetú,måajo múkulú,múkwetú,sêngé,sêngé,måajo múkulú,måajo
7,0.3776564423745272,1.683694361250847,1.3060379188763198,ílúmbú lyane,muyaleya,múkulwåna,muyaleya,múkulwåna,muyaleya,muyaleya,mukulu ghwâne,muyaleya,muyaleya,muyaleya,mutooghwâne,muyaleya,ílúmbú lyane,muyaleya,jóójó,muyaleya,jóójó,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,ikololyane,muyaleya,måajo,måajo múkulú,sêngé,táata múkulú,måajo múkulú,táata múkulú,múkwetú,sêngé,sêngé,måajo,måajo múkulú,múkwetú,måajo múkulú,múkwetú,sêngé,sêngé,táata múkulú,táata múkulú,táata,múkwetú,måajo múkulú,múkwetú,måajo múkulú,sêngé,táata múkulú,múkwetú,táata múkulú,táata
8,0.40032131618060496,1.5830446860136909,1.182723369833086,muyaleya,muyaleya,ílúmbú lyane,muyaleya,muyaleya,múkulwåna,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,jóójó,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,ílúmbú lyane,muyaleya,ikololyane,mutooghwâne,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,múkulwåna,muyaleya,jóójó,mukulu ghwâne,muyaleya,muyaleya,muyaleya,muyaleya,måajo múkulú,måajo,måajo múkulú,táata,måajo múkulú,sêngé,táata múkulú,sêngé,táata múkulú,sêngé,múkwetú,múkwetú,táata múkulú,táata múkulú,måajo múkulú,sêngé,múkwetú,måajo múkulú,måajo múkulú,táata,múkwetú,táata múkulú,múkwetú,måajo,sêngé,múkwetú,táata múkulú,sêngé
9,0.23863021092090553,1.6109811902047586,1.372350979283853,ikololyane,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,múkulwåna,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,ílúmbú lyane,muyaleya,muyaleya,muyaleya,mukulu ghwâne,muyaleya,múkulwåna,muyaleya,muyaleya,muyaleya,ílúmbú lyane,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,muyaleya,mutooghwâne,jóójó,muyaleya,jóójó,muyaleya,muyaleya,múkwetú,måajo múkulú,måajo múkulú,táata múkulú,måajo múkulú,múkwetú,táata múkulú,sêngé,måajo múkulú,táata,sêngé,múkwetú,sêngé,múkwetú,táata múkulú,táata múkulú,múkwetú,måajo múkulú,sêngé,táata,táata múkulú,måajo,måajo,sêngé,måajo múkulú,sêngé,táata múkulú,múkwetú
