simulation_number,mutual_information,entropy,conditional_entropy,fMZyS,myB,fyB,myZ,fyZ,fFByS,mMZyD,fMZyD,fMZeD,mFByS,mMZeS,mMZyS,fFByD,meB,mFBeS,fFBeS,feB,meZ,feZ,mFByD,mFBeD,mMZeD,fFBeD,fF,mFeB,mFyB,fFeB,fFyB,mMeZ,mMyZ,fMeZ,fMyZ,mFeZ,mFyZ,fFeZ,fFyZ,mMeB,mMyB,fMeB,fMyB,mM,fM
0,0.10249552980857068,0.6365141682948128,0.5340186384862421,ne-käʼ-na,ne-she-mǎʼ,ne-kä-mäʼ,n'-seh-säʼ,n'-dǎ-wäʼ-mǎ,n'-dǎ-kwamʼ,ne-she-mäʼ,n'-mis-sǎʼ,n'-dǎ-wäʼ-mǎ,ne-she-mǎʼ,ne-she-mǎʼ,ne-mis-sǎʼ,ne-she-mǎʼ,ne-she-mǎʼ,n'-dä-waʼ-mǎ,ne-dä-kwamʼ,n'-seh-sǎʼ,ne-käʼ-na,ne-she-mǎʼ,n'-seh-säʼ,n'-seh-säʼ,n'-mis-sǎʼ,ne-she-mǎʼ,no-shehʼ,n'-gehʼ,n'-jeh-shǎ,n'-jeh-shǎ,n'-si-gwisʼ,n'-si-gwisʼ,noke-mǎʼ,n'-gehʼ,noke-mǎʼ,n'-si-gwisʼ,no-shehʼ,n'-si-gwisʼ,noke-mǎʼ,n'-jeh-shǎ,no-shehʼ,n'-jeh-shǎ,noke-mǎʼ,no-shehʼ,noss
1,0.47738562622110936,1.0986122886681096,0.6212266624470002,n'-dǎ-wäʼ-mǎ,ne-käʼ-na,ne-dä-kwamʼ,n'-mis-sǎʼ,ne-she-mǎʼ,ne-she-mǎʼ,ne-she-mǎʼ,n'-seh-säʼ,ne-she-mǎʼ,ne-mis-sǎʼ,ne-she-mǎʼ,n'-seh-säʼ,n'-dä-waʼ-mǎ,n'-dǎ-kwamʼ,n'-seh-sǎʼ,ne-she-mǎʼ,n'-mis-sǎʼ,ne-käʼ-na,n'-dǎ-wäʼ-mǎ,ne-kä-mäʼ,n'-seh-säʼ,ne-she-mäʼ,ne-she-mǎʼ,noss,no-shehʼ,n'-si-gwisʼ,no-shehʼ,noke-mǎʼ,n'-jeh-shǎ,n'-jeh-shǎ,no-shehʼ,noke-mǎʼ,n'-si-gwisʼ,noke-mǎʼ,no-shehʼ,n'-jeh-shǎ,n'-si-gwisʼ,n'-gehʼ,noke-mǎʼ,n'-gehʼ,n'-jeh-shǎ,n'-si-gwisʼ
2,0.07994747942950053,0.6365141682948128,0.5565666888653122,ne-she-mǎʼ,ne-käʼ-na,ne-she-mǎʼ,ne-she-mǎʼ,ne-she-mǎʼ,n'-seh-säʼ,ne-dä-kwamʼ,ne-käʼ-na,ne-she-mǎʼ,n'-seh-säʼ,n'-dǎ-wäʼ-mǎ,ne-she-mäʼ,n'-mis-sǎʼ,ne-she-mǎʼ,n'-dä-waʼ-mǎ,n'-seh-säʼ,ne-she-mǎʼ,n'-dǎ-kwamʼ,n'-seh-sǎʼ,ne-mis-sǎʼ,ne-kä-mäʼ,n'-mis-sǎʼ,n'-dǎ-wäʼ-mǎ,n'-si-gwisʼ,noke-mǎʼ,n'-jeh-shǎ,n'-jeh-shǎ,n'-si-gwisʼ,n'-si-gwisʼ,n'-si-gwisʼ,no-shehʼ,noke-mǎʼ,noss,noke-mǎʼ,n'-jeh-shǎ,no-shehʼ,noke-mǎʼ,n'-gehʼ,n'-gehʼ,n'-jeh-shǎ,no-shehʼ,no-shehʼ
3,0.13081203594113688,0.6365141682948128,0.5057021323536759,n'-seh-säʼ,ne-she-mǎʼ,n'-seh-säʼ,n'-dǎ-wäʼ-mǎ,ne-she-mäʼ,n'-dä-waʼ-mǎ,n'-dǎ-wäʼ-mǎ,ne-she-mǎʼ,n'-seh-säʼ,n'-mis-sǎʼ,ne-käʼ-na,ne-she-mǎʼ,ne-she-mǎʼ,ne-käʼ-na,n'-mis-sǎʼ,ne-she-mǎʼ,ne-kä-mäʼ,ne-mis-sǎʼ,ne-she-mǎʼ,n'-dǎ-kwamʼ,ne-she-mǎʼ,n'-seh-sǎʼ,ne-dä-kwamʼ,n'-si-gwisʼ,n'-si-gwisʼ,noke-mǎʼ,noke-mǎʼ,n'-si-gwisʼ,n'-jeh-shǎ,noss,n'-gehʼ,no-shehʼ,n'-gehʼ,n'-jeh-shǎ,n'-jeh-shǎ,n'-jeh-shǎ,noke-mǎʼ,no-shehʼ,noke-mǎʼ,no-shehʼ,n'-si-gwisʼ,no-shehʼ
4,0.31825708414740617,1.0986122886681096,0.7803552045207034,ne-she-mǎʼ,ne-käʼ-na,ne-dä-kwamʼ,ne-she-mǎʼ,ne-she-mǎʼ,n'-mis-sǎʼ,ne-she-mäʼ,n'-mis-sǎʼ,n'-seh-sǎʼ,n'-dǎ-wäʼ-mǎ,n'-dǎ-wäʼ-mǎ,ne-she-mǎʼ,n'-seh-säʼ,ne-mis-sǎʼ,n'-dǎ-kwamʼ,ne-she-mǎʼ,ne-she-mǎʼ,ne-she-mǎʼ,n'-seh-säʼ,ne-käʼ-na,n'-seh-säʼ,n'-dä-waʼ-mǎ,ne-kä-mäʼ,noss,n'-gehʼ,n'-si-gwisʼ,n'-jeh-shǎ,n'-jeh-shǎ,no-shehʼ,n'-si-gwisʼ,n'-si-gwisʼ,noke-mǎʼ,noke-mǎʼ,n'-si-gwisʼ,no-shehʼ,noke-mǎʼ,n'-gehʼ,noke-mǎʼ,no-shehʼ,n'-jeh-shǎ,no-shehʼ,n'-jeh-shǎ
5,0.087208023960758,0.6365141682948128,0.5493061443340548,ne-she-mǎʼ,ne-kä-mäʼ,ne-she-mǎʼ,ne-mis-sǎʼ,n'-mis-sǎʼ,ne-käʼ-na,n'-seh-säʼ,n'-seh-säʼ,n'-dǎ-wäʼ-mǎ,ne-she-mǎʼ,ne-she-mäʼ,ne-she-mǎʼ,n'-dǎ-wäʼ-mǎ,ne-she-mǎʼ,ne-she-mǎʼ,ne-she-mǎʼ,n'-seh-sǎʼ,n'-mis-sǎʼ,n'-seh-säʼ,ne-käʼ-na,ne-dä-kwamʼ,n'-dä-waʼ-mǎ,n'-dǎ-kwamʼ,noke-mǎʼ,noss,no-shehʼ,n'-jeh-shǎ,n'-si-gwisʼ,n'-gehʼ,no-shehʼ,noke-mǎʼ,n'-si-gwisʼ,n'-si-gwisʼ,noke-mǎʼ,no-shehʼ,noke-mǎʼ,no-shehʼ,n'-jeh-shǎ,n'-gehʼ,n'-si-gwisʼ,n'-jeh-shǎ,n'-jeh-shǎ
6,0.31825708414740617,1.0986122886681096,0.7803552045207034,n'-seh-säʼ,n'-seh-sǎʼ,n'-seh-säʼ,n'-seh-säʼ,n'-mis-sǎʼ,ne-she-mäʼ,ne-she-mǎʼ,n'-dǎ-wäʼ-mǎ,n'-mis-sǎʼ,n'-dǎ-kwamʼ,ne-she-mǎʼ,ne-she-mǎʼ,ne-kä-mäʼ,ne-she-mǎʼ,ne-mis-sǎʼ,ne-käʼ-na,n'-dä-waʼ-mǎ,ne-käʼ-na,ne-she-mǎʼ,ne-she-mǎʼ,ne-dä-kwamʼ,n'-dǎ-wäʼ-mǎ,ne-she-mǎʼ,noss,no-shehʼ,n'-jeh-shǎ,n'-jeh-shǎ,no-shehʼ,noke-mǎʼ,n'-si-gwisʼ,n'-si-gwisʼ,noke-mǎʼ,n'-jeh-shǎ,noke-mǎʼ,n'-gehʼ,noke-mǎʼ,n'-jeh-shǎ,no-shehʼ,n'-si-gwisʼ,n'-gehʼ,n'-si-gwisʼ,no-shehʼ
7,0.6365141682948128,1.0986122886681096,0.46209812037329684,ne-she-mǎʼ,n'-dǎ-kwamʼ,ne-käʼ-na,ne-dä-kwamʼ,ne-she-mǎʼ,n'-dǎ-wäʼ-mǎ,n'-mis-sǎʼ,n'-dä-waʼ-mǎ,n'-seh-säʼ,ne-she-mǎʼ,n'-mis-sǎʼ,n'-seh-säʼ,ne-she-mǎʼ,ne-she-mäʼ,ne-she-mǎʼ,n'-seh-säʼ,ne-kä-mäʼ,n'-seh-sǎʼ,ne-she-mǎʼ,n'-dǎ-wäʼ-mǎ,ne-she-mǎʼ,ne-mis-sǎʼ,ne-käʼ-na,n'-jeh-shǎ,no-shehʼ,n'-jeh-shǎ,n'-si-gwisʼ,n'-jeh-shǎ,n'-si-gwisʼ,no-shehʼ,n'-gehʼ,noke-mǎʼ,noke-mǎʼ,no-shehʼ,n'-si-gwisʼ,noss,no-shehʼ,noke-mǎʼ,n'-si-gwisʼ,n'-jeh-shǎ,n'-gehʼ,noke-mǎʼ
8,0.47738562622110947,1.0986122886681096,0.6212266624470001,ne-she-mǎʼ,ne-she-mǎʼ,n'-mis-sǎʼ,ne-she-mǎʼ,n'-dä-waʼ-mǎ,n'-mis-sǎʼ,n'-dǎ-kwamʼ,ne-she-mǎʼ,ne-she-mǎʼ,ne-she-mäʼ,n'-seh-säʼ,ne-kä-mäʼ,ne-she-mǎʼ,n'-dǎ-wäʼ-mǎ,n'-seh-sǎʼ,ne-she-mǎʼ,ne-dä-kwamʼ,ne-mis-sǎʼ,n'-dǎ-wäʼ-mǎ,n'-seh-säʼ,ne-käʼ-na,n'-seh-säʼ,ne-käʼ-na,n'-gehʼ,noke-mǎʼ,no-shehʼ,n'-si-gwisʼ,n'-si-gwisʼ,n'-jeh-shǎ,n'-si-gwisʼ,noke-mǎʼ,n'-jeh-shǎ,n'-si-gwisʼ,n'-jeh-shǎ,noss,no-shehʼ,n'-gehʼ,no-shehʼ,noke-mǎʼ,no-shehʼ,n'-jeh-shǎ,noke-mǎʼ
9,0.12504358018764083,0.6365141682948128,0.5114705881071719,ne-she-mäʼ,ne-she-mǎʼ,n'-seh-säʼ,n'-dǎ-kwamʼ,ne-she-mǎʼ,n'-seh-säʼ,ne-käʼ-na,ne-she-mǎʼ,ne-she-mǎʼ,ne-she-mǎʼ,n'-dǎ-wäʼ-mǎ,n'-seh-säʼ,ne-she-mǎʼ,n'-mis-sǎʼ,ne-dä-kwamʼ,n'-seh-sǎʼ,n'-dä-waʼ-mǎ,ne-käʼ-na,ne-she-mǎʼ,n'-mis-sǎʼ,ne-mis-sǎʼ,ne-kä-mäʼ,n'-dǎ-wäʼ-mǎ,n'-jeh-shǎ,n'-jeh-shǎ,n'-si-gwisʼ,n'-jeh-shǎ,n'-si-gwisʼ,n'-gehʼ,n'-jeh-shǎ,noss,n'-si-gwisʼ,n'-si-gwisʼ,noke-mǎʼ,no-shehʼ,no-shehʼ,noke-mǎʼ,n'-gehʼ,noke-mǎʼ,noke-mǎʼ,no-shehʼ,no-shehʼ
