simulation_number,mutual_information,entropy,conditional_entropy,mZ,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,meZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,feZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.09314966055738094,1.6727684600909645,1.5796187995335835,nahḳn,ḳayin,ḳayin,ḳayin,aʔč,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,aʔn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,nahḳn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,nahḳn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,nahḳn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,aʔč,aʔn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ahm,čèʔ,poʔtˀ,poʔn,ḳˀàn,poʔtˀ,čèʔ,poʔtˀ,ḳˀàn,ʔàynn,poʔtˀ,poʔn,poʔtˀ,poʔn,čèʔ,ḳˀàn,poʔn,čèʔ,čèʔ,ḳˀàn,poʔtˀ,poʔn,ʔàynn,ahm,poʔn,ḳˀàn,čèʔ,ḳˀàn
1,0.10506193174845957,1.7029949666011708,1.5979330348527112,ḳayin,aʔč,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,aʔč,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,nahḳn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,nahḳn,ḳayin,ḳayin,ḳayin,ḳayin,aʔn,ḳayin,ḳayin,ḳayin,aʔn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,nahḳn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,nahḳn,ḳayin,ḳayin,ḳayin,čèʔ,poʔn,ahm,čèʔ,čèʔ,poʔn,ḳˀàn,ahm,poʔtˀ,čèʔ,ḳˀàn,ḳˀàn,čèʔ,poʔtˀ,ʔàynn,čèʔ,ʔàynn,poʔn,poʔn,ḳˀàn,poʔtˀ,poʔtˀ,ḳˀàn,poʔtˀ,ḳˀàn,poʔn,poʔn,poʔtˀ
2,0.11477557025085794,1.7078112684315974,1.5930356981807394,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,nahḳn,nahḳn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,aʔn,ḳayin,ḳayin,ḳayin,ḳayin,aʔn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,nahḳn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,aʔč,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,nahḳn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,aʔč,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,poʔn,ʔàynn,ʔàynn,ahm,poʔn,poʔtˀ,ḳˀàn,čèʔ,ḳˀàn,poʔtˀ,čèʔ,čèʔ,poʔtˀ,poʔtˀ,poʔtˀ,poʔn,čèʔ,poʔn,ḳˀàn,ḳˀàn,čèʔ,ahm,ḳˀàn,poʔn,ḳˀàn,poʔtˀ,poʔn,čèʔ
3,0.10153769086822284,1.689353237625593,1.5878155467573702,ḳayin,ḳayin,ḳayin,nahḳn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,nahḳn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,nahḳn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,aʔn,ḳayin,ḳayin,ḳayin,aʔč,ḳayin,ḳayin,ḳayin,nahḳn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,aʔč,aʔn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ʔàynn,poʔtˀ,poʔtˀ,poʔtˀ,poʔn,poʔtˀ,ḳˀàn,čèʔ,ḳˀàn,poʔn,poʔn,čèʔ,čèʔ,ʔàynn,čèʔ,ḳˀàn,ahm,poʔtˀ,čèʔ,ḳˀàn,ahm,poʔn,poʔn,poʔtˀ,ḳˀàn,poʔn,čèʔ,ḳˀàn
4,0.0745778703940767,1.6704999766051358,1.5959221062110591,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,nahḳn,nahḳn,ḳayin,aʔn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,nahḳn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,aʔč,ḳayin,aʔč,ḳayin,ḳayin,ḳayin,ḳayin,aʔn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,nahḳn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,poʔn,ḳˀàn,poʔtˀ,poʔn,čèʔ,poʔtˀ,poʔtˀ,poʔn,poʔtˀ,čèʔ,čèʔ,ḳˀàn,čèʔ,ḳˀàn,ʔàynn,ahm,ḳˀàn,ḳˀàn,ḳˀàn,poʔn,poʔn,poʔn,ʔàynn,čèʔ,poʔtˀ,poʔtˀ,čèʔ,ahm
5,0.09959793429946684,1.7131049458612457,1.613507011561779,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,aʔn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,nahḳn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,aʔč,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,aʔn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,nahḳn,ḳayin,ḳayin,ḳayin,ḳayin,aʔč,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,nahḳn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,nahḳn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳˀàn,ḳˀàn,ḳˀàn,ahm,čèʔ,čèʔ,poʔtˀ,poʔtˀ,poʔn,poʔn,poʔtˀ,poʔn,ḳˀàn,poʔtˀ,ʔàynn,poʔn,ḳˀàn,poʔn,ʔàynn,poʔn,poʔtˀ,čèʔ,ḳˀàn,ahm,čèʔ,čèʔ,poʔtˀ,čèʔ
6,0.10594241487650446,1.6987196772916406,1.5927772624151362,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,aʔč,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,nahḳn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,aʔč,ḳayin,ḳayin,ḳayin,ḳayin,nahḳn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,nahḳn,ḳayin,ḳayin,ḳayin,ḳayin,nahḳn,ḳayin,ḳayin,aʔn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,aʔn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳˀàn,čèʔ,poʔtˀ,ʔàynn,čèʔ,poʔn,čèʔ,poʔtˀ,čèʔ,poʔtˀ,poʔtˀ,ḳˀàn,ḳˀàn,čèʔ,ʔàynn,ahm,poʔn,ḳˀàn,ḳˀàn,poʔn,ahm,čèʔ,poʔtˀ,ḳˀàn,poʔn,poʔn,poʔn,poʔtˀ
7,0.10223266358213401,1.6814018971071127,1.5791692335249787,ḳayin,ḳayin,ḳayin,aʔn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,nahḳn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,aʔč,ḳayin,nahḳn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,nahḳn,ḳayin,ḳayin,ḳayin,aʔč,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,nahḳn,ḳayin,aʔn,ḳayin,ḳˀàn,čèʔ,ʔàynn,čèʔ,poʔn,poʔn,ʔàynn,ahm,poʔn,čèʔ,poʔn,poʔtˀ,ḳˀàn,ḳˀàn,poʔtˀ,poʔtˀ,poʔtˀ,čèʔ,poʔtˀ,ḳˀàn,čèʔ,ḳˀàn,ḳˀàn,čèʔ,poʔn,poʔtˀ,poʔn,ahm
8,0.13720411756831075,1.7035228999763614,1.5663187824080507,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,aʔn,aʔn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,nahḳn,ḳayin,ḳayin,nahḳn,nahḳn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,nahḳn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,aʔč,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,aʔč,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ahm,čèʔ,ḳˀàn,čèʔ,poʔn,poʔn,poʔtˀ,ḳˀàn,poʔn,poʔn,ḳˀàn,ḳˀàn,poʔn,poʔtˀ,ḳˀàn,čèʔ,poʔtˀ,poʔtˀ,poʔn,ʔàynn,ḳˀàn,čèʔ,čèʔ,poʔtˀ,čèʔ,ahm,ʔàynn,poʔtˀ
9,0.09111597632501134,1.6865294561052844,1.595413479780273,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,aʔč,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,aʔn,ḳayin,ḳayin,nahḳn,nahḳn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,aʔn,ḳayin,nahḳn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,nahḳn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,aʔč,ḳayin,ḳayin,ḳayin,čèʔ,poʔn,ahm,poʔn,poʔn,poʔn,čèʔ,poʔn,poʔtˀ,ḳˀàn,poʔtˀ,ahm,ʔàynn,poʔtˀ,ʔàynn,poʔtˀ,čèʔ,poʔtˀ,poʔtˀ,ḳˀàn,čèʔ,ḳˀàn,ḳˀàn,poʔn,čèʔ,ḳˀàn,ḳˀàn,čèʔ
