simulation_number,mutual_information,entropy,conditional_entropy,myB,myZ,mMBS,fB,fyB,fyZ,fMBS,meB,meZ,feB,feZ,mFBS,mFZS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mMeBS,mMyBS,mMeZS,mMyZS,mFBeS,mFByS,mFZeS,mFZyS,mMBeS,mMByS,mMZeS,mMZyS,fFBS,fFZS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fMeBS,fMyBS,fMeZS,fMyZS,fFBeS,fFByS,fFZeS,fFZyS,fMBeS,fMByS,fMZyS,mF,mM,mFB,mFZ,mMB,mMZ,fF,fM,fFB,fFZ,fMB,fMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.2452609958811719,1.1013455599988105,0.8560845641176386,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,marlangu,kaja,kaja,kaja,kaja,kaja,kaja,kapurlu,kaja,marlangu,kaja,kaja,kupu,kaja,kaja,kapurlu,kaja,kaja,kaja,tyingarti,kupu,kaja,marlangu,marlangu,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,pipinyurra,ngunyarri,ngunyarri,ngunyarri,mamany(pa),mamany(pa),mamany(pa),mamany(pa),ngunyarri,ngunyarri,mamany(pa),mamany(pa),mamany(pa),ngunyarri,mamany(pa),mamany(pa),ngunyarri,mamany(pa),kamuru,ngunyarri,ngunyarri,ngunyarri,ngunyarri,pipinyurra,mamany(pa),mamany(pa),kamuru,ngunyarri
1,0.11538776159415198,0.9510676795614266,0.8356799179672746,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kupu,kaja,kaja,kaja,kapurlu,kaja,kaja,kaja,marlangu,kaja,marlangu,marlangu,kaja,kaja,kaja,kaja,kaja,kaja,kaja,tyingarti,kaja,kupu,kaja,kaja,kaja,kaja,kaja,marlangu,kaja,kaja,kaja,kaja,kaja,kaja,kapurlu,kaja,kaja,kaja,mamany(pa),mamany(pa),ngunyarri,mamany(pa),ngunyarri,mamany(pa),mamany(pa),ngunyarri,mamany(pa),ngunyarri,mamany(pa),mamany(pa),ngunyarri,mamany(pa),ngunyarri,kamuru,ngunyarri,mamany(pa),ngunyarri,mamany(pa),ngunyarri,pipinyurra,ngunyarri,ngunyarri,ngunyarri,kamuru,pipinyurra,mamany(pa)
2,0.06379022359483288,1.1223956014645284,1.0586053778696956,marlangu,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kapurlu,kaja,kaja,kaja,kupu,marlangu,kaja,kaja,kaja,kaja,kaja,kaja,kupu,kaja,kaja,kaja,marlangu,kapurlu,kaja,kaja,kaja,marlangu,kaja,kaja,kaja,tyingarti,kaja,kaja,kaja,kaja,kaja,kaja,mamany(pa),kamuru,ngunyarri,ngunyarri,ngunyarri,pipinyurra,mamany(pa),ngunyarri,mamany(pa),mamany(pa),ngunyarri,ngunyarri,ngunyarri,mamany(pa),mamany(pa),mamany(pa),mamany(pa),ngunyarri,mamany(pa),mamany(pa),ngunyarri,mamany(pa),kamuru,ngunyarri,mamany(pa),ngunyarri,pipinyurra,ngunyarri
3,0.1502778953806696,0.9982164716771988,0.8479385762965292,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kupu,tyingarti,kaja,kapurlu,kaja,kaja,kaja,kaja,kaja,kaja,marlangu,kaja,kupu,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kapurlu,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,marlangu,kaja,kaja,kaja,kaja,kaja,marlangu,marlangu,mamany(pa),ngunyarri,mamany(pa),mamany(pa),mamany(pa),ngunyarri,mamany(pa),mamany(pa),mamany(pa),pipinyurra,ngunyarri,ngunyarri,mamany(pa),ngunyarri,kamuru,mamany(pa),ngunyarri,ngunyarri,pipinyurra,ngunyarri,kamuru,mamany(pa),ngunyarri,mamany(pa),mamany(pa),ngunyarri,ngunyarri,ngunyarri
4,0.06616064668058064,1.1407201964134568,1.0745595497328762,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kupu,kaja,kaja,kaja,marlangu,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,marlangu,kaja,kaja,kaja,kaja,kapurlu,kaja,kaja,kaja,kapurlu,kaja,kaja,kaja,marlangu,kaja,kaja,kaja,kaja,tyingarti,kaja,kupu,marlangu,kaja,ngunyarri,ngunyarri,ngunyarri,pipinyurra,mamany(pa),mamany(pa),mamany(pa),kamuru,ngunyarri,ngunyarri,ngunyarri,kamuru,mamany(pa),mamany(pa),ngunyarri,mamany(pa),ngunyarri,ngunyarri,pipinyurra,mamany(pa),ngunyarri,mamany(pa),ngunyarri,ngunyarri,mamany(pa),mamany(pa),mamany(pa),mamany(pa)
5,0.16139216244467836,0.9694830399238281,0.8080908774791498,kaja,kaja,kaja,marlangu,kaja,kaja,marlangu,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kupu,kapurlu,kaja,kupu,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,tyingarti,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,marlangu,kaja,kaja,kaja,kaja,kapurlu,marlangu,kaja,mamany(pa),mamany(pa),kamuru,mamany(pa),mamany(pa),ngunyarri,mamany(pa),mamany(pa),ngunyarri,mamany(pa),ngunyarri,mamany(pa),pipinyurra,kamuru,ngunyarri,ngunyarri,mamany(pa),mamany(pa),mamany(pa),ngunyarri,ngunyarri,pipinyurra,ngunyarri,mamany(pa),ngunyarri,ngunyarri,ngunyarri,ngunyarri
6,0.09450187449591485,1.0467327910352664,0.9522309165393515,kaja,marlangu,kapurlu,tyingarti,kaja,kupu,kapurlu,kaja,kaja,kaja,kaja,kaja,marlangu,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,marlangu,kupu,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,marlangu,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,mamany(pa),ngunyarri,ngunyarri,mamany(pa),ngunyarri,mamany(pa),mamany(pa),ngunyarri,ngunyarri,ngunyarri,pipinyurra,ngunyarri,kamuru,mamany(pa),pipinyurra,ngunyarri,ngunyarri,ngunyarri,mamany(pa),mamany(pa),mamany(pa),ngunyarri,mamany(pa),ngunyarri,mamany(pa),kamuru,mamany(pa),mamany(pa)
7,0.13684811502135152,1.0498998518460219,0.9130517368246703,kaja,kaja,kaja,kupu,kaja,marlangu,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kapurlu,kaja,kaja,marlangu,kaja,kupu,kaja,tyingarti,kaja,kaja,kaja,kaja,marlangu,marlangu,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kapurlu,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,ngunyarri,mamany(pa),ngunyarri,ngunyarri,ngunyarri,pipinyurra,ngunyarri,mamany(pa),kamuru,mamany(pa),ngunyarri,mamany(pa),mamany(pa),mamany(pa),pipinyurra,ngunyarri,ngunyarri,mamany(pa),ngunyarri,kamuru,ngunyarri,mamany(pa),mamany(pa),ngunyarri,mamany(pa),mamany(pa),ngunyarri,mamany(pa)
8,0.18846836416456025,1.076503646004308,0.8880352818397478,marlangu,marlangu,kaja,tyingarti,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kapurlu,kaja,kaja,kaja,kaja,kupu,kaja,kaja,kaja,kaja,kaja,marlangu,kapurlu,kaja,kaja,marlangu,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kupu,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,mamany(pa),mamany(pa),mamany(pa),ngunyarri,mamany(pa),mamany(pa),ngunyarri,ngunyarri,ngunyarri,mamany(pa),pipinyurra,pipinyurra,mamany(pa),mamany(pa),ngunyarri,kamuru,ngunyarri,mamany(pa),ngunyarri,ngunyarri,ngunyarri,ngunyarri,mamany(pa),mamany(pa),kamuru,ngunyarri,mamany(pa),ngunyarri
9,0.12717935381607193,1.1524036114119132,1.0252242575958412,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,marlangu,kaja,kupu,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,kaja,marlangu,kaja,kaja,kaja,kaja,kaja,kapurlu,kupu,kaja,kaja,kaja,kaja,kaja,kaja,marlangu,kaja,kaja,marlangu,tyingarti,kaja,kaja,kaja,kaja,kaja,kaja,kapurlu,kaja,kamuru,mamany(pa),mamany(pa),mamany(pa),mamany(pa),pipinyurra,ngunyarri,mamany(pa),mamany(pa),ngunyarri,mamany(pa),kamuru,ngunyarri,ngunyarri,pipinyurra,ngunyarri,mamany(pa),ngunyarri,ngunyarri,ngunyarri,ngunyarri,mamany(pa),mamany(pa),ngunyarri,mamany(pa),mamany(pa),ngunyarri,ngunyarri
