simulation_number,mutual_information,entropy,conditional_entropy,meZ,fMByD,fFBeD,fFByD,fMZeD,fMZyD,mFBeD,mFByD,mFZyD,mMBeD,mMByD,mMZeD,mMZyD,fMBeD,fFZyD,mFZeD,fFZeD,feB,fFBeS,fFByS,fMZyS,fyB,meB,mFByS,mMZyS,myB,fFZeS,mMByS,fFZyS,fMBeS,fMByS,mFBeS,mFZeS,mFZyS,mMBeS,mMZeS,fyZ,myZ,fM,mM,fMeZ,fMyZ,mMeZ,mMyZ,fFeZ,fFyZ,mFeZ,mFyZ,fF,mF,fFeB,fFyB,mFeB,mFyB,fMeB,fMyB,mMeB,mMyB
0,0.36157373634686696,1.0789922078775833,0.7174184715307164,märo bhäi,"mäzhi dhäkate bahen, awarzä",märi bǎhen,märo bhäi,märi bahen,märo bhäi,märo bhäi,maro bhäi,märo bhäi,märi bähîn,märo bhäi,märo bhäi,märo bhäi,märi bǎhen,"mäzhi dhäkate bahen, awarzä",märi bǎhen,märi bǎhen,märo bhäi,märo bhäi,märo bhäi,märo bhäi,märo bhäi,märi bǎhen,maro bhäi,märi bǎhen,märi bǎhen,märi bǎhen,märi bǎhin,märi bǎhen,märi bǎhin,märi bǎhěn,märo bhäi,märi bǎhen,märo bhäi,märi bǎhen,märo bhäi,märo bhäi,märi bǎhen,märi mäsi,märo kako,märo mämo,märo kako,märi phoi,"märo bäpǎ, pitä",märi mäsi,"märo bäpǎ, pitä",märi mä,märo mämo,märi mäsi,märo mämo,märi mä,märi mäsi,märo kako,märo kako,märi phoi,märi phoi,märo mämo,märi phoi
1,0.20218548540814568,0.5982695885852573,0.39608410317711157,märi bähîn,märi bahen,märo bhäi,märi bǎhen,"mäzhi dhäkate bahen, awarzä",märo bhäi,märi bǎhen,maro bhäi,märo bhäi,märi bǎhěn,märi bǎhin,märo bhäi,märi bǎhen,"mäzhi dhäkate bahen, awarzä",märo bhäi,märo bhäi,märo bhäi,märi bǎhen,märo bhäi,märi bǎhin,märo bhäi,märi bǎhen,märo bhäi,märi bǎhen,märi bǎhen,märo bhäi,märi bǎhen,märo bhäi,märi bǎhen,märi bǎhen,märo bhäi,maro bhäi,märi bǎhen,märo bhäi,märo bhäi,märo bhäi,märi bǎhen,märo bhäi,märi phoi,märi phoi,märi phoi,märo mämo,"märo bäpǎ, pitä",märo mämo,märo kako,märo kako,märo mämo,märi mä,märi phoi,märo kako,"märo bäpǎ, pitä",märi mä,märi mäsi,märi mäsi,märi mäsi,märo mämo,märi mäsi,märo kako
2,0.10624055253828157,0.5195798391305154,0.41333928659223385,märi bǎhen,märo bhäi,märo bhäi,märi bǎhen,maro bhäi,märi bǎhen,märo bhäi,märo bhäi,märi bǎhin,märi bǎhen,märo bhäi,märo bhäi,märo bhäi,märo bhäi,"mäzhi dhäkate bahen, awarzä",märi bǎhin,märo bhäi,märi bǎhen,märo bhäi,märo bhäi,märi bǎhen,märi bähîn,maro bhäi,märi bǎhen,märi bǎhen,märi bǎhen,märo bhäi,märi bahen,märi bǎhen,märo bhäi,märo bhäi,märo bhäi,märo bhäi,märi bǎhěn,märo bhäi,märi bǎhen,"mäzhi dhäkate bahen, awarzä",märi bǎhen,märi mäsi,märi phoi,märi mäsi,märi mä,märi phoi,märo kako,märo mämo,"märo bäpǎ, pitä",märo mämo,märo kako,märi phoi,märi phoi,märo kako,märo mämo,märi mäsi,märo mämo,märi mäsi,märo kako,märi mä,"märo bäpǎ, pitä"
3,0.10603713334992682,1.034601232910181,0.9285640995602542,märi bǎhen,märo bhäi,märi bǎhen,märo bhäi,märo bhäi,märi bǎhen,maro bhäi,märi bǎhěn,märi bǎhen,märo bhäi,"mäzhi dhäkate bahen, awarzä",märo bhäi,märo bhäi,märo bhäi,märo bhäi,märi bähîn,märo bhäi,märo bhäi,märi bǎhen,märi bǎhen,märo bhäi,märi bǎhen,märo bhäi,maro bhäi,märo bhäi,"mäzhi dhäkate bahen, awarzä",märi bǎhin,märo bhäi,märo bhäi,märi bǎhen,märi bǎhen,märi bǎhen,märo bhäi,märo bhäi,märi bahen,märi bǎhen,märi bǎhen,märi bǎhin,märi phoi,märi mä,märo kako,märi phoi,märi mäsi,märi phoi,märi mäsi,"märo bäpǎ, pitä",märo kako,märo kako,märo kako,märi phoi,märo mämo,märi mä,"märo bäpǎ, pitä",märo mämo,märo mämo,märo mämo,märi mäsi,märi mäsi
4,0.2868240015233602,0.9799711820833054,0.6931471805599452,märo bhäi,märo bhäi,märi bǎhen,märi bǎhen,märo bhäi,märi bǎhen,märi bǎhen,märi bǎhin,märo bhäi,märi bǎhen,märo bhäi,maro bhäi,märo bhäi,märo bhäi,märi bǎhen,märi bähîn,"mäzhi dhäkate bahen, awarzä",märi bǎhin,märi bǎhen,märi bǎhen,märi bǎhen,märo bhäi,märi bǎhěn,märo bhäi,märo bhäi,märo bhäi,"mäzhi dhäkate bahen, awarzä",märi bǎhen,märo bhäi,maro bhäi,märo bhäi,märo bhäi,märi bahen,märo bhäi,märi bǎhen,märo bhäi,märo bhäi,märi bǎhen,märi mäsi,märo kako,märi phoi,märi mäsi,märi mäsi,märo mämo,märi phoi,"märo bäpǎ, pitä",märo mämo,märi phoi,märo mämo,märo kako,märo mämo,märi mä,"märo bäpǎ, pitä",märo kako,märi mä,märi mäsi,märo kako,märi phoi
5,0.2120742666998534,0.9799711820833054,0.767896915383452,märi bahen,märi bǎhen,märi bǎhen,märi bähîn,märo bhäi,märi bǎhin,märo bhäi,märo bhäi,märi bǎhen,märo bhäi,märo bhäi,märo bhäi,märi bǎhin,märi bǎhen,märi bǎhen,märo bhäi,märo bhäi,märo bhäi,märi bǎhen,märi bǎhen,märo bhäi,märi bǎhen,märo bhäi,märi bǎhen,märi bǎhen,märo bhäi,"mäzhi dhäkate bahen, awarzä",märo bhäi,"mäzhi dhäkate bahen, awarzä",märo bhäi,märi bǎhěn,märo bhäi,maro bhäi,märo bhäi,märo bhäi,märi bǎhen,maro bhäi,märi bǎhen,märi mä,märo kako,"märo bäpǎ, pitä",märo kako,märi mäsi,märi mäsi,märi phoi,märi mä,"märo bäpǎ, pitä",märi phoi,märo mämo,märo kako,märi mäsi,märo mämo,märi phoi,märo mämo,märi mäsi,märo kako,märo mämo,märi phoi
6,0.2120742666998534,1.376055285260417,1.1639810185605637,märo bhäi,märo bhäi,märo bhäi,märi bǎhen,märo bhäi,märi bǎhen,märi bǎhen,märo bhäi,märo bhäi,märi bǎhen,märi bǎhen,märo bhäi,märo bhäi,märo bhäi,maro bhäi,märi bǎhen,"mäzhi dhäkate bahen, awarzä",märi bǎhěn,märi bǎhin,märi bahen,"mäzhi dhäkate bahen, awarzä",märi bǎhen,märi bähîn,märo bhäi,märo bhäi,märi bǎhen,märo bhäi,märo bhäi,maro bhäi,märi bǎhin,märo bhäi,märi bǎhen,märi bǎhen,märo bhäi,märi bǎhen,märo bhäi,märo bhäi,märi bǎhen,"märo bäpǎ, pitä",märi mäsi,märo kako,märi phoi,märo mämo,märo mämo,märi mä,märi phoi,märi mäsi,märi phoi,märo mämo,märo kako,märo kako,märi mä,märo kako,märo mämo,märi mäsi,märi phoi,"märo bäpǎ, pitä",märi mäsi
7,0.4101163182884092,1.376055285260417,0.9659389669720079,märo bhäi,märo bhäi,märo bhäi,märi bǎhen,märo bhäi,märi bǎhen,märi bǎhen,märi bǎhin,märi bǎhen,märo bhäi,märo bhäi,märo bhäi,märo bhäi,märi bǎhen,märi bǎhěn,"mäzhi dhäkate bahen, awarzä",märi bǎhin,märi bǎhen,märo bhäi,märi bǎhen,"mäzhi dhäkate bahen, awarzä",märi bǎhen,märo bhäi,märo bhäi,märo bhäi,märo bhäi,märi bahen,märi bǎhen,märi bǎhen,märi bähîn,märi bǎhen,märo bhäi,märo bhäi,maro bhäi,märo bhäi,märo bhäi,maro bhäi,märi bǎhen,"märo bäpǎ, pitä",märo kako,märo mämo,märo mämo,märi mäsi,märo mämo,märi mä,"märo bäpǎ, pitä",märo kako,märi phoi,märi mäsi,märo mämo,märi mäsi,märi mä,märi phoi,märo kako,märi phoi,märo kako,märi phoi,märi mäsi
8,0.6829081047004719,1.376055285260417,0.6931471805599452,märo bhäi,märo bhäi,märi bǎhen,märi bǎhen,märo bhäi,märo bhäi,"mäzhi dhäkate bahen, awarzä",märo bhäi,märi bǎhen,märo bhäi,märi bǎhen,märo bhäi,maro bhäi,märo bhäi,märi bǎhen,märo bhäi,märo bhäi,märi bǎhen,märo bhäi,märo bhäi,märo bhäi,märi bǎhen,märo bhäi,märo bhäi,märi bǎhin,"mäzhi dhäkate bahen, awarzä",märi bähîn,märi bǎhen,märi bǎhen,märo bhäi,maro bhäi,märi bǎhin,märo bhäi,märi bǎhen,märi bǎhen,märi bǎhěn,märi bǎhen,märi bahen,"märo bäpǎ, pitä",märi phoi,märo kako,märo mämo,märi phoi,märo kako,märi mäsi,märi phoi,märi mä,märo mämo,märi mä,märi mäsi,märi mäsi,märo mämo,märi mäsi,"märo bäpǎ, pitä",märi phoi,märo mämo,märo kako,märo kako
9,0.34145405235023607,1.0346012329101812,0.6931471805599452,märi bähîn,märi bǎhin,"mäzhi dhäkate bahen, awarzä",märo bhäi,märi bǎhen,märo bhäi,maro bhäi,maro bhäi,märi bǎhěn,märi bǎhen,märo bhäi,märo bhäi,märo bhäi,märo bhäi,märi bǎhen,märo bhäi,märo bhäi,märo bhäi,märi bǎhen,märo bhäi,märo bhäi,märi bǎhin,märi bǎhen,märo bhäi,märi bǎhen,"mäzhi dhäkate bahen, awarzä",märo bhäi,märo bhäi,märo bhäi,märi bǎhen,märi bǎhen,märo bhäi,märi bǎhen,märi bǎhen,märo bhäi,märi bǎhen,märi bahen,märi bǎhen,märo kako,märi mäsi,märi phoi,märi mäsi,märo mämo,märo mämo,märi mä,märi mäsi,märo kako,märo kako,"märo bäpǎ, pitä",märo kako,märi phoi,märi mäsi,märo mämo,märi phoi,märi mä,"märo bäpǎ, pitä",märo mämo,märi phoi
