simulation_number,mutual_information,entropy,conditional_entropy,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mB,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mF,mM,mFB,mMB,mFeB,mFyB,mMeB,mMyB,fF,fM,fFB,fMB,fFeB,fFyB,fMeB,fMyB,mFZ,mMZ,mFeZ,mFyZ,mMeZ,mMyZ,fFZ,fMZ,fFeZ,fFyZ,fMeZ,fMyZ
0,0.11791550008548368,1.0472879586365091,0.9293724585510255,cosí,cosí,cosina,cosina,cosí,cosí,cosina,cosina,cosina,cosina,cosí,cosí,cosina,cosina,cosí,cosí,cosí,cosí,cosí,germà,cosina,cosina,cosí,cosina,cosí,cosí,cosina,cosina,cosí,germana,cosí,cosina,cosí,cosí,cosina,germana,cosina,cosí,cosina,germana,cosina,cosí,cosí,germà,cosina,cosí,germà,germana,cosí,cosí,cosí,cosina,cosina,cosina,cosina,cosina,cosí,cosí,cosina,cosina,cosí,cosina,cosí,cosí,cosí,cosí,cosina,cosina,cosí,cosina,cosí,germana,cosina,cosina,cosina,germà,cosina,cosina,cosí,cosí,germana,cosí,cosina,cosina,germà,cosina,cosina,cosí,cosí,germà,tia,oncle,oncle,oncle,pare,tia,tia,oncle,mare,tia,oncle,tia,pare,oncle,mare,oncle,oncle,tia,oncle,tia,oncle,tia,tia,tia,oncle,oncle,tia,tia
1,0.06653741513938782,1.0941352331287513,1.0275978179893634,cosí,cosina,cosina,cosina,cosí,cosina,cosí,germà,cosí,germana,cosina,cosina,cosina,cosí,germà,cosina,cosí,cosina,cosina,cosí,cosí,cosí,cosí,germana,cosí,cosí,cosina,cosina,cosí,cosina,cosí,cosí,cosí,cosina,cosina,cosina,germà,cosina,cosí,cosina,cosí,cosí,cosí,cosina,cosí,cosina,cosina,cosina,cosina,cosí,cosina,germà,cosina,germana,cosina,cosí,cosí,cosí,germà,cosina,germana,cosí,cosina,cosí,cosina,cosina,cosí,germà,cosina,cosina,cosí,cosina,cosina,cosí,cosina,cosí,cosina,cosina,cosí,germana,cosí,cosina,cosí,germana,cosí,cosina,cosí,cosí,cosí,cosí,tia,oncle,oncle,oncle,oncle,tia,oncle,tia,oncle,mare,mare,tia,tia,oncle,oncle,pare,oncle,oncle,tia,oncle,tia,tia,tia,tia,tia,tia,oncle,pare
2,0.11768928002772205,1.1276636966343467,1.0099744166066247,cosí,cosina,cosina,germana,cosí,cosí,cosina,cosina,cosí,cosí,cosina,germà,germana,cosina,cosí,germà,cosí,cosina,cosina,cosina,cosí,cosí,cosí,cosina,germana,cosina,cosí,cosí,cosina,cosina,cosina,cosina,germà,cosina,cosí,cosí,germana,germà,cosina,cosina,cosina,cosí,cosina,cosí,cosí,cosí,cosí,cosí,cosí,cosí,cosí,cosí,cosina,cosina,cosí,cosí,cosina,cosina,cosina,cosí,cosí,cosina,cosina,germana,germà,cosí,cosí,cosina,cosina,cosí,cosina,cosina,cosina,cosí,cosina,cosí,cosí,cosí,cosí,cosina,cosí,cosí,cosina,cosina,cosina,germà,cosina,germana,cosina,cosí,oncle,tia,tia,tia,oncle,tia,oncle,tia,oncle,oncle,oncle,tia,tia,oncle,oncle,tia,pare,mare,oncle,mare,pare,tia,oncle,tia,oncle,oncle,tia,tia
3,0.05302506854974132,1.1397322162276198,1.0867071476778785,germana,cosina,cosí,cosí,germà,cosí,cosina,cosina,cosina,cosí,cosí,cosina,cosina,cosí,germà,cosí,cosí,cosí,cosina,cosí,cosina,germà,cosí,cosí,germà,cosí,cosí,cosina,cosí,cosina,cosina,cosina,cosina,cosí,cosí,cosí,cosina,germana,cosí,cosí,cosina,cosí,germà,cosí,cosina,cosina,cosina,cosina,cosina,cosí,germana,cosí,cosina,cosí,cosí,cosina,cosina,germana,germana,cosina,cosí,cosí,cosí,cosina,cosí,cosina,germà,cosí,cosina,germana,cosina,cosina,cosina,cosí,cosina,cosí,cosina,cosina,cosina,cosí,cosí,cosí,cosí,cosina,cosina,cosina,cosina,cosí,cosina,cosí,tia,pare,tia,oncle,oncle,oncle,tia,mare,tia,pare,mare,tia,tia,oncle,oncle,oncle,oncle,oncle,oncle,tia,oncle,tia,tia,tia,tia,tia,oncle,oncle
4,0.058503899553848715,1.0393172538256055,0.9808133542717568,cosí,cosina,cosí,cosina,germana,cosí,cosina,cosina,germana,cosí,cosina,cosí,cosí,cosina,cosina,cosí,cosina,cosina,cosina,cosina,germana,cosí,cosina,germana,cosí,cosina,cosí,cosina,germà,germà,cosí,cosí,cosina,cosí,cosí,cosina,cosí,germà,germà,cosí,cosina,cosí,cosí,cosina,cosina,cosina,cosí,cosina,cosina,cosina,cosí,cosí,cosina,cosí,cosina,cosina,cosí,cosí,cosí,cosí,cosí,cosina,cosina,cosina,cosina,cosí,cosí,cosina,cosí,cosí,cosí,cosina,cosina,cosina,germà,cosí,germana,cosí,cosí,cosina,germana,cosina,cosí,germà,cosina,cosina,cosina,cosí,cosí,cosí,oncle,pare,oncle,oncle,mare,tia,oncle,oncle,tia,tia,oncle,tia,tia,mare,tia,oncle,tia,tia,tia,tia,oncle,pare,oncle,tia,oncle,tia,oncle,oncle
5,0.03582187133225401,1.1374532757035984,1.1016314043713444,cosí,cosí,cosina,cosí,cosina,cosí,cosí,cosina,cosí,cosina,germana,cosí,cosí,cosina,cosina,cosina,cosí,cosina,germà,germà,germà,cosí,cosí,cosí,cosí,cosina,cosí,cosí,cosina,cosina,cosina,cosina,cosí,cosina,cosina,cosí,cosí,cosina,cosí,cosí,cosina,cosí,cosina,cosina,cosina,cosina,cosí,cosí,cosí,cosí,cosina,cosina,cosí,germana,cosí,cosí,cosina,cosí,cosí,cosí,cosina,germà,cosina,cosina,cosí,cosí,cosí,cosina,germà,cosí,cosina,cosí,cosina,cosina,cosí,germana,cosina,germana,cosina,cosina,cosina,germana,cosina,germà,cosí,cosina,cosina,cosina,germana,cosí,oncle,tia,pare,oncle,oncle,tia,oncle,oncle,tia,mare,pare,oncle,mare,oncle,tia,tia,oncle,tia,oncle,tia,tia,oncle,tia,tia,oncle,tia,tia,oncle
6,0.043791751669500556,1.1285783001317093,1.0847865484622088,cosí,cosina,cosina,cosí,cosina,germà,cosina,cosí,cosí,cosina,cosí,cosí,cosí,cosí,cosina,cosí,cosina,cosina,cosí,cosí,cosí,cosí,cosí,cosí,cosina,cosí,cosina,cosí,cosina,cosí,cosí,cosina,cosina,cosina,cosina,cosina,germà,cosí,germana,cosina,cosí,cosina,cosina,cosí,cosina,germà,cosí,cosina,germà,cosina,cosí,cosí,cosí,cosina,germana,cosina,cosí,cosina,cosí,cosí,cosí,cosí,germana,cosí,cosina,cosina,germana,germana,cosí,cosina,cosina,cosina,cosina,cosí,germana,cosí,germà,cosina,cosina,cosí,cosí,cosina,cosina,cosina,cosí,cosina,cosí,cosina,germà,cosina,oncle,tia,oncle,pare,oncle,tia,tia,tia,oncle,tia,tia,mare,oncle,oncle,pare,tia,tia,oncle,oncle,tia,oncle,tia,oncle,oncle,mare,tia,oncle,tia
7,0.07832001578560654,1.0289547671978303,0.9506347514122238,cosí,cosina,cosina,cosina,cosina,cosí,cosí,cosí,cosí,cosí,cosí,cosí,germà,germana,cosí,cosina,cosina,cosí,cosí,cosina,cosina,germà,cosina,cosí,cosina,cosina,cosina,cosí,cosina,cosí,germà,cosina,cosí,cosí,cosina,cosí,cosí,cosí,cosí,cosina,cosina,cosina,cosina,cosí,cosina,cosina,germana,cosina,cosina,cosina,cosí,cosina,germà,cosina,cosina,cosí,cosí,cosina,germana,cosina,cosí,cosí,cosina,cosí,cosina,germana,cosí,cosí,germana,cosí,germà,germà,cosí,cosí,cosí,cosina,cosí,cosí,cosina,cosina,cosina,cosina,cosí,germana,cosina,cosí,cosina,cosí,cosí,cosina,tia,oncle,tia,tia,oncle,tia,oncle,mare,oncle,tia,oncle,oncle,tia,oncle,oncle,pare,oncle,oncle,pare,tia,tia,tia,tia,oncle,oncle,mare,tia,tia
8,0.07325558234971852,1.0465927659331205,0.9733371835834019,cosí,cosí,cosina,germà,cosí,germana,germà,cosí,cosí,cosina,cosina,cosina,cosina,cosina,cosina,cosina,cosina,cosí,cosí,germana,cosina,cosina,cosina,cosí,cosí,cosina,cosí,cosí,cosí,cosí,cosina,cosina,cosina,cosí,germana,cosina,cosina,germana,cosina,cosí,cosina,cosí,germà,cosí,cosina,cosí,cosí,cosina,cosina,cosí,cosina,cosina,cosina,cosí,cosí,cosí,cosina,germà,cosí,cosina,cosina,cosí,cosí,cosí,cosina,cosí,cosí,cosina,cosí,cosina,cosí,cosí,cosina,cosina,cosí,cosina,cosí,cosí,germà,cosí,germana,cosí,cosí,germà,cosina,cosina,cosina,cosí,cosina,germana,oncle,oncle,tia,mare,oncle,tia,tia,oncle,tia,tia,oncle,tia,pare,mare,oncle,tia,oncle,tia,pare,tia,oncle,oncle,tia,tia,oncle,oncle,tia,oncle
9,0.032218307000510205,1.0294709284964414,0.9972526214959312,cosí,cosí,cosí,germà,cosina,cosí,cosina,cosina,cosina,cosina,cosí,cosí,cosí,cosina,cosina,cosina,cosina,germana,cosí,cosina,cosí,cosina,germà,cosina,cosina,cosina,cosina,cosina,cosí,cosina,cosí,cosina,cosí,cosí,cosina,cosí,cosí,germana,cosina,cosí,cosí,cosí,cosina,cosí,cosí,cosí,cosina,cosí,cosí,cosina,cosina,cosina,cosina,cosí,cosí,cosina,cosina,germà,germà,germana,cosí,cosí,cosina,cosí,germà,cosí,cosina,cosí,cosina,cosina,cosí,cosí,cosina,germà,germana,cosí,cosí,cosí,cosina,cosí,germana,cosina,cosí,cosina,germana,cosí,cosina,cosí,cosina,cosina,tia,oncle,tia,oncle,tia,pare,tia,mare,oncle,oncle,tia,tia,tia,tia,oncle,oncle,tia,oncle,oncle,tia,oncle,oncle,tia,oncle,mare,oncle,pare,tia
