simulation_number,mutual_information,entropy,conditional_entropy,mFBD,mMBD,mMZD,mFBS,mMBS,mMZS,mFeBS,mFyBS,mFeBD,mFyBD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFBeD,mFByD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFBD,fMBD,fMZD,fFBS,fMBS,fMZS,fFeBS,fFyBS,fFeBD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFBeD,fFByD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mB,mZ,meB,myB,meZ,myZ,mFZD,mFZS,mFeZS,mFyZS,mFeZD,mFyZD,mFZeS,mFZyS,mFZeD,mFZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFZS,fFeZS,fFyZS,fFeZD,fFyZD,fFZeS,fFZyS,fFZeD,fFZyD,mFZ,mMB,mMZ,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fFZ,fMB,fMZ,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB,mF,mM,mFB,mFeB,mFyB,fF,fM,fFB,fFeB,fFyB
0,0.05057369035263837,1.6979152554817503,1.647341565129112,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,dearbrāthair,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,dearbrāthair,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,col ceathar,deirbhshiur,col ceathar,dearbrāthair,col ceathar,athaireog,athaireog,māithreān,athair,māithreān,dearbrāthair māthar,athaireog,dearbrāthair athar,dearbrāthair athar,māithreān,athaireog,māithreān,dearbrāthair māthar,māithreān,dearbrāthair athar,dearbrāthair māthar,dearbrāthair māthar,athaireog,mathair,dearbrāthair māthar,dearbrāthair māthar,dearbrāthair athar,dearbrāthair athar,māithreān,athair,mathair,athaireog,dearbrāthair athar
1,0.0844427146011757,1.644497038554209,1.5600543239530333,dearbrāthair,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,col ceathar,col ceathar,dearbrāthair,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,deirbhshiur,deirbhshiur,dearbrāthair,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,athaireog,māithreān,athaireog,athaireog,māithreān,māithreān,dearbrāthair athar,dearbrāthair māthar,dearbrāthair athar,athaireog,athaireog,athair,dearbrāthair athar,mathair,dearbrāthair athar,māithreān,māithreān,dearbrāthair māthar,māithreān,dearbrāthair māthar,dearbrāthair māthar,athair,dearbrāthair māthar,dearbrāthair māthar,athaireog,dearbrāthair athar,dearbrāthair athar,mathair
2,0.061703166592004255,1.602866495713263,1.5411633291212588,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,deirbhshiur,col ceathar,deirbhshiur,col ceathar,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,col ceathar,col ceathar,col ceathar,dearbrāthair,dearbrāthair,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,māithreān,athaireog,dearbrāthair māthar,dearbrāthair māthar,athaireog,dearbrāthair athar,athair,athair,dearbrāthair athar,māithreān,māithreān,dearbrāthair māthar,athaireog,dearbrāthair athar,dearbrāthair athar,mathair,athaireog,māithreān,māithreān,māithreān,athaireog,dearbrāthair māthar,dearbrāthair athar,dearbrāthair athar,dearbrāthair māthar,dearbrāthair māthar,athaireog,mathair
3,0.09871051125838304,1.714566241422819,1.615855730164436,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,col ceathar,dearbrāthair,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,deirbhshiur,dearbrāthair māthar,athair,māithreān,dearbrāthair athar,dearbrāthair māthar,māithreān,athair,dearbrāthair athar,dearbrāthair athar,māithreān,māithreān,mathair,dearbrāthair māthar,athaireog,athaireog,dearbrāthair athar,athaireog,athaireog,dearbrāthair māthar,māithreān,mathair,māithreān,dearbrāthair māthar,dearbrāthair māthar,dearbrāthair athar,dearbrāthair athar,athaireog,athaireog
4,0.08868111449443261,1.679181700286571,1.5905005857921384,col ceathar,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,col ceathar,col ceathar,dearbrāthair,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,mathair,athaireog,māithreān,dearbrāthair athar,māithreān,dearbrāthair māthar,athair,dearbrāthair athar,athaireog,dearbrāthair māthar,dearbrāthair athar,dearbrāthair māthar,māithreān,athaireog,māithreān,athair,dearbrāthair māthar,mathair,athaireog,dearbrāthair māthar,māithreān,dearbrāthair māthar,māithreān,dearbrāthair athar,dearbrāthair athar,dearbrāthair athar,athaireog,athaireog
5,0.07451745598992976,1.6835349871804057,1.609017531190476,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,dearbrāthair,dearbrāthair,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,col ceathar,col ceathar,dearbrāthair māthar,athair,māithreān,dearbrāthair athar,mathair,māithreān,māithreān,māithreān,māithreān,dearbrāthair māthar,athaireog,dearbrāthair athar,māithreān,athaireog,dearbrāthair māthar,dearbrāthair athar,athaireog,athaireog,dearbrāthair athar,dearbrāthair athar,athaireog,dearbrāthair athar,dearbrāthair māthar,dearbrāthair māthar,athair,dearbrāthair māthar,mathair,athaireog
6,0.08070237397857616,1.7201935380987465,1.6394911641201704,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,deirbhshiur,dearbrāthair,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,dearbrāthair,athair,māithreān,māithreān,dearbrāthair athar,dearbrāthair athar,māithreān,dearbrāthair athar,mathair,dearbrāthair māthar,māithreān,mathair,athair,dearbrāthair māthar,māithreān,dearbrāthair māthar,athaireog,athaireog,māithreān,athaireog,athaireog,dearbrāthair māthar,dearbrāthair athar,dearbrāthair athar,athaireog,dearbrāthair māthar,athaireog,dearbrāthair athar,dearbrāthair māthar
7,0.05309331652969673,1.663520204586861,1.6104268880571642,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,dearbrāthair,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,dearbrāthair,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,dearbrāthair,col ceathar,col ceathar,col ceathar,dearbrāthair,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,deirbhshiur,col ceathar,col ceathar,dearbrāthair māthar,dearbrāthair māthar,athaireog,dearbrāthair athar,dearbrāthair athar,dearbrāthair athar,athaireog,māithreān,athaireog,dearbrāthair māthar,athair,dearbrāthair māthar,athaireog,athaireog,māithreān,athaireog,māithreān,dearbrāthair athar,māithreān,dearbrāthair athar,dearbrāthair māthar,māithreān,athair,dearbrāthair athar,mathair,dearbrāthair māthar,mathair,māithreān
8,0.10000225255878714,1.642830629070183,1.542828376511396,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,dearbrāthair,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,col ceathar,col ceathar,col ceathar,dearbrāthair,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,col ceathar,dearbrāthair,col ceathar,col ceathar,col ceathar,māithreān,dearbrāthair māthar,dearbrāthair athar,dearbrāthair athar,dearbrāthair māthar,māithreān,mathair,dearbrāthair athar,athaireog,dearbrāthair athar,dearbrāthair māthar,dearbrāthair athar,māithreān,athaireog,athaireog,athair,athair,mathair,māithreān,athaireog,māithreān,māithreān,athaireog,athaireog,dearbrāthair māthar,dearbrāthair athar,dearbrāthair māthar,dearbrāthair māthar
9,0.0601580814261391,1.6961923865353015,1.6360343051091624,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,deirbhshiur,col ceathar,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,col ceathar,col ceathar,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,col ceathar,dearbrāthair,col ceathar,col ceathar,col ceathar,dearbrāthair,dearbrāthair,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,deirbhshiur,col ceathar,col ceathar,dearbrāthair athar,mathair,dearbrāthair athar,dearbrāthair māthar,athair,dearbrāthair māthar,athaireog,dearbrāthair athar,athaireog,athaireog,māithreān,dearbrāthair athar,dearbrāthair māthar,athaireog,athair,māithreān,dearbrāthair māthar,dearbrāthair māthar,dearbrāthair athar,mathair,māithreān,athaireog,māithreān,māithreān,dearbrāthair māthar,athaireog,māithreān,dearbrāthair athar
