simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFZS,mMBS,mFZD,mMBD,fFZS,fMBS,fFZD,fMBD,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.02786858791064062,1.5016087104189797,1.473740122508339,aai,aai,aai,aai,aai,mbani,aai,aai,aai,ame,mbani,aai,mbani,aai,aaki,aai,aai,aai,aai,aai,aai,aai,aai,aai,mbani,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aaki,aai,aai,aai,aai,aai,"yaake, awa",papa,mae,papa,"yaake, awa",arombo,mae,"yaake, awa",arombo,papa,arombo,arombo,ama,papa,aapa,mae,mae,aapa,"yaake, awa",ama
1,0.19309367154193846,1.6374079798610568,1.4443143083191183,aai,aai,aai,ame,aai,aai,aai,mbani,aai,aai,aai,aai,aaki,aai,mbani,aai,aai,aai,aai,aai,aaki,aai,mbani,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,mbani,aai,aai,aai,"yaake, awa",arombo,arombo,ama,ama,aapa,papa,"yaake, awa",arombo,mae,mae,papa,papa,mae,mae,aapa,"yaake, awa",arombo,papa,"yaake, awa"
2,0.08891410972098912,1.6964157987597908,1.6075016890388016,aai,aai,aai,aai,aai,aai,aai,aai,mbani,aai,aai,aai,aaki,aai,aai,aai,aai,aai,aai,ame,aai,aai,aai,aai,mbani,aai,aai,aai,aaki,mbani,aai,aai,mbani,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aapa,"yaake, awa",papa,"yaake, awa",papa,ama,"yaake, awa",ama,mae,arombo,papa,"yaake, awa",mae,arombo,papa,arombo,mae,arombo,mae,aapa
3,0.1660821536183663,1.6964157987597905,1.5303336451414242,aai,mbani,aai,aai,aai,aai,aai,mbani,mbani,aai,aai,aai,aai,aai,aai,aai,aai,aaki,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,ame,aai,aai,aai,aai,aaki,aai,aai,aai,aai,mbani,aai,aai,aai,aai,aai,aai,arombo,"yaake, awa","yaake, awa",arombo,mae,mae,papa,"yaake, awa",mae,papa,ama,aapa,"yaake, awa",arombo,aapa,mae,papa,ama,arombo,papa
4,0.20985005459962158,1.7640798405159195,1.554229785916298,mbani,aai,aai,aai,aai,aai,aai,aai,mbani,aai,aai,mbani,aai,aaki,aai,aai,aai,aai,aaki,aai,aai,aai,aai,aai,aai,mbani,aai,aai,aai,aai,aai,aai,aai,aai,aai,ame,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,"yaake, awa",ama,ama,aapa,papa,papa,mae,arombo,papa,arombo,arombo,"yaake, awa","yaake, awa",arombo,"yaake, awa",mae,papa,mae,aapa,mae
5,0.13990438160165608,1.5456624431110195,1.4057580615093634,aai,aai,mbani,aai,aai,aai,aai,ame,aai,aai,aai,aai,aai,aaki,aai,aai,aai,mbani,aai,aai,aai,aai,aai,mbani,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aaki,aai,aai,mbani,aai,aai,aai,aai,aai,aai,papa,"yaake, awa",papa,arombo,arombo,aapa,mae,"yaake, awa",papa,"yaake, awa",ama,ama,arombo,papa,mae,aapa,mae,arombo,mae,"yaake, awa"
6,0.04802617982780677,1.586971507092431,1.5389453272646243,aai,aai,aai,aai,mbani,aai,aai,aaki,aai,aai,aai,aaki,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,mbani,aai,aai,aai,aai,mbani,aai,ame,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,mbani,aai,aai,aai,aai,"yaake, awa",papa,"yaake, awa",arombo,"yaake, awa",mae,mae,arombo,papa,ama,mae,"yaake, awa",aapa,aapa,arombo,mae,ama,papa,arombo,papa
7,0.117007959990165,1.4602996464375684,1.3432916864474034,aai,mbani,aaki,aai,aai,aai,aai,aai,aai,aai,aai,mbani,aai,aai,mbani,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aaki,ame,aai,aai,aai,aai,mbani,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,"yaake, awa","yaake, awa","yaake, awa",mae,arombo,arombo,aapa,"yaake, awa",papa,mae,ama,papa,aapa,arombo,mae,ama,papa,papa,mae,arombo
8,0.12984027322474123,1.5116091184688645,1.3817688452441232,aai,aai,mbani,aaki,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,ame,aai,aai,aai,mbani,aai,mbani,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aaki,mbani,aai,aai,aai,aai,aai,papa,papa,arombo,mae,ama,ama,aapa,papa,"yaake, awa",mae,arombo,aapa,arombo,papa,"yaake, awa",mae,mae,arombo,"yaake, awa","yaake, awa"
9,0.2351578511869823,1.662362474117636,1.4272046229306536,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aai,aaki,aai,aaki,aai,aai,aai,aai,mbani,aai,aai,ame,aai,mbani,aai,aai,aai,aai,aai,aai,aai,aai,mbani,aai,aai,mbani,aai,aai,aai,aai,aai,aai,aai,aai,aai,"yaake, awa","yaake, awa",arombo,"yaake, awa",mae,arombo,mae,mae,"yaake, awa",ama,papa,mae,arombo,aapa,arombo,papa,aapa,papa,papa,ama
