simulation_number,mutual_information,entropy,conditional_entropy,mFBeS,mFByS,mMZeS,mMZyS,fFBeD,fFByD,fMZeD,fMZyD,mFZD,mFBD,mMBD,mMZD,mFZS,mMBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mMeZD,mMyZD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFZD,fMBD,fFBS,fFZS,fMBS,fMZS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mFeBS,mFyBS,mZ,fB,meB,myB,feZ,fyZ,mFBeD,mFByD,mMZeD,mMZyD,fFeBS,fFyBS,fFBeS,fFByS,fMZyS,mM,mFB,mFZ,mMB,mMZ,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeZ,fFyZ,fMeB,fMyB,mFeB,mFyB,mMeZ,mMyZ,fFeB,fFyB,fMeZ,fMyZ
0,0.19373206925162423,1.8283960798338514,1.6346640105822272,muhisi,muhasa,muhisi,muhisi,muhasa,muhasa,mwanakwetu,muhisi,muhisi,mwanakwetu,muhisi,muhasa,muhasa,mwanakwetu,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhasa,mama,muhasa,munununa,muhasa,muhisi,muhisi,muhasa,mwanakwetu,mwanakwetu,muhisi,muhisi,muhisi,muhasa,muhisi,muhasa,muhisi,muhisi,mama,muhisi,muhisi,mama,muhasa,muhisi,muhasa,muhasa,muhisi,muhasa,muhisi,muhisi,muhisi,muhasa,muhisi,muhisi,muhasa,muhisi,muhasa,muhisi,muhisi,muhisi,mama,muhasa,muhisi,muhasa,muhisi,mama,muhisi,muhisi,mama,muhasa,mama,mwanakwetu,muhisi,muhisi,muhisi,mayi,dada,yuvahengi,dada mdodo,yuvahengi,yuva,mayi,yuvahengi,yuvahengi,yaya,dada,yaya,yaya,dada,dada mdodo,yaya,mayi mdodo,yuvahengi,mayi mdodo,mayi,mayi,yaya,dada,yuva,dada,yuvahengi,yaya
1,0.12125546689776656,1.795737305477857,1.6744818385800904,muhasa,mama,mama,muhasa,muhasa,muhisi,muhasa,muhisi,muhisi,muhisi,muhisi,mama,muhisi,muhisi,muhisi,muhisi,muhasa,muhisi,muhisi,muhisi,mwanakwetu,muhasa,muhisi,muhisi,muhasa,mama,muhasa,muhisi,muhisi,muhisi,muhisi,muhisi,mwanakwetu,muhisi,mama,muhisi,muhisi,muhasa,muhasa,muhasa,mama,munununa,muhasa,muhisi,muhisi,mama,mwanakwetu,muhasa,muhisi,muhisi,muhasa,muhasa,muhasa,muhisi,muhisi,muhasa,mwanakwetu,muhasa,muhisi,muhisi,muhisi,muhasa,mwanakwetu,muhasa,muhisi,muhisi,muhasa,muhisi,mwanakwetu,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,yaya,dada,dada,dada,mayi,mayi mdodo,yuvahengi,yuvahengi,dada mdodo,yuva,yuvahengi,dada mdodo,yuvahengi,mayi,yaya,dada,yaya,yuvahengi,yaya,mayi,yuvahengi,yuva,mayi mdodo,mayi,yaya,yaya,dada
2,0.1676755894095323,1.8355573533358525,1.6678817639263201,muhisi,muhasa,muhisi,muhasa,muhisi,muhasa,muhasa,muhisi,muhisi,muhisi,mama,muhisi,mama,muhisi,muhisi,mama,muhisi,mama,mama,muhisi,muhasa,mama,muhasa,muhisi,muhisi,muhisi,muhasa,mwanakwetu,muhasa,muhisi,muhasa,muhisi,muhisi,muhisi,muhasa,muhisi,muhasa,muhasa,mwanakwetu,muhisi,muhisi,muhisi,muhisi,muhasa,mwanakwetu,muhasa,muhisi,muhasa,muhasa,muhasa,muhisi,muhisi,muhasa,muhisi,muhisi,muhisi,muhisi,muhasa,mama,muhisi,muhisi,muhasa,munununa,mwanakwetu,muhisi,muhisi,muhisi,muhasa,muhisi,muhisi,mwanakwetu,muhisi,mwanakwetu,muhisi,muhisi,mayi,yuva,mayi mdodo,dada,yaya,yuvahengi,yuvahengi,mayi,dada,mayi,yaya,dada,yaya,dada mdodo,dada,yuvahengi,dada,mayi,yuvahengi,yaya,yaya,yuvahengi,yaya,dada mdodo,mayi mdodo,yuvahengi,yuva
3,0.16708427940685078,1.8639648353568108,1.69688055594996,muhisi,mwanakwetu,muhisi,muhisi,muhisi,muhisi,muhisi,muhasa,muhisi,mama,mwanakwetu,munununa,mama,muhasa,muhasa,muhasa,muhasa,mama,muhisi,muhasa,muhisi,mama,muhisi,muhasa,mwanakwetu,muhisi,muhisi,muhisi,mama,muhasa,muhasa,muhisi,muhisi,muhisi,muhisi,muhisi,muhasa,mwanakwetu,muhasa,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhasa,muhisi,muhisi,muhasa,muhasa,muhisi,muhasa,muhisi,muhasa,muhisi,muhisi,muhisi,muhasa,muhisi,muhisi,muhasa,muhasa,muhasa,mwanakwetu,muhisi,mama,muhisi,muhisi,mama,muhasa,muhisi,muhisi,muhisi,muhisi,mwanakwetu,mayi,yaya,mayi,yuva,mayi,dada,yuvahengi,dada mdodo,dada,mayi,yaya,dada,mayi mdodo,dada,yaya,yaya,dada mdodo,yuvahengi,yaya,yuvahengi,yuvahengi,dada,yuva,yuvahengi,mayi mdodo,yuvahengi,yaya
4,0.18614582881146835,1.7897002823286148,1.6035544535171464,mama,muhisi,mama,muhisi,muhasa,muhisi,muhisi,muhisi,muhisi,muhasa,muhisi,muhisi,muhisi,muhisi,mwanakwetu,muhasa,munununa,muhisi,mama,muhisi,muhisi,muhisi,muhisi,muhisi,muhasa,mama,muhasa,muhisi,mwanakwetu,muhisi,muhisi,muhasa,muhisi,muhasa,muhisi,muhisi,muhisi,mwanakwetu,muhisi,muhisi,muhisi,muhisi,mama,muhisi,muhisi,muhisi,muhasa,mwanakwetu,muhasa,muhisi,muhisi,mwanakwetu,muhasa,muhisi,muhasa,muhasa,muhisi,muhisi,muhasa,mwanakwetu,muhisi,mama,muhisi,muhasa,muhisi,muhasa,muhasa,muhasa,muhasa,muhasa,muhisi,muhasa,muhasa,muhisi,mama,dada,yaya,dada,yuvahengi,mayi mdodo,yaya,mayi,yaya,dada mdodo,yuva,yuva,mayi,yaya,yuvahengi,yuvahengi,yaya,dada,yaya,dada,mayi,mayi mdodo,dada,dada mdodo,yuvahengi,yuvahengi,yuvahengi,mayi
5,0.17697986551355394,1.8535099741926828,1.6765301086791289,mwanakwetu,muhisi,muhisi,muhisi,muhisi,muhisi,mama,mwanakwetu,mwanakwetu,munununa,muhisi,muhisi,muhasa,mama,muhasa,muhisi,muhisi,muhasa,muhisi,muhasa,muhasa,mama,muhasa,muhisi,muhisi,muhisi,muhisi,muhasa,muhasa,muhisi,mama,muhisi,muhisi,muhisi,mama,mama,muhisi,muhisi,muhisi,muhasa,muhisi,muhasa,muhasa,muhasa,muhasa,mwanakwetu,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhasa,muhisi,muhasa,muhisi,muhisi,muhasa,muhasa,muhisi,muhisi,muhisi,muhasa,muhisi,muhasa,muhisi,muhisi,muhisi,muhisi,muhasa,muhasa,mama,mwanakwetu,mwanakwetu,muhisi,yuvahengi,yaya,dada,yuvahengi,yuvahengi,mayi mdodo,yuvahengi,dada,dada,yaya,yuva,yuvahengi,yuva,dada mdodo,dada mdodo,mayi,mayi,mayi mdodo,mayi,yaya,yuvahengi,yaya,yaya,mayi,dada,dada,yaya
6,0.13271089069547393,1.7101400947903875,1.5774292040949136,muhasa,muhisi,muhasa,mama,muhisi,munununa,muhasa,mwanakwetu,muhisi,muhasa,muhisi,muhasa,muhisi,muhasa,muhasa,muhisi,muhasa,mama,muhisi,muhisi,mama,muhasa,muhisi,muhisi,muhisi,muhisi,mwanakwetu,muhasa,mama,muhasa,muhasa,muhisi,mama,muhisi,muhisi,muhisi,mama,muhasa,muhisi,muhasa,muhasa,mama,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,mwanakwetu,muhisi,muhisi,muhasa,muhisi,muhasa,muhisi,muhasa,muhasa,mwanakwetu,muhisi,muhasa,muhisi,muhisi,muhisi,muhisi,muhisi,mwanakwetu,muhisi,muhasa,muhisi,mwanakwetu,muhisi,muhisi,mayi,dada,yaya,yaya,dada,mayi,yuvahengi,dada,mayi,dada,yaya,dada mdodo,yaya,yaya,dada,mayi mdodo,yuvahengi,mayi,yaya,yuvahengi,yuvahengi,yuva,mayi mdodo,yuvahengi,dada mdodo,yuvahengi,yuva
7,0.188582879584678,1.8435432876589355,1.6549604080742575,muhasa,mwanakwetu,muhisi,muhisi,muhisi,muhisi,mama,muhisi,mwanakwetu,muhisi,muhisi,muhasa,muhasa,muhisi,muhisi,mama,muhisi,muhisi,muhasa,muhasa,muhisi,muhasa,muhisi,munununa,muhisi,mama,muhisi,muhisi,mama,mwanakwetu,mama,muhisi,muhisi,muhisi,mwanakwetu,muhisi,muhisi,muhasa,muhisi,muhisi,muhisi,muhasa,muhisi,muhisi,muhisi,muhisi,muhasa,muhisi,mwanakwetu,muhisi,mama,muhasa,muhasa,muhisi,muhasa,muhisi,muhasa,muhisi,muhisi,muhasa,muhasa,muhisi,muhisi,muhasa,mwanakwetu,muhisi,muhasa,muhisi,muhasa,muhasa,mama,muhasa,muhisi,muhasa,muhisi,mayi,mayi,mayi mdodo,mayi mdodo,dada,yuvahengi,mayi,yuvahengi,yuva,dada mdodo,yuva,yaya,yuvahengi,yaya,yuvahengi,dada mdodo,yuvahengi,dada,dada,mayi,yaya,yaya,yaya,yaya,dada,yuvahengi,dada
8,0.17297133419349087,1.856289398723785,1.683318064530294,muhisi,muhasa,munununa,muhasa,muhisi,muhasa,muhisi,muhisi,muhasa,muhisi,mama,muhisi,muhasa,mwanakwetu,muhasa,muhisi,muhasa,muhisi,muhisi,muhasa,mwanakwetu,muhisi,mama,mwanakwetu,muhasa,muhisi,muhisi,muhisi,muhasa,muhisi,muhisi,mama,muhisi,muhisi,muhisi,muhisi,mama,muhasa,muhisi,muhisi,muhasa,muhasa,muhisi,muhasa,muhisi,mwanakwetu,muhisi,muhasa,muhisi,muhisi,muhisi,muhasa,muhisi,muhisi,muhasa,muhisi,mwanakwetu,mama,muhisi,muhasa,muhisi,muhisi,muhasa,muhasa,muhisi,mwanakwetu,mama,muhisi,muhisi,muhisi,mama,muhisi,muhisi,muhasa,muhisi,yaya,yaya,dada mdodo,yuva,mayi,yuvahengi,mayi,yaya,yaya,yuvahengi,yuvahengi,yaya,yaya,mayi mdodo,dada,mayi,yuvahengi,dada,yuva,yuvahengi,yuvahengi,mayi,mayi mdodo,dada,dada mdodo,dada,dada
9,0.13994435309212028,1.8312234816723074,1.6912791285801871,muhisi,muhasa,muhisi,muhasa,muhisi,mama,muhisi,muhasa,muhisi,muhisi,muhasa,muhisi,muhasa,muhisi,muhisi,muhisi,muhasa,mwanakwetu,muhasa,muhisi,muhasa,muhisi,muhisi,muhisi,muhasa,muhisi,muhisi,muhasa,mwanakwetu,muhisi,muhasa,mama,mama,muhasa,muhasa,muhasa,muhasa,mwanakwetu,muhasa,muhisi,mwanakwetu,muhisi,muhisi,mama,muhasa,muhisi,muhisi,muhasa,muhisi,muhasa,mama,muhisi,muhisi,mwanakwetu,mama,muhisi,muhasa,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhasa,muhisi,mama,mwanakwetu,muhisi,muhisi,muhisi,munununa,muhisi,muhisi,muhisi,dada mdodo,mayi,mayi mdodo,dada mdodo,yaya,yaya,dada,yuvahengi,yuvahengi,mayi,yaya,yaya,yuvahengi,yuvahengi,yaya,dada,mayi,yuvahengi,yuva,yuvahengi,mayi mdodo,dada,yuva,dada,yaya,dada,mayi
