simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.014032215111297708,1.376055285260417,1.3620230701491194,kaka,hai,hai,hai,hai,kaka,kaka,naina,maama,ina,ama,naina,maama,maama,naina,naina,naina,maama,maama,ina,naina,maama,ama,maama,naina,naina,maama
1,0.1807868681734337,1.0346012329101812,0.8538143647367475,hai,kaka,kaka,hai,hai,hai,kaka,maama,naina,naina,ama,naina,naina,ina,naina,maama,ama,maama,maama,maama,maama,maama,maama,naina,naina,ina,naina
2,0.0443909749674023,1.0346012329101812,0.990210257942779,hai,kaka,hai,kaka,kaka,hai,hai,naina,maama,maama,ama,naina,naina,naina,ama,maama,naina,maama,maama,maama,naina,ina,maama,maama,naina,ina,naina
3,0.18078686817343348,1.034601232910181,0.8538143647367475,hai,kaka,kaka,hai,hai,hai,kaka,maama,ina,maama,naina,maama,maama,naina,maama,naina,maama,naina,ama,naina,maama,naina,ama,naina,naina,ina,maama
4,0.01403221511129793,1.376055285260417,1.3620230701491192,kaka,kaka,hai,hai,hai,kaka,hai,naina,maama,ama,ina,naina,maama,ina,naina,maama,maama,naina,maama,naina,naina,maama,maama,ama,maama,naina,naina
5,0.044390974967402075,1.034601232910181,0.990210257942779,kaka,kaka,hai,kaka,hai,hai,hai,maama,ama,maama,naina,ama,naina,maama,naina,maama,naina,maama,naina,maama,naina,naina,naina,ina,ina,maama,maama
6,0.004143433819589815,0.5982695885852573,0.5941261547656674,hai,hai,hai,hai,kaka,kaka,kaka,maama,maama,maama,ama,maama,naina,naina,naina,ina,ama,maama,naina,maama,maama,naina,naina,naina,naina,ina,maama
7,0.14154370304024,0.5195798391305154,0.3780361360902754,hai,kaka,kaka,hai,hai,hai,kaka,maama,naina,naina,naina,ama,ina,naina,maama,maama,maama,maama,ama,naina,naina,naina,ina,maama,maama,maama,naina
8,0.03149081771477463,0.5195798391305154,0.4880890214157408,kaka,hai,hai,kaka,hai,hai,kaka,maama,naina,maama,maama,naina,naina,naina,naina,maama,maama,maama,naina,naina,naina,maama,ama,maama,ina,ina,ama
9,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,hai,hai,kaka,kaka,kaka,hai,hai,naina,maama,maama,naina,maama,ina,maama,naina,naina,naina,maama,naina,naina,maama,ama,maama,ina,naina,ama,maama
