simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.36157373634686707,0.9799711820833055,0.6183974457364384,kimul,angin,angin,kimul,kimul,kimul,angin,anum,arin,lapa,lapa,kepa,lapa,arin,lapa,anum,kepa,anum,lapa,anum,lapa,arin,arin,kepa,anum,kepa,anum
1,0.08590927619874544,0.5982695885852573,0.5123603123865118,kimul,angin,angin,kimul,kimul,angin,kimul,anum,anum,lapa,anum,arin,anum,lapa,kepa,lapa,arin,lapa,lapa,arin,lapa,arin,kepa,kepa,kepa,anum,anum
2,0.007016107555648743,1.034601232910181,1.0275851253545323,angin,angin,kimul,kimul,kimul,kimul,angin,kepa,arin,arin,lapa,lapa,kepa,anum,lapa,anum,anum,lapa,lapa,kepa,anum,kepa,anum,anum,arin,arin,lapa
3,0.34145405235023607,1.0346012329101812,0.6931471805599452,angin,kimul,kimul,angin,angin,kimul,kimul,lapa,kepa,arin,lapa,anum,arin,lapa,kepa,anum,kepa,lapa,lapa,anum,kepa,lapa,arin,anum,anum,anum,arin
4,0.04439097496740252,1.0346012329101812,0.9902102579427787,angin,angin,kimul,angin,kimul,kimul,kimul,arin,lapa,lapa,anum,lapa,arin,kepa,anum,anum,anum,lapa,anum,anum,kepa,arin,kepa,arin,lapa,lapa,kepa
5,0.1807868681734337,1.0346012329101812,0.8538143647367475,kimul,kimul,angin,kimul,kimul,angin,angin,lapa,anum,arin,lapa,arin,lapa,lapa,kepa,arin,kepa,arin,anum,anum,kepa,anum,anum,kepa,anum,lapa,lapa
6,0.007016107555648743,1.0346012329101812,1.0275851253545325,kimul,kimul,angin,kimul,angin,angin,kimul,kepa,anum,lapa,anum,lapa,kepa,lapa,kepa,anum,arin,lapa,kepa,anum,anum,arin,anum,lapa,arin,arin,lapa
7,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,angin,kimul,angin,angin,kimul,kimul,kimul,lapa,arin,arin,lapa,lapa,anum,anum,arin,anum,anum,lapa,lapa,anum,arin,kepa,kepa,anum,kepa,kepa,lapa
8,0.007016107555648965,1.0346012329101812,1.0275851253545323,kimul,angin,kimul,kimul,angin,angin,kimul,kepa,lapa,arin,kepa,anum,arin,arin,anum,anum,kepa,lapa,lapa,lapa,anum,lapa,kepa,anum,lapa,anum,arin
9,0.08878194993480437,1.3760552852604169,1.2872733353256125,kimul,kimul,kimul,angin,angin,angin,kimul,anum,arin,lapa,kepa,arin,arin,arin,lapa,kepa,anum,anum,anum,lapa,kepa,kepa,anum,lapa,anum,lapa,lapa
