simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.1776886033801004,1.4186306534038602,1.2409420500237598,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sechílé,sóot’į,gundee héʔi,sóot’į,sóot’į,sedéa,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sechílé,sóot’į,sembade,sedéa,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,gundee héʔi,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sembade,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,seʔeh,sǫ héʔi,ehmbée héʔi,sǫ héʔi,seʔeh,ehmbée héʔi,seʔeh,sǫ héʔi,sǫ héʔi,seʔeh,amá,seʔeh,ehmbée héʔi,ehmbée héʔi,seʔeh,seʔeh,ehmbée héʔi,sǫ héʔi,setá,ehmbée héʔi,seʔeh,seʔeh,seʔeh,setá,seʔeh,amá,sǫ héʔi,seʔeh
1,0.07759289074559073,1.416854599007072,1.3392617082614813,sóot’į,sóot’į,sóot’į,sechílé,sóot’į,sóot’į,sóot’į,gundee héʔi,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,gundee héʔi,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sedéa,sóot’į,sechílé,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sedéa,sóot’į,sóot’į,sembade,sóot’į,sóot’į,sóot’į,sembade,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sǫ héʔi,seʔeh,ehmbée héʔi,seʔeh,sǫ héʔi,seʔeh,ehmbée héʔi,seʔeh,seʔeh,seʔeh,setá,sǫ héʔi,amá,sǫ héʔi,seʔeh,seʔeh,setá,amá,seʔeh,ehmbée héʔi,seʔeh,ehmbée héʔi,seʔeh,sǫ héʔi,ehmbée héʔi,ehmbée héʔi,seʔeh,sǫ héʔi
2,0.09254250037223599,1.3565735456631536,1.2640310452909176,sóot’į,sóot’į,sembade,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sechílé,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,gundee héʔi,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,gundee héʔi,sóot’į,sóot’į,sóot’į,sóot’į,sembade,sedéa,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sedéa,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sechílé,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sǫ héʔi,ehmbée héʔi,seʔeh,seʔeh,seʔeh,ehmbée héʔi,sǫ héʔi,amá,seʔeh,seʔeh,setá,sǫ héʔi,ehmbée héʔi,sǫ héʔi,seʔeh,ehmbée héʔi,ehmbée héʔi,seʔeh,seʔeh,setá,seʔeh,ehmbée héʔi,seʔeh,seʔeh,seʔeh,amá,sǫ héʔi,sǫ héʔi
3,0.11471598682910167,1.3332370732828835,1.2185210864537819,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,gundee héʔi,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sedéa,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sembade,sóot’į,sembade,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sechílé,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sechílé,sóot’į,sóot’į,sedéa,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,gundee héʔi,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,seʔeh,amá,seʔeh,ehmbée héʔi,sǫ héʔi,sǫ héʔi,ehmbée héʔi,seʔeh,seʔeh,sǫ héʔi,seʔeh,ehmbée héʔi,ehmbée héʔi,ehmbée héʔi,seʔeh,seʔeh,seʔeh,seʔeh,seʔeh,sǫ héʔi,setá,ehmbée héʔi,sǫ héʔi,amá,sǫ héʔi,seʔeh,seʔeh,setá
4,0.08857642316317516,1.4617364022151955,1.3731599790520204,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sembade,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sembade,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,gundee héʔi,sechílé,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sedéa,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sedéa,sóot’į,sóot’į,sóot’į,sechílé,gundee héʔi,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,ehmbée héʔi,ehmbée héʔi,amá,amá,ehmbée héʔi,seʔeh,sǫ héʔi,ehmbée héʔi,seʔeh,seʔeh,setá,sǫ héʔi,seʔeh,sǫ héʔi,ehmbée héʔi,seʔeh,seʔeh,seʔeh,setá,sǫ héʔi,seʔeh,seʔeh,sǫ héʔi,seʔeh,seʔeh,sǫ héʔi,ehmbée héʔi,seʔeh
5,0.08279942341013968,1.3987720163399147,1.315972592929775,sóot’į,sóot’į,sóot’į,sóot’į,sedéa,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sechílé,sóot’į,sóot’į,sembade,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sechílé,sóot’į,sóot’į,sóot’į,sóot’į,sedéa,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sembade,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,gundee héʔi,sóot’į,gundee héʔi,sóot’į,sóot’į,ehmbée héʔi,seʔeh,amá,seʔeh,sǫ héʔi,seʔeh,sǫ héʔi,amá,seʔeh,sǫ héʔi,seʔeh,seʔeh,sǫ héʔi,seʔeh,ehmbée héʔi,setá,ehmbée héʔi,ehmbée héʔi,ehmbée héʔi,seʔeh,seʔeh,sǫ héʔi,seʔeh,seʔeh,seʔeh,setá,sǫ héʔi,ehmbée héʔi
6,0.08898840832938704,1.366575343453608,1.277586935124221,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sechílé,sóot’į,sóot’į,sóot’į,sembade,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sedéa,sóot’į,sóot’į,sembade,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sechílé,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,gundee héʔi,sóot’į,sedéa,gundee héʔi,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,seʔeh,seʔeh,seʔeh,ehmbée héʔi,seʔeh,seʔeh,seʔeh,ehmbée héʔi,ehmbée héʔi,seʔeh,seʔeh,seʔeh,sǫ héʔi,seʔeh,amá,seʔeh,sǫ héʔi,ehmbée héʔi,setá,sǫ héʔi,setá,amá,sǫ héʔi,ehmbée héʔi,ehmbée héʔi,sǫ héʔi,seʔeh,sǫ héʔi
7,0.09487781325972455,1.3417491596118927,1.2468713463521681,sóot’į,sóot’į,sedéa,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,gundee héʔi,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sembade,sóot’į,sóot’į,sembade,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,gundee héʔi,sóot’į,sóot’į,sóot’į,sedéa,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sechílé,sóot’į,sechílé,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,setá,seʔeh,sǫ héʔi,seʔeh,seʔeh,ehmbée héʔi,seʔeh,seʔeh,seʔeh,sǫ héʔi,amá,setá,sǫ héʔi,sǫ héʔi,sǫ héʔi,ehmbée héʔi,seʔeh,seʔeh,sǫ héʔi,ehmbée héʔi,seʔeh,amá,seʔeh,ehmbée héʔi,ehmbée héʔi,seʔeh,ehmbée héʔi,seʔeh
8,0.08335413665725833,1.4362948052580684,1.35294066860081,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sechílé,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sechílé,sóot’į,sembade,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sedéa,sóot’į,sóot’į,sóot’į,sóot’į,sedéa,sóot’į,sembade,gundee héʔi,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,gundee héʔi,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,seʔeh,sǫ héʔi,amá,seʔeh,amá,seʔeh,seʔeh,sǫ héʔi,seʔeh,seʔeh,sǫ héʔi,ehmbée héʔi,sǫ héʔi,setá,seʔeh,ehmbée héʔi,ehmbée héʔi,seʔeh,sǫ héʔi,setá,seʔeh,sǫ héʔi,ehmbée héʔi,seʔeh,ehmbée héʔi,ehmbée héʔi,seʔeh,seʔeh
9,0.11416483152550305,1.327182304082074,1.213017472556571,sóot’į,sóot’į,sóot’į,sembade,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,gundee héʔi,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sedéa,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sechílé,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,gundee héʔi,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sechílé,sembade,sóot’į,sóot’į,sóot’į,sóot’į,sedéa,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,seʔeh,ehmbée héʔi,seʔeh,ehmbée héʔi,sǫ héʔi,seʔeh,seʔeh,sǫ héʔi,amá,ehmbée héʔi,ehmbée héʔi,sǫ héʔi,sǫ héʔi,setá,seʔeh,seʔeh,ehmbée héʔi,seʔeh,sǫ héʔi,seʔeh,amá,sǫ héʔi,seʔeh,seʔeh,seʔeh,setá,seʔeh,ehmbée héʔi
