simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.20505815914420478,1.0346012329101812,0.8295430737659765,"iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, pangolowan","iba, agi, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, enawdi",iket,oleték,ama,oleték,iket,oleték,oleték,ama,iket,oleték,oleték,iket,oleték,iket,ina,oleték,iket,iket,ina,iket
1,0.09922444498263278,0.5195798391305154,0.42035539414788264,"iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, pangolowan","iba, agi, apenghan, enawdi","iba, agi, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, enawdi","iba, agi, apenghan, pangolowan","iba, agi, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, pangolowan","iba, agi, apenghan, pangolowan",oleték,iket,iket,iket,oleték,ama,ina,iket,iket,iket,oleték,iket,ina,iket,oleték,oleték,ama,oleték,oleték,oleték
2,0.05956626831817935,0.5982695885852573,0.5387033202670779,"iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, enawdi","iba, agi, apenghan, pangolowan","iba, agi, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, pangolowan","iba, agi, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, pangolowan",oleték,oleték,oleték,ina,iket,iket,iket,oleték,oleték,iket,oleték,ama,iket,ina,iket,ama,iket,iket,oleték,oleték
3,0.052686015761131966,0.5982695885852573,0.5455835728241253,"iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, enawdi","iba, agi, pangolowan","iba, agi, enawdi","iba, agi, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi",iket,iket,iket,oleték,ama,oleték,iket,iket,ama,oleték,oleték,oleték,iket,ina,ina,oleték,iket,iket,oleték,oleték
4,0.484866053111916,1.0789922078775833,0.5941261547656673,"iba, agi, apenghan, pangolowan","iba, agi, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, enawdi","iba, agi, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, pangolowan","iba, agi, apenghan, enawdi","iba, agi, enawdi",oleték,oleték,iket,ina,oleték,iket,iket,ama,oleték,iket,oleték,ama,oleték,iket,oleték,oleték,ina,iket,iket,iket
5,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,"iba, agi, pangolowan","iba, agi, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, enawdi",oleték,iket,oleték,iket,oleték,ama,oleték,iket,oleték,iket,iket,ama,iket,iket,oleték,oleték,ina,ina,oleték,iket
6,0.14341200076168026,1.0346012329101812,0.891189232148501,"iba, agi, pangolowan","iba, agi, apenghan, enawdi","iba, agi, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, enawdi","iba, agi, enawdi",ina,oleték,oleték,iket,oleték,iket,oleték,iket,iket,ina,ama,oleték,iket,iket,oleték,ama,oleték,iket,iket,oleték
7,0.017247010260572293,0.5982695885852573,0.581022578324685,"iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, enawdi","iba, agi, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, pangolowan",oleték,oleték,ama,oleték,oleték,iket,iket,ina,oleték,ina,iket,iket,iket,iket,ama,oleték,oleték,iket,iket,oleték
8,0.0887819499348046,0.9799711820833055,0.8911892321485009,"iba, agi, apenghan, pangolowan","iba, agi, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, enawdi","iba, agi, apenghan, enawdi","iba, agi, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, enawdi","iba, agi, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan",ama,ina,iket,iket,oleték,iket,iket,oleték,iket,oleték,oleték,iket,oleték,oleték,iket,ama,oleték,iket,ina,oleték
9,0.0020717169097950183,1.0346012329101812,1.0325295160003862,"iba, agi, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, enawdi","iba, agi, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, apenghan, pangolowan","iba, agi, apenghan, enawdi","iba, agi, pangolowan","iba, agi, apenghan, pangolowan","iba, agi, pangolowan",oleték,ina,oleték,iket,iket,oleték,oleték,oleték,iket,oleték,iket,ama,ina,iket,iket,iket,iket,ama,oleték,oleték
