simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFZS,mMBS,mFZD,mMBD,fFZS,fMBS,fFZD,fMBD,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB
0,0.08340926816941518,1.3580825157078267,1.2746732475384115,rarakave,rarakave,rarakave,"so, soa",rarakave,rarakave,kave,"so, soa",rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,"so, soa",kave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,kave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,kave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,tamana,tamana,"taruana, tomana, toshinana",amahavai,"taruana, tomana, toshinana",tamana,toshinana,tamana,tamana,amahavai,tamana,amahavai,toshinana,amahavai,"taruana, tomana, toshinana","taruana, tomana, toshinana"
1,0.01754787442412975,1.1897812856349257,1.172233411210796,rarakave,rarakave,rarakave,rarakave,rarakave,kave,rarakave,"so, soa",rarakave,"so, soa",rarakave,rarakave,rarakave,"so, soa",kave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,kave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,kave,tamana,"taruana, tomana, toshinana",tamana,amahavai,amahavai,toshinana,toshinana,amahavai,tamana,"taruana, tomana, toshinana","taruana, tomana, toshinana","taruana, tomana, toshinana",tamana,tamana,amahavai,tamana
2,0.15371761294973751,1.3608557628200932,1.2071381498703557,kave,rarakave,rarakave,rarakave,rarakave,rarakave,"so, soa",rarakave,rarakave,rarakave,rarakave,rarakave,"so, soa",rarakave,rarakave,kave,rarakave,rarakave,rarakave,rarakave,kave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,"so, soa",rarakave,rarakave,kave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,toshinana,amahavai,toshinana,amahavai,tamana,"taruana, tomana, toshinana",tamana,"taruana, tomana, toshinana",amahavai,tamana,tamana,tamana,amahavai,tamana,"taruana, tomana, toshinana","taruana, tomana, toshinana"
3,0.08149018423350185,1.275492966146642,1.1940027819131402,rarakave,"so, soa",rarakave,kave,rarakave,rarakave,rarakave,rarakave,rarakave,"so, soa",rarakave,rarakave,kave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,kave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,kave,rarakave,rarakave,rarakave,rarakave,"so, soa",rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,"taruana, tomana, toshinana",tamana,tamana,amahavai,tamana,tamana,tamana,amahavai,toshinana,amahavai,"taruana, tomana, toshinana",toshinana,amahavai,tamana,"taruana, tomana, toshinana","taruana, tomana, toshinana"
4,0.10010252511418871,1.3084185647101227,1.208316039595934,rarakave,rarakave,rarakave,kave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,"so, soa",rarakave,rarakave,rarakave,rarakave,"so, soa",rarakave,rarakave,rarakave,rarakave,kave,rarakave,rarakave,rarakave,rarakave,rarakave,kave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,kave,rarakave,rarakave,"so, soa",rarakave,tamana,amahavai,"taruana, tomana, toshinana",tamana,"taruana, tomana, toshinana","taruana, tomana, toshinana",amahavai,tamana,toshinana,"taruana, tomana, toshinana",tamana,amahavai,tamana,toshinana,amahavai,tamana
5,0.08193448624401811,1.3680829237577115,1.2861484375136933,rarakave,rarakave,rarakave,kave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,"so, soa",rarakave,rarakave,rarakave,rarakave,kave,rarakave,"so, soa",rarakave,rarakave,rarakave,rarakave,"so, soa",kave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,kave,rarakave,tamana,"taruana, tomana, toshinana",toshinana,"taruana, tomana, toshinana",tamana,"taruana, tomana, toshinana",amahavai,tamana,tamana,amahavai,amahavai,tamana,amahavai,tamana,toshinana,"taruana, tomana, toshinana"
6,0.03634496765639583,1.269999534925902,1.233654567269506,rarakave,kave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,"so, soa",rarakave,rarakave,"so, soa",rarakave,kave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,kave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,kave,rarakave,rarakave,"so, soa",rarakave,rarakave,rarakave,rarakave,tamana,toshinana,"taruana, tomana, toshinana",amahavai,amahavai,tamana,tamana,amahavai,tamana,"taruana, tomana, toshinana",toshinana,"taruana, tomana, toshinana","taruana, tomana, toshinana",tamana,amahavai,tamana
7,0.125556783702226,1.3340295991155566,1.2084728154133306,rarakave,rarakave,kave,"so, soa","so, soa",rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,kave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,kave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,"so, soa",rarakave,rarakave,rarakave,kave,rarakave,rarakave,amahavai,"taruana, tomana, toshinana",tamana,toshinana,tamana,amahavai,tamana,amahavai,"taruana, tomana, toshinana",toshinana,tamana,amahavai,"taruana, tomana, toshinana","taruana, tomana, toshinana",tamana,tamana
8,0.14075762609324372,1.3213090069571982,1.1805513808639545,rarakave,rarakave,rarakave,kave,kave,rarakave,rarakave,rarakave,"so, soa",rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,kave,rarakave,rarakave,kave,rarakave,"so, soa",rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,"so, soa",rarakave,rarakave,rarakave,tamana,tamana,amahavai,toshinana,amahavai,"taruana, tomana, toshinana",tamana,"taruana, tomana, toshinana",tamana,amahavai,"taruana, tomana, toshinana",tamana,amahavai,tamana,toshinana,"taruana, tomana, toshinana"
9,0.14785599840681485,1.2873113054711645,1.1394553070643496,rarakave,rarakave,kave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,kave,"so, soa",rarakave,"so, soa",rarakave,rarakave,kave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,"so, soa",rarakave,kave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,rarakave,"taruana, tomana, toshinana",tamana,amahavai,amahavai,tamana,tamana,"taruana, tomana, toshinana","taruana, tomana, toshinana",tamana,amahavai,toshinana,amahavai,tamana,"taruana, tomana, toshinana",tamana,toshinana
